max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,game_id,Target,Name,Position,team,ou,odds,home,OPP
3100,3100,3066.6667,3000,47.14045207910314,17.083333333333332,3.8288016692200477,10,21.25,201578,21700278,?,Marreese Speights,PF/C,ORL,221,6,0,PHI
3900,3700,3650.0000,3500,76.37626158259734,17.75,7.968688725254614,5,32,203082,21700278,?,Terrence Ross,SG/SF,ORL,221,6,0,PHI
6400,7000,6316.6667,5700,421.9662967057387,23.541666666666668,8.842860428365674,13,41.5,203901,21700278,?,Elfrid Payton,PG,ORL,221,6,0,PHI
3000,3000,3000.0000,3000,0,6.25,3.3865542960360164,3.25,12,1626209,21700278,?,Mario Hezonja,PG/SF,ORL,221,6,0,PHI
3000,3000,3000.0000,3000,0,8.45,6.159139550294344,0.75,17.75,201167,21700278,?,Arron Afflalo,SG/SF,ORL,221,6,0,PHI
3200,3200,3200.0000,3200,0,16.333333333333332,5.265189666310438,8.75,23.5,202687,21700278,?,Bismack Biyombo,PF/C,ORL,221,6,0,PHI
6100,6400,6233.3333,5900,179.50549357115008,23.791666666666668,4.83566753980829,17.75,30.25,203095,21700278,?,Evan Fournier,SG/SF,ORL,221,6,0,PHI
7000,7400,7033.3333,6500,309.12061651652346,30.5,7.251436639269031,23.25,44.25,203932,21700278,?,Aaron Gordon,SF/PF,ORL,221,6,0,PHI
3700,4200,4025.0000,3700,204.63381929681114,10.75,6.336895927818288,1.75,19,201571,21700278,?,D.J. Augustin,PG/SG,ORL,221,6,0,PHI
6700,7300,6966.6667,6600,228.52182001336826,35.208333333333336,8.102747305012596,22.5,49.25,202696,21700278,?,Nikola Vucevic,C,ORL,221,6,0,PHI
3400,3700,3475.0000,3400,129.9038105676658,13.4375,5.37172865565639,6.75,21.25,202714,21700278,?,Shelvin Mack,PG,ORL,221,6,0,PHI
4400,4600,4450.0000,4200,138.44373104863462,18.583333333333332,4.986788100125727,10,25,203613,21700278,?,Jonathon Simmons,SG/SF,ORL,221,6,0,PHI
4100,3600,3600.0000,3600,0,8.625,5.375,3.25,14,1626158,21700278,?,Richaun Holmes,PF/C,PHI,221,-6,1,ORL
4900,5000,4860.0000,4800,80.00000000000003,25.6,4.479397280885008,20.25,31,200755,21700278,?,J.J. Redick,SG/SF,PHI,221,-6,1,ORL
4000,4700,4320.0000,4000,248.1934729198172,19.85,5.501363467359705,11.75,28.75,204456,21700278,?,T.J. McConnell,PG,PHI,221,-6,1,ORL
