max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,Position,team,ou,odds,home,OPP,Target,game_id,Name,AdaBoost,Random Forest,Neural Network
continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,continuous,discrete,discrete,continuous,continuous,discrete,discrete,continuous,continuous,string,continuous,continuous,continuous
,,,,,,,,,,,,,,,,class,meta,meta,meta,meta,meta
3100.0,3100.0,3066.6667,3000.0,47.1404520791,17.0833333333,3.82880166922,10.0,21.25,201578.0,PF/C,ORL,221.0,6.0,0,PHI,,21700278.0,Marreese Speights,20.75,15.533342633928571,35.524113807531066
3900.0,3700.0,3650.0,3500.0,76.3762615826,17.75,7.96868872525,5.0,32.0,203082.0,SG/SF,ORL,221.0,6.0,0,PHI,,21700278.0,Terrence Ross,20.75,16.647628348214287,41.04424929819092
6400.0,7000.0,6316.6667,5700.0,421.966296706,23.5416666667,8.84286042837,13.0,41.5,203901.0,PG,ORL,221.0,6.0,0,PHI,,21700278.0,Elfrid Payton,25.75,27.407682291666667,30.188333478482946
3000.0,3000.0,3000.0,3000.0,0.0,6.25,3.38655429604,3.25,12.0,1626209.0,PG/SF,ORL,221.0,6.0,0,PHI,,21700278.0,Mario Hezonja,19.0,12.483389136904762,26.020503868461947
3000.0,3000.0,3000.0,3000.0,0.0,8.45,6.15913955029,0.75,17.75,201167.0,SG/SF,ORL,221.0,6.0,0,PHI,,21700278.0,Arron Afflalo,18.5,14.710174851190475,27.511253329291574
3200.0,3200.0,3200.0,3200.0,0.0,16.3333333333,5.26518966631,8.75,23.5,202687.0,PF/C,ORL,221.0,6.0,0,PHI,,21700278.0,Bismack Biyombo,22.0,15.797464037698411,41.084293977095555
6100.0,6400.0,6233.3333,5900.0,179.505493571,23.7916666667,4.83566753981,17.75,30.25,203095.0,SG/SF,ORL,221.0,6.0,0,PHI,,21700278.0,Evan Fournier,27.75,24.665727306547616,30.5139186832691
7000.0,7400.0,7033.3333,6500.0,309.120616517,30.5,7.25143663927,23.25,44.25,203932.0,SF/PF,ORL,221.0,6.0,0,PHI,,21700278.0,Aaron Gordon,26.75,31.409827628968248,35.54922144017577
