g,team,c,sf,pf,sg,all,pg
41,BKN,53.3,45.1,45.6,43.3,240.3,52.8
46,LAL,52.9,41.2,45.6,39.5,230.0,50.3
40,DEN,48.1,39.2,41.6,41.7,223.0,53.0
42,NO,49.1,39.1,44.6,39.5,222.4,50.2
40,IND,48.6,38.7,45.9,40.9,221.2,46.7
43,POR,51.6,39.8,46.6,37.3,220.9,46.0
41,PHO,49.9,39.9,43.2,39.0,220.8,48.9
42,NY,50.2,38.7,43.9,40.9,219.9,46.2
41,CHA,50.7,40.5,41.3,39.5,219.0,47.3
40,SAC,47.6,38.5,44.9,40.1,218.5,47.5
41,BOS,48.9,39.6,45.1,37.9,218.4,47.0
39,PHI,50.7,40.8,41.0,39.2,217.6,46.1
40,CLE,46.3,40.8,42.5,41.7,217.5,46.9
44,HOU,49.6,39.9,41.7,40.6,217.4,46.1
43,ORL,49.0,39.4,41.9,39.2,216.8,46.6
40,MIL,47.4,43.8,43.1,38.6,215.5,42.6
41,ATL,44.0,40.2,42.9,39.7,214.7,48.1
41,GS,49.2,39.5,41.2,38.2,213.2,46.0
43,CHI,47.1,38.6,43.0,38.2,212.9,46.0
40,WAS,47.4,39.2,43.9,38.3,212.9,43.9
43,OKC,48.4,35.8,42.4,37.9,211.9,48.2
42,MIA,49.1,38.4,41.1,37.2,211.2,45.5
41,TOR,47.2,39.2,43.4,35.8,210.9,45.4
42,MIN,47.4,36.8,41.3,37.4,210.6,47.7
43,DET,45.8,36.8,41.7,37.4,209.8,48.1
43,LAC,46.5,38.9,40.6,37.7,207.0,43.5
41,DAL,47.6,36.9,40.5,37.4,204.1,42.3
41,SA,42.7,35.3,39.5,39.6,200.9,43.9
43,MEM,41.9,36.6,40.2,37.1,199.9,44.2
43,UTA,42.5,33.9,38.1,34.0,192.4,44.1
