pg,team,g,c,all,sf,sg,pf
52.6,BKN,45,52.7,239.4,45.2,43.0,46.0
50.0,LAL,49,53.3,229.9,41.4,39.6,44.8
50.0,NO,46,49.5,223.8,40.1,39.3,44.8
52.0,DEN,44,49.1,222.3,39.5,41.4,40.9
46.8,IND,44,48.9,221.4,39.0,40.7,45.6
46.3,POR,47,51.8,221.0,39.7,37.7,45.7
48.4,PHO,45,49.9,220.8,40.9,38.5,43.2
46.3,HOU,49,49.8,219.5,40.7,40.6,42.7
46.3,NY,47,50.2,219.2,39.2,40.2,43.2
48.4,BOS,45,49.3,219.1,38.8,38.3,44.4
47.4,CLE,44,47.1,218.8,41.2,41.2,42.6
47.5,SAC,45,47.3,218.2,38.7,40.2,44.4
46.9,CHA,46,50.1,218.1,40.3,39.5,41.7
46.3,ORL,47,49.1,217.5,40.0,40.1,41.6
44.1,MIL,45,48.4,217.2,43.1,39.0,42.8
45.7,PHI,44,51.1,216.2,39.7,39.3,40.6
47.7,ATL,46,43.9,215.1,40.6,40.3,42.8
46.8,GS,46,49.7,213.4,38.5,38.2,41.2
47.7,OKC,46,48.1,213.1,37.0,38.1,42.7
44.2,WAS,45,46.9,213.0,39.6,37.6,44.4
45.9,CHI,47,47.6,212.8,38.4,38.2,42.6
46.1,TOR,46,47.4,211.1,38.4,35.6,43.8
47.3,MIN,45,48.5,211.0,36.7,37.5,40.9
48.3,DET,46,46.2,209.9,36.7,37.1,41.6
44.8,MIA,46,49.0,209.8,38.5,36.7,40.8
43.1,LAC,47,48.2,208.5,39.6,37.2,40.7
41.4,DAL,45,47.7,201.8,36.6,36.9,39.5
45.1,MEM,47,42.0,201.2,36.8,37.2,40.0
43.9,SA,45,42.9,200.8,35.4,39.1,39.3
44.9,UTA,47,42.4,193.2,33.9,34.4,37.8
