c,all,g,sg,team,pf,sf,pg
52.6,239.4,46,42.7,BKN,46.3,45.3,52.6
53.1,229.1,50,39.5,LAL,44.5,41.4,49.9
49.4,223.7,47,39.2,NO,45.1,40.4,49.5
48.9,222.0,45,41.5,DEN,40.7,39.3,52.2
50.4,221.4,46,38.5,PHO,43.4,40.9,48.4
52.1,220.9,48,37.5,POR,45.7,39.5,46.2
49.2,220.7,46,40.2,IND,45.3,38.6,46.8
50.4,219.8,50,40.7,HOU,42.6,40.5,46.2
49.8,219.2,48,40.4,NY,43.0,39.2,46.8
47.2,218.9,45,41.4,CLE,42.6,41.2,47.2
49.3,218.8,46,38.3,BOS,44.1,38.8,48.3
49.2,218.7,48,40.2,ORL,41.9,40.4,46.7
50.1,218.5,47,39.7,CHA,41.8,40.4,46.9
47.2,217.7,46,40.1,SAC,44.2,38.8,47.3
48.5,217.5,46,39.0,MIL,42.8,42.9,44.3
51.1,216.6,45,39.2,PHI,40.3,39.4,46.8
44.2,216.0,47,40.4,ATL,43.1,40.7,47.8
49.7,213.3,46,38.2,GS,41.2,38.5,46.8
47.3,213.0,48,38.4,CHI,42.6,38.3,46.4
46.9,212.6,46,37.7,WAS,44.3,39.5,43.9
47.8,212.5,47,38.1,OKC,42.6,37.1,47.4
48.6,211.1,46,37.2,MIN,40.8,37.0,47.5
47.1,210.6,47,35.6,TOR,43.8,38.3,45.8
46.2,210.0,46,37.2,DET,41.6,36.7,48.3
48.6,209.4,47,36.8,MIA,41.0,38.3,44.9
48.2,208.5,47,37.2,LAC,40.7,39.6,43.1
43.4,202.0,46,39.4,SA,39.4,35.6,44.1
47.4,201.7,46,36.9,DAL,39.3,36.4,42.0
41.9,201.2,48,37.3,MEM,39.8,36.8,45.3
42.5,192.9,48,34.4,UTA,37.7,33.7,44.8
