Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final,Game0,Game1,Game2,Game3,Game4,Game5,Game6,Game7,Game8,Game9,Game10
PG,Russell Westbrook,12500,LAC@OKC 08:00PM ET,64.129,OKC,1,0,70.071,52.953,61.250,29.250,2.000,75.000,0.227,-9.000,209.500,0.000,61.000,61.000,29.250,67.750,65.750,82.250,67.500,73.250,81.250,42.500,35.500,64.000
PG/SG,James Harden,11900,NY@Hou 08:00PM ET,59.449,Hou,1,0,62.607,53.000,60.500,77.750,19.500,71.400,0.099,-12.500,224.500,0.000,103.500,103.500,77.750,58.750,55.250,50.250,59.250,56.500,64.250,67.750,55.250,68.000
SF,LeBron James,10400,Cle@Cha 07:00PM ET,52.304,Cle,0,0,53.179,42.786,51.562,56.000,22.000,62.400,0.202,-1.000,210.500,0.000,56.500,56.500,56.000,60.250,39.750,50.250,66.500,56.250,45.500,79.750,54.000,47.500
PG,Giannis Antetokounmpo,9800,Mil@Chi 07:00PM ET,50.669,Mil,0,0,50.179,41.714,50.312,42.500,12.000,58.800,0.218,3.000,204.000,0.000,74.750,74.750,42.500,45.250,50.000,63.500,47.750,55.750,57.750,61.500,54.750,53.250
PG,Chris Paul,9400,LAC@OKC 08:00PM ET,43.927,LAC,0,0,44.464,36.653,43.500,42.500,21.000,56.400,0.124,9.000,209.500,0.000,0.000,42.500,39.500,51.500,40.500,32.250,37.500,54.250,65.250,31.500,39.000,49.500
PF/C,Kevin Love,8700,Cle@Cha 07:00PM ET,42.607,Cle,0,0,41.357,34.984,43.250,58.250,18.750,52.200,0.185,-1.000,210.500,0.000,43.000,43.000,58.250,42.500,35.500,36.750,58.250,55.750,36.000,56.750,32.750,49.000
SG/SF,Jimmy Butler,8600,Mil@Chi 07:00PM ET,42.811,Chi,1,0,44.214,34.194,42.875,39.000,22.500,51.600,0.225,-3.000,204.000,0.000,50.250,50.250,39.000,67.000,33.250,32.250,39.000,40.750,36.250,26.750,32.750,54.750
SG/SF,Nicolas Batum,8000,Cle@Cha 07:00PM ET,36.688,Cha,1,0,45.571,27.167,49.625,52.250,27.500,48.000,0.145,1.000,210.500,0.000,36.000,36.000,52.250,45.250,44.250,56.750,46.750,24.750,48.000,44.250,31.500,23.000
SF,Gordon Hayward,8000,Pho@Uta 08:00PM ET,38.173,Uta,1,0,36.500,29.542,41.000,33.000,23.000,48.000,0.168,-11.500,207.500,0.000,39.250,39.250,33.000,50.250,34.750,46.000,11.750,50.750,28.250,25.500,41.250,46.750
PG,Kyrie Irving,7900,Cle@Cha 07:00PM ET,40.069,Cle,0,0,38.964,32.383,52.312,62.750,14.500,47.400,0.248,-1.000,210.500,0.000,0.000,62.750,35.750,63.000,47.750,60.000,42.250,54.000,23.000,28.750,41.750,35.000
PG,Kemba Walker,7800,Cle@Cha 07:00PM ET,38.891,Cha,1,0,37.429,33.145,34.625,40.250,22.000,46.800,0.200,1.000,210.500,0.000,50.250,50.250,40.250,32.750,30.750,34.750,55.000,43.500,38.000,25.000,35.250,23.500
PF/C,Blake Griffin,7700,LAC@OKC 08:00PM ET,41.942,LAC,0,0,38.143,35.625,41.750,46.250,13.500,46.200,0.307,9.000,209.500,0.000,0.000,46.250,35.500,34.250,51.000,24.750,57.500,43.750,37.750,30.250,39.250,32.500
PG,Eric Bledsoe,7300,Pho@Uta 08:00PM ET,37.765,Pho,0,0,36.679,28.542,40.438,51.250,6.000,43.800,0.311,11.500,207.500,0.000,41.500,41.500,51.250,19.500,41.500,49.500,27.500,40.750,21.250,28.000,54.500,51.250
C,Rudy Gobert,7300,Pho@Uta 08:00PM ET,35.242,Uta,1,0,40.321,26.821,37.000,35.750,24.500,43.800,0.174,-11.500,207.500,0.000,40.750,40.750,35.750,31.750,35.000,45.500,37.000,44.000,34.500,38.000,48.250,45.250
C,DeAndre Jordan,7200,LAC@OKC 08:00PM ET,33.893,LAC,0,0,39.786,28.079,37.812,40.750,12.000,43.200,0.137,9.000,209.500,0.000,30.250,30.250,40.750,49.250,34.750,26.500,32.250,28.250,35.750,39.250,43.250,48.750
SF/PF,Jabari Parker,7200,Mil@Chi 07:00PM ET,33.879,Mil,0,0,32.286,25.484,40.812,36.000,15.250,43.200,0.188,3.000,204.000,0.000,41.250,41.250,36.000,56.250,27.500,43.500,34.750,45.250,23.750,44.250,35.750,12.000
PF,Kristaps Porzingis,7200,NY@Hou 08:00PM ET,38.000,NY,0,0,43.250,29.632,41.875,50.000,16.500,43.200,0.324,12.500,224.500,0.000,0.000,50.000,43.000,50.500,24.000,39.000,41.000,13.250,57.000,63.750,34.750,20.250
SF,Carmelo Anthony,7100,NY@Hou 08:00PM ET,37.185,NY,0,0,37.893,28.897,35.562,48.750,24.000,42.600,0.319,12.500,224.500,0.000,12.250,12.250,48.750,17.750,44.750,31.000,53.500,39.500,28.000,34.250,52.250,16.500
PG,Derrick Rose,6500,NY@Hou 08:00PM ET,30.321,NY,0,0,27.321,23.750,33.938,28.500,10.000,39.000,0.197,12.500,224.500,0.000,42.250,42.250,28.500,42.750,34.250,30.250,40.000,3.250,32.750,20.500,34.500,39.250
PG,George Hill,6500,Pho@Uta 08:00PM ET,34.938,Uta,1,0,33.464,25.438,35.250,48.000,26.000,39.000,0.319,-11.500,207.500,0.000,7.250,7.250,48.000,16.750,39.000,37.250,37.250,42.000,22.250,39.000,38.500,29.000
SG,Dwyane Wade,6400,Mil@Chi 07:00PM ET,33.379,Chi,1,0,31.036,25.950,33.625,33.000,16.000,38.400,0.297,-3.000,204.000,0.000,24.750,24.750,33.000,23.000,39.250,39.250,27.250,30.750,25.500,22.250,34.750,35.750
SG,Devin Booker,6000,Pho@Uta 08:00PM ET,29.250,Pho,0,0,27.857,22.083,31.250,34.750,1.000,36.000,0.255,11.500,207.500,0.000,31.250,31.250,34.750,20.250,26.500,43.500,46.500,26.500,42.750,32.500,15.250,30.750
PG,Rajon Rondo,5900,Mil@Chi 07:00PM ET,28.422,Chi,1,0,30.393,18.917,19.812,2.250,4.000,35.400,0.286,-3.000,204.000,0.000,0.000,2.250,37.750,19.750,19.500,35.250,24.000,47.500,19.000,25.500,23.250,41.500
SG,Eric Gordon,5800,NY@Hou 08:00PM ET,28.522,Hou,1,0,29.071,22.944,29.250,31.500,26.000,34.800,0.217,-12.500,224.500,0.000,24.000,24.000,31.500,26.250,28.250,31.000,36.500,23.250,39.000,38.250,29.000,27.500
PF,Ryan Anderson,5700,NY@Hou 08:00PM ET,24.309,Hou,1,0,20.286,17.562,28.000,10.250,20.000,34.200,0.158,-12.500,224.500,0.000,40.000,40.000,10.250,31.250,23.750,46.750,24.250,17.500,46.000,12.750,33.000,31.000
PG,Patrick Beverley,5500,NY@Hou 08:00PM ET,27.727,Hou,1,0,30.107,21.325,33.188,31.250,13.000,33.000,0.259,-12.500,224.500,0.000,0.000,31.250,29.250,27.500,44.750,21.000,28.000,41.750,27.500,29.750,30.250,30.000
SG,J.J. Redick,5400,LAC@OKC 08:00PM ET,21.188,LAC,0,0,21.643,14.438,19.500,11.250,12.000,32.400,0.101,9.000,209.500,0.000,8.750,8.750,11.250,32.500,17.750,16.500,39.250,19.250,20.750,15.250,23.500,17.750
SG,Victor Oladipo,5400,LAC@OKC 08:00PM ET,28.500,OKC,1,0,29.250,19.479,20.188,2.750,6.500,32.400,0.370,-9.000,209.500,0.000,23.000,23.000,2.750,21.750,26.500,29.750,45.000,23.000,32.000,48.000,35.000,30.500
