Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG,Russell Westbrook,12700,OKC@Mem 08:00PM ET,65.219,OKC,0,0,57.000,52.953,61.250,8.000,76.200,29.250,0.203,197.500,1.000,-21.413,29.250
SF,LeBron James,10100,Bos@Cle 08:00PM ET,52.167,Cle,1,0,55.393,42.786,51.562,13.000,60.600,56.000,0.246,217.000,-6.000,7.057,56.000
C,Hassan Whiteside,8600,Mia@Cha 07:00PM ET,43.445,Mia,0,0,33.071,30.383,33.188,25.000,51.600,22.500,0.260,204.500,6.000,-15.554,22.500
PG,Kyle Lowry,8500,Tor@Pho 09:00PM ET,43.008,Tor,0,0,46.679,35.500,49.688,25.500,51.000,43.250,0.166,223.000,-8.500,11.399,43.250
SG,DeMar DeRozan,8300,Tor@Pho 09:00PM ET,42.298,Tor,0,0,41.036,33.692,42.750,15.000,49.800,29.750,0.181,223.000,-8.500,2.843,29.750
PF/C,Kevin Love,8200,Bos@Cle 08:00PM ET,42.028,Cle,1,0,48.179,34.984,43.250,22.000,49.200,58.250,0.267,217.000,-6.000,7.057,58.250
SF,Gordon Hayward,8100,Phi@Uta 09:00PM ET,38.380,Uta,1,0,36.500,29.542,41.000,19.500,48.600,33.000,0.155,196.500,-14.500,-7.780,33.000
C,Marc Gasol,7900,OKC@Mem 08:00PM ET,38.977,Mem,1,0,38.286,29.483,40.062,12.000,47.400,49.000,0.238,197.500,-1.000,-7.057,49.000
PG,Kemba Walker,7800,Mia@Cha 07:00PM ET,38.847,Cha,1,0,37.429,33.145,34.625,6.000,46.800,40.250,0.200,204.500,-6.000,-13.657,40.250
SG/SF,Nicolas Batum,7800,Mia@Cha 07:00PM ET,36.185,Cha,1,0,45.571,27.167,49.625,6.750,46.800,52.250,0.171,204.500,-6.000,-13.472,52.250
PG,Isaiah Thomas,7700,Bos@Cle 08:00PM ET,41.411,Bos,0,0,45.500,35.750,43.438,20.000,46.200,51.750,0.306,217.000,6.000,7.057,51.750
PG,Kyrie Irving,7600,Bos@Cle 08:00PM ET,39.259,Cle,1,0,48.464,32.383,52.312,25.500,45.600,62.750,0.303,217.000,-6.000,7.057,62.750
PG,Eric Bledsoe,7500,Tor@Pho 09:00PM ET,37.344,Pho,1,0,41.821,28.542,40.438,11.000,45.000,51.250,0.277,223.000,8.500,9.399,51.250
C,Rudy Gobert,7400,Phi@Uta 09:00PM ET,35.227,Uta,1,0,40.321,26.821,37.000,27.000,44.400,35.750,0.158,196.500,-14.500,-7.780,35.750
PF/C,Joel Embiid,7200,Phi@Uta 09:00PM ET,35.869,Phi,0,0,35.200,27.389,40.562,1.500,43.200,41.000,0.210,196.500,14.500,-26.447,0.000
PG,Goran Dragic,7000,Mia@Cha 07:00PM ET,35.721,Mia,0,0,34.071,27.625,29.688,18.000,42.000,18.750,0.276,204.500,6.000,-13.533,18.750
SF/PF,Harrison Barnes,6800,Dal@LAL 10:30PM ET,31.047,Dal,0,0,31.286,24.000,30.688,27.250,40.800,35.750,0.127,205.000,4.000,-1.628,35.750
C,Al Horford,6700,Bos@Cle 08:00PM ET,37.136,Bos,0,0,32.964,27.318,32.125,7.000,40.200,18.250,0.354,217.000,6.000,-14.743,18.250
PF/C,Julius Randle,6500,Dal@LAL 10:30PM ET,31.125,LAL,1,0,31.929,22.367,35.188,7.000,39.000,25.500,0.221,205.000,-4.000,-13.057,25.500
PG,Mike Conley,6400,OKC@Mem 08:00PM ET,34.630,Mem,1,0,30.286,26.750,32.438,22.500,38.400,24.000,0.366,197.500,-1.000,-7.057,0.000
SG,Devin Booker,6300,Tor@Pho 09:00PM ET,29.073,Pho,1,0,32.821,22.083,31.250,2.000,37.800,34.750,0.202,223.000,8.500,-5.601,34.750
PG,George Hill,6200,Phi@Uta 09:00PM ET,33.750,Uta,1,0,33.464,25.438,35.250,9.000,37.200,48.000,0.396,196.500,-14.500,-7.780,48.000
SG,Avery Bradley,6100,Bos@Cle 08:00PM ET,33.953,Bos,0,0,32.786,27.469,32.625,28.000,36.600,34.250,0.381,217.000,6.000,7.057,34.250
PG,Deron Williams,5900,Dal@LAL 10:30PM ET,28.083,Dal,0,0,33.036,19.350,30.312,27.500,35.400,27.250,0.222,205.000,4.000,-1.628,27.250
SG,Wesley Matthews,5700,Dal@LAL 10:30PM ET,26.742,Dal,0,0,29.107,19.517,29.688,21.000,34.200,32.500,0.194,205.000,4.000,-1.628,32.500
SF/PF,Justise Winslow,5600,Mia@Cha 07:00PM ET,26.063,Mia,0,0,22.708,20.250,28.625,18.000,33.600,15.250,0.210,204.500,6.000,-11.932,15.250
SF,Luol Deng,5500,Dal@LAL 10:30PM ET,21.157,LAL,1,0,22.679,13.450,26.938,3.000,33.000,9.000,0.105,205.000,-4.000,-24.459,9.000
PG,Tyler Johnson,5400,Mia@Cha 07:00PM ET,27.358,Mia,0,0,30.321,21.471,28.812,18.000,32.400,40.750,0.296,204.500,6.000,-1.990,40.750
SG,Victor Oladipo,5400,OKC@Mem 08:00PM ET,28.500,OKC,0,0,29.321,19.479,20.188,6.500,32.400,2.750,0.370,197.500,1.000,-30.298,0.000
C,Jonas Valanciunas,5300,Tor@Pho 09:00PM ET,27.690,Tor,0,0,26.929,20.797,24.562,24.000,31.800,21.000,0.317,223.000,-8.500,11.399,21.000
PG,D'Angelo Russell,5300,Dal@LAL 10:30PM ET,27.852,LAL,1,0,27.429,21.208,23.875,1.000,31.800,32.000,0.359,205.000,-4.000,-21.628,32.000
PF/C,Zach Randolph,5200,OKC@Mem 08:00PM ET,26.565,Mem,1,0,26.786,21.750,31.250,14.250,31.200,34.000,0.250,197.500,-1.000,-7.057,34.000
SF,Jae Crowder,5200,Bos@Cle 08:00PM ET,26.250,Bos,0,0,28.393,19.700,23.938,27.000,31.200,27.500,0.244,217.000,6.000,7.057,27.500
SG,Lou Williams,5200,Dal@LAL 10:30PM ET,29.614,LAL,1,0,34.821,22.079,21.500,4.000,31.200,13.750,0.421,205.000,-4.000,-24.284,13.750
SF/PF,James Johnson,5100,Mia@Cha 07:00PM ET,23.330,Mia,0,0,26.679,15.089,28.562,18.000,30.600,16.500,0.214,204.500,6.000,-1.990,16.500
C,Enes Kanter,5100,OKC@Mem 08:00PM ET,24.227,OKC,0,0,25.714,16.444,29.438,1.000,30.600,24.250,0.274,197.500,1.000,-27.057,24.250
SG/SF,Josh Richardson,5000,Mia@Cha 07:00PM ET,20.557,Mia,0,0,21.214,12.667,26.062,21.500,30.000,33.000,0.156,204.500,6.000,-1.990,33.000
SG,Dion Waiters,5000,Mia@Cha 07:00PM ET,27.078,Mia,0,0,26.786,15.679,31.750,20.000,30.000,44.750,0.402,204.500,6.000,-1.990,0.000
SG,Tony Allen,5000,OKC@Mem 08:00PM ET,22.454,Mem,1,0,27.214,15.967,23.625,11.000,30.000,22.250,0.191,197.500,-1.000,-7.057,22.250
C,Steven Adams,5000,OKC@Mem 08:00PM ET,26.352,OKC,0,0,26.857,20.297,30.812,1.000,30.000,29.000,0.315,197.500,1.000,-27.057,29.000
C,Cody Zeller,4900,Mia@Cha 07:00PM ET,24.009,Cha,1,0,24.071,19.542,27.250,17.000,29.400,23.750,0.221,204.500,-6.000,-1.990,23.750
SG,Rodney Hood,4900,Phi@Uta 09:00PM ET,23.824,Uta,1,0,22.393,13.841,9.562,18.500,29.400,26.250,0.294,196.500,-14.500,-7.780,26.250
PF,Ersan Ilyasova,4900,Phi@Uta 09:00PM ET,25.483,Phi,0,0,34.214,19.264,27.312,1.000,29.400,35.000,0.358,196.500,14.500,-29.780,35.000
SF,T.J. Warren,4900,Tor@Pho 09:00PM ET,26.197,Pho,1,0,30.143,13.139,24.000,8.500,29.400,12.250,0.386,223.000,8.500,-3.997,12.250
SF,Michael Kidd-Gilchrist,4800,Mia@Cha 07:00PM ET,23.202,Cha,1,0,22.464,16.736,28.938,10.500,28.800,17.500,0.258,204.500,-6.000,-1.990,17.500
PG,Andrew Harrison,4800,OKC@Mem 08:00PM ET,18.417,Mem,1,0,14.179,11.975,20.188,22.500,28.800,18.500,0.132,197.500,-1.000,-7.057,18.500
PG,Sergio Rodriguez,4800,Phi@Uta 09:00PM ET,24.698,Phi,0,0,22.321,15.950,24.312,7.000,28.800,7.500,0.318,196.500,14.500,-31.043,7.500
SF,Robert Covington,4800,Phi@Uta 09:00PM ET,23.750,Phi,0,0,23.179,14.500,22.812,1.000,28.800,15.250,0.301,196.500,14.500,-29.780,15.250
C,Tristan Thompson,4700,Bos@Cle 08:00PM ET,24.467,Cle,1,0,24.357,18.147,25.375,20.000,28.200,23.250,0.333,217.000,-6.000,7.057,23.250
PF,JaMychal Green,4600,OKC@Mem 08:00PM ET,23.176,Mem,1,0,23.964,15.812,21.188,16.500,27.600,29.500,0.309,197.500,-1.000,-7.057,29.500
C,Jahlil Okafor,4600,Phi@Uta 09:00PM ET,21.029,Phi,0,0,17.536,13.205,17.938,2.000,27.600,21.000,0.205,196.500,14.500,-24.780,21.000
PG/SG,Jordan Clarkson,4600,Dal@LAL 10:30PM ET,23.786,LAL,1,0,22.286,16.794,20.375,2.500,27.600,21.750,0.319,205.000,-4.000,-15.628,21.750
SG/SF,Marcus Smart,4500,Bos@Cle 08:00PM ET,24.164,Bos,0,0,24.393,19.047,26.250,27.500,27.000,21.750,0.343,217.000,6.000,7.057,21.750
C,Tyson Chandler,4500,Tor@Pho 09:00PM ET,23.927,Pho,1,0,29.536,16.946,22.375,9.000,27.000,29.750,0.384,223.000,8.500,9.399,29.750
PF,Marvin Williams,4400,Mia@Cha 07:00PM ET,21.481,Cha,1,0,17.893,15.750,20.312,7.000,26.400,19.750,0.252,204.500,-6.000,-9001.990,19.750
PG,Shelvin Mack,4400,Phi@Uta 09:00PM ET,17.289,Uta,1,0,22.929,10.672,18.000,9.000,26.400,8.000,0.119,196.500,-14.500,-9015.590,8.000
SG/SF,Norman Powell,4300,Tor@Pho 09:00PM ET,11.787,Tor,0,0,13.107,5.221,7.188,20.500,25.800,18.250,0.106,223.000,-8.500,11.399,18.250
PF,Dirk Nowitzki,4300,Dal@LAL 10:30PM ET,22.031,Dal,0,0,25.950,16.550,19.812,26.500,25.800,10.250,0.355,205.000,4.000,-11.719,0.000
PG/SG,Brandon Knight,4200,Tor@Pho 09:00PM ET,21.875,Pho,1,0,19.357,16.039,20.562,6.500,25.200,11.000,0.325,223.000,8.500,-9000.620,11.000
SG/SF,Joe Ingles,4100,Phi@Uta 09:00PM ET,14.898,Uta,1,0,23.500,7.188,21.188,19.000,24.600,6.250,0.181,196.500,-14.500,-7.780,6.250
SG,Nick Young,4100,Dal@LAL 10:30PM ET,21.580,LAL,1,0,22.893,13.750,20.688,4.000,24.600,25.500,0.373,205.000,-4.000,-9001.628,25.500
SG,Seth Curry,4100,Dal@LAL 10:30PM ET,20.330,Dal,0,0,21.321,14.516,22.000,21.000,24.600,15.750,0.300,205.000,4.000,-1.628,15.750
PF/C,Amir Johnson,4000,Bos@Cle 08:00PM ET,16.914,Bos,0,0,17.250,9.647,23.312,10.750,24.000,12.000,0.223,217.000,6.000,-8992.943,12.000
SF/PF,DeMarre Carroll,4000,Tor@Pho 09:00PM ET,19.308,Tor,0,0,15.929,13.266,15.812,23.250,24.000,8.500,0.279,223.000,-8.500,2.774,8.500
PF,Patrick Patterson,4000,Tor@Pho 09:00PM ET,20.325,Tor,0,0,15.786,14.094,13.312,20.500,24.000,0.000,0.270,223.000,-8.500,4.271,0.000
PG,J.J. Barea,4000,Dal@LAL 10:30PM ET,27.932,Dal,0,0,25.143,21.708,20.312,27.500,24.000,10.750,0.682,205.000,4.000,-9.879,0.000
PF/C,Derrick Favors,3900,Phi@Uta 09:00PM ET,20.088,Uta,1,0,15.143,13.568,17.188,16.000,23.400,21.000,0.381,196.500,-14.500,-7.780,21.000
