Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG,Russell Westbrook,12500,LAC@OKC 08:00PM ET,64.129,OKC,1,0,70.071,52.953,61.250,29.250,2.000,75.000,0.227,-9.000,209.500,-14.341,61.000
PG/SG,James Harden,11900,NY@Hou 08:00PM ET,59.449,Hou,1,0,62.607,53.000,60.500,77.750,19.500,71.400,0.099,-12.500,224.500,11.446,103.500
SF,LeBron James,10400,Cle@Cha 07:00PM ET,52.304,Cle,0,0,53.179,42.786,51.562,56.000,22.000,62.400,0.202,-1.000,210.500,1.378,56.500
PG,Giannis Antetokounmpo,9800,Mil@Chi 07:00PM ET,50.669,Mil,0,0,50.179,41.714,50.312,42.500,12.000,58.800,0.218,3.000,204.000,-3.296,74.750
PG,Chris Paul,9400,LAC@OKC 08:00PM ET,43.927,LAC,0,0,44.464,36.653,43.500,42.500,21.000,56.400,0.124,9.000,209.500,-1.341,0.000
PF/C,Kevin Love,8700,Cle@Cha 07:00PM ET,42.607,Cle,0,0,41.357,34.984,43.250,58.250,18.750,52.200,0.185,-1.000,210.500,1.378,43.000
SG/SF,Jimmy Butler,8600,Mil@Chi 07:00PM ET,42.811,Chi,1,0,44.214,34.194,42.875,39.000,22.500,51.600,0.225,-3.000,204.000,-3.296,50.250
SG/SF,Nicolas Batum,8000,Cle@Cha 07:00PM ET,36.688,Cha,1,0,45.571,27.167,49.625,52.250,27.500,48.000,0.145,1.000,210.500,1.378,36.000
SF,Gordon Hayward,8000,Pho@Uta 08:00PM ET,38.173,Uta,1,0,36.500,29.542,41.000,33.000,23.000,48.000,0.168,-11.500,207.500,-0.779,39.250
PG,Kyrie Irving,7900,Cle@Cha 07:00PM ET,40.069,Cle,0,0,38.964,32.383,52.312,62.750,14.500,47.400,0.248,-1.000,210.500,1.378,0.000
PG,Kemba Walker,7800,Cle@Cha 07:00PM ET,38.891,Cha,1,0,37.429,33.145,34.625,40.250,22.000,46.800,0.200,1.000,210.500,1.378,50.250
PF/C,Blake Griffin,7700,LAC@OKC 08:00PM ET,41.942,LAC,0,0,38.143,35.625,41.750,46.250,13.500,46.200,0.307,9.000,209.500,-1.341,0.000
PG,Eric Bledsoe,7300,Pho@Uta 08:00PM ET,37.765,Pho,0,0,36.679,28.542,40.438,51.250,6.000,43.800,0.311,11.500,207.500,-2.779,41.500
C,Rudy Gobert,7300,Pho@Uta 08:00PM ET,35.242,Uta,1,0,40.321,26.821,37.000,35.750,24.500,43.800,0.174,-11.500,207.500,-0.779,40.750
C,DeAndre Jordan,7200,LAC@OKC 08:00PM ET,33.893,LAC,0,0,39.786,28.079,37.812,40.750,12.000,43.200,0.137,9.000,209.500,-1.341,30.250
SF/PF,Jabari Parker,7200,Mil@Chi 07:00PM ET,33.879,Mil,0,0,32.286,25.484,40.812,36.000,15.250,43.200,0.188,3.000,204.000,-3.296,41.250
PF,Kristaps Porzingis,7200,NY@Hou 08:00PM ET,38.000,NY,0,0,43.250,29.632,41.875,50.000,16.500,43.200,0.324,12.500,224.500,9.446,0.000
SF,Carmelo Anthony,7100,NY@Hou 08:00PM ET,37.185,NY,0,0,37.893,28.897,35.562,48.750,24.000,42.600,0.319,12.500,224.500,-2.772,12.250
PG,Derrick Rose,6500,NY@Hou 08:00PM ET,30.321,NY,0,0,27.321,23.750,33.938,28.500,10.000,39.000,0.197,12.500,224.500,9.446,42.250
PG,George Hill,6500,Pho@Uta 08:00PM ET,34.938,Uta,1,0,33.464,25.438,35.250,48.000,26.000,39.000,0.319,-11.500,207.500,-10.712,7.250
SG,Dwyane Wade,6400,Mil@Chi 07:00PM ET,33.379,Chi,1,0,31.036,25.950,33.625,33.000,16.000,38.400,0.297,-3.000,204.000,-3.296,24.750
SG,Devin Booker,6000,Pho@Uta 08:00PM ET,29.250,Pho,0,0,27.857,22.083,31.250,34.750,1.000,36.000,0.255,11.500,207.500,-22.779,31.250
PG,Rajon Rondo,5900,Mil@Chi 07:00PM ET,28.422,Chi,1,0,30.393,18.917,19.812,2.250,4.000,35.400,0.286,-3.000,204.000,-28.181,0.000
SG,Eric Gordon,5800,NY@Hou 08:00PM ET,28.522,Hou,1,0,29.071,22.944,29.250,31.500,26.000,34.800,0.217,-12.500,224.500,11.446,24.000
PF,Ryan Anderson,5700,NY@Hou 08:00PM ET,24.309,Hou,1,0,20.286,17.562,28.000,10.250,20.000,34.200,0.158,-12.500,224.500,11.446,40.000
PG,Patrick Beverley,5500,NY@Hou 08:00PM ET,27.727,Hou,1,0,30.107,21.325,33.188,31.250,13.000,33.000,0.259,-12.500,224.500,11.446,0.000
SG,J.J. Redick,5400,LAC@OKC 08:00PM ET,21.188,LAC,0,0,21.643,14.438,19.500,11.250,12.000,32.400,0.101,9.000,209.500,-10.084,8.750
SG,Victor Oladipo,5400,LAC@OKC 08:00PM ET,28.500,OKC,1,0,29.250,19.479,20.188,2.750,6.500,32.400,0.370,-9.000,209.500,0.659,23.000
SF,Trevor Ariza,5400,NY@Hou 08:00PM ET,27.772,Hou,1,0,33.107,21.235,29.188,39.500,14.000,32.400,0.280,-12.500,224.500,11.446,33.750
C,Enes Kanter,5200,LAC@OKC 08:00PM ET,24.227,OKC,1,0,24.964,16.444,29.438,24.250,14.000,31.200,0.256,-9.000,209.500,0.659,36.000
C,Steven Adams,5100,LAC@OKC 08:00PM ET,26.470,OKC,1,0,28.107,20.297,30.812,29.000,14.000,30.600,0.281,-9.000,209.500,0.659,22.250
PF/C,Montrezl Harrell,5000,NY@Hou 08:00PM ET,15.920,Hou,1,0,20.393,7.768,25.688,40.000,21.000,30.000,0.106,-12.500,224.500,11.446,24.000
PG,Austin Rivers,4900,LAC@OKC 08:00PM ET,17.294,LAC,0,0,19.643,10.292,23.000,15.250,21.000,29.400,0.091,9.000,209.500,-1.341,18.750
C,Clint Capela,4900,NY@Hou 08:00PM ET,26.804,Hou,1,0,26.679,20.607,20.062,14.500,22.000,29.400,0.362,-12.500,224.500,3.265,0.000
SG,Jamal Crawford,4800,LAC@OKC 08:00PM ET,19.364,LAC,0,0,15.929,13.250,23.812,15.750,12.000,28.800,0.140,9.000,209.500,-1.341,11.500
C,Tristan Thompson,4800,Cle@Cha 07:00PM ET,24.427,Cle,0,0,26.357,18.147,25.375,23.250,24.500,28.800,0.308,-1.000,210.500,1.378,20.500
SF,T.J. Warren,4800,Pho@Uta 08:00PM ET,25.500,Pho,0,0,16.036,13.139,24.000,12.250,1.000,28.800,0.403,11.500,207.500,-35.547,3.250
PF/C,Taj Gibson,4700,Mil@Chi 07:00PM ET,25.485,Chi,1,0,20.893,19.542,18.438,19.750,14.750,28.200,0.364,-3.000,204.000,-3.296,20.750
C,Cody Zeller,4700,Cle@Cha 07:00PM ET,24.000,Cha,1,0,24.071,19.542,27.250,23.750,6.000,28.200,0.274,1.000,210.500,-5.978,13.250
