Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,penalty,dvp,value,FloorAvg,Final,O/U,odds
PF/C,Anthony Davis,11400,NO@Chi 05:00PM ET,55.426,NO,0,1,51.393,0.000,63.125,0.000,-1.652,14.500,68.400,42.222,64.500,206.500,3.500
PG,Chris Paul,9800,LAL@LAC 03:30PM ET,44.368,LAC,1,0,51.643,0.000,49.250,0.000,7.687,27.000,58.800,37.275,50.250,219.500,-11.500
PG,John Wall,9500,Phi@Was 08:00PM ET,48.688,Was,1,0,47.250,0.000,34.312,0.000,1.221,11.500,57.000,38.141,48.250,210.500,-10.000
SG/SF,Jimmy Butler,9000,NO@Chi 05:00PM ET,44.053,Chi,1,1,53.643,0.000,45.750,0.000,-1.652,12.750,54.000,34.477,59.000,206.500,-3.500
SF,Kawhi Leonard,8500,SA@Pho 06:00PM ET,41.541,SA,0,0,41.893,0.000,43.438,0.000,3.017,18.000,51.000,32.417,49.000,213.000,-12.500
PF/C,Joel Embiid,8000,Phi@Was 08:00PM ET,37.296,Phi,0,1,37.893,0.000,40.812,0.000,-0.779,17.000,48.000,29.521,0.000,210.500,10.000
PF/C,Blake Griffin,7600,LAL@LAC 03:30PM ET,41.942,LAC,1,1,45.679,0.000,41.750,0.000,7.687,28.000,45.600,35.625,0.000,219.500,-11.500
C,DeAndre Jordan,7500,LAL@LAC 03:30PM ET,34.689,LAC,1,0,41.750,0.000,43.625,0.000,7.687,28.500,45.000,29.083,57.750,219.500,-11.500
PG,Jrue Holiday,7300,NO@Chi 05:00PM ET,32.470,NO,0,0,28.786,0.000,27.250,0.000,-9.307,9.000,43.800,26.107,21.750,206.500,3.500
SF,Gordon Hayward,7200,Orl@Uta 09:00PM ET,37.463,Uta,1,0,37.786,0.000,35.625,0.000,-10.273,13.500,43.200,29.574,42.250,194.500,-12.000
SG,Dwyane Wade,7100,NO@Chi 05:00PM ET,33.104,Chi,1,0,33.571,0.000,37.375,0.000,-1.652,17.500,42.600,26.153,39.750,206.500,-3.500
PF/C,Julius Randle,7100,LAL@LAC 03:30PM ET,32.421,LAL,0,0,30.857,0.000,29.438,0.000,-16.849,6.750,42.600,23.774,15.500,219.500,11.500
SG,Bradley Beal,7000,Phi@Was 08:00PM ET,34.301,Was,1,0,31.000,0.000,30.562,0.000,1.221,15.500,42.000,24.882,29.000,210.500,-10.000
PF/C,LaMarcus Aldridge,6900,SA@Pho 06:00PM ET,32.793,SA,0,0,35.571,0.000,29.312,0.000,-7.390,22.500,41.400,24.650,21.500,213.000,-12.500
PF,Ersan Ilyasova,6700,Phi@Was 08:00PM ET,26.649,Phi,0,0,30.464,0.000,23.625,0.000,-0.779,23.000,40.200,19.275,31.750,210.500,10.000
PF/C,Terrence Jones,6600,NO@Chi 05:00PM ET,22.901,NO,0,0,23.107,0.000,23.875,0.000,-1.652,14.500,39.600,14.312,28.000,206.500,3.500
SF/PF,Otto Porter,6600,Phi@Was 08:00PM ET,30.079,Was,1,0,28.607,0.000,29.625,0.000,1.221,17.500,39.600,21.060,21.000,210.500,-10.000
C,Rudy Gobert,6600,Orl@Uta 09:00PM ET,35.457,Uta,1,0,36.679,0.000,33.875,0.000,-10.273,17.000,39.600,27.000,51.250,194.500,-12.000
PG,Eric Bledsoe,6500,SA@Pho 06:00PM ET,38.288,Pho,1,0,41.107,0.000,40.000,0.000,-10.983,5.000,39.000,29.393,42.000,213.000,12.500
C,Marcin Gortat,6400,Phi@Was 08:00PM ET,31.908,Was,1,0,28.571,0.000,19.438,0.000,1.221,26.500,38.400,24.655,27.500,210.500,-10.000
PG,George Hill,6300,Orl@Uta 09:00PM ET,32.265,Uta,1,0,29.179,0.000,30.500,0.000,-10.273,17.000,37.800,22.714,27.500,194.500,-12.000
SF,Robert Covington,6200,Phi@Was 08:00PM ET,25.051,Phi,0,0,24.607,0.000,26.125,0.000,-11.108,19.000,37.200,15.233,13.500,210.500,10.000
C,Nikola Vucevic,6100,Orl@Uta 09:00PM ET,34.664,Orl,0,0,42.143,0.000,40.688,0.000,-25.606,3.000,36.600,26.060,34.000,194.500,12.000
SF/PF,Markieff Morris,6000,Phi@Was 08:00PM ET,26.230,Was,1,0,24.607,0.000,27.375,0.000,1.221,17.500,36.000,18.310,26.250,210.500,-10.000
PG,D'Angelo Russell,6000,LAL@LAC 03:30PM ET,29.883,LAL,0,0,27.107,0.000,29.062,0.000,-17.541,4.000,36.000,22.472,17.750,219.500,11.500
C,Pau Gasol,6000,SA@Pho 06:00PM ET,29.527,SA,0,0,32.357,0.000,27.062,0.000,-6.927,24.000,36.000,21.988,18.000,213.000,-12.500
SG,Devin Booker,5800,SA@Pho 06:00PM ET,30.000,Pho,1,0,42.250,0.000,40.250,0.000,1.017,19.500,34.800,22.524,44.500,213.000,12.500
PF/C,Serge Ibaka,5700,Orl@Uta 09:00PM ET,30.875,Orl,0,0,35.786,0.000,31.812,0.000,-27.273,2.000,34.200,23.557,22.750,194.500,12.000
PF/C,Taj Gibson,5500,NO@Chi 05:00PM ET,25.075,Chi,1,0,21.607,0.000,29.000,0.000,-1.652,21.500,33.000,19.696,40.500,206.500,-3.500
C,Nerlens Noel,5500,Phi@Was 08:00PM ET,16.417,Phi,0,0,17.214,0.000,18.688,0.000,-0.779,11.000,33.000,10.312,19.500,210.500,10.000
SF/PF,Aaron Gordon,5400,Orl@Uta 09:00PM ET,22.317,Orl,0,0,23.107,0.000,26.000,0.000,-32.273,1.000,32.400,15.348,32.500,194.500,12.000
SG/SF,Evan Fournier,5300,Orl@Uta 09:00PM ET,27.764,Orl,0,0,28.071,0.000,22.938,0.000,-32.273,1.000,31.800,20.125,0.000,194.500,12.000
SG/SF,Tyreke Evans,5100,NO@Chi 05:00PM ET,20.021,NO,0,0,24.792,0.000,29.125,0.000,-1.652,15.000,30.600,13.393,25.750,206.500,3.500
PF,Nikola Mirotic,5000,NO@Chi 05:00PM ET,21.326,Chi,1,1,20.607,0.000,21.750,0.000,-11.790,24.000,30.000,14.053,0.000,206.500,-3.500
PG,Elfrid Payton,4900,Orl@Uta 09:00PM ET,27.604,Orl,0,0,28.143,0.000,23.250,0.000,-25.606,3.000,29.400,20.020,58.750,194.500,12.000
PG/SG,Austin Rivers,4900,LAL@LAC 03:30PM ET,18.724,LAC,1,0,25.714,0.000,31.938,0.000,7.687,25.000,29.400,11.100,25.250,219.500,-11.500
C,Tyson Chandler,4900,SA@Pho 06:00PM ET,25.315,Pho,1,0,29.929,0.000,32.812,0.000,-13.983,2.000,29.400,18.015,29.250,213.000,12.500
PG,Rajon Rondo,4800,NO@Chi 05:00PM ET,28.169,Chi,1,0,27.036,0.000,17.312,0.000,-1.652,28.000,28.800,18.809,18.000,206.500,-3.500
PF/C,Derrick Favors,4800,Orl@Uta 09:00PM ET,20.798,Uta,1,0,19.286,0.000,23.375,0.000,-10.273,15.500,28.800,13.983,24.500,194.500,-12.000
C,Jahlil Okafor,4700,Phi@Was 08:00PM ET,20.580,Phi,0,0,17.964,0.000,14.438,0.000,-0.779,11.000,28.200,12.417,39.750,210.500,10.000
PG,Tony Parker,4700,SA@Pho 06:00PM ET,21.467,SA,0,0,21.321,0.000,21.000,0.000,3.017,26.000,28.200,14.844,20.250,213.000,-12.500
PG,Michael Carter-Williams,4600,NO@Chi 05:00PM ET,18.154,Chi,1,0,17.929,0.000,19.688,0.000,-1.652,28.000,27.600,12.333,19.750,206.500,-3.500
SF/PF,Dario Saric,4500,Phi@Was 08:00PM ET,20.595,Phi,0,0,20.750,0.000,15.125,0.000,-0.779,21.000,27.000,11.162,17.500,210.500,10.000
SG,Rodney Hood,4400,Orl@Uta 09:00PM ET,23.549,Uta,1,0,25.357,0.000,25.438,0.000,-10.273,17.500,26.400,15.162,23.500,194.500,-12.000
SG,Buddy Hield,4300,NO@Chi 05:00PM ET,15.856,NO,0,0,18.393,0.000,16.250,0.000,-10.637,14.000,25.800,8.137,3.500,206.500,3.500
C,Robin Lopez,4200,NO@Chi 05:00PM ET,22.300,Chi,1,0,20.893,0.000,21.312,0.000,-1.652,19.000,25.200,16.524,27.000,206.500,-3.500
PF/C,Marreese Speights,4200,LAL@LAC 03:30PM ET,19.390,LAC,1,0,18.286,0.000,20.188,0.000,7.687,28.000,25.200,13.646,14.500,219.500,-11.500
SF,Doug McDermott,4100,NO@Chi 05:00PM ET,16.324,Chi,1,0,18.429,0.000,10.875,0.000,-9001.652,8.000,24.600,10.089,19.750,206.500,-3.500
SG,Jamal Crawford,4100,LAL@LAC 03:30PM ET,19.476,LAC,1,0,24.357,0.000,13.062,0.000,-1.354,23.000,24.600,12.656,9.000,219.500,-11.500
