Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
PG,Russell Westbrook,12300,OKC@LAC 10:30PM ET,64.440,OKC,0,0,58.857,53.650,63.500,4.000,-154.037,3.000,73.800,214.500,8.000,39.250
SF,LeBron James,10100,Cle@GS 08:00PM ET,51.757,Cle,0,0,52.000,44.075,45.812,4.000,-104.886,20.000,60.600,228.500,8.000,32.500
SF,Kevin Durant,9900,Cle@GS 08:00PM ET,49.744,GS,1,0,49.464,41.276,50.875,5.000,9.295,25.000,59.400,228.500,-8.000,47.000
PG,Chris Paul,9800,OKC@LAC 10:30PM ET,44.536,LAC,1,0,51.643,37.275,49.250,0.000,-108.801,23.000,58.800,214.500,-8.000,22.250
PG,Stephen Curry,9000,Cle@GS 08:00PM ET,43.181,GS,1,0,45.143,37.080,50.188,-2.000,9.295,16.000,54.000,228.500,-8.000,49.500
PG,Isaiah Thomas,8800,Cha@Bos 07:30PM ET,43.083,Bos,1,0,48.607,36.075,47.188,3.000,0.232,18.000,52.800,215.500,-5.500,49.250
PF/C,Kevin Love,8100,Cle@GS 08:00PM ET,41.329,Cle,0,0,37.714,34.275,35.188,2.000,-106.818,16.750,48.600,228.500,8.000,8.250
PG,Kyrie Irving,8000,Cle@GS 08:00PM ET,39.456,Cle,0,0,36.607,32.014,32.750,4.000,-100.037,13.000,48.000,228.500,8.000,24.000
PG,Kemba Walker,7900,Cha@Bos 07:30PM ET,39.827,Cha,0,0,39.786,32.955,39.312,0.000,0.232,20.000,47.400,215.500,5.500,34.000
SF,Gordon Hayward,7900,Uta@Pho 09:00PM ET,37.600,Uta,0,0,31.536,29.574,40.188,0.000,-8.133,22.000,47.400,203.500,-6.000,29.500
C,DeAndre Jordan,7700,OKC@LAC 10:30PM ET,35.238,LAC,1,0,41.750,29.083,43.625,2.000,-0.465,11.500,46.200,214.500,-8.000,54.250
PF/C,Draymond Green,7600,Cle@GS 08:00PM ET,39.355,GS,1,0,39.464,34.155,36.562,4.000,9.295,10.500,45.600,228.500,-8.000,60.250
PF/C,Blake Griffin,7600,OKC@LAC 10:30PM ET,41.942,LAC,1,1,45.679,35.625,41.750,0.000,-0.465,13.750,45.600,214.500,-8.000,0.000
SG/SF,Nicolas Batum,7300,Cha@Bos 07:30PM ET,36.095,Cha,0,0,35.786,27.987,31.375,4.000,0.232,15.500,43.800,215.500,5.500,41.000
C,Rudy Gobert,7100,Uta@Pho 09:00PM ET,35.815,Uta,0,0,36.107,27.486,36.500,0.000,-8.133,22.500,42.600,203.500,-6.000,51.250
PG,George Hill,6800,Uta@Pho 09:00PM ET,32.000,Uta,0,0,35.607,23.312,27.812,3.000,-8.133,26.000,40.800,203.500,-6.000,32.500
PG,Eric Bledsoe,6800,Uta@Pho 09:00PM ET,38.381,Pho,1,0,41.107,29.393,40.000,2.000,-22.355,4.500,40.800,203.500,6.000,57.750
C,Al Horford,6700,Cha@Bos 07:30PM ET,36.375,Bos,1,0,37.250,28.850,33.938,7.000,0.232,26.000,40.200,215.500,-5.500,35.000
SG,Klay Thompson,6500,Cle@GS 08:00PM ET,32.096,GS,1,0,34.143,25.087,30.125,5.000,9.295,28.000,39.000,228.500,-8.000,34.500
PF/C,Enes Kanter,6100,OKC@LAC 10:30PM ET,26.321,OKC,0,0,32.357,16.881,42.000,3.000,-14.204,5.750,36.600,214.500,8.000,22.250
SG,Avery Bradley,6000,Cha@Bos 07:30PM ET,33.936,Bos,1,0,31.857,27.044,35.875,-10.000,-91.301,23.000,36.000,215.500,-5.500,16.750
SG,Devin Booker,6000,Uta@Pho 09:00PM ET,30.372,Pho,1,0,42.250,22.524,40.250,-2.000,-30.133,1.000,36.000,203.500,6.000,25.500
SG/SF,Marcus Smart,5900,Cha@Bos 07:30PM ET,24.770,Bos,1,0,26.321,19.591,31.438,-2.000,0.232,24.500,35.400,215.500,-5.500,19.250
SG,Victor Oladipo,5600,OKC@LAC 10:30PM ET,28.538,OKC,0,0,29.679,20.672,27.188,3.000,-104.119,10.000,33.600,214.500,8.000,17.750
SF,Jae Crowder,5300,Cha@Bos 07:30PM ET,25.891,Bos,1,0,23.857,19.357,25.438,3.000,0.232,26.000,31.800,215.500,-5.500,33.750
C,Steven Adams,5300,OKC@LAC 10:30PM ET,26.935,OKC,0,1,28.857,20.062,22.500,0.000,-94.277,7.000,31.800,214.500,8.000,0.000
SF,Michael Kidd-Gilchrist,5200,Cha@Bos 07:30PM ET,23.429,Cha,0,0,26.679,16.725,26.750,4.000,0.232,21.000,31.200,215.500,5.500,20.250
SG,Jeremy Lamb,5000,Cha@Bos 07:30PM ET,18.536,Cha,0,1,21.464,8.188,19.812,0.000,0.232,10.000,30.000,215.500,5.500,0.000
PG/SG,Austin Rivers,4900,OKC@LAC 10:30PM ET,18.888,LAC,1,0,25.714,11.100,31.938,0.000,-0.465,16.500,29.400,214.500,-8.000,29.000
PF/C,Derrick Favors,4900,Uta@Pho 09:00PM ET,20.935,Uta,0,0,19.607,13.983,20.875,6.000,-8.133,21.000,29.400,203.500,-6.000,21.000
C,Tyson Chandler,4900,Uta@Pho 09:00PM ET,25.438,Pho,1,0,29.929,18.015,32.812,2.000,-23.467,3.000,29.400,203.500,6.000,0.000
C,Cody Zeller,4700,Cha@Bos 07:30PM ET,24.121,Cha,0,0,28.357,19.211,24.938,0.000,0.232,20.500,28.200,215.500,5.500,27.000
PF/C,Kelly Olynyk,4500,Cha@Bos 07:30PM ET,19.110,Bos,1,1,18.036,12.015,27.875,0.000,0.232,17.750,27.000,215.500,-5.500,34.750
PF,Marvin Williams,4400,Cha@Bos 07:30PM ET,21.699,Cha,0,0,21.929,15.312,24.375,0.000,0.232,26.000,26.400,215.500,5.500,28.750
C,Tristan Thompson,4400,Cle@GS 08:00PM ET,24.154,Cle,0,0,24.893,18.432,24.500,0.000,5.295,24.000,26.400,228.500,8.000,17.750
SG,Rodney Hood,4400,Uta@Pho 09:00PM ET,23.493,Uta,0,1,13.429,15.514,27.500,0.000,-8.133,17.500,26.400,203.500,-6.000,0.000
SG/SF,Kyle Korver,4300,Cle@GS 08:00PM ET,18.757,Cle,0,0,17.679,11.382,16.062,0.000,5.295,16.250,25.800,228.500,8.000,15.000
PF/C,Amir Johnson,4100,Cha@Bos 07:30PM ET,17.045,Bos,1,0,22.679,10.417,17.875,0.000,0.232,17.750,24.600,215.500,-5.500,13.000
SF,Andre Roberson,4000,OKC@LAC 10:30PM ET,18.643,OKC,0,0,16.036,11.014,20.188,0.000,-4.465,14.500,24.000,214.500,8.000,13.250
PF/C,Marreese Speights,4000,OKC@LAC 10:30PM ET,19.244,LAC,1,0,18.286,13.646,20.188,0.000,-0.465,13.750,24.000,214.500,-8.000,44.000
PF/C,Spencer Hawes,3900,Cha@Bos 07:30PM ET,16.688,Cha,0,0,17.321,9.100,25.875,0.000,0.232,23.250,23.400,215.500,5.500,12.750
PG/SF,Raymond Felton,3900,OKC@LAC 10:30PM ET,15.713,LAC,1,0,23.857,9.698,20.062,0.000,-0.465,13.250,23.400,214.500,-8.000,30.750
SG/SF,Joe Ingles,3900,Uta@Pho 09:00PM ET,14.964,Uta,0,0,20.536,7.740,12.375,2.000,-8.133,19.750,23.400,203.500,-6.000,26.000
PF,Frank Kaminsky,3800,Cha@Bos 07:30PM ET,20.836,Cha,0,0,15.357,14.845,14.812,-10.000,-84.618,26.000,22.800,215.500,5.500,11.750
PG,Shelvin Mack,3800,Uta@Pho 09:00PM ET,16.195,Uta,0,0,15.000,8.961,4.875,0.000,-90.916,26.000,22.800,203.500,-6.000,0.000
SG,Jamal Crawford,3700,OKC@LAC 10:30PM ET,19.226,LAC,1,0,24.357,12.656,13.062,0.000,-9092.391,10.000,22.200,214.500,-8.000,5.000
SG/SF,Marco Belinelli,3600,Cha@Bos 07:30PM ET,18.507,Cha,0,0,18.964,12.653,16.938,-10.000,0.232,15.500,21.600,215.500,5.500,13.250
PG/SG,Iman Shumpert,3500,Cle@GS 08:00PM ET,15.428,Cle,0,0,15.000,10.929,15.062,0.000,-8994.705,12.750,21.000,228.500,8.000,32.750
C,Zaza Pachulia,3500,Cle@GS 08:00PM ET,17.889,GS,1,0,19.429,11.987,22.188,0.000,-8990.705,6.000,21.000,228.500,-8.000,23.250
PG/SG,Brandon Knight,3500,Uta@Pho 09:00PM ET,20.000,Pho,1,1,16.464,12.961,12.250,0.000,-9102.131,2.750,21.000,203.500,6.000,0.000
PG,Ramon Sessions,3400,Cha@Bos 07:30PM ET,13.094,Cha,0,0,11.964,9.641,8.625,0.000,0.232,20.000,20.400,215.500,5.500,15.250
PF/C,Channing Frye,3400,Cle@GS 08:00PM ET,16.766,Cle,0,0,15.071,11.294,14.250,0.000,-67.623,16.750,20.400,228.500,8.000,5.500
SF,Andre Iguodala,3300,Cle@GS 08:00PM ET,17.429,GS,1,0,16.036,12.276,16.562,0.000,9.295,25.000,19.800,228.500,-8.000,27.750
SG/SF,Gerald Green,3200,Cha@Bos 07:30PM ET,10.773,Bos,1,0,13.714,5.188,14.125,0.000,-74.536,24.500,19.200,215.500,-5.500,1.500
SG/SF,Joe Johnson,3200,Uta@Pho 09:00PM ET,15.335,Uta,0,1,14.786,7.842,6.500,0.000,-8.133,19.750,19.200,203.500,-6.000,23.000
SG,Alec Burks,3200,Uta@Pho 09:00PM ET,5.208,Uta,0,0,2.562,0.500,6.625,0.000,-8.133,17.500,19.200,203.500,-6.000,0.000
PF,Marquese Chriss,3200,Uta@Pho 09:00PM ET,14.425,Pho,1,0,17.679,9.239,19.062,-2.000,-9012.133,1.000,19.200,203.500,6.000,8.750
