Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final
SF,LeBron James,10800,Pho@Cle 07:00PM ET,51.182,CLE,1,0,51.679,42.684,43.062,5.118,5.136,22.500,64.800,220.500,-12.500,60.250
PF/C,Karl-Anthony Towns,9900,Min@LAC 10:30PM ET,45.756,MIN,0,0,45.143,38.390,51.875,4.576,-15.325,6.000,59.400,208.000,-1.000,62.500
PG,John Wall,9600,Was@NY 08:00PM ET,48.635,WAS,0,0,42.500,41.208,46.375,4.864,4.784,13.500,57.600,220.000,-2.500,61.750
SF,Kawhi Leonard,9000,Den@SA 08:30PM ET,42.071,SA,1,0,42.571,33.544,49.500,0.000,4.081,17.000,54.000,219.000,-12.000,52.750
C,Nikola Jokic,8700,Den@SA 08:30PM ET,32.875,DEN,0,0,41.786,21.145,51.688,0.000,-11.253,3.000,52.200,219.000,12.000,61.000
PG,Kyrie Irving,8600,Pho@Cle 07:00PM ET,38.957,CLE,1,0,48.464,31.487,28.125,0.000,5.136,26.000,51.600,220.500,-12.500,38.500
PG,Chris Paul,8400,Min@LAC 10:30PM ET,43.917,LAC,1,1,45.500,36.188,43.312,0.000,-111.995,22.000,50.400,208.000,1.000,0.000
C,Hassan Whiteside,8100,Dal@Mia 07:30PM ET,42.263,MIA,1,0,45.893,31.026,41.812,10.566,-144.385,13.000,48.600,198.500,-2.500,26.500
SF,Carmelo Anthony,7900,Was@NY 08:00PM ET,36.935,NY,1,0,41.679,27.625,34.312,0.000,4.784,16.000,47.400,220.000,2.500,54.000
PF/C,Kevin Love,7800,Pho@Cle 07:00PM ET,40.410,CLE,1,1,44.821,32.650,26.375,0.000,-108.977,22.000,46.800,220.500,-12.500,0.000
PG,Eric Bledsoe,7700,Pho@Cle 07:00PM ET,38.854,PHO,0,0,36.071,29.818,44.938,0.000,3.136,18.000,46.200,220.500,12.500,50.000
C,DeAndre Jordan,7500,Min@LAC 10:30PM ET,35.680,LAC,1,0,44.893,29.340,47.625,3.568,-3.659,12.000,45.000,208.000,1.000,57.000
PF/C,Blake Griffin,7300,Min@LAC 10:30PM ET,41.942,LAC,1,1,45.679,35.625,41.750,4.194,-3.659,10.000,43.800,208.000,1.000,0.000
SG,Bradley Beal,7000,Was@NY 08:00PM ET,34.020,WAS,0,0,35.393,25.722,35.188,0.000,-96.363,26.000,42.000,220.000,-2.500,17.500
PG,Goran Dragic,6900,Dal@Mia 07:30PM ET,34.985,MIA,1,0,39.857,27.566,34.938,3.498,-30.342,1.000,41.400,198.500,-2.500,44.000
PF,Kristaps Porzingis,6800,Was@NY 08:00PM ET,36.847,NY,1,1,32.143,27.819,27.625,0.000,4.784,23.000,40.800,220.000,2.500,25.750
PF/C,LaMarcus Aldridge,6700,Den@SA 08:30PM ET,32.736,SA,1,0,35.536,24.650,30.188,0.000,4.081,13.000,40.200,219.000,-12.000,24.250
PG,Ricky Rubio,6600,Min@LAC 10:30PM ET,28.189,MIN,0,0,32.143,20.560,42.250,2.819,-124.224,3.000,39.600,208.000,-1.000,9.500
PG,Derrick Rose,6400,Was@NY 08:00PM ET,30.822,NY,1,0,31.214,24.114,36.125,0.000,-7.716,4.000,38.400,220.000,2.500,28.750
SF,Andrew Wiggins,6300,Min@LAC 10:30PM ET,32.054,MIN,0,0,32.107,21.875,30.688,3.205,-3.659,14.500,37.800,208.000,-1.000,39.500
SG,Devin Booker,6200,Pho@Cle 07:00PM ET,30.250,PHO,0,0,27.643,22.659,40.125,0.000,3.136,28.500,37.200,220.500,12.500,39.750
SF/PF,Markieff Morris,6100,Was@NY 08:00PM ET,27.219,WAS,0,0,26.214,20.396,38.062,2.722,4.784,17.750,36.600,220.000,-2.500,31.000
SG/SF,Will Barton,6100,Den@SA 08:30PM ET,26.098,DEN,0,0,31.714,16.635,30.250,0.000,2.081,11.750,36.600,219.000,12.000,35.250
SF/PF,Harrison Barnes,6000,Dal@Mia 07:30PM ET,31.671,DAL,0,0,33.750,24.319,30.812,0.000,-10.342,7.500,36.000,198.500,2.500,28.250
SG,Zach LaVine,6000,Min@LAC 10:30PM ET,31.295,MIN,0,0,26.929,23.461,28.375,0.000,-103.211,7.500,36.000,208.000,-1.000,21.000
PF/C,Dirk Nowitzki,5900,Dal@Mia 07:30PM ET,25.281,DAL,0,0,26.929,18.833,33.688,0.000,-10.342,13.000,35.400,198.500,2.500,30.000
PF,James Johnson,5900,Dal@Mia 07:30PM ET,25.743,MIA,1,0,30.536,15.667,32.625,0.000,-23.676,3.000,35.400,198.500,-2.500,19.500
SF/PF,Otto Porter,5900,Was@NY 08:00PM ET,29.787,WAS,0,0,29.714,21.227,30.062,0.000,4.784,17.750,35.400,220.000,-2.500,40.500
PG,Deron Williams,5800,Dal@Mia 07:30PM ET,28.735,DAL,0,0,32.500,20.554,35.500,0.000,-10.342,9.000,34.800,198.500,2.500,22.750
C,Marcin Gortat,5800,Was@NY 08:00PM ET,31.201,WAS,0,0,30.679,25.304,22.625,3.120,4.784,25.500,34.800,220.000,-2.500,31.000
SG/SF,Dion Waiters,5700,Dal@Mia 07:30PM ET,24.898,MIA,1,0,29.536,14.275,23.000,0.000,-10.342,7.250,34.200,198.500,-2.500,19.250
SF/PF,Wilson Chandler,5600,Den@SA 08:30PM ET,30.169,DEN,0,1,23.036,21.289,34.375,0.000,-12.919,2.000,33.600,219.000,12.000,0.000
PG,Tyler Johnson,5500,Dal@Mia 07:30PM ET,28.423,MIA,1,0,30.643,22.038,30.750,2.842,-30.342,1.000,33.000,198.500,-2.500,29.750
SF,Danilo Gallinari,5400,Den@SA 08:30PM ET,28.743,DEN,0,1,32.357,23.550,27.750,0.000,-12.919,2.000,32.400,219.000,12.000,0.000
SG/SF,J.J. Redick,5300,Min@LAC 10:30PM ET,22.356,LAC,1,0,28.250,14.645,31.562,0.000,-15.477,5.500,31.800,208.000,1.000,18.000
PF/C,Gorgui Dieng,5300,Min@LAC 10:30PM ET,27.125,MIN,0,0,31.500,19.368,24.688,2.713,-15.325,6.000,31.800,208.000,-1.000,23.250
PG/SG,Austin Rivers,5200,Min@LAC 10:30PM ET,19.134,LAC,1,0,28.357,11.100,27.562,0.000,-3.659,14.000,31.200,208.000,1.000,26.250
PF/C,Kenneth Faried,5200,Den@SA 08:30PM ET,24.076,DEN,0,0,22.321,14.353,28.312,2.408,-11.919,2.500,31.200,219.000,12.000,16.750
C,Pau Gasol,5100,Den@SA 08:30PM ET,28.686,SA,1,0,26.321,21.455,24.062,2.869,-98.613,15.500,30.600,219.000,-12.000,0.000
PG,Tony Parker,5000,Den@SA 08:30PM ET,21.414,SA,1,0,23.929,15.206,23.750,0.000,4.081,30.000,30.000,219.000,-12.000,0.000
C,Joakim Noah,4900,Was@NY 08:00PM ET,23.132,NY,1,1,28.607,15.557,27.625,0.000,4.784,9.000,29.400,220.000,2.500,0.000
PF/C,Kyle O'Quinn,4800,Was@NY 08:00PM ET,17.829,NY,1,0,20.929,9.948,19.312,0.000,4.784,16.000,28.800,220.000,2.500,36.000
PG,Raymond Felton,4800,Min@LAC 10:30PM ET,16.079,LAC,1,0,25.750,9.950,24.188,0.000,-3.659,22.000,28.800,208.000,1.000,31.000
PG,Emmanuel Mudiay,4700,Den@SA 08:30PM ET,24.788,DEN,0,0,16.536,14.382,27.938,2.479,-9.919,5.000,28.200,219.000,12.000,19.750
SG/SF,Wesley Matthews,4600,Dal@Mia 07:30PM ET,26.019,DAL,0,0,26.143,19.440,24.312,0.000,-21.942,6.250,27.600,198.500,2.500,29.750
C,Tyson Chandler,4600,Pho@Cle 07:00PM ET,25.438,PHO,0,1,20.893,18.015,32.812,0.000,-8.531,6.000,27.600,220.500,12.500,46.500
SG/SF,Josh Richardson,4500,Dal@Mia 07:30PM ET,22.473,MIA,1,1,22.643,15.467,23.500,0.000,-110.607,7.250,27.000,198.500,-2.500,0.000
SF,Mindaugas Kuzminskas,4500,Was@NY 08:00PM ET,11.194,NY,1,0,18.679,5.500,25.062,0.000,4.784,16.000,27.000,220.000,2.500,10.250
SG,Gary Harris,4400,Den@SA 08:30PM ET,22.292,DEN,0,1,17.750,11.750,19.062,0.000,-98.237,21.500,26.400,219.000,12.000,0.000
