Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,NN,RF,Final
PG,Russell Westbrook,12000,Chi@OKC 09:30PM ET,64.087,OKC,1,0,70.250,53.990,65.938,57.000,12.000,72.000,0.282,-3.500,206.500,-4.321,68.406,58.922,51.750
PF/C,Karl-Anthony Towns,10600,Min@Cle 07:00PM ET,47.208,Min,0,0,48.000,38.713,54.438,54.000,10.000,63.600,0.085,6.500,215.500,0.028,53.962,51.550,55.000
C,Anthony Davis,10500,NO@Det 07:30PM ET,53.744,NO,0,0,50.679,38.750,44.688,70.750,5.000,63.000,0.298,7.500,211.500,-14.794,52.762,44.678,60.000
SF,LeBron James,10200,Min@Cle 07:00PM ET,52.085,Cle,1,0,54.714,44.011,56.188,49.750,5.500,61.200,0.199,-6.500,215.500,2.028,56.120,52.900,62.000
PG,Giannis Antetokounmpo,10100,Mil@Uta 09:00PM ET,49.761,Mil,0,0,45.964,40.693,46.312,39.500,6.000,60.600,0.183,7.500,198.000,-12.317,51.144,53.312,23.000
SF,Kevin Durant,10000,Cha@GS 10:30PM ET,49.958,GS,1,0,51.571,42.146,46.812,55.000,22.000,60.000,0.156,-15.000,224.000,8.025,52.903,54.400,42.000
C,Nikola Jokic,9800,Mem@Den 09:00PM ET,35.268,Den,1,1,49.679,22.977,49.500,64.500,1.000,58.800,0.073,3.500,214.500,-18.677,45.348,46.784,0.000
PG,Isaiah Thomas,9500,Tor@Bos 07:30PM ET,44.722,Bos,1,0,51.786,37.292,53.812,57.500,9.000,57.000,0.105,-6.000,215.000,1.675,51.615,55.022,60.500
PG,Eric Bledsoe,9000,LAC@Pho 09:00PM ET,39.984,Pho,1,0,43.393,29.812,41.375,29.750,2.000,54.000,0.134,2.500,219.500,-10.150,41.942,41.962,56.000
SG/SF,Jimmy Butler,8800,Chi@OKC 09:30PM ET,43.691,Chi,0,0,37.179,33.889,41.062,55.000,9.500,52.800,0.267,3.500,206.500,-4.321,43.245,40.550,46.000
PG,Kyle Lowry,8600,Tor@Bos 07:30PM ET,43.698,Tor,0,0,44.929,35.107,48.188,54.250,24.000,51.600,0.209,6.000,215.000,-0.325,48.142,48.266,46.500
PG,Stephen Curry,8500,Cha@GS 10:30PM ET,43.984,GS,1,1,52.821,37.458,50.688,66.750,14.500,51.000,0.214,-15.000,224.000,8.025,49.424,48.369,69.750
C,Joel Embiid,8400,Phi@Dal 08:30PM ET,38.992,Phi,0,1,42.214,30.804,50.438,56.250,7.000,50.400,0.116,6.500,206.000,-6.674,46.269,46.888,0.000
PG,Kyrie Irving,8200,Min@Cle 07:00PM ET,40.268,Cle,1,0,49.929,32.295,41.938,33.250,20.000,49.200,0.212,-6.500,215.500,2.028,43.287,37.591,41.000
PF/C,Draymond Green,8100,Cha@GS 10:30PM ET,38.723,GS,1,0,39.500,31.429,28.375,25.000,18.750,48.600,0.144,-15.000,224.000,-1.157,37.194,39.084,38.500
SF/PF,Paul George,8100,Ind@Orl 07:00PM ET,39.175,Ind,0,0,38.464,33.386,48.250,53.250,18.000,48.600,0.111,-2.000,212.500,-0.088,45.163,43.725,19.250
PG,Kemba Walker,8000,Cha@GS 10:30PM ET,40.026,Cha,0,0,43.250,32.830,44.750,44.750,14.500,48.000,0.208,15.000,224.000,6.025,44.388,48.572,15.500
PF/C,Kevin Love,8000,Min@Cle 07:00PM ET,40.043,Cle,1,1,37.679,32.022,38.875,12.500,10.750,48.000,0.253,-6.500,215.500,-9.857,40.155,39.275,0.000
C,Andre Drummond,7900,NO@Det 07:30PM ET,39.282,Det,1,0,35.393,30.050,45.750,69.000,20.500,47.400,0.255,-7.500,211.500,-0.794,44.236,47.706,29.500
PG,Chris Paul,7900,LAC@Pho 09:00PM ET,43.917,LAC,0,1,41.250,36.188,43.312,22.250,26.000,47.400,0.374,-2.500,219.500,-5.984,43.748,41.609,0.000
SG,DeMar DeRozan,7800,Tor@Bos 07:30PM ET,42.106,Tor,0,1,40.679,35.054,35.375,39.250,12.000,46.800,0.304,6.000,215.000,-0.325,39.235,36.447,0.000
C,Marc Gasol,7800,Mem@Den 09:00PM ET,39.432,Mem,0,0,39.214,29.648,46.812,35.000,17.000,46.800,0.264,-3.500,214.500,1.323,43.308,35.141,38.250
PF,Paul Millsap,7800,Atl@Mia 07:30PM ET,39.089,Atl,0,0,38.786,29.773,43.062,76.750,8.000,46.800,0.267,1.000,205.000,-5.379,41.649,39.016,24.250
PG,Jrue Holiday,7700,NO@Det 07:30PM ET,34.684,NO,0,0,29.393,26.426,52.500,52.000,25.000,46.200,0.136,7.500,211.500,-2.794,45.748,40.987,47.750
SF/PF,Carmelo Anthony,7500,NY@Bkn 07:30PM ET,38.036,NY,0,0,36.571,28.302,43.625,60.500,30.000,45.000,0.288,-2.500,223.500,7.672,42.301,37.497,19.750
PF,Blake Griffin,7500,LAC@Pho 09:00PM ET,41.188,LAC,0,0,37.179,35.094,36.125,29.000,21.500,45.000,0.328,-2.500,219.500,-3.710,38.735,36.000,50.000
SG/SF,Nicolas Batum,7400,Cha@GS 10:30PM ET,36.027,Cha,0,0,37.357,27.841,34.438,37.250,11.000,44.400,0.197,15.000,224.000,6.025,36.792,32.809,30.250
