Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG,Russell Westbrook,12500,OKC@Mia 07:30PM ET,65.137,OKC,0,0,65.286,54.533,72.188,65.750,7.000,75.000,0.233,0.000,203.000,-0.369,67.750
PG/SG,James Harden,11400,Hou@Dal 08:30PM ET,58.961,Hou,0,0,56.107,52.250,55.312,55.250,2.500,68.400,0.144,0.000,209.000,-9.946,58.750
C,Hassan Whiteside,8700,OKC@Mia 07:30PM ET,44.024,Mia,1,0,50.571,31.365,49.688,40.500,12.000,52.200,0.267,4.500,203.000,-13.642,25.500
SF,Gordon Hayward,8000,Uta@LAL 10:30PM ET,37.885,Uta,0,0,35.071,29.227,35.812,34.750,28.000,48.000,0.163,0.000,204.000,0.369,50.250
PG,Isaiah Thomas,7900,Mem@Bos 07:30PM ET,41.769,Bos,1,0,38.464,36.031,50.062,37.250,8.000,47.400,0.259,0.000,198.000,-12.850,31.250
C,Rudy Gobert,7700,Uta@LAL 10:30PM ET,35.339,Uta,0,0,39.393,26.442,40.375,35.000,29.500,46.200,0.125,0.000,204.000,0.369,31.750
C,Marc Gasol,7200,Mem@Bos 07:30PM ET,38.476,Mem,0,0,45.679,29.483,39.688,24.000,21.500,43.200,0.336,7.500,198.000,-6.054,54.500
PG,Goran Dragic,7100,OKC@Mia 07:30PM ET,35.721,Mia,1,0,40.643,28.217,36.625,35.000,20.500,42.600,0.272,4.500,203.000,-0.369,0.000
C,Al Horford,6900,Mem@Bos 07:30PM ET,37.786,Bos,1,0,40.464,29.325,37.875,41.750,1.000,41.400,0.351,0.000,198.000,-33.874,25.500
PG,George Hill,6500,Uta@LAL 10:30PM ET,33.750,Uta,0,0,37.000,22.667,32.562,16.750,28.000,39.000,0.256,0.000,204.000,-7.516,0.000
PG,Mike Conley,6400,Mem@Bos 07:30PM ET,34.630,Mem,0,0,37.857,26.750,32.438,24.000,24.000,38.400,0.366,7.500,198.000,-6.054,0.000
SF/PF,Harrison Barnes,6300,Hou@Dal 08:30PM ET,31.185,Dal,1,0,32.036,23.804,30.500,24.750,19.750,37.800,0.219,5.000,209.000,4.054,26.750
SG,Avery Bradley,5900,Mem@Bos 07:30PM ET,33.677,Bos,1,0,30.393,27.050,26.750,27.500,8.000,35.400,0.421,0.000,198.000,-4.054,43.750
PF/C,Julius Randle,5800,Uta@LAL 10:30PM ET,30.560,LAL,1,0,29.429,22.143,35.625,37.750,1.500,34.800,0.339,5.500,204.000,-16.298,47.500
PG,Patrick Beverley,5700,Hou@Dal 08:30PM ET,27.560,Hou,0,0,28.464,21.325,30.625,29.250,1.000,34.200,0.213,0.000,209.000,-15.946,0.000
SG,Dion Waiters,5600,OKC@Mia 07:30PM ET,27.078,Mia,1,0,27.929,15.679,31.750,44.750,11.000,33.600,0.292,4.500,203.000,-0.369,0.000
PG,Deron Williams,5600,Hou@Dal 08:30PM ET,28.489,Dal,1,0,32.107,18.438,37.312,42.500,11.500,33.600,0.300,5.000,209.000,-5.651,18.750
SG,Eric Gordon,5500,Hou@Dal 08:30PM ET,28.500,Hou,0,0,32.286,22.750,29.750,28.250,4.000,33.000,0.292,0.000,209.000,-8.446,26.250
SG,Victor Oladipo,5400,OKC@Mia 07:30PM ET,28.500,OKC,0,0,29.321,19.479,20.188,2.750,3.000,32.400,0.370,0.000,203.000,-25.404,0.000
SG,Wesley Matthews,5400,Hou@Dal 08:30PM ET,26.792,Dal,1,0,30.429,19.107,27.750,26.000,27.000,32.400,0.258,5.000,209.000,4.054,25.250
SF,Jae Crowder,5300,Mem@Bos 07:30PM ET,26.109,Bos,1,0,23.821,19.700,22.938,26.500,5.000,31.800,0.223,0.000,198.000,-16.054,28.250
SF,Justise Winslow,5300,OKC@Mia 07:30PM ET,26.283,Mia,1,0,27.750,21.100,31.188,24.750,7.000,31.800,0.296,4.500,203.000,-0.369,22.750
PF,Ryan Anderson,5300,Hou@Dal 08:30PM ET,24.531,Hou,0,0,32.750,17.947,28.062,23.750,4.000,31.800,0.227,0.000,209.000,-8.446,31.250
SG,Rodney Hood,5300,Uta@LAL 10:30PM ET,24.548,Uta,0,0,22.250,14.725,12.188,3.000,19.500,31.800,0.230,0.000,204.000,-9.871,5.000
SF,Luol Deng,5300,Uta@LAL 10:30PM ET,20.978,LAL,1,0,21.250,13.684,32.000,40.500,1.000,31.800,0.132,5.500,204.000,-19.631,27.250
SF,Trevor Ariza,5200,Hou@Dal 08:30PM ET,27.563,Hou,0,0,23.071,21.141,27.438,36.500,3.500,31.200,0.322,0.000,209.000,-8.803,22.750
PF/C,Zach Randolph,5100,Mem@Bos 07:30PM ET,26.298,Mem,0,0,26.107,21.295,24.062,28.250,22.250,30.600,0.252,7.500,198.000,-6.054,33.500
C,Steven Adams,5100,OKC@Mia 07:30PM ET,26.282,OKC,0,0,25.357,19.900,28.250,34.000,17.000,30.600,0.280,0.000,203.000,-0.369,28.500
PG,D'Angelo Russell,5100,Uta@LAL 10:30PM ET,28.762,LAL,1,0,29.286,23.482,29.500,25.750,6.000,30.600,0.425,5.500,204.000,-10.258,10.750
PG,Tyler Johnson,5000,OKC@Mia 07:30PM ET,27.422,Mia,1,0,28.536,20.783,29.562,18.750,20.500,30.000,0.381,4.500,203.000,-0.369,25.500
PG,Shelvin Mack,5000,Uta@LAL 10:30PM ET,17.435,Uta,0,0,15.071,11.150,21.062,31.000,28.000,30.000,0.059,0.000,204.000,0.369,12.750
C,Enes Kanter,4900,OKC@Mia 07:30PM ET,24.016,OKC,0,0,27.036,16.444,29.375,31.500,17.000,29.400,0.309,0.000,203.000,-0.369,32.000
C,Clint Capela,4900,Hou@Dal 08:30PM ET,26.804,Hou,0,0,24.286,20.607,20.062,14.500,9.500,29.400,0.362,0.000,209.000,-3.291,0.000
SG,Lou Williams,4900,Uta@LAL 10:30PM ET,29.647,LAL,1,0,34.857,22.191,27.938,22.250,1.000,29.400,0.510,5.500,204.000,-19.631,28.500
PF/C,Montrezl Harrell,4800,Hou@Dal 08:30PM ET,14.946,Hou,0,0,17.321,6.708,24.812,22.250,6.750,28.800,0.095,0.000,209.000,4.054,13.000
PF,Dirk Nowitzki,4700,Hou@Dal 08:30PM ET,23.714,Dal,1,0,18.125,19.000,22.000,19.500,15.500,28.200,0.321,5.000,209.000,-6.036,10.250
PF,James Johnson,4600,OKC@Mia 07:30PM ET,23.148,Mia,1,0,24.357,14.981,28.375,29.500,15.500,27.600,0.322,4.500,203.000,-0.369,28.250
SG,Tony Allen,4500,Mem@Bos 07:30PM ET,21.933,Mem,0,0,21.321,15.019,18.625,14.500,13.000,27.000,0.278,7.500,198.000,-6.054,34.750
PF,JaMychal Green,4400,Mem@Bos 07:30PM ET,23.174,Mem,0,0,25.821,15.812,20.625,17.000,23.000,26.400,0.354,7.500,198.000,-8.054,24.500
SG/SF,Josh Richardson,4400,OKC@Mia 07:30PM ET,19.833,Mia,1,0,19.286,11.719,17.062,14.250,9.000,26.400,0.206,4.500,203.000,-0.369,35.750
SG/SF,Marcus Smart,4300,Mem@Bos 07:30PM ET,23.848,Bos,1,0,20.250,18.867,21.938,30.500,6.500,25.800,0.394,0.000,198.000,-4.054,33.000
SG/SF,Joe Ingles,4300,Uta@LAL 10:30PM ET,14.669,Uta,0,0,11.929,7.237,21.000,30.000,23.750,25.800,0.159,0.000,204.000,0.369,22.000
PG,J.J. Barea,4200,Hou@Dal 08:30PM ET,27.932,Dal,1,0,32.083,21.708,20.312,10.750,11.500,25.200,0.630,5.000,209.000,-4.196,0.000
PG/SG,Jordan Clarkson,4200,Uta@LAL 10:30PM ET,23.743,LAL,1,0,25.321,16.484,23.062,7.750,3.500,25.200,0.431,5.500,204.000,-8999.631,25.250
SG,Nick Young,4100,Uta@LAL 10:30PM ET,22.028,LAL,1,0,23.929,14.604,25.562,28.500,1.000,24.600,0.384,5.500,204.000,-9008.677,11.500
C,Andrew Bogut,4000,Hou@Dal 08:30PM ET,22.188,Dal,1,0,23.821,17.562,23.062,9.500,26.000,24.000,0.375,5.000,209.000,-1.816,13.500
PF/C,Dwight Powell,3900,Hou@Dal 08:30PM ET,18.161,Dal,1,0,20.500,12.853,21.062,12.250,20.750,23.400,0.232,5.000,209.000,4.054,22.500
SF,Andre Roberson,3800,OKC@Mia 07:30PM ET,19.161,OKC,0,0,16.357,12.357,20.938,16.000,8.000,22.800,0.319,0.000,203.000,-8.316,5.750
PF/C,Derrick Favors,3800,Uta@LAL 10:30PM ET,20.188,Uta,0,0,24.929,13.075,13.625,16.250,27.750,22.800,0.409,0.000,204.000,0.369,18.500
SF,Wayne Ellington,3700,OKC@Mia 07:30PM ET,21.182,Mia,1,0,19.850,16.393,18.375,16.000,7.000,22.200,0.446,4.500,203.000,-9.427,2.000
SF/PF,Larry Nance Jr.,3700,Uta@LAL 10:30PM ET,19.143,LAL,1,0,21.929,12.214,21.000,21.500,1.000,22.200,0.358,5.500,204.000,-8999.631,0.000
C,Willie Reed,3600,OKC@Mia 07:30PM ET,9.739,Mia,1,0,7.286,4.500,7.875,11.500,12.000,21.600,0.054,4.500,203.000,-0.369,17.000
SG,Seth Curry,3600,Hou@Dal 08:30PM ET,20.241,Dal,1,0,17.964,14.433,22.250,28.250,27.000,21.600,0.438,5.000,209.000,4.054,22.750
PG,Andrew Harrison,3500,Mem@Bos 07:30PM ET,18.094,Mem,0,0,24.714,11.975,16.062,16.000,24.000,21.000,0.373,7.500,198.000,-8.054,30.750
