Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,penalty,dvp,value,Final,O/U,odds
PG,Russell Westbrook,12700,OKC@Min 08:00PM ET,64.363,OKC,0,0,57.714,53.650,64.875,2.000,-1.664,22.000,63.500,56.750,208.000,-2.000
PG/SG,James Harden,11400,Mem@Hou 08:00PM ET,61.067,Hou,1,0,68.071,52.990,66.500,2.000,-128.815,7.000,57.000,43.750,216.000,-7.500
PF/C,DeMarcus Cousins,10300,Cle@Sac 10:30PM ET,52.284,Sac,1,0,49.393,40.156,52.625,9.000,2.971,9.000,51.500,53.500,214.500,6.500
PG,Giannis Antetokounmpo,10100,Mia@Mil 08:00PM ET,50.236,Mil,1,0,49.143,39.391,38.500,2.000,-3.803,8.000,50.500,40.500,205.000,-7.500
SF,LeBron James,9700,Cle@Sac 10:30PM ET,51.907,Cle,0,0,52.000,44.075,45.812,7.000,2.971,10.000,48.500,44.500,214.500,-6.500
PF/C,Karl-Anthony Towns,9400,OKC@Min 08:00PM ET,45.481,Min,1,0,51.464,38.458,55.938,0.000,-1.664,12.500,47.000,62.250,208.000,2.000
PG,Isaiah Thomas,9000,Bos@Atl 08:00PM ET,43.021,Bos,0,0,45.536,36.075,47.188,4.000,1.189,25.000,45.000,46.500,212.000,3.500
SG,DeMar DeRozan,8700,Bkn@Tor 07:30PM ET,42.651,Tor,1,0,42.607,35.329,50.688,3.000,10.460,29.500,43.500,36.000,225.000,-15.500
PG,Kyle Lowry,8500,Bkn@Tor 07:30PM ET,43.632,Tor,1,0,43.500,35.044,48.250,7.000,10.460,29.000,42.500,44.500,225.000,-15.500
C,Hassan Whiteside,8400,Mia@Mil 08:00PM ET,42.667,Mia,0,0,37.000,30.653,38.875,2.000,-17.232,7.000,42.000,34.250,205.000,7.500
PG,Kemba Walker,8300,Cha@Phi 07:00PM ET,40.099,Cha,0,0,39.786,32.955,39.312,0.000,-100.656,15.500,41.500,28.250,208.000,-5.000
PG,Damian Lillard,8200,Orl@Por 10:00PM ET,43.500,Por,1,0,38.107,34.079,37.250,0.000,2.258,15.500,41.000,48.500,213.500,-7.000
PF/C,Joel Embiid,8100,Cha@Phi 07:00PM ET,37.077,Phi,1,0,38.357,29.521,40.812,4.000,-1.664,16.500,40.500,43.000,208.000,5.000
PF/C,Kevin Love,8000,Cle@Sac 10:30PM ET,41.404,Cle,0,0,37.714,34.275,35.188,2.000,2.971,19.000,40.000,40.000,214.500,-6.500
PG,Kyrie Irving,7700,Cle@Sac 10:30PM ET,39.439,Cle,0,0,36.607,32.014,32.750,2.000,2.971,18.000,38.500,38.750,214.500,-6.500
PF,Paul Millsap,7600,Bos@Atl 08:00PM ET,38.514,Atl,1,0,43.179,28.050,40.375,4.000,1.189,26.000,38.000,41.250,212.000,-3.500
C,Dwight Howard,7400,Bos@Atl 08:00PM ET,36.912,Atl,1,0,38.750,26.266,33.500,4.000,-115.713,21.000,37.000,23.500,212.000,-3.500
SF/PF,Jabari Parker,7300,Mia@Mil 08:00PM ET,34.601,Mil,1,0,41.821,25.819,41.875,2.000,-3.803,8.000,36.500,35.750,205.000,-7.500
PG,Mike Conley,7100,Mem@Hou 08:00PM ET,35.914,Mem,0,0,39.286,27.969,43.875,0.000,2.041,12.000,35.500,42.500,216.000,7.500
SF,Gordon Hayward,7000,Det@Uta 10:30PM ET,37.523,Uta,1,0,37.786,29.574,35.625,4.000,-25.216,7.000,35.000,35.500,191.000,-11.000
C,Andre Drummond,7000,Det@Uta 10:30PM ET,38.475,Det,0,0,39.857,29.693,42.438,0.000,-29.121,3.000,35.000,35.750,191.000,11.000
C,Marc Gasol,6900,Mem@Hou 08:00PM ET,38.160,Mem,0,0,35.714,29.087,33.125,0.000,2.041,22.000,34.500,32.000,216.000,7.500
SG/SF,Nicolas Batum,6900,Cha@Phi 07:00PM ET,36.201,Cha,0,1,35.786,27.987,31.375,0.000,-1.664,21.750,34.500,30.250,208.000,-5.000
C,Nikola Vucevic,6900,Orl@Por 10:00PM ET,34.101,Orl,0,0,42.143,26.060,40.688,0.000,2.258,28.000,34.500,55.500,213.500,7.000
PG,Dennis Schroder,6800,Bos@Atl 08:00PM ET,32.461,Atl,1,0,31.036,24.039,30.312,0.000,-96.751,21.000,34.000,11.750,212.000,-3.500
C,Al Horford,6800,Bos@Atl 08:00PM ET,36.560,Bos,0,0,33.393,28.850,33.938,0.000,-11.311,4.000,34.000,31.000,212.000,3.500
SF,Andrew Wiggins,6800,OKC@Min 08:00PM ET,32.333,Min,1,0,32.107,23.132,28.062,0.000,-14.521,3.500,34.000,30.000,208.000,2.000
PG,Goran Dragic,6700,Mia@Mil 08:00PM ET,34.844,Mia,0,0,31.179,27.566,30.625,0.000,-25.803,1.000,33.500,30.750,205.000,7.500
C,Brook Lopez,6600,Bkn@Tor 07:30PM ET,34.579,BKN,0,0,35.964,27.500,34.062,0.000,8.460,8.000,33.000,34.750,225.000,15.500
C,Rudy Gobert,6500,Det@Uta 10:30PM ET,35.638,Uta,1,0,36.679,27.000,33.875,2.000,-25.454,6.000,32.500,27.000,191.000,-11.000
SG,Zach LaVine,6400,OKC@Min 08:00PM ET,31.682,Min,1,1,34.607,24.237,30.750,0.000,-102.249,11.000,32.000,0.000,208.000,2.000
SF,Rudy Gay,6400,Cle@Sac 10:30PM ET,34.407,Sac,1,0,31.500,27.517,35.938,0.000,2.971,25.000,32.000,48.500,214.500,6.500
PG,Reggie Jackson,6400,Det@Uta 10:30PM ET,29.300,Det,0,0,27.321,20.795,25.125,3.000,-129.362,3.500,32.000,12.250,191.000,11.000
SG/SF,Marcus Smart,6300,Bos@Atl 08:00PM ET,24.764,Bos,0,0,24.893,19.591,31.438,4.000,1.189,21.000,31.500,25.000,212.000,3.500
PF/C,Serge Ibaka,6200,Orl@Por 10:00PM ET,30.859,Orl,0,1,35.786,23.557,31.812,2.000,2.258,29.000,31.000,31.500,213.500,7.000
PG,Ricky Rubio,6100,OKC@Min 08:00PM ET,26.949,Min,1,0,33.036,20.560,42.062,0.000,-1.664,24.000,30.500,47.000,208.000,2.000
SG,Avery Bradley,6000,Bos@Atl 08:00PM ET,33.936,Bos,0,1,32.786,27.044,35.875,0.000,1.189,21.000,30.000,0.000,212.000,3.500
PG,George Hill,6000,Det@Uta 10:30PM ET,32.375,Uta,1,0,29.179,22.714,30.500,0.000,-13.788,23.000,30.000,30.500,191.000,-11.000
SF/PF,Tobias Harris,6000,Det@Uta 10:30PM ET,28.396,Det,0,0,26.571,20.438,27.625,0.000,-123.593,1.000,30.000,17.500,191.000,11.000
C,Greg Monroe,5900,Mia@Mil 08:00PM ET,26.160,Mil,1,0,30.714,17.028,35.312,0.000,-3.803,20.000,29.500,30.750,205.000,-7.500
SG,Victor Oladipo,5900,OKC@Min 08:00PM ET,28.379,OKC,0,0,28.000,20.672,25.812,0.000,-13.664,5.000,29.500,27.250,208.000,-2.000
PF,Ersan Ilyasova,5900,Cha@Phi 07:00PM ET,26.785,Phi,1,0,26.464,19.395,28.375,0.000,-1.664,8.000,29.500,21.750,208.000,5.000
C,Jonas Valanciunas,5900,Bkn@Tor 07:30PM ET,27.514,Tor,1,0,31.321,20.197,31.562,6.000,10.460,30.000,29.500,33.500,225.000,-15.500
SF,Robert Covington,5800,Cha@Phi 07:00PM ET,24.962,Phi,1,0,31.143,17.397,30.562,0.000,-1.664,26.000,29.000,26.000,208.000,5.000
SG/SF,Evan Fournier,5800,Orl@Por 10:00PM ET,28.007,Orl,0,0,28.071,20.125,22.938,0.000,2.258,12.750,29.000,19.250,213.500,7.000
PG/SG,Malcolm Brogdon,5700,Mia@Mil 08:00PM ET,20.338,Mil,1,0,26.179,12.950,32.688,2.000,-15.232,7.000,28.500,32.000,205.000,-7.500
PF,James Johnson,5700,Mia@Mil 08:00PM ET,25.043,Mia,0,0,31.929,15.667,32.188,2.000,-5.803,17.000,28.500,36.000,205.000,7.500
C,Steven Adams,5700,OKC@Min 08:00PM ET,27.619,OKC,0,0,31.071,20.762,27.812,0.000,-79.932,16.000,28.500,14.750,208.000,-2.000
PF/C,Zach Randolph,5700,Mem@Hou 08:00PM ET,27.441,Mem,0,0,30.786,22.868,37.938,0.000,2.041,15.000,28.500,39.000,216.000,7.500
SG,Jeremy Lamb,5700,Cha@Phi 07:00PM ET,18.536,Cha,0,1,21.464,8.188,19.812,0.000,-1.664,16.000,28.500,0.000,208.000,-5.000
SF/PF,Aaron Gordon,5700,Orl@Por 10:00PM ET,22.406,Orl,0,0,23.107,15.348,26.000,0.000,2.258,26.250,28.500,18.750,213.500,7.000
PF/C,Gorgui Dieng,5600,OKC@Min 08:00PM ET,27.103,Min,1,0,22.786,18.958,18.500,0.000,-88.977,12.500,28.000,10.750,208.000,2.000
PF/C,Enes Kanter,5600,OKC@Min 08:00PM ET,25.550,OKC,0,0,29.714,16.881,35.500,3.000,-1.664,12.000,28.000,33.000,208.000,-2.000
C,Mason Plumlee,5600,Orl@Por 10:00PM ET,30.457,Por,1,0,32.250,23.402,31.812,0.000,2.258,17.000,28.000,32.750,213.500,-7.000
SG,Eric Gordon,5500,Mem@Hou 08:00PM ET,29.006,Hou,1,1,28.500,22.663,28.062,0.000,-87.108,7.000,27.500,16.250,216.000,-7.500
SG,Kentavious Caldwell-Pope,5500,Det@Uta 10:30PM ET,26.650,Det,0,1,27.714,16.434,23.562,0.000,-150.588,1.000,27.500,0.000,191.000,11.000
SF,Jae Crowder,5400,Bos@Atl 08:00PM ET,25.694,Bos,0,0,26.357,19.357,25.438,0.000,1.189,21.000,27.000,30.750,212.000,3.500
PF,Trevor Booker,5400,Bkn@Tor 07:30PM ET,28.593,BKN,0,0,22.321,20.278,26.312,0.000,8.460,20.000,27.000,20.750,225.000,15.500
PG,Tyler Johnson,5300,Mia@Mil 08:00PM ET,28.230,Mia,0,0,33.214,22.038,29.312,0.000,-25.803,1.000,26.500,34.500,205.000,7.500
PF,Ryan Anderson,5300,Mem@Hou 08:00PM ET,24.713,Hou,1,0,20.929,17.610,21.562,0.000,-106.489,3.000,26.500,10.000,216.000,-7.500
PG,Elfrid Payton,5300,Orl@Por 10:00PM ET,27.381,Orl,0,0,28.143,20.020,23.250,-2.000,2.258,10.000,26.500,36.500,213.500,7.000
PF,Al-Farouq Aminu,5300,Orl@Por 10:00PM ET,21.677,Por,1,0,24.393,15.712,30.125,0.000,2.258,15.000,26.500,21.750,213.500,-7.000
SF,Trevor Ariza,5200,Mem@Hou 08:00PM ET,27.933,Hou,1,0,31.786,21.583,28.375,0.000,-8.816,3.500,26.000,26.250,216.000,-7.500
PG,Patrick Beverley,5100,Mem@Hou 08:00PM ET,27.463,Hou,1,0,28.607,20.125,20.812,0.000,-7.387,7.000,25.500,21.000,216.000,-7.500
SG/SF,Josh Richardson,5000,Mia@Mil 08:00PM ET,22.473,Mia,0,1,26.036,15.467,23.500,0.000,-106.068,21.750,25.000,0.000,205.000,7.500
PF/C,Montrezl Harrell,5000,Mem@Hou 08:00PM ET,18.039,Hou,1,0,27.429,8.417,27.375,0.000,-10.959,2.000,25.000,23.250,216.000,-7.500
SF,Michael Kidd-Gilchrist,5000,Cha@Phi 07:00PM ET,23.046,Cha,0,0,26.679,16.725,26.750,0.000,-1.664,27.500,25.000,38.000,208.000,-5.000
PG,Jeremy Lin,5000,Bkn@Tor 07:30PM ET,30.146,BKN,0,1,27.929,25.472,29.125,0.000,8.460,14.000,25.000,0.000,225.000,15.500
SG,Bojan Bogdanovic,5000,Bkn@Tor 07:30PM ET,21.730,BKN,0,0,16.143,15.841,27.438,0.000,-6.540,2.000,25.000,31.500,225.000,15.500
PF,Marvin Williams,4900,Cha@Phi 07:00PM ET,22.008,Cha,0,0,21.929,15.312,24.375,2.000,-75.724,10.500,24.500,12.750,208.000,-5.000
PF/C,Derrick Favors,4800,Det@Uta 10:30PM ET,20.650,Uta,1,0,19.286,13.983,23.375,0.000,-13.788,10.000,24.000,25.750,191.000,-11.000
C,Nerlens Noel,4800,Cha@Phi 07:00PM ET,16.182,Phi,1,0,15.150,10.464,25.375,0.000,-1.664,25.000,24.000,19.000,208.000,5.000
C,Tristan Thompson,4700,Cle@Sac 10:30PM ET,24.211,Cle,0,0,24.893,18.432,24.500,0.000,2.971,13.000,23.500,22.000,214.500,-6.500
C,Clint Capela,4600,Mem@Hou 08:00PM ET,26.804,Hou,1,1,26.679,20.607,20.062,0.000,-89.407,1.000,23.000,0.000,216.000,-7.500
SF,Marcus Morris,4600,Det@Uta 10:30PM ET,23.763,Det,0,0,17.964,16.821,23.750,-2.000,-35.788,1.000,23.000,18.250,191.000,11.000
SG,Tony Allen,4500,Mem@Hou 08:00PM ET,22.147,Mem,0,0,25.893,15.645,23.938,0.000,2.041,25.000,22.500,32.000,216.000,7.500
C,Cody Zeller,4500,Cha@Phi 07:00PM ET,23.750,Cha,0,1,28.357,19.211,24.938,0.000,-1.664,27.000,22.500,38.000,208.000,-5.000
