Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,dvp,value,O/U,odds,penalty
PG,Russell Westbrook,12800,OKC@NO 08:00PM ET,64.389,OKC,0,0,64.393,52.940,66.688,6.439,27.000,76.800,217.500,-1.500,2.739
PG/SG,James Harden,12300,Hou@Bos 07:30PM ET,60.651,HOU,0,0,63.250,52.788,58.000,15.163,19.000,73.800,229.000,-4.000,10.815
PF/C,DeMarcus Cousins,10800,Sac@Cle 07:00PM ET,52.924,SAC,0,0,52.464,39.971,56.875,13.231,10.750,64.800,216.000,12.000,-0.315
PG/SF,Giannis Antetokounmpo,10600,Phi@Mil 08:00PM ET,50.105,MIL,1,0,50.393,40.638,51.000,5.011,15.000,63.600,207.000,-11.000,-6.635
C,Anthony Davis,10400,OKC@NO 08:00PM ET,54.439,NO,1,1,50.857,41.025,45.000,5.444,14.000,62.400,217.500,1.500,2.739
SF,LeBron James,10000,Sac@Cle 07:00PM ET,51.625,CLE,1,0,52.000,35.750,50.938,5.163,10.500,60.000,216.000,-12.000,-0.315
SF,Kevin Durant,9400,GS@Cha 08:00PM ET,50.028,GS,0,0,52.679,41.807,53.625,12.507,22.000,56.400,223.500,-10.000,4.952
PG,Isaiah Thomas,9300,Hou@Bos 07:30PM ET,43.813,BOS,1,0,49.536,36.440,50.375,4.381,9.500,55.800,229.000,4.000,10.815
SG/SF,Jimmy Butler,9100,Atl@Chi 08:00PM ET,43.892,CHI,1,0,52.821,34.798,40.250,4.389,23.000,54.600,202.500,1.500,-7.795
PG,Kyle Lowry,8800,Tor@Mem 08:00PM ET,42.955,TOR,0,0,46.000,34.250,37.125,4.295,6.500,52.800,200.500,6.000,-20.738
PG,Damian Lillard,8600,LAL@Por 10:30PM ET,43.317,POR,1,0,38.107,35.174,40.375,4.332,28.000,51.600,221.000,-8.500,3.197
PG,Stephen Curry,8500,GS@Cha 08:00PM ET,43.467,GS,0,0,41.679,37.196,44.438,4.347,17.000,51.000,223.500,-10.000,4.952
PG,Kyrie Irving,8200,Sac@Cle 07:00PM ET,40.059,CLE,1,0,53.821,31.938,45.188,4.006,21.500,49.200,216.000,-12.000,-0.315
C,Joel Embiid,8000,Phi@Mil 08:00PM ET,38.375,PHI,0,1,42.036,30.192,46.812,0.000,12.500,48.000,207.000,11.000,-6.635
C,Hassan Whiteside,7900,Mia@Bkn 07:30PM ET,41.634,MIA,0,0,37.000,30.300,34.688,0.000,29.000,47.400,215.000,-3.000,0.983
PG,Kemba Walker,7900,GS@Cha 08:00PM ET,39.511,CHA,1,0,40.929,32.542,38.625,0.000,17.000,47.400,223.500,10.000,4.952
PF,Paul Millsap,7800,Atl@Chi 08:00PM ET,38.935,ATL,0,0,36.107,28.882,40.312,9.734,17.500,46.800,202.500,-1.500,-7.795
PF/C,Kevin Love,7800,Sac@Cle 07:00PM ET,40.500,CLE,1,0,44.357,32.655,33.125,4.050,17.000,46.800,216.000,-12.000,-0.315
PG/SG,C.J. McCollum,7800,LAL@Por 10:30PM ET,37.255,POR,1,0,42.321,29.546,33.875,3.726,24.500,46.800,221.000,-8.500,3.197
