Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,dvp,value,LastGame,fvalue,O/U,odds,penalty,Final
PG,Russell Westbrook,12600,Dal@OKC 08:00PM ET,64.370,OKC,1,0,70.321,53.420,63.625,1.000,75.600,63.500,0.207,197.000,-9.000,-29.286,63.500
PF/C,Karl-Anthony Towns,9900,Ind@Min 08:00PM ET,46.439,Min,1,0,53.429,38.713,53.750,22.000,59.400,39.500,0.133,211.500,-3.000,1.071,58.000
C,Nikola Jokic,9300,Pho@Den 09:00PM ET,34.456,Den,1,0,46.000,21.775,48.625,24.000,55.800,55.250,0.087,230.000,-7.000,14.286,64.500
PG,Eric Bledsoe,9200,Pho@Den 09:00PM ET,39.633,Pho,0,0,44.250,29.815,47.625,29.000,55.200,29.750,0.107,230.000,7.000,14.286,41.500
SF/PF,Paul George,7900,Ind@Min 08:00PM ET,38.385,Ind,0,0,36.143,32.850,37.062,6.500,47.400,48.250,0.115,211.500,3.000,1.071,46.500
C,Rudy Gobert,7500,LAL@Uta 10:30PM ET,36.410,Uta,1,0,37.036,28.216,39.250,30.000,45.000,23.750,0.195,201.500,-13.000,-15.990,37.250
SF,Gordon Hayward,7300,LAL@Uta 10:30PM ET,36.744,Uta,1,0,36.679,28.303,31.062,28.000,43.800,20.500,0.236,201.500,-13.000,-15.818,31.750
PG,Jeff Teague,7200,Ind@Min 08:00PM ET,35.915,Ind,0,0,33.786,26.807,35.125,19.000,43.200,21.500,0.254,211.500,3.000,-9.902,53.500
SG,Devin Booker,7100,Pho@Den 09:00PM ET,30.705,Pho,0,0,29.179,23.000,35.250,29.000,42.600,34.500,0.118,230.000,7.000,14.286,33.000
SF,Andrew Wiggins,7000,Ind@Min 08:00PM ET,32.683,Min,1,0,32.893,23.369,35.938,14.000,42.000,47.000,0.208,211.500,-3.000,1.071,31.250
PG,Ricky Rubio,6800,Ind@Min 08:00PM ET,27.949,Min,1,0,33.036,20.057,32.062,16.500,40.800,37.500,0.121,211.500,-3.000,1.071,31.000
PG,George Hill,6700,LAL@Uta 10:30PM ET,31.348,Uta,1,0,29.643,22.818,28.125,27.500,40.200,30.250,0.199,201.500,-13.000,-6.071,31.250
C,Myles Turner,6600,Ind@Min 08:00PM ET,32.593,Ind,0,0,27.893,24.881,30.125,15.000,39.600,39.500,0.246,211.500,3.000,1.071,35.500
C,Tyson Chandler,6400,Pho@Den 09:00PM ET,26.986,Pho,0,0,27.750,18.015,39.375,18.500,38.400,48.750,0.135,230.000,7.000,14.286,16.750
SG,Zach LaVine,6200,Ind@Min 08:00PM ET,30.315,Min,1,0,30.964,21.900,20.312,27.000,37.200,21.750,0.253,211.500,-3.000,1.071,38.750
SF/PF,Harrison Barnes,6000,Dal@OKC 08:00PM ET,31.189,Dal,0,0,32.714,24.238,26.250,11.750,36.000,33.750,0.279,197.000,9.000,-11.286,39.500
PF,Julius Randle,5900,LAL@Uta 10:30PM ET,30.938,LAL,0,0,26.857,21.690,23.688,1.000,35.400,14.750,0.342,201.500,13.000,-39.048,0.000
SG/SF,Will Barton,5800,Pho@Den 09:00PM ET,25.742,Den,1,0,20.000,16.450,23.750,20.500,34.800,15.000,0.199,230.000,-7.000,3.752,24.000
PF,Thaddeus Young,5700,Ind@Min 08:00PM ET,26.057,Ind,0,0,27.500,19.712,29.250,8.500,34.200,19.750,0.194,211.500,3.000,1.071,22.750
SF/PF,Wilson Chandler,5600,Pho@Den 09:00PM ET,29.525,Den,1,0,24.714,21.341,23.750,23.250,33.600,11.250,0.359,230.000,-7.000,2.849,28.250
PG,Deron Williams,5600,Dal@OKC 08:00PM ET,28.453,Dal,0,0,31.071,20.000,26.125,22.500,33.600,18.000,0.285,197.000,9.000,-20.328,0.000
SF,Danilo Gallinari,5500,Pho@Den 09:00PM ET,28.494,Den,1,0,26.679,23.793,27.000,26.000,33.000,21.250,0.260,230.000,-7.000,7.322,37.750
C,Enes Kanter,5500,Dal@OKC 08:00PM ET,26.451,OKC,1,0,29.250,17.261,28.125,11.000,33.000,34.750,0.278,197.000,-9.000,-9.286,12.500
PF/C,Gorgui Dieng,5500,Ind@Min 08:00PM ET,26.944,Min,1,0,20.000,19.238,27.562,22.000,33.000,37.250,0.246,211.500,-3.000,1.071,28.250
PG,D'Angelo Russell,5500,LAL@Uta 10:30PM ET,28.250,LAL,0,0,26.929,18.906,16.000,7.000,33.000,-0.500,0.343,201.500,13.000,-19.814,0.000
PF/C,Derrick Favors,5400,LAL@Uta 10:30PM ET,21.219,Uta,1,0,24.464,14.934,22.875,28.250,32.400,29.750,0.123,201.500,-13.000,-6.071,19.500
SG,Victor Oladipo,5300,Dal@OKC 08:00PM ET,28.547,OKC,1,0,25.107,20.500,29.125,4.000,31.800,32.000,0.371,197.000,-9.000,-21.786,30.750
SG,Lou Williams,5200,LAL@Uta 10:30PM ET,28.173,LAL,0,0,24.821,19.146,38.375,1.000,31.200,52.000,0.393,201.500,13.000,-28.071,27.250
PF/C,Dirk Nowitzki,5100,Dal@OKC 08:00PM ET,25.388,Dal,0,0,27.357,19.068,25.812,14.250,30.600,33.000,0.274,197.000,9.000,-11.286,0.000
C,Steven Adams,5000,Dal@OKC 08:00PM ET,27.364,OKC,1,0,30.214,20.602,25.125,11.000,30.000,47.750,0.375,197.000,-9.000,-9.286,23.250
SG,Gary Harris,4800,Pho@Den 09:00PM ET,22.638,Den,1,0,20.679,12.286,20.875,15.000,28.800,15.500,0.265,230.000,-7.000,14.286,16.250
PF/C,Kenneth Faried,4700,Pho@Den 09:00PM ET,23.300,Den,1,0,21.607,14.225,16.312,22.250,28.200,21.250,0.331,230.000,-7.000,14.286,24.000
PG/SG,Jordan Clarkson,4700,LAL@Uta 10:30PM ET,23.209,LAL,0,0,24.036,16.083,25.438,4.000,28.200,31.250,0.282,201.500,13.000,-20.571,28.750
SG/SF,Joe Ingles,4600,LAL@Uta 10:30PM ET,15.553,Uta,1,0,13.464,8.058,19.750,24.500,27.600,10.750,0.114,201.500,-13.000,-6.071,21.000
PG,Jameer Nelson,4500,Pho@Den 09:00PM ET,19.227,Den,1,0,21.286,12.000,22.438,25.500,27.000,30.250,0.212,230.000,-7.000,14.286,37.000
SG/SF,Wesley Matthews,4500,Dal@OKC 08:00PM ET,26.023,Dal,0,0,25.107,19.534,25.062,9.000,27.000,21.500,0.451,197.000,9.000,-11.286,0.000
SG,Seth Curry,4500,Dal@OKC 08:00PM ET,20.439,Dal,0,0,22.750,14.062,25.000,11.000,27.000,34.250,0.217,197.000,9.000,-11.286,19.750
PG,Emmanuel Mudiay,4400,Pho@Den 09:00PM ET,24.293,Den,1,0,25.536,14.405,26.188,25.500,26.400,9.500,0.430,230.000,-7.000,2.341,0.000
SF/PF,P.J. Tucker,4400,Pho@Den 09:00PM ET,18.861,Pho,0,0,20.286,10.250,25.875,12.250,26.400,34.500,0.219,230.000,7.000,14.286,19.500
SG,Rodney Hood,4300,LAL@Uta 10:30PM ET,23.547,Uta,1,0,24.464,15.625,28.000,21.000,25.800,23.500,0.408,201.500,-13.000,-6.071,10.500
SF,Brandon Ingram,4200,LAL@Uta 10:30PM ET,17.776,LAL,0,0,16.179,12.883,20.938,1.000,25.200,9.000,0.166,201.500,13.000,-9017.663,4.500
SF,T.J. Warren,4100,Pho@Den 09:00PM ET,22.234,Pho,0,0,20.464,10.969,15.062,16.000,24.600,11.000,0.428,230.000,7.000,14.286,33.500
SG,Nick Young,3900,LAL@Uta 10:30PM ET,20.875,LAL,0,0,17.536,13.211,23.062,1.000,23.400,21.000,0.388,201.500,13.000,-9010.071,19.750
PG,Kris Dunn,3800,Ind@Min 08:00PM ET,12.739,Min,1,0,17.500,7.048,16.938,16.500,22.800,6.250,0.125,211.500,-3.000,1.071,8.000
PG,Shelvin Mack,3800,LAL@Uta 10:30PM ET,15.905,Uta,1,0,14.107,8.713,4.938,27.500,22.800,4.000,0.205,201.500,-13.000,-14.402,0.000
SF,C.J. Miles,3700,Ind@Min 08:00PM ET,18.118,Ind,0,0,15.321,11.487,14.125,4.500,22.200,18.250,0.306,211.500,3.000,-8998.929,21.500
PG/SG,Jamal Murray,3600,Pho@Den 09:00PM ET,15.403,Den,1,0,8.464,8.442,20.500,20.250,21.600,16.000,0.268,230.000,-7.000,14.286,6.750
PG,J.J. Barea,3600,Dal@OKC 08:00PM ET,24.167,Dal,0,0,16.393,18.275,21.500,22.500,21.600,24.250,0.614,197.000,9.000,-13.286,0.000
SF/PF,Luol Deng,3600,LAL@Uta 10:30PM ET,20.244,LAL,0,0,22.607,13.537,13.125,1.000,21.600,13.000,0.443,201.500,13.000,-9010.071,10.500
SG/SF,Shabazz Muhammad,3500,Ind@Min 08:00PM ET,13.091,Min,1,0,19.679,7.466,21.125,20.500,21.000,22.250,0.143,211.500,-3.000,1.071,12.500
