Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,NN,RF
PG,Russell Westbrook,12000,Chi@OKC 09:30PM ET,64.087,OKC,1,0,70.250,53.990,65.938,57.000,12.000,72.000,0.282,-3.500,206.500,-4.321,68.406,58.922
PF/C,Karl-Anthony Towns,10600,Min@Cle 07:00PM ET,47.208,Min,0,0,48.000,38.713,54.438,54.000,10.000,63.600,0.085,6.500,215.500,0.028,53.962,51.550
C,Anthony Davis,10500,NO@Det 07:30PM ET,53.744,NO,0,0,50.679,38.750,44.688,70.750,5.000,63.000,0.298,7.500,211.500,-14.794,52.762,44.678
SF,LeBron James,10200,Min@Cle 07:00PM ET,52.085,Cle,1,0,54.714,44.011,56.188,49.750,5.500,61.200,0.199,-6.500,215.500,2.028,56.120,52.900
PG,Giannis Antetokounmpo,10100,Mil@Uta 09:00PM ET,49.761,Mil,0,0,45.964,40.693,46.312,39.500,6.000,60.600,0.183,7.500,198.000,-12.317,51.144,53.312
SF,Kevin Durant,10000,Cha@GS 10:30PM ET,49.958,GS,1,0,51.571,42.146,46.812,55.000,22.000,60.000,0.156,-15.000,224.000,8.025,52.903,54.400
PG,Isaiah Thomas,9500,Tor@Bos 07:30PM ET,44.722,Bos,1,0,51.786,37.292,53.812,57.500,9.000,57.000,0.105,-6.000,215.000,1.675,51.615,55.022
PG,Eric Bledsoe,9000,LAC@Pho 09:00PM ET,39.984,Pho,1,0,43.393,29.812,41.375,29.750,2.000,54.000,0.134,2.500,219.500,-10.150,41.942,41.962
SG/SF,Jimmy Butler,8800,Chi@OKC 09:30PM ET,43.691,Chi,0,0,37.179,33.889,41.062,55.000,9.500,52.800,0.267,3.500,206.500,-4.321,43.245,40.550
PG,Kyle Lowry,8600,Tor@Bos 07:30PM ET,43.698,Tor,0,0,44.929,35.107,48.188,54.250,24.000,51.600,0.209,6.000,215.000,-0.325,48.142,48.266
PG,Kyrie Irving,8200,Min@Cle 07:00PM ET,40.268,Cle,1,0,49.929,32.295,41.938,33.250,20.000,49.200,0.212,-6.500,215.500,2.028,43.287,37.591
PF/C,Draymond Green,8100,Cha@GS 10:30PM ET,38.723,GS,1,0,39.500,31.429,28.375,25.000,18.750,48.600,0.144,-15.000,224.000,-1.157,37.194,39.084
SF/PF,Paul George,8100,Ind@Orl 07:00PM ET,39.175,Ind,0,0,38.464,33.386,48.250,53.250,18.000,48.600,0.111,-2.000,212.500,-0.088,45.163,43.725
PG,Kemba Walker,8000,Cha@GS 10:30PM ET,40.026,Cha,0,0,43.250,32.830,44.750,44.750,14.500,48.000,0.208,15.000,224.000,6.025,44.388,48.572
C,Andre Drummond,7900,NO@Det 07:30PM ET,39.282,Det,1,0,35.393,30.050,45.750,69.000,20.500,47.400,0.255,-7.500,211.500,-0.794,44.236,47.706
C,Marc Gasol,7800,Mem@Den 09:00PM ET,39.432,Mem,0,0,39.214,29.648,46.812,35.000,17.000,46.800,0.264,-3.500,214.500,1.323,43.308,35.141
PF,Paul Millsap,7800,Atl@Mia 07:30PM ET,39.089,Atl,0,0,38.786,29.773,43.062,76.750,8.000,46.800,0.267,1.000,205.000,-5.379,41.649,39.016
PG,Jrue Holiday,7700,NO@Det 07:30PM ET,34.684,NO,0,0,29.393,26.426,52.500,52.000,25.000,46.200,0.136,7.500,211.500,-2.794,45.748,40.987
SF/PF,Carmelo Anthony,7500,NY@Bkn 07:30PM ET,38.036,NY,0,0,36.571,28.302,43.625,60.500,30.000,45.000,0.288,-2.500,223.500,7.672,42.301,37.497
PF,Blake Griffin,7500,LAC@Pho 09:00PM ET,41.188,LAC,0,0,37.179,35.094,36.125,29.000,21.500,45.000,0.328,-2.500,219.500,-3.710,38.735,36.000
SG/SF,Nicolas Batum,7400,Cha@GS 10:30PM ET,36.027,Cha,0,0,37.357,27.841,34.438,37.250,11.000,44.400,0.197,15.000,224.000,6.025,36.792,32.809
PG,Jeff Teague,7400,Ind@Orl 07:00PM ET,36.681,Ind,0,0,39.286,27.604,41.312,49.250,19.000,44.400,0.244,-2.000,212.500,-0.088,39.639,35.172
PG,Goran Dragic,7400,Atl@Mia 07:30PM ET,36.024,Mia,1,0,37.857,28.696,43.562,41.750,23.000,44.400,0.213,-1.000,205.000,-5.379,41.604,42.525
