DKFPS,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,Position,Salary,Name,SVM,AdaBoost,Random Forest,Neural Network
34.769,ORL,True,UTA,-5.0,211.5,,SF/PF,6800.0,Aaron Gordon,34.637010219755034,61.75,62.958531746031746,32.49507641130752
4.156,BOS,False,ATL,-6.5,202.5,,PF,3000.0,Abdel Nader,33.82933145272357,7.5,9.320416666666668,7.925826220642542
35.75,BOS,False,ATL,-6.5,202.5,,PF/C,7400.0,Al Horford,34.643432892016,17.75,14.566666666666666,38.380984567943784
12.7,UTA,False,ORL,5.0,211.5,,PG/SG,3500.0,Alec Burks,33.92208513217528,13.25,-0.01,14.173471356859629
13.712,PHI,True,GS,8.5,230.0,,PF/C,3200.0,Amir Johnson,33.76573526879082,7.0,6.848263888888889,15.07747325058229
16.462,GS,False,PHI,-8.5,230.0,,SG/SF,3600.0,Andre Iguodala,33.751118448770846,42.25,45.007738095238096,14.115442608812423
9.575,MEM,True,HOU,8.0,214.0,,PG/SG,3200.0,Andrew Harrison,34.09676067246508,7.5,11.664880952380951,10.927968340082774
16.391,BOS,False,ATL,-6.5,202.5,,C,3600.0,Aron Baynes,34.068447267334776,17.5,26.936309523809523,14.341940601036093
4.075,ORL,True,UTA,-5.0,211.5,,SG/SF,3000.0,Arron Afflalo,33.77332073466797,5.0,5.800000000000001,7.801887642792469
23.5,LAC,False,CHA,4.5,213.5,,PG/SG,5400.0,Austin Rivers,34.453849091101404,30.25,34.591136363636366,24.680939737877694
7.75,MEM,True,HOU,8.0,214.0,,SG/SF,3500.0,Ben McLemore,34.06382414249818,2.5,0.7989682539682539,9.716633139213709
45.875,PHI,True,GS,8.5,230.0,,PG/SF,9300.0,Ben Simmons,35.199360928308835,42.25,37.93125,42.927951443477234
12.05,ORL,True,UTA,-5.0,211.5,,PF/C,3200.0,Bismack Biyombo,33.93327109650271,9.25,9.510000000000002,9.05712833306014
43.018,LAC,False,CHA,4.5,213.5,,PF/C,8900.0,Blake Griffin,34.97690638398198,76.75,74.37989898989898,41.57068649704575
5.795,HOU,False,MEM,-8.0,214.0,,PG,3100.0,Bobby Brown,33.591390798097294,3.25,2.9699999999999998,8.12459890987937
