DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,Target,PERSON_ID,Position,Salary,SVM,AdaBoost,Neural Network,Random Forest
21.063,13.25,DAL,True,MIL,7.5,,1717.0,PF/C,4100.0,28.4281750127,16.45,18.9505238113,16.4277619048
3.438,2.0,MIL,False,DAL,-7.5,,1891.0,PG/SG,3000.0,27.289575279,2.35,5.92223530906,2.87550793651
22.865,29.0,SAC,False,POR,12.0,,2216.0,PF/C,4900.0,29.5828088725,23.6,26.2838399475,25.145625
15.875,11.5,GS,False,PHI,-8.5,,2561.0,PF/C,3500.0,26.1993962551,13.7,13.4280150985,14.8403333333
12.667,19.25,GS,False,PHI,-8.5,,2585.0,C,3100.0,26.3736845158,15.6,14.3273307524,14.256702381
32.732,35.75,CHA,True,LAC,-4.5,,2730.0,C,6800.0,30.109852984,33.7,34.5205699802,34.6815595238
12.904,6.25,GS,False,PHI,-8.5,,2733.0,PG/SG,3500.0,25.766242495,8.5,9.09121761318,10.5189464286
15.825,20.5,DAL,True,MIL,7.5,,2734.0,PG/SG,3500.0,28.4190919551,17.6,18.0353640193,15.4027900433
16.462,21.75,GS,False,PHI,-8.5,,2738.0,SG/SF,3600.0,26.8171560944,21.45,17.1937997497,20.153
25.054,24.25,HOU,False,MEM,-8.0,,2772.0,SG/SF,5100.0,28.1033081106,23.85,24.1814338436,24.2216071429
18.446,23.5,CHA,True,LAC,-4.5,,101107.0,SF/PF,3800.0,28.452756333,19.35,20.4469466565,18.4733392857
36.5,46.75,HOU,False,MEM,-8.0,,101108.0,PG/SG,7500.0,30.8972320508,38.65,37.8531907272,37.0735714286
16.5,22.75,ATL,True,BOS,6.5,,101141.0,SF/PF,3900.0,28.7104629943,17.1,18.7044894139,18.2810357143
28.089,27.0,LAC,False,CHA,4.5,,101150.0,PG/SG,6800.0,29.5260769275,29.4,28.3915504996,28.873125
13.712,28.0,PHI,True,GS,8.5,,101161.0,PF/C,3200.0,27.2347031392,17.95,18.244979864,20.6004166667
23.109,26.5,DAL,True,MIL,7.5,,200826.0,PG/SG,4300.0,29.0864658248,22.15,25.2690190047,22.549
46.679,47.5,GS,False,PHI,-8.5,,201142.0,SF/PF,9600.0,32.2729865292,49.9,48.4568308976,49.845672619
35.75,37.0,BOS,False,ATL,-6.5,,201143.0,PF/C,7400.0,30.488046441,36.25,36.0501193107,34.2015753968
14.625,37.25,MEM,True,HOU,8.0,,201148.0,PF/C,3400.0,29.260415691,19.7,21.7820400477,19.5184702381
11.482,11.0,GS,False,PHI,-8.5,,201156.0,SG,3300.0,25.876515102,13.35,10.1325960401,8.58748809524
21.65,2.75,ATL,True,BOS,6.5,,201158.0,SG,3900.0,28.3321005451,13.25,15.4816330196,14.299
4.075,3.25,ORL,True,UTA,-5.0,,201167.0,SG/SF,3000.0,26.9663440308,3.05,6.11492449181,3.64152777778
41.464,30.0,MEM,True,HOU,8.0,,201188.0,C,8200.0,30.653687263,36.8,38.582806849,37.889625
31.533,32.0,HOU,False,MEM,-8.0,,201569.0,SG,6000.0,29.2541125916,31.55,30.6493172957,30.5131269841
13.182,5.75,ORL,True,UTA,-5.0,,201578.0,PF/C,3100.0,27.3144112463,11.15,10.7036665168,7.87409722222
10.038,15.5,GS,False,PHI,-8.5,,201580.0,C,3000.0,25.9995150824,10.5,11.0977718425,9.84378571429
23.047,16.25,HOU,False,MEM,-8.0,,201583.0,PF/C,4400.0,27.4629766633,21.9,20.0860310593,20.6555
17.317,10.75,SAC,False,POR,12.0,,201585.0,C,3300.0,28.7616919955,14.05,16.4680665213,13.0828452381
25.25,26.75,CHA,True,LAC,-4.5,,201587.0,SG/SF,6300.0,29.0595106322,25.55,26.2411129303,28.6326309524
18.25,15.5,SAC,False,POR,12.0,,201588.0,PG/SG,3900.0,28.924417667,19.75,18.7356922969,18.5307380952
18.714,26.5,MEM,True,HOU,8.0,,201596.0,PG,4100.0,29.0239370149,21.6,20.8981530025,22.2027083333
