DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,OU,Target,PERSON_ID,Position,Salary,DISPLAY_FIRST_LAST,SVM,AdaBoost,Neural Network,Random Forest
15.65,17.75,MIN,True,DET,-6.0,209.0,,2037.0,SG,3700.0,Jamal Crawford,23.669834269738416,14.9375,17.31228353544512,16.96048295454545
21.096,22.75,PHO,True,CHI,-2.5,217.0,,2199.0,C,4500.0,Tyson Chandler,23.413693050978168,22.0,17.354205014294372,21.386674107142856
2.875,18.5,DEN,False,LAL,-5.0,222.5,,2210.0,SF/PF,3000.0,Richard Jefferson,23.25641311761064,11.0,11.491120428420528,9.30888392857143
16.4,5.5,GS,False,BKN,-11.5,231.0,,2561.0,PF/C,3500.0,David West,21.844799412954018,12.625,6.088620704107168,12.675833333333333
12.938,36.0,GS,False,BKN,-11.5,231.0,,2585.0,C,3100.0,Zaza Pachulia,23.672165324987024,19.4375,18.013949371259947,25.348586309523807
12.839,11.25,GS,False,BKN,-11.5,231.0,,2733.0,PG/SG,3600.0,Shaun Livingston,21.856580363105962,13.8125,6.124731389222649,11.665724206349207
5.0,20.0,LAL,True,DEN,5.0,222.5,,2736.0,SF/PF,3000.0,Luol Deng,23.951999778881564,9.6875,10.746304202538294,9.469925595238097
15.857,21.25,GS,False,BKN,-11.5,231.0,,2738.0,SG/SF,4000.0,Andre Iguodala,22.78613404746242,21.5,11.14944361806865,21.48463541666667
8.75,49.0,LAL,True,DEN,5.0,222.5,,101106.0,C,3000.0,Andrew Bogut,25.466141585593352,27.875,21.58330912643097,30.330871212121213
33.05,38.0,DEN,False,LAL,-5.0,222.5,,200794.0,PF/C,7200.0,Paul Millsap,26.51584079807336,34.5625,35.688256417517046,32.916666666666664
46.517,52.25,GS,False,BKN,-11.5,231.0,,201142.0,SF/PF,10200.0,Kevin Durant,29.521522328112514,47.625,50.98739234987021,51.23354166666667
7.438,16.5,LAL,True,DEN,5.0,222.5,,201147.0,SG/SF,3000.0,Corey Brewer,23.92054283078108,11.4375,10.789871392718467,9.964652777777777
11.117,14.25,GS,False,BKN,-11.5,231.0,,201156.0,SG,3300.0,Nick Young,21.893500395443485,12.6875,6.18749629993956,13.574375
11.35,6.75,PHO,True,CHI,-2.5,217.0,,201162.0,PF,3400.0,Jared Dudley,21.525901602047888,10.375,5.110948494571322,11.293955853174603
20.267,2.75,DEN,False,LAL,-5.0,222.5,,201163.0,SF/PF,4600.0,Wilson Chandler,23.567724813933538,14.8125,17.895461386171885,13.217738095238095
3.25,24.0,MIN,True,DET,-6.0,209.0,,201166.0,PG/SG,3000.0,Aaron Brooks,23.261600471586178,16.25,11.735028092639713,12.074791666666666
15.396,11.0,DET,False,MIN,6.0,209.0,,201229.0,SF/PF,3700.0,Anthony Tolliver,23.85953079188858,13.5,13.663486008858209,14.723020833333331
28.516,47.75,LAL,True,DEN,5.0,222.5,,201572.0,C,5700.0,Brook Lopez,26.77805695381583,35.9375,32.75399414928551,34.53127976190476
24.75,12.5,CHI,False,PHO,2.5,217.0,,201577.0,C,5200.0,Robin Lopez,23.63391383717551,22.5,21.99274955405828,21.422180059523807
9.518,0.0,GS,False,BKN,-11.5,231.0,,201580.0,C,3000.0,JaVale McGee,21.096316676172595,7.6875,4.5544726557993345,7.864652777777778
4.375,12.5,DEN,False,LAL,-5.0,222.5,,201589.0,PF,3000.0,Darrell Arthur,23.087982193113003,6.5,10.860903308393523,6.783125
45.0,48.75,GS,False,BKN,-11.5,231.0,,201939.0,PG/SG,9300.0,Stephen Curry,29.005766418426838,48.0625,50.20998838912511,43.7390625
32.75,48.5,MIN,True,DET,-6.0,209.0,,201952.0,PG,6700.0,Jeff Teague,27.139032496560866,32.25,36.69332310251825,35.655327380952386
11.212,16.5,GS,False,BKN,-11.5,231.0,,201956.0,SF/PF,3300.0,Omri Casspi,22.039699352425032,10.8125,6.6787409705567535,12.32
25.0,10.75,MIN,True,DET,-6.0,209.0,,201959.0,PF/C,5300.0,Taj Gibson,24.037337815963532,19.8125,20.03837210571599,21.186785714285712
