Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,Chris Paul,Kawhi Leonard,DeAndre Jordan,Gordon Hayward,Rudy Gobert,Lou Williams,E'Twaun Moore,Trey Lyles,300.0,None
baselineBonus,Kawhi Leonard,Gordon Hayward,Otto Porter,Rudy Gobert,Eric Bledsoe,Devin Booker,Rajon Rondo,Lou Williams,287.5,None
svnGameBonus,Chris Paul,Gordon Hayward,Otto Porter,Rudy Gobert,Nikola Vucevic,Devin Booker,Rajon Rondo,Trey Lyles,267.5,None
baselineFloorAvgBonus,Kawhi Leonard,Gordon Hayward,Rudy Gobert,Eric Bledsoe,Nikola Vucevic,Devin Booker,Taj Gibson,Lou Williams,321.75,None
baselineFloorAvg,Kawhi Leonard,Gordon Hayward,Rudy Gobert,Eric Bledsoe,Nikola Vucevic,Devin Booker,Taj Gibson,Lou Williams,321.75,None
baselineSvnGameAvg,Kawhi Leonard,Gordon Hayward,Rudy Gobert,Eric Bledsoe,Nikola Vucevic,Devin Booker,Rajon Rondo,Dario Saric,298.5,None
baselineSvnGameAvgBonus,Kawhi Leonard,Gordon Hayward,Rudy Gobert,Eric Bledsoe,Nikola Vucevic,Devin Booker,Rajon Rondo,Dario Saric,298.5,None
frGameAvgBonus,Kawhi Leonard,DeAndre Jordan,Bradley Beal,Otto Porter,Nikola Vucevic,Devin Booker,Austin Rivers,Brandon Ingram,290.75,None
baselineFrGameAvgBonus,Kawhi Leonard,Gordon Hayward,Otto Porter,Eric Bledsoe,Nikola Vucevic,Devin Booker,Tyson Chandler,Rodney Hood,285.5,None
baselineFrGameAvg,Kawhi Leonard,Gordon Hayward,Otto Porter,Eric Bledsoe,Nikola Vucevic,Devin Booker,Tyson Chandler,Rodney Hood,285.5,None
