Strategy,p1,p2,p3,p4,p5,p6,p7,p8
"floorAvgBonus",Karl-Anthony Towns,Eric Bledsoe,Devin Booker,Tyson Chandler,Danilo Gallinari,Kenneth Faried,Brandon Knight,Alex Len
"baselineBonus",Karl-Anthony Towns,Eric Bledsoe,Devin Booker,Tyson Chandler,Gary Harris,Kenneth Faried,T.J. Warren,Alex Len
"svnGameBonus",Nikola Jokic,Eric Bledsoe,Devin Booker,Tyson Chandler,Kenneth Faried,Jameer Nelson,P.J. Tucker,T.J. Warren
"baselineFloorAvgBonus",Karl-Anthony Towns,Eric Bledsoe,Devin Booker,Tyson Chandler,Danilo Gallinari,Kenneth Faried,Brandon Knight,Alex Len
"baselineFloorAvg",Karl-Anthony Towns,Eric Bledsoe,Devin Booker,Tyson Chandler,Danilo Gallinari,Kenneth Faried,Brandon Knight,Alex Len
"baselineSvnGameAvg",Nikola Jokic,Eric Bledsoe,Devin Booker,Tyson Chandler,Gary Harris,Kenneth Faried,P.J. Tucker,T.J. Warren
"baselineSvnGameAvgBonus",Nikola Jokic,Eric Bledsoe,Devin Booker,Tyson Chandler,Gary Harris,Kenneth Faried,P.J. Tucker,T.J. Warren
"frGameAvgBonus",Nikola Jokic,Eric Bledsoe,Devin Booker,Andrew Wiggins,Tyson Chandler,P.J. Tucker,Jamal Murray,Darrell Arthur
"baselineFrGameAvgBonus",Nikola Jokic,Eric Bledsoe,Devin Booker,Tyson Chandler,Danilo Gallinari,Gary Harris,P.J. Tucker,Darrell Arthur
"baselineFrGameAvg",Nikola Jokic,Eric Bledsoe,Devin Booker,Tyson Chandler,Danilo Gallinari,Gary Harris,P.J. Tucker,Darrell Arthur
NeuralNetworkAvg,Russell Westbrook,Paul George,Tyson Chandler,Gorgui Dieng,Lou Williams,Seth Curry,P.J. Tucker,Ivica Zubac
RandomForestAvg,Russell Westbrook,Andrew Wiggins,Tyson Chandler,Gorgui Dieng,Lou Williams,Steven Adams,Seth Curry,Darrell Arthur
NNRF,Nikola Jokic,Paul George,Andrew Wiggins,Tyson Chandler,Lou Williams,Jameer Nelson,Seth Curry,P.J. Tucker
