avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
11.94,2017-11-17,16.76,+4.82,Raptors,707832,Fred VanVleet,PG,"3,500",16.7,"<td class=""width-15 green"" id=""salary-col"">+$500 (16.7%)</td>",500,16.7
18.34,2017-11-17,29.01,+10.67,Suns,467468,Greg Monroe,PF,"4,700",14.6,"<td class=""width-15 green"" id=""salary-col"">+$600 (14.6%)</td>",600,14.6
41.10,2017-11-17,42.24,+1.14,Nuggets,830650,Nikola Jokic,C,"9,200",13.6,"<td class=""width-15 green"" id=""salary-col"">+$1100 (13.6%)</td>",1100,13.6
16.52,2017-11-18,20.54,+4.02,Warriors,173004,Andre Iguodala,SG,"4,000",11.1,"<td class=""width-15 green"" id=""salary-col"">+$400 (11.1%)</td>",400,11.1
22.59,2017-11-17,27.22,+4.63,Nuggets,891352,Jamal Murray,PG,"5,200",10.6,"<td class=""width-15 green"" id=""salary-col"">+$500 (10.6%)</td>",500,10.6
17.18,2017-11-17,18.51,+1.33,Raptors,292394,C.J. Miles,SG,"4,200",10.5,"<td class=""width-15 green"" id=""salary-col"">+$400 (10.5%)</td>",400,10.5
22.77,2017-11-17,27.45,+4.68,Bulls,712595,Denzel Valentine,SG,"4,700",9.3,"<td class=""width-15 green"" id=""salary-col"">+$400 (9.3%)</td>",400,9.3
26.62,2017-11-17,32.12,+5.50,Nets,602411,Spencer Dinwiddie,PG,"6,000",9.1,"<td class=""width-15 green"" id=""salary-col"">+$500 (9.1%)</td>",500,9.1
23.84,2017-11-17,23.79,-0.05,Lakers,551975,Jordan Clarkson,PG,"5,500",7.8,"<td class=""width-15 green"" id=""salary-col"">+$400 (7.8%)</td>",400,7.8
33.19,2017-11-18,31.52,-1.67,Warriors,457611,Klay Thompson,SG,"7,400",7.2,"<td class=""width-15 green"" id=""salary-col"">+$500 (7.2%)</td>",500,7.2
28.10,2017-11-17,31.41,+3.31,Bulls,395365,Justin Holiday,SG,"6,400",6.7,"<td class=""width-15 green"" id=""salary-col"">+$400 (6.7%)</td>",400,6.7
21.46,2017-11-17,30.04,+8.58,Nets,330453,Trevor Booker,PF,"4,800",6.7,"<td class=""width-15 green"" id=""salary-col"">+$300 (6.7%)</td>",300,6.7
34.45,2017-11-17,38.51,+4.06,Raptors,266394,Kyle Lowry,PG,"8,200",6.5,"<td class=""width-15 green"" id=""salary-col"">+$500 (6.5%)</td>",500,6.5
39.59,2017-11-17,42.00,+2.41,Heat,513234,Hassan Whiteside,C,"8,900",6.0,"<td class=""width-15 green"" id=""salary-col"">+$500 (6.0%)</td>",500,6.0
27.28,2017-11-17,25.40,-1.88,Bulls,698968,Kris Dunn,PG,"5,300",6.0,"<td class=""width-15 green"" id=""salary-col"">+$300 (6.0%)</td>",300,6.0
