avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
16.99,2017-12-05,27.30,+10.31,Suns,845574,Tyler Ulis,PG,"4,900",22.5,"<td class=""width-15 green"" id=""salary-col"">+$900 (22.5%)</td>",900,22.5
17.46,2017-12-05,26.45,+8.99,Suns,944164,Josh Jackson,SF,"4,600",21.1,"<td class=""width-15 green"" id=""salary-col"">+$800 (21.1%)</td>",800,21.1
31.08,2017-12-05,37.11,+6.03,Suns,660085,T.J. Warren,SF,"8,100",19.1,"<td class=""width-15 green"" id=""salary-col"">+$1300 (19.1%)</td>",1300,19.1
21.91,2017-12-03,22.76,+0.85,Lakers,551975,Jordan Clarkson,SG,"4,500",-15.1,"<td class=""width-15 red"" id=""salary-col"">-$800 (-15.1%)</td>",-800,-15.1
19.76,2017-12-03,18.06,-1.70,Rockets,329715,Ryan Anderson,PF,"4,100",-14.6,"<td class=""width-15 red"" id=""salary-col"">-$700 (-14.6%)</td>",-700,-14.6
25.57,2017-12-05,27.80,+2.23,Jazz,502808,Derrick Favors,PF,"6,000",-14.3,"<td class=""width-15 red"" id=""salary-col"">-$1000 (-14.3%)</td>",-1000,-14.3
20.50,2017-12-04,21.47,+0.97,Nets,548610,Allen Crabbe,SF,"4,800",-14.3,"<td class=""width-15 red"" id=""salary-col"">-$800 (-14.3%)</td>",-800,-14.3
18.12,2017-12-05,15.61,-2.51,Jazz,329187,Thabo Sefolosha,SF,"4,200",13.5,"<td class=""width-15 green"" id=""salary-col"">+$500 (13.5%)</td>",500,13.5
36.67,2017-12-05,39.79,+3.12,Wizards,606912,Brad Beal,SG,"8,600",13.2,"<td class=""width-15 green"" id=""salary-col"">+$1000 (13.2%)</td>",1000,13.2
13.51,2017-12-05,19.02,+5.51,Wizards,659772,Tomas Satoransky,PG,"4,700",-11.3,"<td class=""width-15 red"" id=""salary-col"">-$600 (-11.3%)</td>",-600,-11.3
27.79,2017-12-03,24.02,-3.77,Lakers,844476,Kyle Kuzma,PF,"5,400",8.0,"<td class=""width-15 green"" id=""salary-col"">+$400 (8.0%)</td>",400,8.0
28.29,2017-12-03,27.72,-0.57,Lakers,602730,Kentavious Caldwell-Pope,SG,"5,800",-7.9,"<td class=""width-15 red"" id=""salary-col"">-$500 (-7.9%)</td>",-500,-7.9
15.77,2017-12-04,17.70,+1.93,76ers,292407,Amir Johnson,PF,"3,600",-7.7,"<td class=""width-15 red"" id=""salary-col"">-$300 (-7.7%)</td>",-300,-7.7
51.44,2017-12-05,63.06,+11.62,Thunder,329830,Russell Westbrook,PG,"11,500",7.5,"<td class=""width-15 green"" id=""salary-col"">+$800 (7.5%)</td>",800,7.5
22.89,2017-12-05,29.11,+6.22,Suns,467468,Greg Monroe,C,"4,800",6.7,"<td class=""width-15 green"" id=""salary-col"">+$300 (6.7%)</td>",300,6.7
54.08,2017-12-03,49.12,-4.96,Rockets,395388,James Harden,SG,"11,500",-5.7,"<td class=""width-15 red"" id=""salary-col"">-$700 (-5.7%)</td>",-700,-5.7
25.57,2017-12-05,26.06,+0.49,Jazz,503689,Ricky Rubio,PG,"5,000",-5.7,"<td class=""width-15 red"" id=""salary-col"">-$300 (-5.7%)</td>",-300,-5.7
10.66,2017-12-05,12.13,+1.47,Suns,513526,Troy Daniels,SG,"3,700",5.7,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.7%)</td>",200,5.7
32.88,2017-12-03,31.22,-1.66,Lakers,946714,Lonzo Ball,PG,"6,600",-5.7,"<td class=""width-15 red"" id=""salary-col"">-$400 (-5.7%)</td>",-400,-5.7
16.34,2017-12-05,12.28,-4.06,Wizards,398034,Mike Scott,PF,"3,700",5.7,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.7%)</td>",200,5.7
10.79,2017-12-05,13.62,+2.83,Suns,241712,Jared Dudley,PF,"3,700",5.7,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.7%)</td>",200,5.7
14.15,2017-12-04,18.09,+3.94,Nets,956574,Jarrett Allen,C,"4,000",5.3,"<td class=""width-15 green"" id=""salary-col"">+$200 (5.3%)</td>",200,5.3
16.62,2017-12-05,20.62,+4.00,Suns,884141,Marquese Chriss,PF,"3,700",-5.1,"<td class=""width-15 red"" id=""salary-col"">-$200 (-5.1%)</td>",-200,-5.1
