avg_pts,date,fantasy_pts,fpts_diff,nickname,player_id,player_name,pos_main,salary,salary_change,salary_change_html,salary_diff,salary_diff_percentage
26.26,2017-11-11,31.98,+5.72,Clippers,292401,Lou Williams,SG,17,21.4,"<td class=""width-15 green"" id=""salary-col"">+$3 (21.4%)</td>",3,21.4
23.86,2017-11-11,21.94,-1.92,Suns,616982,Alex Len,C,14,16.7,"<td class=""width-15 green"" id=""salary-col"">+$2 (16.7%)</td>",2,16.7
28.96,2017-11-11,27.16,-1.80,Hawks,410764,Kent Bazemore,SG,20,11.1,"<td class=""width-15 green"" id=""salary-col"">+$2 (11.1%)</td>",2,11.1
27.66,2017-11-11,35.88,+8.22,Jazz,503689,Ricky Rubio,PG,28,-9.7,"<td class=""width-15 red"" id=""salary-col"">-$3 (-9.7%)</td>",-3,-9.7
13.64,2017-11-11,12.88,-0.76,Wizards,513606,Tim Frazier,PG,10,-9.1,"<td class=""width-15 red"" id=""salary-col"">-$1 (-9.1%)</td>",-1,-9.1
20.70,2017-11-11,23.23,+2.53,Suns,3493,Tyson Chandler,C,10,-9.1,"<td class=""width-15 red"" id=""salary-col"">-$1 (-9.1%)</td>",-1,-9.1
18.45,2017-11-11,21.83,+3.38,Jazz,329187,Thabo Sefolosha,SG,10,-9.1,"<td class=""width-15 red"" id=""salary-col"">-$1 (-9.1%)</td>",-1,-9.1
16.27,2017-11-11,16.83,+0.56,Magic,477669,Shelvin Mack,PG,10,-9.1,"<td class=""width-15 red"" id=""salary-col"">-$1 (-9.1%)</td>",-1,-9.1
31.36,2017-11-11,34.84,+3.48,Suns,660085,T.J. Warren,SF,27,8.0,"<td class=""width-15 green"" id=""salary-col"">+$2 (8.0%)</td>",2,8.0
21.48,2017-11-11,26.06,+4.58,Bucks,502871,John Henson,C,14,7.7,"<td class=""width-15 green"" id=""salary-col"">+$1 (7.7%)</td>",1,7.7
27.94,2017-11-10,34.56,+6.62,Trail Blazers,830642,Jusuf Nurkic,C,31,6.9,"<td class=""width-15 green"" id=""salary-col"">+$2 (6.9%)</td>",2,6.9
42.41,2017-11-10,44.84,+2.43,Trail Blazers,463121,Damian Lillard,PG,48,6.7,"<td class=""width-15 green"" id=""salary-col"">+$3 (6.7%)</td>",3,6.7
28.96,2017-11-11,29.34,+0.38,Bucks,509449,Eric Bledsoe,PG,29,-6.5,"<td class=""width-15 red"" id=""salary-col"">-$2 (-6.5%)</td>",-2,-6.5
33.84,2017-11-10,32.60,-1.24,Trail Blazers,522878,C.J. McCollum,SG,33,6.5,"<td class=""width-15 green"" id=""salary-col"">+$2 (6.5%)</td>",2,6.5
31.36,2017-11-11,38.34,+6.98,Clippers,398142,DeAndre Jordan,C,29,-6.5,"<td class=""width-15 red"" id=""salary-col"">-$2 (-6.5%)</td>",-2,-6.5
22.72,2017-11-11,22.01,-0.71,Suns,567497,Mike James,PG,17,6.3,"<td class=""width-15 green"" id=""salary-col"">+$1 (6.3%)</td>",1,6.3
33.31,2017-11-11,32.88,-0.43,Magic,748788,Aaron Gordon,PF,36,5.9,"<td class=""width-15 green"" id=""salary-col"">+$2 (5.9%)</td>",2,5.9
29.49,2017-11-11,28.33,-1.16,Knicks,553574,Enes Kanter,C,22,4.8,"<td class=""width-15 green"" id=""salary-col"">+$1 (4.8%)</td>",1,4.8
30.85,2017-11-11,28.27,-2.58,Magic,659767,Evan Fournier,SG,30,3.4,"<td class=""width-15 green"" id=""salary-col"">+$1 (3.4%)</td>",1,3.4
31.11,2017-11-11,33.43,+2.32,Pelicans,457576,Jrue Holiday,SG,29,-3.3,"<td class=""width-15 red"" id=""salary-col"">-$1 (-3.3%)</td>",-1,-3.3
23.51,2017-11-11,31.03,+7.52,Magic,608661,Elfrid Payton,PG,30,-3.2,"<td class=""width-15 red"" id=""salary-col"">-$1 (-3.2%)</td>",-1,-3.2
32.05,2017-11-11,36.31,+4.26,Nuggets,237675,Paul Millsap,PF,33,3.1,"<td class=""width-15 green"" id=""salary-col"">+$1 (3.1%)</td>",1,3.1
34.39,2017-11-11,37.10,+2.71,Magic,457598,Nikola Vucevic,C,33,3.1,"<td class=""width-15 green"" id=""salary-col"">+$1 (3.1%)</td>",1,3.1
34.29,2017-11-11,38.63,+4.34,Hawks,739958,Dennis Schroder,PG,32,-3.0,"<td class=""width-15 red"" id=""salary-col"">-$1 (-3.0%)</td>",-1,-3.0
1.00,2017-11-11,3.05,+2.05,Warriors,601140,Quinn Cook,PG,10,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
18.69,2017-11-10,24.28,+5.59,Trail Blazers,398068,Evan Turner,SF,17,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
17.68,2017-11-10,16.94,-0.74,Trail Blazers,462458,Ed Davis,PF,11,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
17.45,2017-11-11,14.20,-3.25,Nuggets,510790,Mason Plumlee,C,10,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
27.75,2017-11-11,32.72,+4.97,Nuggets,551760,Will Barton,SG,20,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
16.40,2017-11-10,18.45,+2.05,Trail Blazers,609843,Maurice Harkless,PF,11,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
20.33,2017-11-11,24.50,+4.17,Nuggets,877870,Emmanuel Mudiay,PG,13,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
52.81,2017-11-11,57.35,+4.54,Cavaliers,214152,LeBron James,SF,55,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
17.59,2017-11-11,20.72,+3.13,Cavaliers,266367,Jeff Green,SF,12,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
14.03,2017-11-11,0.86,-13.17,Knicks,278479,Ramon Sessions,PG,10,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
35.21,2017-11-11,40.78,+5.57,Cavaliers,395374,Kevin Love,C,32,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
13.13,2017-11-11,20.47,+7.35,Cavaliers,457186,Iman Shumpert,PG,10,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
29.79,2017-11-11,27.08,-2.71,Knicks,551771,Tim Hardaway Jr.,SF,25,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
16.19,2017-11-11,12.37,-3.82,Cavaliers,58293,Kyle Korver,SG,10,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
6.91,2017-11-11,6.58,-0.33,Knicks,840567,Willy Hernangomez,C,10,0.0,"<td class=""width-15 green"" id=""salary-col"">+$0 (0.0%)</td>",0,0.0
