Name,Salary,Position,team,AvgPointsPerGame,expectedScore,atHome,opponent,injured, penalty
Devin Booker,6300,SG,PHO,29.044,104,1,MIA,0,0.00
Eric Bledsoe,7700,PG,PHO,38.221,104,1,MIA,0,0.00
T.J. Warren,5000,SF,PHO,25.148000000000003,104,1,MIA,0,0.00
Tyson Chandler,4600,C,PHO,23.991,104,1,MIA,0,0.00
P.J. Tucker,3700,SF,PHO,17.65,104,1,MIA,0,0.00
Jared Dudley,3200,PF,PHO,16.858,104,1,MIA,0,0.00
Brandon Knight,4200,PG/SG,PHO,20.586,104,1,MIA,0,0.00
Alex Len,3600,C,PHO,21.811,104,1,MIA,0,0.00
Marquese Chriss,3100,PF,PHO,13.364,104,1,MIA,0,0.00
Leandro Barbosa,3000,PG/SG,PHO,10.963,104,1,MIA,0,0.00
Dragan Bender,3300,SF/PF,PHO,7.92,104,1,MIA,0,0.00
Tyler Ulis,3000,PG,PHO,7.523,104,1,MIA,0,0.00
Alan Williams,3000,C,PHO,9.767999999999999,104,1,MIA,0,0.00
John Jenkins,3000,SG,PHO,2.563,104,1,MIA,0,0.00
Kyle Lowry,8400,PG,TOR,43.644,104,0,SAS,0,0.00
DeMar DeRozan,8100,SG,TOR,41.856,104,0,SAS,0,0.00
Jonas Valanciunas,4800,C,TOR,27.565,104,0,SAS,0,0.00
DeMarre Carroll,3600,SF/PF,TOR,18.464000000000002,104,0,SAS,0,0.00
Cory Joseph,3500,PG,TOR,17.898,104,0,SAS,0,0.00
Terrence Ross,3700,SG/SF,TOR,18.063,104,0,SAS,0,0.00
Lucas Nogueira,3500,C,TOR,16.702,104,0,SAS,0,0.00
Pascal Siakam,3100,PF,TOR,12.652000000000001,104,0,SAS,0,0.00
Norman Powell,4000,SG/SF,TOR,11.81,104,0,SAS,0,0.00
Jakob Poeltl,3000,C,TOR,7.875,104,0,SAS,0,0.00
Fred VanVleet,3000,PG,TOR,4.406000000000001,104,0,SAS,0,0.00
