Name,Salary,Position,team,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,7dayAvg,penalty
Giannis Antetokounmpo,10700,PG,MIL,51.566,105,1,NYK,0,55.566,50.214,0.00
Jabari Parker,7300,SF/PF,MIL,33.779,105,1,NYK,0,35.779,40.179,0.00
Tony Snell,3300,SG/SF,MIL,16.470,105,1,NYK,0,16.470,14.964,0.00
Malcolm Brogdon,5700,PG/SG,MIL,19.265,105,1,NYK,0,19.265,21.250,0.00
Greg Monroe,5800,C,MIL,25.235,105,1,NYK,0,27.235,27.107,0.00
John Henson,3400,C,MIL,18.453,105,1,NYK,0,18.453,22.036,0.00
Mirza Teletovic,3000,PF,MIL,14.000,105,1,NYK,0,14.000,13.000,0.00
Jason Terry,3000,PG,MIL,8.034,105,1,NYK,0,8.034,7.893,0.00
Michael Beasley,3200,SF/PF,MIL,15.143,105,1,NYK,0,15.143,17.750,0.00
Miles Plumlee,3000,C,MIL,6.250,105,1,NYK,0,6.250,7.250,0.00
Thon Maker,3000,PF,MIL,4.250,105,1,NYK,0,4.250,7.562,0.00
Steve Novak,3000,SF,MIL,1.156,105,1,NYK,0,1.156,0.417,0.00
Avery Bradley,6100,SG,BOS,33.559,103,1,PHI,0,33.559,28.964,0.00
Isaiah Thomas,8300,PG,BOS,42.992,103,1,PHI,0,44.992,44.607,0.00
Al Horford,6900,C,BOS,36.340,103,1,PHI,0,36.340,40.929,0.00
Jae Crowder,5200,SF,BOS,26.380,103,1,PHI,0,26.380,23.857,0.00
Marcus Smart,4400,SG/SF,BOS,23.617,103,1,PHI,0,23.617,20.000,0.00
Amir Johnson,3800,PF/C,BOS,16.950,103,1,PHI,0,17.950,20.107,0.00
Kelly Olynyk,3400,PF/C,BOS,17.853,103,1,PHI,0,17.853,17.143,0.00
Terry Rozier,3000,PG,BOS,14.371,103,1,PHI,0,14.371,13.143,0.00
Jonas Jerebko,3000,PF,BOS,11.493,103,1,PHI,0,11.493,12.000,0.00
Jaylen Brown,3000,SF,BOS,9.507,103,1,PHI,0,9.507,7.500,0.00
Gerald Green,3000,SG,BOS,10.412,103,1,PHI,0,10.412,12.643,0.00
Jordan Mickey,3000,PF,BOS,5.306,103,1,PHI,0,5.306,4.188,0.00
Demetrius Jackson,3000,PG,BOS,5.000,103,1,PHI,0,5.000,7.625,0.00
Kevin Durant,9400,SF,GSW,49.618,105,1,MEM,0,48.618,47.071,0.00
Stephen Curry,8500,PG,GSW,42.403,105,1,MEM,0,42.403,39.036,0.00
Draymond Green,7500,PF/C,GSW,39.765,105,1,MEM,0,40.765,39.893,0.00
Andre Iguodala,3500,SF,GSW,17.529,105,1,MEM,0,17.529,17.607,0.00
Zaza Pachulia,3400,C,GSW,17.313,105,1,MEM,0,17.313,17.464,0.00
Shaun Livingston,3600,PG,GSW,11.050,105,1,MEM,0,11.050,12.714,0.00
Ian Clark,3000,PG/SG,GSW,12.280,105,1,MEM,0,12.280,16.179,0.00
Patrick McCaw,3000,SG/SF,GSW,6.741,105,1,MEM,0,6.741,6.321,0.00
David West,3000,PF,GSW,12.299,105,1,MEM,0,12.299,11.786,0.00
Damian Jones,3000,C,GSW,-1.000,105,1,MEM,0,-1.000,0.0,0.00
Kevon Looney,3000,PF,GSW,8.078,105,1,MEM,0,8.078,7.143,0.00
JaVale McGee,3000,C,GSW,10.328,105,1,MEM,0,10.328,13.607,0.00
Anderson Varejao,3000,C,GSW,6.000,105,1,MEM,0,6.000,5.667,0.00
James Michael McAdoo,3000,PF,GSW,3.036,105,1,MEM,0,3.036,0.000,0.00
Evan Fournier,5800,SG/SF,ORL,28.430,106,1,HOU,0,28.430,32.500,0.00
Serge Ibaka,6400,PF/C,ORL,30.622,106,1,HOU,0,32.622,31.857,0.00
Elfrid Payton,6000,PG,ORL,28.074,106,1,HOU,0,28.074,29.357,0.00
Nikola Vucevic,6300,C,ORL,33.919,106,1,HOU,0,33.919,32.571,0.00
Aaron Gordon,4900,SF/PF,ORL,21.919,106,1,HOU,0,22.919,26.071,0.00
Bismack Biyombo,3600,C,ORL,20.667,106,1,HOU,0,20.667,20.714,0.00
Jeff Green,3200,SF/PF,ORL,16.167,106,1,HOU,0,16.167,11.571,0.00
Jodie Meeks,3700,SG,ORL,16.603,106,1,HOU,0,16.603,15.393,0.00
D.J. Augustin,3200,PG,ORL,15.953,106,1,HOU,0,15.953,16.536,0.00
C.J. Watson,3000,PG/SG,ORL,7.130,106,1,HOU,0,7.130,0.000,0.00
Mario Hezonja,3000,SG,ORL,6.050,106,1,HOU,0,6.050,4.786,0.00
Damjan Rudez,3000,SF,ORL,4.250,106,1,HOU,0,4.250,4.071,0.00
C.J. Wilcox,3000,SG,ORL,2.783,106,1,HOU,0,2.783,0.000,0.00
Arinze Onuaku,3000,PF,ORL,1.938,106,1,HOU,0,1.938,1.875,0.00
Julius Randle,7200,PF/C,LAL,32.316,103,1,MIA,0,32.316,39.179,0.00
Jordan Clarkson,4400,PG/SG,LAL,23.615,103,1,MIA,0,23.615,19.036,0.00
Brandon Ingram,3200,SF,LAL,16.622,103,1,MIA,0,17.622,13.893,0.00
D'Angelo Russell,6200,PG,LAL,29.183,103,1,MIA,0,29.183,27.036,0.00
Nick Young,4600,SG,LAL,22.164,103,1,MIA,0,22.164,24.179,0.00
Larry Nance Jr.,3500,SF/PF,LAL,19.214,103,1,MIA,0,19.214,0.00,0.00
Timofey Mozgov,3300,C,LAL,16.382,103,1,MIA,0,16.382,16.464,0.00
Tarik Black,3000,C,LAL,14.296,103,1,MIA,0,14.296,17.857,0.00
Jose Calderon,3000,PG,LAL,10.983,103,1,MIA,0,10.983,16.000,0.00
Marcelo Huertas,3000,PG,LAL,9.679,103,1,MIA,0,9.679,7.400,0.00
Thomas Robinson,3100,PF,LAL,12.106,103,1,MIA,0,12.106,14.857,0.00
Ivica Zubac,3000,C,LAL,4.036,103,1,MIA,0,4.036,0.000,0.00
Metta World Peace,3000,SF,LAL,3.135,103,1,MIA,0,3.135,0.000,0.00
Carmelo Anthony,7900,SF,NYK,37.221,105,0,MIL,0,38.221,33.036,0.00
Derrick Rose,6000,PG,NYK,30.395,105,0,MIL,0,30.395,26.500,0.00
Courtney Lee,3900,SG,NYK,19.175,105,0,MIL,0,19.175,18.179,0.00
Joakim Noah,5500,C,NYK,23.089,105,0,MIL,0,23.089,23.929,0.00
Justin Holiday,3700,PG/SG,NYK,15.421,105,0,MIL,0,15.421,23.107,0.00
Lance Thomas,3200,SF/PF,NYK,9.167,105,0,MIL,0,9.167,7.321,0.00
Kyle O'Quinn,3600,PF/C,NYK,17.205,105,0,MIL,0,17.205,20.393,0.00
Mindaugas Kuzminskas,3100,SF,NYK,9.336,105,0,MIL,0,9.336,7.429,0.00
Marshall Plumlee,3000,C,NYK,5.000,105,0,MIL,0,5.000,6.875,0.00
Ron Baker,3000,SG,NYK,6.727,105,0,MIL,0,6.727,8.125,0.00
Sasha Vujacic,3000,SG,NYK,5.202,105,0,MIL,0,5.202,5.357,0.00
Maurice Ndour,3000,PF,NYK,5.067,105,0,MIL,0,5.067,5.179,0.00
James Harden,12200,PG/SG,HOU,60.574,106,0,ORL,0,65.574,56.107,0.00
Trevor Ariza,5900,SF,HOU,27.953,106,0,ORL,0,27.953,24.429,0.00
Patrick Beverley,5400,PG,HOU,27.848,106,0,ORL,0,27.848,28.464,0.00
Ryan Anderson,5600,PF,HOU,24.500,106,0,ORL,0,24.500,35.214,0.00
Eric Gordon,5800,SG,HOU,28.919,106,0,ORL,0,30.919,31.893,0.00
Sam Dekker,3400,SF/PF,HOU,15.446,106,0,ORL,0,15.446,18.071,0.00
Montrezl Harrell,5500,PF/C,HOU,16.920,106,0,ORL,0,16.920,18.500,0.00
Corey Brewer,3000,SG/SF,HOU,9.027,106,0,ORL,0,9.027,6.393,0.00
K.J. McDaniels,3000,SF,HOU,6.213,106,0,ORL,0,6.213,0.000,0.00
Chinanu Onuaku,3000,C,HOU,13.250,106,0,ORL,0,13.250,0.00,0.00
