Name,Salary,Position,team,AvgPointsPerGame,expectedScore,atHome,opponent,injured,fpWithBonus,7dayAvg,floorAvg
Kentavious Caldwell-Pope,5500,SG,DET,26.696,104,0,POR,0,26.696,25.500,17.264
Tobias Harris,6200,SF/PF,DET,28.191,104,0,POR,0,28.191,23.464,20.592
Marcus Morris,4800,SF,DET,23.581,104,0,POR,0,23.581,18.214,16.697
Andre Drummond,7600,C,DET,38.007,104,0,POR,0,38.007,38.607,29.387
Reggie Jackson,7000,PG,DET,29.353,104,0,POR,0,29.353,26.250,22.750
Jon Leuer,4900,PF,DET,23.284,104,0,POR,0,23.284,26.107,17.279
Ish Smith,3200,PG,DET,21.493,104,0,POR,0,21.493,15.964,13.882
Beno Udrih,3000,PG,DET,13.635,104,0,POR,0,13.635,10.214,8.292
Stanley Johnson,3000,SG/SF,DET,9.559,104,0,POR,0,9.559,11.679,4.875
Darrun Hilliard,3000,SG,DET,6.716,104,0,POR,0,6.716,8.964,3.154
Boban Marjanovic,3600,C,DET,8.483,104,0,POR,0,8.483,6.250,2.972
Henry Ellenson,3000,PF,DET,2.250,104,0,POR,0,2.250,2.250,0.450
Paul George,8000,SF/PF,IND,39.250,106,1,NYK,0,39.250,40.000,33.625
Jeff Teague,7700,PG,IND,36.155,106,1,NYK,0,36.155,42.357,26.542
Thaddeus Young,5500,PF,IND,25.351,106,1,NYK,0,25.351,30.214,19.793
Myles Turner,7200,C,IND,33.042,106,1,NYK,0,33.042,38.536,25.074
Monta Ellis,3900,SG,IND,20.078,106,1,NYK,0,20.078,17.571,12.067
C.J. Miles,3400,SF,IND,18.363,106,1,NYK,0,18.363,0.000,0.000
Al Jefferson,3200,C,IND,15.601,106,1,NYK,0,15.601,14.929,10.425
Aaron Brooks,3000,PG,IND,12.074,106,1,NYK,0,12.074,12.464,7.431
Lavoy Allen,3000,C,IND,6.879,106,1,NYK,0,6.879,4.893,3.828
Kevin Seraphin,3000,PF/C,IND,9.863,106,1,NYK,0,9.863,10.786,4.438
Joe Young,3000,SG,IND,5.000,106,1,NYK,0,5.000,2.429,0.386
Georges Niang,3000,PF,IND,2.400,106,1,NYK,0,2.400,3.071,0.472
Rakeem Christmas,3000,PF,IND,3.417,106,1,NYK,0,3.417,7.500,1.375
Kyle Lowry,8400,PG,TOR,43.129,103,0,CHI,0,43.129,44.750,33.929
DeMar DeRozan,8000,SG,TOR,41.543,103,0,CHI,0,41.543,41.143,33.950
Jonas Valanciunas,5200,C,TOR,27.205,103,0,CHI,0,27.205,24.393,19.656
DeMarre Carroll,3800,SF/PF,TOR,18.508,103,0,CHI,0,18.508,14.536,12.824
Cory Joseph,3500,PG,TOR,17.919,103,0,CHI,0,17.919,19.500,12.789
Terrence Ross,3900,SG/SF,TOR,18.360,103,0,CHI,0,18.360,22.571,12.368
Lucas Nogueira,3400,C,TOR,16.652,103,0,CHI,0,16.652,14.393,10.500
Pascal Siakam,3000,PF,TOR,12.221,103,0,CHI,0,12.221,9.821,6.583
Norman Powell,3700,SG/SF,TOR,11.306,103,0,CHI,0,11.306,7.286,5.138
Jakob Poeltl,3000,C,TOR,8.194,103,0,CHI,0,8.194,9.214,4.364
Fred VanVleet,3000,PG,TOR,4.361,103,0,CHI,0,4.361,7.500,1.571
Bruno Caboclo,3000,SF,TOR,2.875,103,0,CHI,0,2.875,0.000,0.417
Kemba Walker,7900,PG,CHO,40.076,103,0,SAS,0,40.076,39.786,33.475
Michael Kidd-Gilchrist,4700,SF,CHO,23.139,103,0,SAS,0,23.139,20.464,16.684
Marvin Williams,4600,PF,CHO,21.742,103,0,SAS,0,21.742,22.464,15.567
Marco Belinelli,3800,SG,CHO,18.531,103,0,SAS,0,18.531,20.786,12.547
Frank Kaminsky,4100,PF,CHO,21.286,103,0,SAS,0,21.286,16.750,15.738
Jeremy Lamb,4000,SG/SF,CHO,17.856,103,0,SAS,0,17.856,17.107,8.188
Spencer Hawes,4000,PF/C,CHO,16.241,103,0,SAS,0,16.241,13.214,8.589
Ramon Sessions,3400,PG,CHO,13.615,103,0,SAS,0,13.615,16.750,10.364
Roy Hibbert,3000,C,CHO,12.984,103,0,SAS,0,12.984,13.464,8.667
Treveon Graham,3000,SF,CHO,3.750,103,0,SAS,0,3.750,3.750,0.562
Brian Roberts,3000,PG,CHO,3.194,103,0,SAS,0,3.194,5.083,-0.375
Christian Wood,3000,PF,CHO,2.500,103,0,SAS,0,2.500,0.00,0.00
Zach LaVine,6100,SG,MIN,31.650,100,1,UTA,0,31.650,35.536,24.389
Andrew Wiggins,6000,SF,MIN,32.778,100,1,UTA,0,32.778,33.964,23.441
Karl-Anthony Towns,8700,PF/C,MIN,44.750,100,1,UTA,0,44.750,51.214,37.786
Gorgui Dieng,5300,PF/C,MIN,27.639,100,1,UTA,0,27.639,25.821,20.188
Ricky Rubio,5000,PG,MIN,25.645,100,1,UTA,0,25.645,27.429,19.500
Kris Dunn,3000,PG,MIN,12.729,100,1,UTA,0,12.729,13.857,7.440
Nemanja Bjelica,3000,SF/PF,MIN,13.140,100,1,UTA,0,13.140,11.500,6.737
Brandon Rush,3000,SG,MIN,5.563,100,1,UTA,0,5.563,6.100,2.714
Cole Aldrich,3400,C,MIN,9.992,100,1,UTA,0,9.992,7.214,5.338
Tyus Jones,3000,PG,MIN,9.000,100,1,UTA,0,9.000,2.500,2.227
Adreian Payne,3000,PF,MIN,9.000,100,1,UTA,0,9.000,10.750,4.625
Jordan Hill,3000,PF,MIN,5.350,100,1,UTA,0,5.350,2.667,0.625
John Lucas III,3000,PG,MIN,1.500,100,1,UTA,0,1.500,0.0,0.0
Jerami Grant,3200,SF/PF,OKC,13.285,107,1,DEN,0,13.285,13.429,9.706
Danilo Gallinari,5400,SF,DEN,28.864,107,0,OKC,0,28.864,29.250,23.044
Wilson Chandler,5600,SF/PF,DEN,29.659,107,0,OKC,0,29.659,23.000,20.559
Emmanuel Mudiay,4600,PG,DEN,24.429,107,0,OKC,0,24.429,13.179,14.722
Will Barton,4800,SG/SF,DEN,25.458,107,0,OKC,0,25.458,28.571,15.932
Gary Harris,4700,SG,DEN,23.000,107,0,OKC,0,23.000,17.750,14.100
Jameer Nelson,3000,PG,DEN,18.535,107,0,OKC,0,18.535,18.000,12.080
Jamal Murray,3000,PG/SG,DEN,15.694,107,0,OKC,0,15.694,17.500,8.405
Jusuf Nurkic,3600,C,DEN,21.961,107,0,OKC,0,21.961,22.286,13.750
Darrell Arthur,3000,PF,DEN,10.688,107,0,OKC,0,10.688,10.964,5.611
Malik Beasley,3000,PG,DEN,4.475,107,0,OKC,0,4.475,3.200,0.821
Mike Miller,3000,SG,DEN,4.650,107,0,OKC,0,4.650,1.125,1.500
Gordon Hayward,7400,SF,UTA,37.708,100,0,MIN,0,37.708,36.393,29.143
Rudy Gobert,7100,C,UTA,35.608,100,0,MIN,0,35.608,39.464,26.750
Rodney Hood,4500,SG,UTA,23.313,100,0,MIN,0,23.313,15.964,15.250
Shelvin Mack,4600,PG,UTA,17.419,100,0,MIN,0,17.419,19.643,11.539
Joe Johnson,3300,SG/SF,UTA,16.291,100,0,MIN,0,16.291,14.357,9.074
Derrick Favors,5200,PF/C,UTA,20.330,100,0,MIN,0,20.330,19.929,13.788
Dante Exum,3000,PG,UTA,12.190,100,0,MIN,0,12.190,11.607,6.542
Trey Lyles,3100,PF,UTA,17.027,100,0,MIN,0,17.027,10.679,10.569
Joe Ingles,4000,SG/SF,UTA,14.959,100,0,MIN,0,14.959,17.714,7.274
Boris Diaw,3000,PF/C,UTA,10.875,100,0,MIN,0,10.875,12.893,5.917
Jeff Withey,3000,C,UTA,7.948,100,0,MIN,0,7.948,9.714,3.875
Raul Neto,3000,PG,UTA,5.638,100,0,MIN,0,5.638,7.893,1.159
Alec Burks,3000,SG,UTA,2.375,100,0,MIN,0,2.375,2.375,-0.500
Joel Bolomboy,3000,PF,UTA,2.833,100,0,MIN,0,2.833,3.550,1.050
Harrison Barnes,6400,SF/PF,DAL,31.785,100,1,ATL,0,31.785,33.964,24.484
Wesley Matthews,5300,SG,DAL,26.486,100,1,ATL,0,26.486,26.179,19.903
Deron Williams,6000,PG,DAL,28.089,100,1,ATL,0,28.089,29.143,19.500
Seth Curry,4300,SG,DAL,20.359,100,1,ATL,0,20.359,20.250,14.676
Andrew Bogut,3200,C,DAL,20.188,100,1,ATL,0,20.188,18.107,15.227
Dirk Nowitzki,5000,PF/C,DAL,22.500,100,1,ATL,0,22.500,19.700,17.000
Dorian Finney-Smith,3000,SF,DAL,11.879,100,1,ATL,0,11.879,18.643,6.886
Dwight Powell,3400,PF/C,DAL,18.500,100,1,ATL,0,18.500,16.214,12.855
Justin Anderson,3000,SG/SF,DAL,15.258,100,1,ATL,0,15.258,15.071,9.691
Devin Harris,3200,PG,DAL,11.050,100,1,ATL,0,11.050,14.750,5.688
Salah Mejri,3000,C,DAL,11.032,100,1,ATL,0,11.032,15.143,4.559
Nicolas Brussino,3000,SG,DAL,5.135,100,1,ATL,0,5.135,5.071,1.483
Pierre Jackson,3000,PG,DAL,6.500,100,1,ATL,0,6.500,4.083,0.750
A.J. Hammons,3000,C,DAL,3.794,100,1,ATL,0,3.794,0.000,0.000
Anthony Davis,10600,PF/C,NOP,54.750,104,0,BOS,0,54.750,47.607,41.544
Jrue Holiday,7000,PG,NOP,32.773,104,0,BOS,0,32.773,29.464,26.979
Tim Frazier,4000,PG,NOP,27.266,104,0,BOS,0,27.266,29.536,18.092
Solomon Hill,3000,SF,NOP,15.300,104,0,BOS,0,15.300,15.607,10.500
Dante Cunningham,3600,SF/PF,NOP,14.833,104,0,BOS,0,14.833,17.500,8.646
E'Twaun Moore,3200,SG,NOP,18.530,104,0,BOS,0,18.530,15.536,13.750
Terrence Jones,4500,PF/C,NOP,22.821,104,0,BOS,0,22.821,22.536,14.458
Langston Galloway,3000,PG,NOP,17.139,104,0,BOS,0,17.139,12.750,10.238
Buddy Hield,4300,SG,NOP,15.608,104,0,BOS,0,15.608,20.643,8.139
Omer Asik,3000,C,NOP,11.938,104,0,BOS,0,11.938,8.321,7.062
Tyreke Evans,4100,SG/SF,NOP,16.833,104,0,BOS,0,16.833,16.125,12.292
Alexis Ajinca,3000,C,NOP,12.450,104,0,BOS,0,12.450,16.500,6.750
Cheick Diallo,3000,PF,NOP,11.857,104,0,BOS,0,11.857,16.600,5.812
Kawhi Leonard,8100,SF,SAS,41.493,103,1,CHO,0,41.493,39.536,32.696
LaMarcus Aldridge,7100,PF/C,SAS,33.083,103,1,CHO,0,33.083,34.607,25.056
Pau Gasol,5800,C,SAS,29.522,103,1,CHO,0,29.522,31.571,22.042
Danny Green,3900,SG,SAS,17.661,103,1,CHO,0,17.661,18.321,10.500
Tony Parker,5000,PG,SAS,21.491,103,1,CHO,0,21.491,27.179,14.804
Patty Mills,3700,PG,SAS,19.931,103,1,CHO,0,19.931,18.071,14.167
Manu Ginobili,3800,SG,SAS,18.500,103,1,CHO,0,18.500,19.821,13.176
Jonathon Simmons,3500,SG/SF,SAS,13.000,103,1,CHO,0,13.000,14.393,7.583
David Lee,3600,PF,SAS,16.132,103,1,CHO,0,16.132,18.250,12.036
Dewayne Dedmon,3500,C,SAS,14.233,103,1,CHO,0,14.233,14.964,8.333
Kyle Anderson,3000,SG,SAS,9.234,103,1,CHO,0,9.234,8.071,4.263
Davis Bertans,3000,SF/PF,SAS,6.060,103,1,CHO,0,6.060,7.500,2.276
Dejounte Murray,3000,PG,SAS,4.792,103,1,CHO,0,4.792,5.750,1.750
Bryn Forbes,3000,PG,SAS,1.462,103,1,CHO,0,1.462,2.958,0.125
Paul Millsap,7500,PF,ATL,38.492,100,0,DAL,0,38.492,38.679,27.375
Dennis Schroder,6500,PG,ATL,32.319,100,0,DAL,0,32.319,38.036,24.368
Dwight Howard,7000,C,ATL,36.656,100,0,DAL,0,36.656,36.643,25.589
Kyle Korver,4000,SG,ATL,19.141,100,0,DAL,0,19.141,17.036,12.183
Kent Bazemore,4500,SG/SF,ATL,21.463,100,0,DAL,0,21.463,17.607,12.859
Thabo Sefolosha,4400,SG/SF,ATL,21.030,100,0,DAL,0,21.030,25.857,15.153
Mike Muscala,3200,PF/C,ATL,17.174,100,0,DAL,0,17.174,16.500,10.143
Malcolm Delaney,3000,PG,ATL,12.354,100,0,DAL,0,12.354,13.893,5.846
Kris Humphries,3000,PF/C,ATL,9.898,100,0,DAL,0,9.898,11.750,4.853
DeAndre' Bembry,3000,SF,ATL,4.154,100,0,DAL,0,4.154,5.536,1.094
Ryan Kelly,3000,SF,ATL,4.667,100,0,DAL,0,4.667,6.812,2.650
Jimmy Butler,8900,SG/SF,CHI,44.194,103,1,TOR,0,44.194,48.643,35.476
Dwyane Wade,6100,SG,CHI,32.848,103,1,TOR,0,32.848,28.750,24.817
Rajon Rondo,5100,PG,CHI,28.422,103,1,TOR,0,28.422,30.393,18.917
Taj Gibson,4900,PF/C,CHI,25.361,103,1,TOR,0,25.361,21.393,19.675
Robin Lopez,4300,C,CHI,22.819,103,1,TOR,0,22.819,21.750,17.118
Doug McDermott,3800,SF,CHI,16.630,103,1,TOR,0,16.630,15.071,11.167
Nikola Mirotic,4500,SF/PF,CHI,21.522,103,1,TOR,0,21.522,20.714,14.569
Michael Carter-Williams,5000,PG,CHI,17.861,103,1,TOR,0,17.861,18.000,11.438
Isaiah Canaan,3000,PG,CHI,11.212,103,1,TOR,0,11.212,7.214,6.150
Jerian Grant,3500,PG,CHI,10.134,103,1,TOR,0,10.134,12.250,4.609
Cristiano Felicio,3000,C,CHI,11.393,103,1,TOR,0,11.393,12.964,6.304
Bobby Portis,3000,PF,CHI,9.141,103,1,TOR,0,9.141,9.107,5.183
Paul Zipser,3000,SF,CHI,2.750,103,1,TOR,0,2.750,3.500,0.812
Avery Bradley,6100,SG,BOS,33.893,104,1,NOP,0,33.893,31.857,27.044
Isaiah Thomas,8500,PG,BOS,42.617,104,1,NOP,0,42.617,44.679,35.486
Al Horford,6700,C,BOS,36.750,104,1,NOP,0,36.750,39.357,28.712
Jae Crowder,5300,SF,BOS,25.955,104,1,NOP,0,25.955,22.107,19.583
Marcus Smart,4500,SG/SF,BOS,23.962,104,1,NOP,0,23.962,23.679,18.778
Amir Johnson,3900,PF/C,BOS,17.417,104,1,NOP,0,17.417,22.214,10.056
Kelly Olynyk,3400,PF/C,BOS,17.942,104,1,NOP,0,17.942,18.679,10.019
Terry Rozier,3000,PG,BOS,14.070,104,1,NOP,0,14.070,12.536,8.221
Jonas Jerebko,3000,PF,BOS,11.257,104,1,NOP,0,11.257,9.964,6.645
Jaylen Brown,3000,SF,BOS,9.319,104,1,NOP,0,9.319,7.893,4.643
Gerald Green,3000,SG,BOS,10.028,104,1,NOP,0,10.028,11.750,5.227
Jordan Mickey,3000,PF,BOS,5.306,104,1,NOP,0,5.306,4.188,1.812
Demetrius Jackson,3000,PG,BOS,5.000,104,1,NOP,0,5.000,7.625,1.583
Russell Westbrook,12900,PG,OKC,64.101,107,1,DEN,0,64.101,68.000,53.361
Victor Oladipo,6600,SG,OKC,28.705,107,1,DEN,0,28.705,26.643,19.750
Andre Roberson,3700,SF,OKC,18.243,107,1,DEN,0,18.243,22.393,10.219
Steven Adams,5700,C,OKC,27.216,107,1,DEN,0,27.216,28.857,21.079
Jerami Grant,3200,SF/PF,OKC,13.285,107,1,DEN,0,13.285,13.429,9.706
Domantas Sabonis,3000,PF,OKC,14.399,107,1,DEN,0,14.399,13.321,9.276
Enes Kanter,5200,C,OKC,24.676,107,1,DEN,0,24.676,27.286,16.500
Anthony Morrow,3000,SG,OKC,8.759,107,1,DEN,0,8.759,8.893,4.044
Semaj Christon,3000,PG,OKC,9.333,107,1,DEN,0,9.333,10.821,4.809
Joffrey Lauvergne,3000,PF/C,OKC,12.661,107,1,DEN,0,12.661,13.750,7.667
Alex Abrines,3000,SG,OKC,9.075,107,1,DEN,0,9.075,8.893,4.344
Kyle Singler,3000,SF,OKC,4.338,107,1,DEN,0,4.338,2.750,1.333
Nick Collison,3000,C,OKC,4.250,107,1,DEN,0,4.250,2.650,0.500
Damian Lillard,8600,PG,POR,44.409,104,1,DET,0,44.409,41.750,34.188
C.J. McCollum,7800,PG/SG,POR,36.895,104,1,DET,0,36.895,0.000,0.000
Maurice Harkless,4600,SF,POR,23.892,104,1,DET,0,23.892,24.643,17.059
Allen Crabbe,3800,SG/SF,POR,17.855,104,1,DET,0,17.855,20.571,12.375
Mason Plumlee,5900,C,POR,30.375,104,1,DET,0,30.375,30.357,22.988
Al-Farouq Aminu,4900,PF,POR,19.976,104,1,DET,0,19.976,19.929,14.591
Evan Turner,4300,SG/SF,POR,20.979,104,1,DET,0,20.979,27.321,15.053
Ed Davis,3000,C,POR,12.813,104,1,DET,0,12.813,13.393,6.556
Meyers Leonard,3000,PF/C,POR,11.647,104,1,DET,0,11.647,14.821,5.412
Noah Vonleh,3000,PF,POR,8.621,104,1,DET,0,8.621,9.357,4.319
Shabazz Napier,3000,PG,POR,7.667,104,1,DET,0,7.667,7.821,3.212
Jake Layman,3000,PF,POR,4.474,104,1,DET,0,4.474,1.571,1.411
Pat Connaughton,3000,SF,POR,3.063,104,1,DET,0,3.063,2.583,0.972
Tim Quarterman,3000,PG,POR,3.250,104,1,DET,0,3.250,3.100,1.750
Kristaps Porzingis,7000,PF,NYK,38.015,106,0,IND,0,38.015,43.786,29.632
Carmelo Anthony,7600,SF,NYK,37.671,106,0,IND,0,37.671,33.357,27.972
Derrick Rose,5900,PG,NYK,30.258,106,0,IND,0,30.258,28.000,24.053
Courtney Lee,3900,SG,NYK,19.282,106,0,IND,0,19.282,19.500,14.233
Brandon Jennings,3900,PG/SG,NYK,20.438,106,0,IND,0,20.438,21.286,13.500
Joakim Noah,5400,C,NYK,22.953,106,0,IND,0,22.953,24.857,14.903
Justin Holiday,3600,PG/SG,NYK,15.125,106,0,IND,0,15.125,21.679,9.859
Lance Thomas,3200,SF/PF,NYK,9.380,106,0,IND,0,9.380,8.821,5.643
Kyle O'Quinn,3600,PF/C,NYK,17.537,106,0,IND,0,17.537,20.286,10.075
Mindaugas Kuzminskas,3100,SF,NYK,9.350,106,0,IND,0,9.350,7.571,4.656
Ron Baker,3000,SG,NYK,7.375,106,0,IND,0,7.375,9.036,3.464
Marshall Plumlee,3000,C,NYK,5.000,106,0,IND,0,5.000,6.875,0.625
Sasha Vujacic,3000,SG,NYK,5.202,106,0,IND,0,5.202,5.357,0.591
Maurice Ndour,3000,PF,NYK,5.067,106,0,IND,0,5.067,5.179,2.714
