Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG,Russell Westbrook,12900,Den@OKC 08:00PM ET,64.101,OKC,1,0,68.000,53.361,63.875,72.000,30.000,77.400,0.171,-8.000,221.000
PF/C,Anthony Davis,10600,NO@Bos 07:30PM ET,54.750,NO,0,0,47.607,41.471,47.812,51.000,23.000,63.600,0.299,6.000,212.000
SG/SF,Jimmy Butler,8900,Tor@Chi 08:00PM ET,44.194,Chi,1,0,48.464,35.476,54.312,43.000,5.500,53.400,0.243,1.500,207.000
PF/C,Karl-Anthony Towns,8700,Uta@Min 08:00PM ET,44.750,Min,1,0,51.214,37.786,45.812,42.000,1.500,52.200,0.253,4.500,193.000
PG,Damian Lillard,8600,Det@Por 10:00PM ET,44.409,Por,1,0,41.750,34.188,44.812,44.750,25.000,51.600,0.281,-3.500,214.500
PG,Isaiah Thomas,8500,NO@Bos 07:30PM ET,42.617,Bos,1,0,44.679,35.486,51.188,31.000,27.000,51.000,0.200,-6.000,212.000
PG,Kyle Lowry,8400,Tor@Chi 08:00PM ET,43.129,Tor,0,0,44.750,33.929,43.875,55.000,12.000,50.400,0.238,-1.500,207.000
SF,Kawhi Leonard,8100,Cha@SA 08:30PM ET,41.493,SA,1,0,39.536,32.696,42.375,44.000,22.000,48.600,0.225,-11.000,209.000
SG,DeMar DeRozan,8000,Tor@Chi 08:00PM ET,41.543,Tor,0,0,41.143,33.950,35.688,40.250,14.000,48.000,0.221,-1.500,207.000
SF/PF,Paul George,8000,NY@Ind 07:00PM ET,39.250,Ind,1,0,40.000,33.625,39.500,38.750,17.000,48.000,0.119,-7.000,217.000
PG,Kemba Walker,7900,Cha@SA 08:30PM ET,40.076,Cha,0,0,39.500,33.475,49.562,48.750,5.000,47.400,0.224,11.000,209.000
PG/SG,C.J. McCollum,7800,Det@Por 10:00PM ET,36.895,Por,1,0,34.107,28.989,49.500,45.000,16.750,46.800,0.201,-3.500,214.500
