Name,Salary,Position,team,seasonAvg,expectedScore,atHome,opponent,injured,7GameAvg,floorAvg,4GameAvg,communityBonus, penalty
John Wall,9900,PG,WAS,48.662,103.600,1,CHI,0,54.679,40.617,44.250,5.000,0.00
Marcin Gortat,5900,C,WAS,32.215,103.600,1,CHI,0,35.214,26.026,34.500,2.000,0.00
Otto Porter,6200,SF/PF,WAS,29.944,103.600,1,CHI,0,30.964,21.211,31.375,0.000,0.00
Markieff Morris,5600,SF/PF,WAS,25.779,103.600,1,CHI,0,28.786,19.560,27.938,0.000,0.00
Marcus Thornton,3000,SF,WAS,12.712,103.600,1,CHI,0,12.107,6.875,13.688,0.000,0.00
Sheldon McClellan,3600,SG,WAS,8.196,103.600,1,CHI,0,4.708,2.179,9.375,0.000,0.00
Trey Burke,3000,PG,WAS,8.281,103.600,1,CHI,0,11.036,4.450,6.938,0.000,0.00
Jason Smith,3000,PF/C,WAS,8.669,103.600,1,CHI,0,14.786,4.829,10.312,0.000,0.00
Andrew Nicholson,3000,C,WAS,5.781,103.600,1,CHI,0,3.321,2.300,4.562,0.000,0.00
Daniel Ochefu,3000,C,WAS,2.875,103.600,1,CHI,0,2.400,0.950,4.438,0.000,0.00
Kemba Walker,8000,PG,CHO,39.696,107.575,0,HOU,0,39.929,32.788,44.000,0.000,0.00
Michael Kidd-Gilchrist,5000,SF,CHO,23.304,107.575,0,HOU,0,22.107,16.684,25.000,0.000,0.00
Marvin Williams,4800,PF,CHO,21.773,107.575,0,HOU,0,24.286,15.953,23.750,0.000,0.00
Marco Belinelli,3800,SG,CHO,18.364,107.575,0,HOU,0,18.929,12.574,9.250,0.000,0.00
Frank Kaminsky,3900,PF,CHO,20.986,107.575,0,HOU,0,15.321,15.213,17.938,0.000,0.00
Jeremy Lamb,5100,SG/SF,CHO,18.269,107.575,0,HOU,0,20.571,8.188,20.625,2.000,0.00
Spencer Hawes,3500,PF/C,CHO,16.241,107.575,0,HOU,0,13.214,8.589,19.062,0.000,0.00
Ramon Sessions,3400,PG,CHO,13.408,107.575,0,HOU,0,16.036,9.845,12.062,0.000,0.00
Roy Hibbert,3000,C,CHO,13.070,107.575,0,HOU,0,14.107,8.667,14.250,5.000,0.00
Treveon Graham,3000,SF,CHO,3.675,107.575,0,HOU,0,3.500,1.050,2.250,0.000,0.00
Brian Roberts,3000,PG,CHO,3.150,107.575,0,HOU,0,4.500,0.250,4.375,0.000,0.00
Paul Millsap,7800,PF,ATL,38.544,106.125,0,BRK,0,36.000,27.375,43.875,0.000,0.00
Dennis Schroder,6700,PG,ATL,32.277,106.125,0,BRK,0,35.964,24.722,35.375,0.000,0.00
Dwight Howard,7500,C,ATL,36.848,106.125,0,BRK,0,37.857,25.589,31.375,7.000,0.00
Kyle Korver,4500,SG/SF,CLE,19.141,101.800,0,UTA,0,17.036,12.183,26.938,0.000,0.00
Kent Bazemore,4300,SG/SF,ATL,21.421,106.125,0,BRK,0,18.750,13.279,17.562,0.000,0.00
Thabo Sefolosha,4100,SG/SF,ATL,20.507,106.125,0,BRK,0,22.179,14.167,15.375,0.000,0.00
Mike Muscala,3200,PF/C,ATL,17.182,106.125,0,BRK,0,15.821,10.143,15.000,0.000,0.00
Malcolm Delaney,3000,PG,ATL,12.257,106.125,0,BRK,0,13.071,6.054,16.688,0.000,0.00
Kris Humphries,3000,PF/C,ATL,9.598,106.125,0,BRK,0,10.500,4.667,4.500,0.000,0.00
DeAndre' Bembry,3000,SF,ATL,4.154,106.125,0,BRK,0,5.536,1.094,8.938,0.000,0.00
James Harden,12100,PG/SG,HOU,60.462,107.575,1,CHO,0,67.893,53.446,58.312,9.000,0.00
Trevor Ariza,5700,SF,HOU,28.090,107.575,1,CHO,0,34.036,21.382,29.375,0.000,0.00
Patrick Beverley,5600,PG,HOU,27.990,107.575,1,CHO,0,30.143,21.250,30.250,0.000,0.00
Ryan Anderson,5100,PF,HOU,24.417,107.575,1,CHO,0,20.607,17.728,21.438,0.000,0.00
Sam Dekker,3300,SF/PF,HOU,15.327,107.575,1,CHO,0,15.357,10.205,13.812,0.000,0.00
Montrezl Harrell,5300,PF/C,HOU,17.600,107.575,1,CHO,0,25.214,8.417,26.500,0.000,0.00
Corey Brewer,3000,SG/SF,HOU,9.115,107.575,1,CHO,0,9.714,5.466,9.688,0.000,0.00
Chinanu Onuaku,3000,C,HOU,13.250,107.575,1,CHO,0,13.250,0.00,13.250,0.000,0.00
Tyler Ennis,3000,PG,HOU,5.125,107.575,1,CHO,0,2.143,2.115,4.062,0.000,0.00
Bobby Brown,3000,PG,HOU,0.656,107.575,1,CHO,0,1.333,0.000,1.312,0.000,0.00
Kyle Wiltjer,3000,PF,HOU,2.306,107.575,1,CHO,0,4.833,0.375,1.000,0.000,0.00
Goran Dragic,7100,PG,MIA,35.097,105.900,0,GSW,0,33.857,27.833,35.125,0.000,0.00
Hassan Whiteside,8000,C,MIA,42.129,105.900,0,GSW,0,29.893,28.867,27.438,0.000,0.00
Tyler Johnson,5500,PG,MIA,28.104,105.900,0,GSW,0,29.821,22.038,28.812,0.000,0.00
Rodney McGruder,3200,SG/SF,MIA,14.229,105.900,0,GSW,0,11.571,7.550,13.500,0.000,0.00
James Johnson,6000,PF,MIA,24.926,105.900,0,GSW,0,27.643,15.667,33.875,0.000,0.00
Derrick Williams,3000,PF,MIA,12.636,105.900,0,GSW,0,15.750,7.958,15.188,0.000,0.00
Willie Reed,4400,C,MIA,13.677,105.900,0,GSW,0,26.143,7.300,34.312,0.000,0.00
Gordon Hayward,7000,SF,UTA,37.203,101.800,1,CLE,0,35.429,28.667,28.188,0.000,0.00
Rudy Gobert,6800,C,UTA,35.603,101.800,1,CLE,0,39.679,26.969,34.562,0.000,0.00
George Hill,6300,PG,UTA,32.717,101.800,1,CLE,0,29.679,20.250,29.875,0.000,0.00
Rodney Hood,4000,SG,UTA,22.794,101.800,1,CLE,0,20.964,15.162,16.062,2.000,0.00
Shelvin Mack,3800,PG,UTA,16.904,101.800,1,CLE,0,20.214,9.735,14.375,0.000,0.00
Joe Johnson,3100,SG/SF,UTA,15.827,101.800,1,CLE,0,11.857,8.882,15.000,0.000,0.00
Derrick Favors,5000,PF/C,UTA,20.479,101.800,1,CLE,0,15.750,13.500,23.688,0.000,0.00
Dante Exum,3000,PG,UTA,12.190,101.800,1,CLE,0,13.643,6.542,7.875,0.000,0.00
Joe Ingles,3500,SG/SF,UTA,15.064,101.800,1,CLE,0,18.607,7.330,18.062,0.000,0.00
Boris Diaw,3000,PF/C,UTA,10.600,101.800,1,CLE,0,9.250,5.750,8.125,0.000,0.00
Jeff Withey,3000,C,UTA,7.948,101.800,1,CLE,0,8.179,3.875,8.438,0.000,0.00
Raul Neto,3000,PG,UTA,5.638,101.800,1,CLE,0,7.107,1.159,8.125,0.000,0.00
Joel Bolomboy,3000,PF,UTA,2.833,101.800,1,CLE,0,1.938,1.050,2.812,0.000,0.00
LeBron James,9600,SF,CLE,52.167,101.800,0,UTA,0,54.500,43.632,50.125,-2.000,0.00
Kyrie Irving,7700,PG,CLE,40.315,101.800,0,UTA,0,40.250,32.383,46.562,0.000,0.00
Kevin Love,7600,PF/C,CLE,42.203,101.800,0,UTA,0,40.643,34.676,39.375,-2.000,0.00
Tristan Thompson,4600,C,CLE,24.042,101.800,0,UTA,0,26.500,18.262,21.938,0.000,0.00
Iman Shumpert,3500,PG/SG,CLE,15.664,101.800,0,UTA,0,17.571,11.237,15.062,0.000,0.00
Richard Jefferson,3000,SF/PF,CLE,10.333,101.800,0,UTA,0,7.179,6.350,12.250,0.000,0.00
Channing Frye,3600,PF/C,CLE,17.086,101.800,0,UTA,0,14.643,11.300,21.750,0.000,0.00
DeAndre Liggins,3100,SG,CLE,9.446,101.800,0,UTA,0,13.714,3.000,14.625,0.000,0.00
Jordan McRae,3400,SG,CLE,9.120,101.800,0,UTA,0,11.286,3.771,18.562,0.000,0.00
Kay Felder,3000,PG,CLE,10.421,101.800,0,UTA,0,12.107,4.205,9.062,0.000,0.00
