Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,penalty,Final,O/U,odds
Kawhi Leonard,8600,SF,SA,41.528,104.600,1,LAL,0,42.250,32.417,42.562,2.000,0.000,42.000,212.000,-14.000
LaMarcus Aldridge,7100,PF/C,SA,33.154,104.600,1,LAL,0,35.714,25.056,42.812,2.000,0.000,20.500,212.000,-14.000
Pau Gasol,6000,C,SA,29.146,104.600,1,LAL,0,27.071,22.188,27.438,4.000,0.000,43.250,212.000,-14.000
Danny Green,3700,SG,SA,17.908,104.600,1,LAL,0,21.250,11.058,18.938,0.000,0.000,16.500,212.000,-14.000
Tony Parker,4700,PG,SA,21.362,104.600,1,LAL,0,25.036,14.483,26.750,3.000,0.000,24.500,212.000,-14.000
Patty Mills,3200,PG,SA,19.658,104.600,1,LAL,0,15.929,13.909,15.250,0.000,0.000,10.250,212.000,-14.000
Manu Ginobili,3500,SG,SA,18.086,104.600,1,LAL,0,18.036,12.934,13.688,0.000,0.000,3.500,212.000,-14.000
Jonathon Simmons,3800,SG/SF,SA,13.158,104.600,1,LAL,0,15.964,8.125,13.625,0.000,0.000,19.750,212.000,-14.000
David Lee,4100,PF,SA,16.216,104.600,1,LAL,0,18.286,11.940,15.688,0.000,0.000,12.250,212.000,-14.000
Dewayne Dedmon,3700,C,SA,15.039,104.600,1,LAL,0,17.964,8.719,18.500,0.000,0.000,29.500,212.000,-14.000
Kyle Anderson,3400,SG,SA,8.939,104.600,1,LAL,0,6.964,4.036,4.562,0.000,0.000,9.500,212.000,-14.000
Davis Bertans,3000,SF/PF,SA,7.145,104.600,1,LAL,0,9.571,2.500,15.000,0.000,0.000,12.250,212.000,-14.000
Dejounte Murray,3000,PG,SA,4.592,104.600,1,LAL,0,5.893,1.682,5.375,0.000,0.000,14.750,212.000,-14.000
Bryn Forbes,3000,PG,SA,1.462,104.600,1,LAL,0,2.958,0.125,0.000,0.000,0.000,0.000,212.000,-14.000
Harrison Barnes,6700,SF/PF,DAL,31.862,103.400,0,PHO,0,32.929,24.868,36.062,4.000,0.000,41.000,207.500,-2.000
Wesley Matthews,4700,SG,DAL,25.865,103.400,0,PHO,0,26.000,19.066,17.625,3.000,0.000,29.000,207.500,-2.000
Deron Williams,5600,PG,DAL,27.708,103.400,0,PHO,0,31.786,19.942,27.250,2.000,0.000,46.500,207.500,-2.000
J.J. Barea,3800,PG,DAL,25.981,103.400,0,PHO,0,21.393,19.214,16.125,0.000,0.000,11.250,207.500,-2.000
Seth Curry,3900,SG,DAL,19.566,103.400,0,PHO,0,20.429,13.921,14.000,0.000,0.000,27.500,207.500,-2.000
Dirk Nowitzki,5800,PF/C,DAL,23.885,103.400,0,PHO,0,27.107,18.833,28.750,0.000,0.000,30.500,207.500,-2.000
Andrew Bogut,3400,C,DAL,19.614,103.400,0,PHO,1,18.750,14.604,12.188,0.000,-99.000,0.000,207.500,-2.000
Dorian Finney-Smith,3000,SF,DAL,11.682,103.400,0,PHO,0,9.929,7.000,8.438,0.000,0.000,3.250,207.500,-2.000
Dwight Powell,3700,PF/C,DAL,18.007,103.400,0,PHO,0,20.143,12.500,11.000,0.000,0.000,23.250,207.500,-2.000
Justin Anderson,3000,SF,DAL,14.600,103.400,0,PHO,0,10.429,8.750,7.625,0.000,0.000,1.250,207.500,-2.000
Devin Harris,3000,PG/SG,DAL,10.909,103.400,0,PHO,0,9.286,5.731,16.938,0.000,0.000,3.250,207.500,-2.000
Salah Mejri,3000,C,DAL,10.576,103.400,0,PHO,0,10.071,4.447,2.562,0.000,0.000,20.250,207.500,-2.000
Quincy Acy,3000,PF,BKN,4.036,106.750,1,NO,0,5.000,1.083,4.438,0.000,0.000,0.000,214.500,-2.500
Nicolas Brussino,3000,SG,DAL,4.926,103.400,0,PHO,0,5.607,1.359,6.438,0.000,0.000,0.000,207.500,-2.000
Devin Booker,6200,SG,PHO,29.561,103.400,1,DAL,0,36.107,22.524,31.625,2.000,0.000,46.250,207.500,2.000
Eric Bledsoe,7100,PG,PHO,38.559,103.400,1,DAL,0,42.893,29.462,44.375,4.000,0.000,28.000,207.500,2.000
Tyson Chandler,4900,C,PHO,24.817,103.400,1,DAL,0,28.964,17.562,29.812,0.000,0.000,40.250,207.500,2.000
Jared Dudley,3000,PF,PHO,16.858,103.400,1,DAL,0,16.821,11.000,7.750,0.000,0.000,0.000,207.500,2.000
Brandon Knight,3900,PG/SG,PHO,20.345,103.400,1,DAL,0,17.429,13.632,10.438,0.000,0.000,7.250,207.500,2.000
Alex Len,3600,C,PHO,21.431,103.400,1,DAL,0,16.393,14.776,18.125,0.000,0.000,12.250,207.500,2.000
Marquese Chriss,3700,PF,PHO,14.276,103.400,1,DAL,0,20.179,9.239,20.875,0.000,0.000,17.750,207.500,2.000
Leandro Barbosa,3000,PG/SG,PHO,10.743,103.400,1,DAL,0,7.143,4.789,9.000,0.000,0.000,9.500,207.500,2.000
Dragan Bender,3000,SF/PF,PHO,7.815,103.400,1,DAL,0,5.929,3.375,5.625,0.000,0.000,7.750,207.500,2.000
Tyler Ulis,3000,PG,PHO,7.489,103.400,1,DAL,0,5.071,3.985,7.875,0.000,0.000,1.250,207.500,2.000
Alan Williams,3000,C,PHO,9.768,103.400,1,DAL,0,3.000,3.659,4.375,0.000,0.000,0.000,207.500,2.000
Brook Lopez,6400,C,BKN,34.610,106.750,1,NO,0,33.107,27.184,27.812,4.000,0.000,33.500,214.500,-2.500
Trevor Booker,5400,PF,BKN,28.463,106.750,1,NO,1,29.643,20.324,29.312,0.000,-99.000,33.000,214.500,-2.500
Sean Kilpatrick,4500,SG,BKN,25.365,106.750,1,NO,0,22.036,17.167,20.375,0.000,0.000,29.750,214.500,-2.500
Bojan Bogdanovic,4900,SG,BKN,21.811,106.750,1,NO,0,27.571,15.702,25.438,0.000,0.000,18.750,214.500,-2.500
Jeremy Lin,5000,PG,BKN,30.146,106.750,1,NO,1,33.250,25.472,29.125,0.000,-99.000,0.000,214.500,-2.500
Joe Harris,3000,SF,BKN,15.814,106.750,1,NO,0,10.071,10.250,10.625,0.000,0.000,21.500,214.500,-2.500
Isaiah Whitehead,3300,PG,BKN,16.200,106.750,1,NO,0,20.893,11.167,18.562,3.000,0.000,9.500,214.500,-2.500
Rondae Hollis-Jefferson,3700,SF,BKN,19.045,106.750,1,NO,0,18.679,13.625,15.625,0.000,0.000,20.000,214.500,-2.500
Justin Hamilton,3400,PF/C,BKN,16.563,106.750,1,NO,0,14.143,10.078,23.688,0.000,0.000,15.000,214.500,-2.500
Caris LeVert,3200,SG/SF,BKN,12.956,106.750,1,NO,0,13.429,8.200,18.500,3.000,0.000,19.750,214.500,-2.500
Spencer Dinwiddie,3500,PG,BKN,12.839,106.750,1,NO,0,13.208,4.964,21.125,0.000,0.000,18.250,214.500,-2.500
Randy Foye,3000,PG,BKN,11.000,106.750,1,NO,0,8.000,6.482,8.312,0.000,0.000,0.000,214.500,-2.500
Luis Scola,3000,PF/C,BKN,12.714,106.750,1,NO,0,9.107,6.923,12.625,0.000,0.000,0.000,214.500,-2.500
Chris McCullough,3000,PF,BKN,5.250,106.750,1,NO,0,1.438,1.857,4.375,0.000,0.000,0.000,214.500,-2.500
Quincy Acy,3000,PF,BKN,4.036,106.750,1,NO,0,5.000,1.083,4.438,0.000,0.000,0.000,214.500,-2.500
Jimmy Butler,9300,SG/SF,CHI,44.053,104.200,0,NYK,1,39.679,34.477,52.750,0.000,-99.000,0.000,207.500,3.000
Dwyane Wade,6800,SG,CHI,33.129,104.200,0,NYK,1,33.964,25.328,31.188,4.000,-99.000,32.250,207.500,3.000
Rajon Rondo,5000,PG,CHI,28.508,104.200,0,NYK,0,19.536,19.516,22.688,0.000,0.000,18.000,207.500,3.000
Robin Lopez,4000,C,CHI,22.301,104.200,0,NYK,0,18.036,16.238,15.750,0.000,0.000,22.250,207.500,3.000
Taj Gibson,5200,PF/C,CHI,25.173,104.200,0,NYK,0,25.286,19.716,25.250,3.000,0.000,21.750,207.500,3.000
Doug McDermott,4500,SF,CHI,16.663,104.200,0,NYK,0,18.000,10.732,20.062,0.000,0.000,7.500,207.500,3.000
Nikola Mirotic,5100,SF/PF,CHI,21.326,104.200,0,NYK,1,21.393,14.053,21.750,0.000,-99.000,0.000,207.500,3.000
Michael Carter-Williams,4900,PG,CHI,18.667,104.200,0,NYK,0,20.250,12.400,21.875,0.000,0.000,12.000,207.500,3.000
Isaiah Canaan,3000,PG,CHI,10.768,104.200,0,NYK,0,12.393,5.703,3.312,0.000,0.000,0.000,207.500,3.000
Jerian Grant,3800,PG/SG,CHI,10.774,104.200,0,NYK,0,9.964,4.941,16.062,0.000,0.000,26.750,207.500,3.000
Cristiano Felicio,3100,C,CHI,12.121,104.200,0,NYK,0,14.107,6.926,16.312,3.000,0.000,21.250,207.500,3.000
Denzel Valentine,3300,SF,CHI,7.313,104.200,0,NYK,0,11.500,3.125,12.500,2.000,0.000,0.000,207.500,3.000
Bobby Portis,3000,PF,CHI,9.860,104.200,0,NYK,0,10.750,5.183,9.250,0.000,0.000,7.750,207.500,3.000
Paul Zipser,3000,SF,CHI,2.600,104.200,0,NYK,0,2.150,0.900,2.812,0.000,0.000,16.750,207.500,3.000
Anthony Davis,11800,PF/C,NO,55.426,106.750,0,BKN,1,47.857,42.222,59.438,0.000,-99.000,0.000,214.500,2.500
Jrue Holiday,7000,PG,NO,32.323,106.750,0,BKN,0,28.857,27.036,31.500,0.000,0.000,37.250,214.500,2.500
Tim Frazier,3400,PG,NO,26.500,106.750,0,BKN,0,27.393,16.803,8.875,0.000,0.000,0.000,214.500,2.500
Solomon Hill,3000,SF,NO,15.074,106.750,0,BKN,0,13.571,10.333,10.500,0.000,0.000,34.250,214.500,2.500
Dante Cunningham,3300,SF/PF,NO,14.644,106.750,0,BKN,0,16.250,8.125,13.125,0.000,0.000,11.750,214.500,2.500
E'Twaun Moore,3100,SG,NO,18.279,106.750,0,BKN,0,15.464,13.514,14.062,0.000,0.000,11.250,214.500,2.500
Terrence Jones,6000,PF/C,NO,22.291,106.750,0,BKN,0,20.179,14.312,18.875,0.000,0.000,43.500,214.500,2.500
Langston Galloway,3000,PG,NO,17.224,106.750,0,BKN,0,16.214,10.179,15.500,2.000,0.000,5.500,214.500,2.500
Buddy Hield,4700,SG,NO,15.936,106.750,0,BKN,0,20.036,8.139,27.500,0.000,0.000,12.750,214.500,2.500
Donatas Motiejunas,4300,C,NO,20.875,106.750,0,BKN,0,20.875,16.000,20.875,0.000,0.000,12.750,214.500,2.500
Omer Asik,3000,C,NO,11.938,106.750,0,BKN,0,8.321,7.062,5.125,0.000,0.000,1.250,214.500,2.500
Tyreke Evans,4200,SG/SF,NO,17.432,106.750,0,BKN,0,18.125,12.292,17.500,3.000,0.000,48.500,214.500,2.500
Alexis Ajinca,3000,C,NO,12.450,106.750,0,BKN,0,16.500,6.750,14.438,0.000,0.000,2.750,214.500,2.500
Cheick Diallo,3000,PF,NO,10.375,106.750,0,BKN,0,13.833,4.650,10.438,0.000,0.000,0.000,214.500,2.500
Kevin Durant,9700,SF,GSW,49.788,105.775,1,DET,0,46.786,40.903,52.062,4.000,0.000,48.000,218.500,-13.500
Klay Thompson,6500,SG,GSW,31.974,105.775,1,DET,1,31.964,25.087,30.125,4.000,-99.000,36.750,218.500,-13.500
Stephen Curry,8800,PG,GSW,43.218,105.775,1,DET,0,45.286,36.798,53.062,2.000,0.000,44.500,218.500,-13.500
Draymond Green,7600,PF/C,GSW,39.514,105.775,1,DET,0,40.893,34.369,38.062,2.000,0.000,36.250,218.500,-13.500
Andre Iguodala,3500,SF,GSW,17.572,105.775,1,DET,0,16.643,12.292,20.000,0.000,0.000,12.000,218.500,-13.500
Zaza Pachulia,3400,C,GSW,17.721,105.775,1,DET,0,17.250,12.225,23.000,3.000,0.000,19.750,218.500,-13.500
Shaun Livingston,3100,PG,GSW,11.033,105.775,1,DET,0,11.464,8.000,11.750,0.000,0.000,14.250,218.500,-13.500
Ian Clark,3100,PG/SG,GSW,11.819,105.775,1,DET,0,11.571,6.726,6.812,0.000,0.000,23.500,218.500,-13.500
Patrick McCaw,3000,SG/SF,GSW,6.509,105.775,1,DET,0,6.393,2.986,2.000,0.000,0.000,-1.000,218.500,-13.500
David West,3000,PF,GSW,12.481,105.775,1,DET,0,12.357,7.461,14.000,0.000,0.000,4.000,218.500,-13.500
Kevon Looney,3000,PF,GSW,8.078,105.775,1,DET,0,7.143,3.656,5.938,0.000,0.000,6.500,218.500,-13.500
JaVale McGee,3000,C,GSW,9.900,105.775,1,DET,0,9.250,4.588,4.500,0.000,0.000,17.500,218.500,-13.500
Anderson Varejao,3000,C,GSW,6.000,105.775,1,DET,0,5.667,2.650,5.688,0.000,0.000,4.250,218.500,-13.500
Kentavious Caldwell-Pope,5900,SG,DET,27.295,105.775,0,GSW,0,29.429,17.264,30.625,0.000,0.000,1.500,218.500,13.500
Tobias Harris,6300,SF/PF,DET,28.381,105.775,0,GSW,0,25.929,20.592,32.188,2.000,0.000,29.000,218.500,13.500
Marcus Morris,4700,SF,DET,23.519,105.775,0,GSW,0,18.000,16.750,27.625,2.000,0.000,33.250,218.500,13.500
Andre Drummond,7500,C,DET,38.667,105.775,0,GSW,0,37.607,29.762,44.750,0.000,0.000,31.000,218.500,13.500
Reggie Jackson,6900,PG,DET,29.684,105.775,0,GSW,0,29.714,23.000,39.938,4.000,0.000,22.000,218.500,13.500
Jon Leuer,4600,PF,DET,22.711,105.775,0,GSW,1,23.464,15.562,13.875,0.000,-99.000,0.000,218.500,13.500
Ish Smith,3200,PG,DET,21.150,105.775,0,GSW,0,15.143,13.952,13.125,0.000,0.000,8.750,218.500,13.500
Beno Udrih,3000,PG,DET,13.635,105.775,0,GSW,0,10.214,8.292,9.000,0.000,0.000,11.500,218.500,13.500
Aron Baynes,3800,C,DET,10.382,105.775,0,GSW,0,8.179,6.193,5.875,0.000,0.000,8.500,218.500,13.500
Stanley Johnson,3000,SG/SF,DET,9.861,105.775,0,GSW,0,14.357,4.875,9.688,0.000,0.000,18.000,218.500,13.500
Darrun Hilliard,3000,SG,DET,6.424,105.775,0,GSW,0,7.893,2.654,2.062,0.000,0.000,11.250,218.500,13.500
Reggie Bullock,3000,SF,DET,7.563,105.775,0,GSW,0,5.000,2.500,7.562,0.000,0.000,0.000,218.500,13.500
Boban Marjanovic,3000,C,DET,8.766,105.775,0,GSW,0,6.286,2.675,16.688,0.000,0.000,31.250,218.500,13.500
Henry Ellenson,3000,PF,DET,2.727,105.775,0,GSW,0,3.300,1.219,2.375,0.000,0.000,5.500,218.500,13.500
Michael Gbinije,3000,SF,DET,1.344,105.775,0,GSW,0,1.750,0.625,1.500,0.000,0.000,0.000,218.500,13.500
Julius Randle,6600,PF/C,LAL,32.243,104.600,0,SA,0,29.929,24.188,32.750,4.000,0.000,39.000,212.000,14.000
Luol Deng,4000,SF,LAL,20.939,104.600,0,SA,0,28.786,13.609,25.062,2.000,0.000,9.250,212.000,14.000
Brandon Ingram,3600,SF,LAL,17.274,104.600,0,SA,0,16.750,12.635,24.188,0.000,0.000,15.000,212.000,14.000
D'Angelo Russell,6200,PG,LAL,30.336,104.600,0,SA,0,28.464,23.047,38.375,0.000,0.000,16.750,212.000,14.000
Jordan Clarkson,3900,PG/SG,LAL,22.958,104.600,0,SA,0,25.893,15.857,18.875,0.000,0.000,19.750,212.000,14.000
Nick Young,3700,SG,LAL,21.179,104.600,0,SA,0,26.214,12.950,12.625,0.000,0.000,10.500,212.000,14.000
Lou Williams,3900,SG,LAL,27.494,104.600,0,SA,0,26.214,18.513,18.312,2.000,0.000,15.000,212.000,14.000
Timofey Mozgov,3100,C,LAL,16.384,104.600,0,SA,0,15.393,11.333,15.625,2.000,0.000,6.000,212.000,14.000
Tarik Black,3000,C,LAL,14.600,104.600,0,SA,0,12.250,9.900,15.812,0.000,0.000,10.250,212.000,14.000
Jose Calderon,3000,PG,LAL,9.838,104.600,0,SA,0,9.964,3.250,6.000,0.000,0.000,1.250,212.000,14.000
Thomas Robinson,3100,PF,LAL,12.672,104.600,0,SA,0,16.571,4.673,18.000,0.000,0.000,10.750,212.000,14.000
Marcelo Huertas,3000,PG,LAL,8.984,104.600,0,SA,0,11.857,4.000,5.562,0.000,0.000,7.750,212.000,14.000
Ivica Zubac,3000,C,LAL,4.036,104.600,0,SA,0,4.708,1.150,3.062,0.000,0.000,20.000,212.000,14.000
Kristaps Porzingis,7200,PF,NYK,36.826,104.200,1,CHI,0,32.143,27.778,27.438,0.000,0.000,0.000,207.500,-3.000
Carmelo Anthony,7300,SF,NYK,37.158,104.200,1,CHI,0,39.107,27.925,36.625,4.000,0.000,45.750,207.500,-3.000
Derrick Rose,6100,PG,NYK,30.199,104.200,1,CHI,0,32.750,23.724,27.312,0.000,0.000,25.500,207.500,-3.000
Courtney Lee,3800,SG,NYK,18.875,104.200,1,CHI,0,19.964,13.300,16.625,0.000,0.000,13.000,207.500,-3.000
Brandon Jennings,4800,PG/SG,NYK,20.897,104.200,1,CHI,0,20.571,13.893,20.250,0.000,0.000,8.000,207.500,-3.000
Joakim Noah,4600,C,NYK,22.543,104.200,1,CHI,0,25.071,15.464,18.812,0.000,0.000,35.500,207.500,-3.000
Justin Holiday,3100,SG,NYK,14.494,104.200,1,CHI,0,10.607,8.545,6.375,0.000,0.000,8.500,207.500,-3.000
Lance Thomas,3000,SF/PF,NYK,9.500,104.200,1,CHI,0,11.500,5.783,11.000,0.000,0.000,8.500,207.500,-3.000
Kyle O'Quinn,3300,PF/C,NYK,17.723,104.200,1,CHI,0,18.857,9.966,22.000,0.000,0.000,39.250,207.500,-3.000
Mindaugas Kuzminskas,3000,SF,NYK,9.461,104.200,1,CHI,0,11.750,4.529,15.000,0.000,0.000,32.500,207.500,-3.000
Ron Baker,3200,PG,NYK,8.482,104.200,1,CHI,0,7.833,3.464,12.062,0.000,0.000,0.000,207.500,-3.000
Marshall Plumlee,3000,C,NYK,5.000,104.200,1,CHI,0,1.250,0.625,5.000,0.000,0.000,0.000,207.500,-3.000
Sasha Vujacic,3000,SG,NYK,5.489,104.200,1,CHI,0,7.857,0.591,9.062,0.000,0.000,0.000,207.500,-3.000
Maurice Ndour,3000,PF,NYK,5.078,104.200,1,CHI,0,3.964,2.714,4.438,0.000,0.000,0.000,207.500,-3.000
