Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,floorAvg,4GameAvg,communityBonus,penalty,dvp,value,FloorAvg,Final
PF/C,Anthony Davis,11400,NO@Chi 05:00PM ET,55.426,NO,False,1,51.393,0.000,63.125,0.000,-99.000,14.500,68.400,42.222,64.500
PG,Chris Paul,9800,LAL@LAC 03:30PM ET,44.368,LAC,True,0,51.643,0.000,49.250,0.000,0.000,27.000,58.800,37.275,50.250
PG,John Wall,9500,Phi@Was 08:00PM ET,48.688,Was,True,0,47.250,0.000,34.312,0.000,0.000,11.500,57.000,38.141,48.250
SG/SF,Jimmy Butler,9000,NO@Chi 05:00PM ET,44.053,Chi,True,1,53.643,0.000,45.750,0.000,-99.000,12.750,54.000,34.477,59.000
SF,Kawhi Leonard,8500,SA@Pho 06:00PM ET,41.541,SA,False,0,41.893,0.000,43.438,0.000,0.000,18.000,51.000,32.417,49.000
PF/C,Joel Embiid,8000,Phi@Was 08:00PM ET,37.296,Phi,False,1,37.893,0.000,40.812,0.000,-99.000,17.000,48.000,29.521,0.000
PF/C,Blake Griffin,7600,LAL@LAC 03:30PM ET,41.942,LAC,True,1,45.679,0.000,41.750,0.000,-99.000,28.000,45.600,35.625,0.000
C,DeAndre Jordan,7500,LAL@LAC 03:30PM ET,34.689,LAC,True,0,41.750,0.000,43.625,0.000,0.000,28.500,45.000,29.083,57.750
PG,Jrue Holiday,7300,NO@Chi 05:00PM ET,32.470,NO,False,0,28.786,0.000,27.250,0.000,0.000,9.000,43.800,26.107,21.750
SF,Gordon Hayward,7200,Orl@Uta 09:00PM ET,37.463,Uta,True,0,37.786,0.000,35.625,0.000,0.000,13.500,43.200,29.574,42.250
SG,Dwyane Wade,7100,NO@Chi 05:00PM ET,33.104,Chi,True,0,33.571,0.000,37.375,0.000,0.000,17.500,42.600,26.153,39.750
PF/C,Julius Randle,7100,LAL@LAC 03:30PM ET,32.421,LAL,False,0,30.857,0.000,29.438,0.000,-3.722,6.750,42.600,23.774,15.500
SG,Bradley Beal,7000,Phi@Was 08:00PM ET,34.301,Was,True,0,31.000,0.000,30.562,0.000,0.000,15.500,42.000,24.882,29.000
