Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,'+'/-
PG,Giannis Antetokounmpo,10000,Mil@Atl 03:00PM ET,49.993,Mil,False,0,46.429,39.391,38.500,0.000,-4.999,25.000,60.000,206.500,3.000
PF/C,Karl-Anthony Towns,9700,Min@Dal 02:00PM ET,45.900,Min,False,0,43.857,38.458,55.938,0.000,-4.590,10.000,58.200,196.000,1.000
SG,DeMar DeRozan,8500,NY@Tor 03:00PM ET,42.481,Tor,True,0,42.607,35.329,50.688,0.000,-4.248,26.000,51.000,218.500,-10.000
PG,Kyle Lowry,8400,NY@Tor 03:00PM ET,43.654,Tor,True,0,43.500,35.044,48.250,0.000,-4.365,12.500,50.400,218.500,-10.000
SF,Carmelo Anthony,8000,NY@Tor 03:00PM ET,37.378,NY,False,0,34.179,27.925,35.312,0.000,-3.738,14.000,48.000,218.500,10.000
PF,Paul Millsap,7900,Mil@Atl 03:00PM ET,38.590,Atl,True,0,43.179,28.050,40.375,0.000,-3.859,17.500,47.400,206.500,-3.000
SF/PF,Jabari Parker,7100,Mil@Atl 03:00PM ET,34.632,Mil,False,0,37.214,25.819,41.875,0.000,-3.463,19.500,42.600,206.500,3.000
C,Dwight Howard,7000,Mil@Atl 03:00PM ET,36.514,Atl,True,0,38.750,26.266,33.500,0.000,-3.651,8.000,42.000,206.500,-3.000
PF,Kristaps Porzingis,6900,NY@Tor 03:00PM ET,36.826,NY,False,1,34.179,27.819,27.625,0.000,-3685.914,20.500,41.400,218.500,10.000
SF/PF,Harrison Barnes,6700,Min@Dal 02:00PM ET,32.096,Dal,True,0,32.750,24.868,35.250,0.000,-6.977,5.750,40.200,196.000,-1.000
SF,Andrew Wiggins,6600,Min@Dal 02:00PM ET,32.275,Min,False,0,35.179,23.132,28.062,0.000,-6.993,6.000,39.600,196.000,1.000
PG,Ricky Rubio,6400,Min@Dal 02:00PM ET,27.521,Min,False,0,28.036,20.560,42.062,0.000,-6.880,2.000,38.400,196.000,1.000
SG,Zach LaVine,6300,Min@Dal 02:00PM ET,31.682,Min,False,1,31.964,24.237,30.750,0.000,-3171.051,7.500,37.800,196.000,1.000
PG,Derrick Rose,6300,NY@Tor 03:00PM ET,30.064,NY,False,0,28.750,23.812,27.500,0.000,-3.006,11.000,37.800,218.500,10.000
PG,Dennis Schroder,6200,Mil@Atl 03:00PM ET,31.929,Atl,True,0,31.036,24.039,30.312,0.000,-9.579,1.000,37.200,206.500,-3.000
C,Greg Monroe,6000,Mil@Atl 03:00PM ET,26.284,Mil,False,0,28.000,17.028,35.312,0.000,-5.914,4.000,36.000,206.500,3.000
PF/C,Dirk Nowitzki,6000,Min@Dal 02:00PM ET,24.357,Dal,True,0,20.125,18.833,30.688,0.000,-2.436,10.750,36.000,196.000,-1.000
C,Jonas Valanciunas,6000,NY@Tor 03:00PM ET,27.642,Tor,True,0,31.321,20.197,31.562,0.000,-2.764,26.500,36.000,218.500,-10.000
PG,Deron Williams,5800,Min@Dal 02:00PM ET,28.315,Dal,True,0,27.786,19.942,31.188,0.000,-2.832,23.000,34.800,196.000,-1.000
PG/SG,Malcolm Brogdon,5700,Mil@Atl 03:00PM ET,20.645,Mil,False,0,29.536,12.950,32.688,0.000,-2.065,22.000,34.200,206.500,3.000
PF/C,Gorgui Dieng,5200,Min@Dal 02:00PM ET,26.694,Min,False,0,29.286,18.958,18.500,0.000,-2.669,10.000,31.200,196.000,1.000
C,Joakim Noah,5000,NY@Tor 03:00PM ET,22.868,NY,False,0,23.643,15.464,22.688,0.000,-2.287,9.000,30.000,218.500,10.000
SF/PF,DeMarre Carroll,4900,NY@Tor 03:00PM ET,19.735,Tor,True,0,25.143,13.382,28.938,0.000,-1.974,15.000,29.400,218.500,-10.000
SG,Wesley Matthews,4800,Min@Dal 02:00PM ET,26.000,Dal,True,0,22.893,19.066,20.250,0.000,-5.778,4.500,28.800,196.000,-1.000
SG,Brandon Rush,4200,Min@Dal 02:00PM ET,8.467,Min,False,0,5.179,3.523,18.625,0.000,-762.877,7.500,25.200,196.000,1.000
PF/C,Kyle O'Quinn,4100,NY@Tor 03:00PM ET,18.289,NY,False,0,16.107,9.966,24.188,0.000,-1.829,14.750,24.600,218.500,10.000
SG/SF,Kent Bazemore,4000,Mil@Atl 03:00PM ET,21.236,Atl,True,0,20.321,13.278,15.688,0.000,-2.124,22.000,24.000,206.500,-3.000
SF/PF,Michael Beasley,4000,Mil@Atl 03:00PM ET,16.398,Mil,False,0,18.714,8.859,25.188,0.000,-1.640,19.500,24.000,206.500,3.000
PG/SG,Brandon Jennings,4000,NY@Tor 03:00PM ET,20.625,NY,False,0,22.179,13.716,21.812,0.000,-1858.312,6.500,24.000,218.500,10.000
SG/SF,Thabo Sefolosha,3900,Mil@Atl 03:00PM ET,20.292,Atl,True,0,16.750,13.597,16.625,0.000,-2.029,22.000,23.400,206.500,-3.000
SG/SF,Shabazz Muhammad,3900,Min@Dal 02:00PM ET,12.528,Min,False,0,13.429,7.237,15.562,0.000,-1128.773,6.750,23.400,196.000,1.000
SG,Seth Curry,3900,Min@Dal 02:00PM ET,19.793,Dal,True,0,18.214,13.921,14.938,0.000,-1783.349,4.500,23.400,196.000,-1.000
C,Lucas Nogueira,3900,NY@Tor 03:00PM ET,17.398,Tor,True,0,19.786,11.097,22.125,0.000,-1.740,26.500,23.400,218.500,-10.000
PG,J.J. Barea,3800,Min@Dal 02:00PM ET,24.929,Dal,True,0,29.688,18.219,13.125,0.000,-2.493,23.000,22.800,196.000,-1.000
PF/C,Dwight Powell,3800,Min@Dal 02:00PM ET,18.141,Dal,True,0,15.500,12.500,13.125,0.000,-1634.504,10.750,22.800,196.000,-1.000
SG/SF,Terrence Ross,3800,NY@Tor 03:00PM ET,17.855,Tor,True,0,17.357,12.143,14.062,0.000,-1.786,17.000,22.800,218.500,-10.000
PG/SG,Matthew Dellavedova,3700,Mil@Atl 03:00PM ET,20.227,Mil,False,0,17.321,14.721,17.250,0.000,-2.023,22.000,22.200,206.500,3.000
PG,Cory Joseph,3700,NY@Tor 03:00PM ET,18.211,Tor,True,0,21.929,12.786,20.688,0.000,-1640.811,12.500,22.200,218.500,-10.000
SG,Courtney Lee,3700,NY@Tor 03:00PM ET,18.707,NY,False,0,19.536,12.917,14.250,0.000,-1685.501,2.000,22.200,218.500,10.000
SG/SF,Norman Powell,3600,NY@Tor 03:00PM ET,10.879,Tor,True,0,10.571,5.120,7.562,0.000,-1.088,17.000,21.600,218.500,-10.000
PF,Patrick Patterson,3500,NY@Tor 03:00PM ET,19.197,Tor,True,1,19.071,13.219,10.125,0.000,-1921.428,22.000,21.000,218.500,-10.000
SG/SF,Tony Snell,3400,Mil@Atl 03:00PM ET,16.682,Mil,False,0,14.821,11.066,18.438,0.000,-1.668,20.250,20.400,206.500,3.000
C,Andrew Bogut,3400,Min@Dal 02:00PM ET,19.614,Dal,True,1,16.357,14.604,12.188,0.000,-1963.165,15.000,20.400,196.000,-1.000
C,Cole Aldrich,3400,Min@Dal 02:00PM ET,9.410,Min,False,0,15.893,5.226,4.750,0.000,-0.941,16.000,20.400,196.000,1.000
PG,Malcolm Delaney,3300,Mil@Atl 03:00PM ET,12.788,Atl,True,0,13.000,7.221,20.312,0.000,-1152.199,1.000,19.800,206.500,-3.000
SF,Mindaugas Kuzminskas,3300,NY@Tor 03:00PM ET,10.159,NY,False,0,9.250,5.500,16.125,0.000,-1.016,14.000,19.800,218.500,10.000
PF/C,Mike Muscala,3200,Mil@Atl 03:00PM ET,17.019,Atl,True,0,12.750,9.967,16.625,0.000,-1533.412,12.750,19.200,206.500,-3.000
SF/PF,Nemanja Bjelica,3200,Min@Dal 02:00PM ET,13.178,Min,False,0,9.179,6.474,13.000,0.000,-1187.338,5.000,19.200,196.000,1.000
C,John Henson,3100,Mil@Atl 03:00PM ET,17.993,Mil,False,0,12.107,11.250,14.312,0.000,-1621.169,4.000,18.600,206.500,3.000
PG,Jason Terry,3000,Mil@Atl 03:00PM ET,8.652,Mil,False,0,8.929,4.484,13.125,0.000,-0.865,25.000,18.000,206.500,3.000
SG,Rashad Vaughn,3000,Mil@Atl 03:00PM ET,7.839,Mil,False,0,4.107,1.406,4.125,0.000,-0.784,19.000,18.000,206.500,3.000
SF,Mike Dunleavy,3000,Mil@Atl 03:00PM ET,9.521,Atl,True,0,10.821,5.667,12.625,0.000,-0.952,29.000,18.000,206.500,-3.000
SF,Taurean Prince,3000,Mil@Atl 03:00PM ET,8.207,Atl,True,0,9.214,2.604,10.312,0.000,-0.821,29.000,18.000,206.500,-3.000
SF,DeAndre' Bembry,3000,Mil@Atl 03:00PM ET,4.150,Atl,True,0,2.417,1.389,4.188,0.000,-0.415,29.000,18.000,206.500,-3.000
PF/C,Kris Humphries,3000,Mil@Atl 03:00PM ET,10.008,Atl,True,0,7.679,4.566,9.562,0.000,-901.721,12.750,18.000,206.500,-3.000
PF,Mike Scott,3000,Mil@Atl 03:00PM ET,8.469,Atl,True,0,9.375,2.917,9.938,0.000,-0.847,17.500,18.000,206.500,-3.000
PF,Mirza Teletovic,3000,Mil@Atl 03:00PM ET,13.648,Mil,False,0,13.750,7.783,11.375,0.000,-1.365,17.500,18.000,206.500,3.000
PF,Thon Maker,3000,Mil@Atl 03:00PM ET,4.406,Mil,False,0,4.714,1.806,3.625,0.000,-0.441,17.500,18.000,206.500,3.000
C,Miles Plumlee,3000,Mil@Atl 03:00PM ET,6.080,Mil,False,0,1.786,1.967,1.562,0.000,-547.808,4.000,18.000,206.500,3.000
PG/SG,Devin Harris,3000,Min@Dal 02:00PM ET,10.576,Dal,True,0,15.143,5.554,10.875,0.000,-1.058,13.750,18.000,196.000,-1.000
PG,Kris Dunn,3000,Min@Dal 02:00PM ET,12.581,Min,False,0,8.214,7.554,11.250,0.000,-1133.548,2.000,18.000,196.000,1.000
PG,Tyus Jones,3000,Min@Dal 02:00PM ET,9.080,Min,False,0,9.393,2.227,4.188,0.000,-818.108,2.000,18.000,196.000,1.000
SG,Nicolas Brussino,3000,Min@Dal 02:00PM ET,4.926,Dal,True,0,3.893,1.359,6.438,0.000,-443.833,4.500,18.000,196.000,-1.000
SF,Dorian Finney-Smith,3000,Min@Dal 02:00PM ET,11.461,Dal,True,0,16.643,6.216,6.750,0.000,-1032.636,5.000,18.000,196.000,-1.000
SF,Justin Anderson,3000,Min@Dal 02:00PM ET,14.229,Dal,True,0,14.679,8.355,2.812,0.000,-1282.033,5.000,18.000,196.000,-1.000
PF,Jordan Hill,3000,Min@Dal 02:00PM ET,5.350,Min,False,0,9.375,0.625,5.000,0.000,-482.035,4.000,18.000,196.000,1.000
PF,Adreian Payne,3000,Min@Dal 02:00PM ET,9.000,Min,False,0,7.250,4.625,4.812,0.000,-810.900,4.000,18.000,196.000,1.000
C,Salah Mejri,3000,Min@Dal 02:00PM ET,10.860,Dal,True,0,13.857,4.447,7.125,0.000,-1.086,15.000,18.000,196.000,-1.000
PG,Ron Baker,3000,NY@Tor 03:00PM ET,7.917,NY,False,0,9.286,3.031,11.188,0.000,-713.322,11.000,18.000,218.500,10.000
PG,Fred VanVleet,3000,NY@Tor 03:00PM ET,4.475,Tor,True,0,3.179,1.571,7.000,0.000,-403.197,12.500,18.000,218.500,-10.000
SG,Sasha Vujacic,3000,NY@Tor 03:00PM ET,5.398,NY,False,0,5.071,0.591,8.562,0.000,-486.360,2.000,18.000,218.500,10.000
SG,Justin Holiday,3000,NY@Tor 03:00PM ET,14.344,NY,False,0,16.143,8.543,7.312,0.000,-1292.394,2.000,18.000,218.500,10.000
SF/PF,Lance Thomas,3000,NY@Tor 03:00PM ET,9.466,NY,False,0,8.643,5.953,9.500,0.000,-0.947,17.250,18.000,218.500,10.000
SF,Bruno Caboclo,3000,NY@Tor 03:00PM ET,2.643,Tor,True,0,3.700,0.625,0.625,0.000,-238.134,8.000,18.000,218.500,-10.000
PF,Maurice Ndour,3000,NY@Tor 03:00PM ET,5.078,NY,False,0,5.179,2.714,4.438,0.000,-0.508,20.500,18.000,218.500,10.000
PF,Pascal Siakam,3000,NY@Tor 03:00PM ET,12.049,Tor,True,0,9.036,6.487,9.375,0.000,-1.205,22.000,18.000,218.500,-10.000
C,Marshall Plumlee,3000,NY@Tor 03:00PM ET,5.000,NY,False,0,6.875,0.625,5.000,0.000,-450.500,9.000,18.000,218.500,10.000
C,Jakob Poeltl,3000,NY@Tor 03:00PM ET,7.500,Tor,True,0,4.357,3.846,3.312,0.000,-0.750,26.500,18.000,218.500,-10.000
