Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,±
PG,Russell Westbrook,12800,OKC@Sac 09:00PM ET,64.165,OKC,False,0,57.714,53.650,64.875,0.000,-0.000,18.000,76.800,212.500,-1.500
PF/C,DeMarcus Cousins,10200,OKC@Sac 09:00PM ET,52.263,Sac,True,0,49.393,40.156,52.625,0.000,-0.000,13.250,61.200,212.500,1.500
SG/SF,Jimmy Butler,8800,Chi@Mem 09:00PM ET,44.353,Chi,False,0,39.679,34.477,45.750,0.000,-9.914,4.250,52.800,192.500,8.000
C,Andre Drummond,7800,Det@LAL 09:30PM ET,38.409,Det,False,0,39.857,29.693,42.438,0.000,-0.000,29.000,46.800,212.000,-1.500
PG,Mike Conley,7200,Chi@Mem 09:00PM ET,36.133,Mem,True,0,31.429,27.969,43.875,0.000,-3.613,9.000,43.200,192.500,-8.000
C,Marc Gasol,7100,Chi@Mem 09:00PM ET,38.006,Mem,True,0,36.357,29.087,33.125,0.000,-3.801,10.500,42.600,192.500,-8.000
PG,Reggie Jackson,7000,Det@LAL 09:30PM ET,28.488,Det,False,0,27.321,20.795,25.125,0.000,-0.000,28.000,42.000,212.000,-1.500
PF/C,Julius Randle,7000,Det@LAL 09:30PM ET,31.987,LAL,True,0,38.571,23.774,29.438,0.000,-0.000,10.250,42.000,212.000,1.500
SG,Dwyane Wade,6800,Chi@Mem 09:00PM ET,33.338,Chi,False,1,32.393,26.153,37.375,0.000,-3336.800,4.500,40.800,192.500,8.000
SF,Rudy Gay,6700,OKC@Sac 09:00PM ET,34.911,Sac,True,0,31.500,27.517,35.938,0.000,-4.655,3.000,40.200,212.500,1.500
SF/PF,Tobias Harris,6500,Det@LAL 09:30PM ET,28.137,Det,False,0,26.571,20.438,27.625,0.000,-0.000,27.000,39.000,212.000,-1.500
PG,D'Angelo Russell,6100,Det@LAL 09:30PM ET,29.532,LAL,True,0,35.036,22.472,29.062,0.000,-0.000,22.000,36.600,212.000,1.500
PF/C,Enes Kanter,5900,OKC@Sac 09:00PM ET,25.732,OKC,False,0,29.714,16.881,35.500,0.000,-0.000,19.250,35.400,212.500,-1.500
PF/C,Zach Randolph,5800,Chi@Mem 09:00PM ET,27.714,Mem,True,0,28.500,22.868,37.938,0.000,-2.771,14.750,34.800,192.500,-8.000
SG,Victor Oladipo,5600,OKC@Sac 09:00PM ET,28.344,OKC,False,0,28.000,20.672,25.812,0.000,-0.000,24.000,33.600,212.500,-1.500
PF/C,Taj Gibson,5500,Chi@Mem 09:00PM ET,25.354,Chi,False,0,24.321,19.696,29.000,0.000,-6.338,2.000,33.000,192.500,8.000
SG,Kentavious Caldwell-Pope,5500,Det@LAL 09:30PM ET,26.650,Det,False,1,27.714,16.434,23.562,0.000,-2664.733,21.000,33.000,212.000,-1.500
C,Steven Adams,5300,OKC@Sac 09:00PM ET,27.274,OKC,False,0,31.071,20.762,27.812,0.000,-0.000,13.000,31.800,212.500,-1.500
SF,Marcus Morris,5100,Det@LAL 09:30PM ET,23.628,Det,False,0,17.964,16.821,23.750,0.000,-0.000,27.000,30.600,212.000,-1.500
PF,Nikola Mirotic,5000,Chi@Mem 09:00PM ET,21.326,Chi,False,1,21.393,14.053,21.750,0.000,-2134.519,3.000,30.000,192.500,8.000
SG,Tony Allen,4700,Chi@Mem 09:00PM ET,22.429,Mem,True,0,24.750,15.645,23.938,0.000,-2.243,14.000,28.200,192.500,-8.000
PG,Rajon Rondo,4500,Chi@Mem 09:00PM ET,27.852,Chi,False,0,21.107,18.809,17.312,0.000,-5.968,7.000,27.000,192.500,8.000
PG,Michael Carter-Williams,4300,Chi@Mem 09:00PM ET,18.268,Chi,False,0,18.600,12.333,19.688,0.000,-1645.947,7.000,25.800,192.500,8.000
PF,Jon Leuer,4200,Det@LAL 09:30PM ET,22.711,Det,False,1,23.464,15.562,13.875,0.000,-2270.873,27.000,25.200,212.000,-1.500
PG/SG,Darren Collison,4100,OKC@Sac 09:00PM ET,22.823,Sac,True,0,21.643,17.054,22.688,0.000,-0.000,17.500,24.600,212.500,1.500
PF,JaMychal Green,4000,Chi@Mem 09:00PM ET,22.793,Mem,True,0,22.036,15.810,16.625,0.000,-2.279,19.000,24.000,192.500,-8.000
C,Robin Lopez,4000,Chi@Mem 09:00PM ET,22.415,Chi,False,0,17.786,16.524,21.312,0.000,-2019.591,1.000,24.000,192.500,8.000
PG,Ty Lawson,4000,OKC@Sac 09:00PM ET,20.112,Sac,True,0,20.964,12.103,22.688,0.000,-0.000,24.000,24.000,212.500,1.500
SF,Andre Roberson,4000,OKC@Sac 09:00PM ET,18.689,OKC,False,0,14.464,10.676,22.812,0.000,-1682.010,9.500,24.000,212.500,-1.500
SF,Doug McDermott,3900,Chi@Mem 09:00PM ET,16.446,Chi,False,0,15.929,10.089,10.875,0.000,-1481.785,4.000,23.400,192.500,8.000
PG/SG,Garrett Temple,3900,OKC@Sac 09:00PM ET,17.410,Sac,True,0,17.464,12.000,18.438,0.000,-0.000,17.500,23.400,212.500,1.500
SF/PF,Anthony Tolliver,3900,OKC@Sac 09:00PM ET,13.926,Sac,True,0,19.821,6.196,20.000,0.000,-1253.340,9.500,23.400,212.500,1.500
PG/SG,Jordan Clarkson,3900,Det@LAL 09:30PM ET,23.068,LAL,True,0,17.821,16.034,22.500,0.000,-0.000,14.000,23.400,212.000,1.500
SF,Luol Deng,3900,Det@LAL 09:30PM ET,20.661,LAL,True,0,20.750,13.427,22.500,0.000,-1859.490,7.000,23.400,212.000,1.500
PG,Jerian Grant,3800,Chi@Mem 09:00PM ET,11.273,Chi,False,0,12.393,4.941,19.250,0.000,-1015.697,7.000,22.800,192.500,8.000
SG,Lou Williams,3800,Det@LAL 09:30PM ET,27.028,LAL,True,0,18.714,18.393,15.312,0.000,-2432.520,6.000,22.800,212.000,1.500
C,Aron Baynes,3800,Det@LAL 09:30PM ET,10.275,Det,False,0,6.750,6.560,6.062,0.000,-0.000,29.000,22.800,212.000,-1.500
PG,Andrew Harrison,3700,Chi@Mem 09:00PM ET,17.475,Mem,True,0,11.179,11.125,10.000,0.000,-1574.497,9.000,22.200,192.500,-8.000
SG/SF,Denzel Valentine,3700,Chi@Mem 09:00PM ET,7.020,Chi,False,0,11.500,2.917,12.500,0.000,-632.502,4.250,22.200,192.500,8.000
SF/PF,Matt Barnes,3700,OKC@Sac 09:00PM ET,19.139,Sac,True,0,18.679,12.013,18.438,0.000,-1722.510,9.500,22.200,212.500,1.500
SG,Nick Young,3700,Det@LAL 09:30PM ET,20.696,LAL,True,0,18.571,12.868,10.812,0.000,-1862.640,6.000,22.200,212.000,1.500
SF,Brandon Ingram,3600,Det@LAL 09:30PM ET,17.517,LAL,True,0,17.964,13.083,23.000,0.000,-1576.530,7.000,21.600,212.000,1.500
SG/SF,Vince Carter,3500,Chi@Mem 09:00PM ET,17.507,Mem,True,0,16.000,12.537,11.875,-90.000,-1.751,14.000,21.000,192.500,-8.000
SF,James Ennis III,3500,Chi@Mem 09:00PM ET,17.741,Mem,True,0,15.750,11.768,18.625,0.000,-1.774,14.000,21.000,192.500,-8.000
SG/SF,Stanley Johnson,3500,Det@LAL 09:30PM ET,10.132,Det,False,0,15.607,5.119,15.000,0.000,-0.000,24.000,21.000,212.000,-1.500
SF,Chandler Parsons,3400,Chi@Mem 09:00PM ET,11.891,Mem,True,0,11.500,6.667,14.000,0.000,-1.189,14.000,20.400,192.500,-8.000
C,Cristiano Felicio,3200,Chi@Mem 09:00PM ET,12.568,Chi,False,0,15.286,6.926,19.562,0.000,-1132.377,1.000,19.200,192.500,8.000
PG,Ish Smith,3200,Det@LAL 09:30PM ET,20.848,Det,False,0,13.821,13.716,13.312,0.000,-20.000,28.000,19.200,212.000,-1.500
PF,Domantas Sabonis,3100,OKC@Sac 09:00PM ET,14.189,OKC,False,0,11.821,8.863,12.125,0.000,-0.000,25.500,18.600,212.500,-1.500
C,Kosta Koufos,3100,OKC@Sac 09:00PM ET,15.923,Sac,True,0,15.000,10.131,14.688,0.000,-1433.070,10.500,18.600,212.500,1.500
PG,Isaiah Canaan,3000,Chi@Mem 09:00PM ET,10.768,Chi,False,0,12.393,5.703,3.312,0.000,-970.197,7.000,18.000,192.500,8.000
PG,Wade Baldwin IV,3000,Chi@Mem 09:00PM ET,9.402,Mem,True,0,9.214,3.327,3.125,0.000,-847.120,9.000,18.000,192.500,-8.000
SG,Troy Daniels,3000,Chi@Mem 09:00PM ET,14.976,Mem,True,0,17.214,6.438,12.125,0.000,-1.498,14.000,18.000,192.500,-8.000
SG,Troy Williams,3000,Chi@Mem 09:00PM ET,10.720,Mem,True,0,12.964,2.729,4.188,0.000,-1.072,14.000,18.000,192.500,-8.000
SF,Paul Zipser,3000,Chi@Mem 09:00PM ET,3.886,Chi,False,0,4.583,1.688,5.375,0.000,-350.129,4.000,18.000,192.500,8.000
PF/C,Jarell Martin,3000,Chi@Mem 09:00PM ET,10.395,Mem,True,0,12.393,4.862,5.875,0.000,-1.040,14.750,18.000,192.500,-8.000
PF,Bobby Portis,3000,Chi@Mem 09:00PM ET,9.778,Chi,False,0,10.643,5.603,13.438,0.000,-880.998,3.000,18.000,192.500,8.000
PF,Deyonta Davis,3000,Chi@Mem 09:00PM ET,5.881,Mem,True,1,7.286,2.062,4.750,0.000,-588.629,19.000,18.000,192.500,-8.000
PG,Semaj Christon,3000,OKC@Sac 09:00PM ET,9.081,OKC,False,0,10.429,4.809,10.312,0.000,-0.000,18.000,18.000,212.500,-1.500
PG,Cameron Payne,3000,OKC@Sac 09:00PM ET,9.250,OKC,False,0,10.500,3.500,9.250,0.000,-0.000,18.000,18.000,212.500,-1.500
SG/SF,Alex Abrines,3000,OKC@Sac 09:00PM ET,9.110,OKC,False,0,11.286,4.222,9.375,0.000,-0.000,16.750,18.000,212.500,-1.500
SG,Arron Afflalo,3000,OKC@Sac 09:00PM ET,12.211,Sac,True,0,8.643,6.422,6.625,0.000,-1098.990,11.000,18.000,212.500,1.500
SG,Anthony Morrow,3000,OKC@Sac 09:00PM ET,8.759,OKC,False,0,7.464,4.044,5.125,0.000,-0.000,24.000,18.000,212.500,-1.500
SG,Ben McLemore,3000,OKC@Sac 09:00PM ET,8.911,Sac,True,0,3.643,3.833,2.750,0.000,-801.990,11.000,18.000,212.500,1.500
SG,Malachi Richardson,3000,OKC@Sac 09:00PM ET,4.750,Sac,True,0,4.375,0.875,6.250,0.000,-427.500,11.000,18.000,212.500,1.500
SF/PF,Jerami Grant,3000,OKC@Sac 09:00PM ET,13.094,OKC,False,0,11.821,9.103,11.375,0.000,-0.000,17.500,18.000,212.500,-1.500
SF,Kyle Singler,3000,OKC@Sac 09:00PM ET,4.131,OKC,False,0,3.393,1.200,2.500,0.000,-371.790,9.500,18.000,212.500,-1.500
SF,Omri Casspi,3000,OKC@Sac 09:00PM ET,13.614,Sac,True,0,14.286,7.100,9.062,0.000,-1225.260,3.000,18.000,212.500,1.500
PF,Skal Labissiere,3000,OKC@Sac 09:00PM ET,4.625,Sac,True,0,4.000,2.250,4.625,0.000,-0.000,16.000,18.000,212.500,1.500
C,Nick Collison,3000,OKC@Sac 09:00PM ET,3.818,OKC,False,0,5.850,0.333,4.312,0.000,-343.620,13.000,18.000,212.500,-1.500
C,Willie Cauley-Stein,3000,OKC@Sac 09:00PM ET,8.727,Sac,True,0,7.071,3.764,2.062,0.000,-785.430,10.500,18.000,212.500,1.500
C,Joffrey Lauvergne,3000,OKC@Sac 09:00PM ET,11.986,OKC,False,0,8.929,6.417,6.750,0.000,-1078.740,13.000,18.000,212.500,-1.500
PG,Beno Udrih,3000,Det@LAL 09:30PM ET,13.788,Det,False,0,10.143,8.538,11.562,0.000,-0.000,28.000,18.000,212.000,-1.500
PG,Jose Calderon,3000,Det@LAL 09:30PM ET,9.132,LAL,True,0,11.786,3.225,2.188,0.000,-0.000,22.000,18.000,212.000,1.500
PG,Marcelo Huertas,3000,Det@LAL 09:30PM ET,8.806,LAL,True,0,6.464,4.562,5.750,0.000,-0.000,22.000,18.000,212.000,1.500
SG,Darrun Hilliard,3000,Det@LAL 09:30PM ET,6.410,Det,False,0,6.750,2.554,4.125,0.000,-0.000,21.000,18.000,212.000,-1.500
SF,Metta World Peace,3000,Det@LAL 09:30PM ET,2.797,LAL,True,0,1.583,0.625,1.000,0.000,-251.730,7.000,18.000,212.000,1.500
SF,Reggie Bullock,3000,Det@LAL 09:30PM ET,9.550,Det,False,0,11.250,4.500,10.688,0.000,-0.000,27.000,18.000,212.000,-1.500
SF,Michael Gbinije,3000,Det@LAL 09:30PM ET,1.344,Det,False,1,1.750,0.625,1.500,0.000,-134.387,27.000,18.000,212.000,-1.500
PF,Thomas Robinson,3000,Det@LAL 09:30PM ET,12.387,LAL,True,0,17.179,5.150,11.625,0.000,-0.000,15.000,18.000,212.000,1.500
PF,Henry Ellenson,3000,Det@LAL 09:30PM ET,2.923,Det,False,0,3.500,1.361,3.750,0.000,-0.000,27.000,18.000,212.000,-1.500
C,Tarik Black,3000,Det@LAL 09:30PM ET,14.523,LAL,True,0,17.821,9.922,11.750,0.000,-1307.070,5.500,18.000,212.000,1.500
C,Timofey Mozgov,3000,Det@LAL 09:30PM ET,16.186,LAL,True,0,16.321,10.674,16.750,0.000,-1456.740,5.500,18.000,212.000,1.500
C,Boban Marjanovic,3000,Det@LAL 09:30PM ET,10.139,Det,False,0,10.750,3.295,13.812,0.000,-0.000,29.000,18.000,212.000,-1.500
