Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,±
PG,Russell Westbrook,12300,OKC@LAC 10:30PM ET,64.440,OKC,False,0,58.857,53.650,63.500,4.000,-8.817,3.000,73.800,214.500,8.000
SF,LeBron James,10100,Cle@GS 08:00PM ET,51.757,Cle,False,0,52.000,44.075,45.812,4.000,4.875,20.000,60.600,228.500,8.000
SF,Kevin Durant,9900,Cle@GS 08:00PM ET,49.744,GS,True,0,49.464,41.276,50.875,5.000,4.685,25.000,59.400,228.500,-8.000
PG,Chris Paul,9800,OKC@LAC 10:30PM ET,44.536,LAC,True,0,51.643,37.275,49.250,0.000,-0.155,23.000,58.800,214.500,-8.000
PG,Stephen Curry,9000,Cle@GS 08:00PM ET,43.181,GS,True,0,45.143,37.080,50.188,-2.000,4.067,16.000,54.000,228.500,-8.000
PG,Isaiah Thomas,8800,Cha@Bos 07:30PM ET,43.083,Bos,True,0,48.607,36.075,47.188,3.000,0.150,18.000,52.800,215.500,-5.500
PF/C,Kevin Love,8100,Cle@GS 08:00PM ET,41.329,Cle,False,0,37.714,34.275,35.188,2.000,3.893,16.750,48.600,228.500,8.000
PG,Kyrie Irving,8000,Cle@GS 08:00PM ET,39.456,Cle,False,0,36.607,32.014,32.750,4.000,3.716,13.000,48.000,228.500,8.000
PG,Kemba Walker,7900,Cha@Bos 07:30PM ET,39.827,Cha,False,0,39.786,32.955,39.312,0.000,0.139,20.000,47.400,215.500,5.500
SF,Gordon Hayward,7900,Uta@Pho 09:00PM ET,37.600,Uta,False,0,31.536,29.574,40.188,0.000,-3.017,22.000,47.400,203.500,-6.000
C,DeAndre Jordan,7700,OKC@LAC 10:30PM ET,35.238,LAC,True,0,41.750,29.083,43.625,2.000,-0.123,11.500,46.200,214.500,-8.000
PF/C,Draymond Green,7600,Cle@GS 08:00PM ET,39.355,GS,True,0,39.464,34.155,36.562,4.000,3.707,10.500,45.600,228.500,-8.000
PF/C,Blake Griffin,7600,OKC@LAC 10:30PM ET,41.942,LAC,True,1,45.679,35.625,41.750,0.000,-4193.927,13.750,45.600,214.500,-8.000
SG/SF,Nicolas Batum,7300,Cha@Bos 07:30PM ET,36.095,Cha,False,0,35.786,27.987,31.375,4.000,0.126,15.500,43.800,215.500,5.500
C,Rudy Gobert,7100,Uta@Pho 09:00PM ET,35.815,Uta,False,0,36.107,27.486,36.500,0.000,-2.874,22.500,42.600,203.500,-6.000
PG,George Hill,6800,Uta@Pho 09:00PM ET,32.000,Uta,False,0,35.607,23.312,27.812,3.000,-2.567,26.000,40.800,203.500,-6.000
PG,Eric Bledsoe,6800,Uta@Pho 09:00PM ET,38.381,Pho,True,0,41.107,29.393,40.000,2.000,-7.770,4.500,40.800,203.500,6.000
C,Al Horford,6700,Cha@Bos 07:30PM ET,36.375,Bos,True,0,37.250,28.850,33.938,7.000,0.127,26.000,40.200,215.500,-5.500
SG,Klay Thompson,6500,Cle@GS 08:00PM ET,32.096,GS,True,0,34.143,25.087,30.125,5.000,3.023,28.000,39.000,228.500,-8.000
PF/C,Enes Kanter,6100,OKC@LAC 10:30PM ET,26.321,OKC,False,0,32.357,16.881,42.000,3.000,-3.182,5.750,36.600,214.500,8.000
SG,Avery Bradley,6000,Cha@Bos 07:30PM ET,33.936,Bos,True,0,31.857,27.044,35.875,-10.000,0.118,23.000,36.000,215.500,-5.500
SG,Devin Booker,6000,Uta@Pho 09:00PM ET,30.372,Pho,True,0,42.250,22.524,40.250,-2.000,-8.511,1.000,36.000,203.500,6.000
SG/SF,Marcus Smart,5900,Cha@Bos 07:30PM ET,24.770,Bos,True,0,26.321,19.591,31.438,-2.000,0.086,24.500,35.400,215.500,-5.500
SG,Victor Oladipo,5600,OKC@LAC 10:30PM ET,28.538,OKC,False,0,29.679,20.672,27.188,3.000,-0.100,10.000,33.600,214.500,8.000
SF,Jae Crowder,5300,Cha@Bos 07:30PM ET,25.891,Bos,True,0,23.857,19.357,25.438,3.000,0.090,26.000,31.800,215.500,-5.500
C,Steven Adams,5300,OKC@LAC 10:30PM ET,26.935,OKC,False,1,28.857,20.062,22.500,0.000,-2693.325,7.000,31.800,214.500,8.000
