Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG/SG,James Harden,12200,Hou@Orl 07:00PM ET,60.574,Hou,0,0,57.821,54.136,74.438,57.500,20.750,73.200,0.137,0.000,224.000
PF/C,DeMarcus Cousins,10900,LAC@Sac 10:30PM ET,52.221,Sac,1,0,57.464,40.067,46.250,30.000,11.500,65.400,0.169,2.500,212.500
PG,Giannis Antetokounmpo,10700,NY@Mil 08:00PM ET,51.566,Mil,1,0,51.714,42.922,56.625,57.750,14.000,64.200,0.126,0.000,213.500
SF,LeBron James,10500,Cle@Bkn 07:30PM ET,52.266,Cle,0,0,53.393,43.641,52.938,51.500,30.000,63.000,0.177,0.000,221.000
PG,John Wall,10100,Min@Was 07:00PM ET,49.164,Was,1,0,54.679,42.328,53.625,50.500,22.000,60.600,0.117,0.000,211.500
PF/C,Karl-Anthony Towns,9600,Min@Was 07:00PM ET,44.829,Min,0,0,45.536,37.575,48.125,55.000,16.250,57.600,0.133,5.000,211.500
SF,Kevin Durant,9400,Mem@GS 10:30PM ET,49.618,GS,1,0,48.357,40.691,49.750,52.750,5.000,56.400,0.260,0.000,216.000
PG,Chris Paul,8900,LAC@Sac 10:30PM ET,43.927,LAC,0,1,44.464,36.653,43.500,42.500,19.000,53.400,0.188,0.000,212.500
PG,Stephen Curry,8500,Mem@GS 10:30PM ET,42.403,GS,1,0,39.036,36.158,40.938,53.250,8.000,51.000,0.163,0.000,216.000
PG,Isaiah Thomas,8300,Phi@Bos 07:30PM ET,42.992,Bos,1,0,45.036,35.750,51.250,62.000,17.000,49.800,0.244,0.000,212.500
PF/C,Kevin Love,8100,Cle@Bkn 07:30PM ET,42.308,Cle,0,1,40.214,34.406,44.250,33.250,29.750,48.600,0.272,0.000,221.000
C,Hassan Whiteside,8000,Mia@LAL 10:30PM ET,42.316,Mia,0,1,33.429,30.109,28.625,26.000,29.500,48.000,0.339,2.500,213.500
SF,Carmelo Anthony,7900,NY@Mil 08:00PM ET,37.221,NY,0,0,33.250,27.972,40.375,60.750,29.000,47.400,0.209,5.000,213.500
PG,Kyrie Irving,7800,Cle@Bkn 07:30PM ET,40.069,Cle,0,1,38.964,32.383,52.312,62.750,30.000,46.800,0.266,0.000,221.000
PF/C,Joel Embiid,7700,Phi@Bos 07:30PM ET,36.685,Phi,0,1,37.000,28.275,42.938,44.500,22.250,46.200,0.150,11.000,212.500
PF/C,Blake Griffin,7600,LAC@Sac 10:30PM ET,41.942,LAC,0,1,38.143,35.625,41.750,46.250,15.750,45.600,0.332,0.000,212.500
PF/C,Draymond Green,7500,Mem@GS 10:30PM ET,39.765,GS,1,0,41.179,34.211,42.312,42.250,1.750,45.000,0.269,0.000,216.000
C,Marc Gasol,7400,Mem@GS 10:30PM ET,38.549,Mem,0,0,42.714,28.078,35.125,43.000,21.500,44.400,0.315,14.000,216.000
PG,Goran Dragic,7400,Mia@LAL 10:30PM ET,35.328,Mia,0,0,33.107,27.985,32.688,33.750,28.000,44.400,0.212,2.500,213.500
SF/PF,Jabari Parker,7300,NY@Mil 08:00PM ET,33.779,Mil,1,0,40.179,25.819,33.562,26.500,17.500,43.800,0.164,0.000,213.500
PF/C,Julius Randle,7200,Mia@LAL 10:30PM ET,32.316,LAL,1,0,40.250,23.931,41.250,36.750,12.250,43.200,0.169,0.000,213.500
C,DeAndre Jordan,7100,LAC@Sac 10:30PM ET,34.355,LAC,0,0,39.714,28.739,40.000,47.500,7.500,42.600,0.167,0.000,212.500
PF,Kristaps Porzingis,7000,NY@Mil 08:00PM ET,38.000,NY,0,1,43.250,29.632,41.875,50.000,17.000,42.000,0.362,5.000,213.500
C,Al Horford,6900,Phi@Bos 07:30PM ET,36.340,Bos,1,0,40.929,28.062,29.250,36.250,27.000,41.400,0.306,0.000,212.500
SG,Bradley Beal,6900,Min@Was 07:00PM ET,34.075,Was,1,0,36.321,25.250,34.500,40.000,5.000,41.400,0.236,0.000,211.500
SF,Andrew Wiggins,6800,Min@Was 07:00PM ET,32.321,Min,0,0,34.107,22.797,33.688,17.500,15.000,40.800,0.234,5.000,211.500
SG,Zach LaVine,6700,Min@Was 07:00PM ET,32.015,Min,0,0,33.714,24.691,30.500,38.500,9.000,40.200,0.206,5.000,211.500
PG,Mike Conley,6600,Mem@GS 10:30PM ET,34.942,Mem,0,0,35.893,26.893,34.000,44.250,15.000,39.600,0.330,14.000,216.000
C,Brook Lopez,6500,Cle@Bkn 07:30PM ET,35.194,Bkn,1,0,37.500,27.456,31.250,25.500,6.000,39.000,0.362,13.000,221.000
SG,Klay Thompson,6400,Mem@GS 10:30PM ET,32.222,GS,1,1,33.643,24.819,36.750,28.750,8.000,38.400,0.271,0.000,216.000
PF/C,Serge Ibaka,6400,Hou@Orl 07:00PM ET,30.622,Orl,1,0,32.286,23.214,31.750,25.250,20.750,38.400,0.228,5.000,224.000
C,Nikola Vucevic,6300,Hou@Orl 07:00PM ET,33.919,Orl,1,0,33.000,25.592,38.688,32.000,26.000,37.800,0.363,5.000,224.000
C,Marcin Gortat,6200,Min@Was 07:00PM ET,32.331,Was,1,0,34.143,26.539,39.938,41.000,16.000,37.200,0.275,0.000,211.500
PG,D'Angelo Russell,6200,Mia@LAL 10:30PM ET,29.183,LAL,1,0,27.036,22.633,36.500,32.500,7.000,37.200,0.224,0.000,213.500
SG,Avery Bradley,6100,Phi@Bos 07:30PM ET,33.559,Bos,1,0,28.964,26.625,31.438,20.250,21.000,36.600,0.366,0.000,212.500
PF,Ersan Ilyasova,6000,Phi@Bos 07:30PM ET,26.439,Phi,0,0,37.179,19.264,34.500,29.250,23.000,36.000,0.175,11.000,212.500
PG,Derrick Rose,6000,NY@Mil 08:00PM ET,30.395,NY,0,0,26.500,23.944,30.438,24.750,5.000,36.000,0.286,5.000,213.500
SF/PF,Otto Porter,6000,Min@Was 07:00PM ET,29.566,Was,1,0,28.929,21.211,25.500,35.500,6.750,36.000,0.307,0.000,211.500
PG,Elfrid Payton,6000,Hou@Orl 07:00PM ET,28.074,Orl,1,0,29.357,20.511,27.938,36.000,11.500,36.000,0.257,5.000,224.000
SF,Rudy Gay,6000,LAC@Sac 10:30PM ET,34.740,Sac,1,1,29.000,26.542,28.125,31.750,20.000,36.000,0.451,2.500,212.500
SF,Trevor Ariza,5900,Hou@Orl 07:00PM ET,27.953,Hou,0,0,24.429,21.181,32.375,20.250,23.000,35.400,0.175,0.000,224.000
