Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,Final,NN2,RF2
PG/SG,James Harden,11400,Hou@Mem 08:00PM ET,60.587,HOU,0,0,60.929,52.865,60.688,0.000,-78.881,5.000,68.400,215.500,-1.500,62.000,55.049,57.715
PF/C,DeMarcus Cousins,10900,Sac@Chi 09:00PM ET,52.409,SAC,0,0,45.500,39.971,54.062,13.102,-76.449,13.250,65.400,205.000,6.500,71.500,51.607,49.636
SF,LeBron James,10600,SA@Cle 08:30PM ET,51.421,CLE,1,0,52.250,42.684,45.250,0.000,-7.824,2.000,63.600,211.500,-2.500,48.500,52.779,56.323
PG,Giannis Antetokounmpo,10400,Mil@Mia 07:30PM ET,50.177,MIL,0,0,49.821,40.329,52.188,0.000,-2.715,8.000,62.400,206.000,1.500,46.500,49.422,56.666
PG,John Wall,9500,Was@Det 06:00PM ET,48.963,WAS,0,0,45.250,41.975,51.375,0.000,-1.724,23.500,57.000,208.000,1.000,46.250,44.961,53.380
C,Nikola Jokic,9300,LAC@Den 09:00PM ET,33.635,DEN,1,0,43.000,21.145,56.375,0.000,3.423,9.000,55.800,222.500,-5.000,37.000,45.635,43.332
SF,Kawhi Leonard,9200,SA@Cle 08:30PM ET,42.338,SA,0,0,41.893,33.544,49.125,0.000,-0.091,27.000,55.200,211.500,2.500,58.500,43.020,41.356
SG/SF,Jimmy Butler,9100,Sac@Chi 09:00PM ET,44.048,CHI,1,0,56.786,34.312,44.812,0.000,-69.857,15.750,54.600,205.000,-6.500,39.250,45.376,46.128
PG,Isaiah Thomas,8900,Por@Bos 05:00PM ET,43.408,BOS,1,0,50.571,36.075,49.312,0.000,-1.769,10.500,53.400,218.000,-8.000,52.750,44.411,46.185
PG,Eric Bledsoe,8500,Pho@NY 07:30PM ET,39.119,PHO,0,0,40.179,29.818,44.438,0.000,3.981,15.000,51.000,222.500,5.500,42.250,39.124,39.910
PG,Damian Lillard,8300,Por@Bos 05:00PM ET,43.369,POR,0,0,43.000,34.898,42.188,4.337,-1.767,20.000,49.800,218.000,8.000,41.250,38.178,35.902
PF/C,Joel Embiid,8200,Phi@Atl 07:00PM ET,38.375,PHI,0,1,42.036,30.192,46.812,0.000,-3845.749,10.750,49.200,198.500,10.000,0.000,37.379,26.345
PG,Kyrie Irving,8100,SA@Cle 08:30PM ET,39.000,CLE,1,0,49.857,31.938,30.125,0.000,-4.764,5.000,48.600,211.500,-2.500,50.750,39.856,39.842
PG,Chris Paul,8000,LAC@Den 09:00PM ET,43.917,LAC,0,1,41.250,36.188,43.312,4.392,-4434.370,29.000,48.000,222.500,5.000,0.000,36.941,20.641
PG,Kemba Walker,8000,Bkn@Cha 07:00PM ET,39.893,CHA,1,0,44.750,32.946,38.438,0.000,-0.307,30.000,48.000,221.500,-12.000,29.000,40.103,38.614
SF,Carmelo Anthony,7900,Pho@NY 07:30PM ET,37.331,NY,1,0,44.964,27.625,36.375,3.733,3.799,25.000,47.400,222.500,-5.500,51.750,38.969,43.492
C,DeAndre Jordan,7800,LAC@Den 09:00PM ET,36.165,LAC,0,0,38.214,29.587,54.125,0.000,3.680,15.500,46.800,222.500,5.000,37.250,35.571,38.986
