Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,communityBonus,penalty,dvp,value,O/U,odds,NN,RF,Final
PF/C,Karl-Anthony Towns,10500,Min@Pho 09:00PM ET,46.597,MIN,0,0,47.286,38.683,53.562,0.000,1.482,21.750,63.000,213.000,1.000,49.654,57.122,39.500
PG,John Wall,9400,Bos@Was 07:00PM ET,48.661,WAS,1,0,52.964,41.350,50.000,0.000,-41.671,22.000,56.400,217.000,1.000,46.020,56.557,52.750
PG,Isaiah Thomas,9300,Bos@Was 07:00PM ET,43.647,BOS,0,0,45.536,36.075,49.438,0.000,-2.766,3.000,55.800,217.000,-1.000,42.916,33.533,50.250
SF,Kawhi Leonard,9200,SA@Tor 07:00PM ET,42.732,SA,0,1,44.250,33.544,53.250,0.000,-4278.540,12.000,55.200,206.000,-3.000,43.035,43.726,0.000
SG/SF,Jimmy Butler,9000,Chi@Orl 07:00PM ET,43.936,CHI,0,0,35.857,34.510,39.875,0.000,-5.721,20.500,54.000,206.500,-2.500,42.128,44.231,42.000
PG,Eric Bledsoe,8900,Min@Pho 09:00PM ET,39.858,PHO,1,0,45.429,29.818,54.625,0.000,1.267,19.500,53.400,213.000,-1.000,43.756,46.019,29.750
PG,Kyle Lowry,8800,SA@Tor 07:00PM ET,43.041,TOR,1,0,42.893,33.972,37.062,0.000,-55.009,4.500,52.800,206.000,3.000,42.534,43.209,39.250
C,Nikola Jokic,8600,Uta@Den 09:00PM ET,33.885,DEN,1,0,44.250,21.775,48.562,0.000,-9.735,1.000,51.600,211.000,-2.500,41.959,46.986,55.250
C,DeAndre Jordan,8100,LAC@Phi 07:00PM ET,36.141,LAC,0,0,36.607,29.750,45.625,0.000,-5.395,27.000,48.600,204.500,-4.500,37.924,33.321,40.000
C,Joel Embiid,8000,LAC@Phi 07:00PM ET,38.375,PHI,1,1,43.464,30.192,46.812,0.000,-3842.845,11.000,48.000,204.500,4.500,38.486,43.905,0.000
PG,Chris Paul,7900,LAC@Phi 07:00PM ET,43.917,LAC,0,1,41.250,36.188,43.312,4.392,-4445.395,11.000,47.400,204.500,-4.500,36.221,15.380,0.000
SG,DeMar DeRozan,7700,SA@Tor 07:00PM ET,42.170,TOR,1,1,40.036,34.864,40.750,0.000,-4222.270,18.000,46.200,206.000,3.000,37.085,29.758,0.000
PF,Blake Griffin,7600,LAC@Phi 07:00PM ET,41.942,LAC,0,1,38.143,35.625,41.750,0.000,-4200.042,6.000,45.600,204.500,-4.500,34.537,19.842,33.750
C,Rudy Gobert,7300,Uta@Den 09:00PM ET,36.685,UTA,0,0,43.000,28.795,46.125,0.000,-3.202,18.500,43.800,211.000,2.500,32.721,28.940,23.750
SF,Gordon Hayward,7200,Uta@Den 09:00PM ET,37.160,UTA,0,0,33.286,29.158,33.312,0.000,-3.243,18.500,43.200,211.000,2.500,32.178,33.614,20.500
SF,Andrew Wiggins,7000,Min@Pho 09:00PM ET,32.358,MIN,0,0,33.143,22.913,33.188,0.000,1.029,25.500,42.000,213.000,1.000,31.515,36.655,47.000
PG,George Hill,6900,Uta@Den 09:00PM ET,31.398,UTA,0,0,33.071,22.075,28.688,0.000,-35.897,29.000,41.400,211.000,2.500,31.020,33.438,30.250
PF,LaMarcus Aldridge,6900,SA@Tor 07:00PM ET,33.069,SA,0,0,38.643,24.631,38.375,0.000,-4.464,22.000,41.400,206.000,-3.000,31.332,33.519,34.250
SG,Devin Booker,6900,Min@Pho 09:00PM ET,30.616,PHO,1,0,39.250,23.000,33.000,0.000,0.973,8.500,41.400,213.000,-1.000,33.053,32.182,34.500
C,Al Horford,6800,Bos@Was 07:00PM ET,36.235,BOS,0,0,33.393,29.047,33.875,0.000,2.535,8.000,40.800,217.000,-1.000,29.955,35.880,33.000
SG,Dwyane Wade,6800,Chi@Orl 07:00PM ET,33.238,CHI,0,0,29.179,25.105,33.938,0.000,-4.328,21.000,40.800,206.500,-2.500,30.718,31.734,49.250
SG,Bradley Beal,6700,Bos@Was 07:00PM ET,33.594,WAS,1,0,30.107,25.637,26.312,0.000,2.350,13.000,40.200,217.000,1.000,31.799,34.848,43.500
C,Nikola Vucevic,6600,Chi@Orl 07:00PM ET,33.762,ORL,1,0,28.750,25.635,25.625,0.000,-4.396,11.000,39.600,206.500,2.500,31.287,33.962,35.500
PG,Ricky Rubio,6600,Min@Pho 09:00PM ET,27.697,MIN,0,1,29.179,20.057,34.062,0.000,-2798.242,26.000,39.600,213.000,1.000,29.520,28.707,37.500
SG,Zach LaVine,6500,Min@Pho 09:00PM ET,30.524,MIN,0,0,25.429,21.803,19.812,0.000,-30.666,15.000,39.000,213.000,1.000,28.611,32.052,21.750
PG,Elfrid Payton,6400,Chi@Orl 07:00PM ET,29.163,ORL,1,0,34.143,20.398,37.750,0.000,-3.797,11.000,38.400,206.500,2.500,30.340,29.264,22.250
SF/PF,Markieff Morris,6300,Bos@Was 07:00PM ET,27.779,WAS,1,0,30.714,20.680,36.438,0.000,1.943,20.000,37.800,217.000,1.000,30.013,33.177,43.750
SF/PF,Otto Porter,6200,Bos@Was 07:00PM ET,30.142,WAS,1,0,26.571,21.906,35.938,0.000,2.109,20.000,37.200,217.000,1.000,29.423,34.745,12.000
PF/C,Serge Ibaka,6100,Chi@Orl 07:00PM ET,30.156,ORL,1,0,31.571,22.740,24.812,0.000,-33.437,14.250,36.600,206.500,2.500,28.811,29.910,37.000
SG,Avery Bradley,6000,Bos@Was 07:00PM ET,33.458,BOS,0,1,32.786,26.044,29.125,0.000,-3373.750,10.000,36.000,217.000,-1.000,25.828,8.391,0.000
PF,Ersan Ilyasova,6000,LAC@Phi 07:00PM ET,27.196,PHI,1,0,28.821,19.500,31.125,0.000,-7.323,5.000,36.000,204.500,4.500,27.971,27.783,23.750
C,Jonas Valanciunas,6000,SA@Tor 07:00PM ET,28.006,TOR,1,0,34.821,21.000,29.875,0.000,-7.514,3.000,36.000,206.000,3.000,27.989,27.856,32.250
SG/SF,Will Barton,5900,Uta@Den 09:00PM ET,26.089,DEN,1,0,19.357,16.411,30.750,0.000,-35.129,1.000,35.400,211.000,-2.500,27.805,23.899,15.000
PG/SG,Austin Rivers,5900,LAC@Phi 07:00PM ET,19.983,LAC,0,0,26.214,11.500,30.938,0.000,-2.983,14.500,35.400,204.500,-4.500,26.290,30.193,30.000
PF/C,David Lee,5900,SA@Tor 07:00PM ET,17.116,SA,0,0,17.964,11.865,29.500,0.000,-2.310,14.500,35.400,206.000,-3.000,26.210,23.342,19.250
PG/SG,Marcus Smart,5800,Bos@Was 07:00PM ET,24.875,BOS,0,0,24.893,19.729,25.875,0.000,-1.130,6.500,34.800,217.000,-1.000,24.884,33.660,28.750
C,Marcin Gortat,5800,Bos@Was 07:00PM ET,30.892,WAS,1,0,30.857,25.240,25.562,0.000,-22.771,21.000,34.800,217.000,1.000,27.306,27.560,27.000
SF/PF,Aaron Gordon,5700,Chi@Orl 07:00PM ET,22.897,ORL,1,0,28.571,15.650,26.438,0.000,-2.981,13.000,34.200,206.500,2.500,26.832,27.899,23.500
C,Tyson Chandler,5700,Min@Pho 09:00PM ET,26.364,PHO,1,0,29.929,18.015,34.500,0.000,0.838,14.500,34.200,213.000,-1.000,26.949,28.649,48.750
SF/PF,Wilson Chandler,5600,Uta@Den 09:00PM ET,30.064,DEN,1,0,27.929,21.538,27.812,0.000,-8.637,1.000,33.600,211.000,-2.500,26.111,28.000,11.250
SF,Jae Crowder,5600,Bos@Was 07:00PM ET,26.257,BOS,0,0,26.357,19.357,30.312,0.000,1.837,17.000,33.600,217.000,-1.000,24.078,27.571,31.500
PG,Raymond Felton,5600,LAC@Phi 07:00PM ET,16.778,LAC,0,0,25.179,9.950,27.438,0.000,-2.505,11.000,33.600,204.500,-4.500,24.679,20.261,9.750
SF,Robert Covington,5600,LAC@Phi 07:00PM ET,25.340,PHI,1,0,29.393,17.887,30.750,0.000,-3.783,15.000,33.600,204.500,4.500,26.169,22.864,37.500
PG,T.J. McConnell,5500,LAC@Phi 07:00PM ET,19.317,PHI,1,0,24.929,13.260,25.875,0.000,-5.781,2.000,33.000,204.500,4.500,25.428,23.742,23.500
SF,Danilo Gallinari,5400,Uta@Den 09:00PM ET,28.679,DEN,1,0,27.464,23.909,28.438,0.000,-8.239,1.000,32.400,211.000,-2.500,25.083,21.315,21.250
SG,Evan Fournier,5300,Chi@Orl 07:00PM ET,27.068,ORL,1,1,28.964,20.125,22.938,0.000,-2710.054,12.000,31.800,206.500,2.500,24.574,15.726,0.000
C,Jahlil Okafor,5200,LAC@Phi 07:00PM ET,21.177,PHI,1,1,24.643,13.019,22.188,0.000,-2120.650,11.000,31.200,204.500,4.500,24.037,23.302,0.000
PF/C,Gorgui Dieng,5200,Min@Pho 09:00PM ET,26.710,MIN,0,0,30.286,18.863,26.875,0.000,-22.757,21.750,31.200,213.000,1.000,22.087,24.068,37.250
SG,J.J. Redick,5100,LAC@Phi 07:00PM ET,22.436,LAC,0,0,21.679,14.812,25.312,0.000,-3.349,18.000,30.600,204.500,-4.500,22.074,19.845,26.250
PF/C,Derrick Favors,5000,Uta@Den 09:00PM ET,20.944,UTA,0,0,19.500,13.797,20.688,0.000,-1.828,13.500,30.000,211.000,2.500,20.809,19.690,29.750
