"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SG","James Harden",11600,"HOU@WAS 12/29/2017 07:00PM ET",57.930,"HOU"
"PG","Russell Westbrook",11500,"MIL@OKC 12/29/2017 08:00PM ET",55.714,"OKC"
"PF/C","DeMarcus Cousins",11100,"DAL@NO 12/29/2017 08:00PM ET",54.588,"NO"
"PF/C","Anthony Davis",10800,"DAL@NO 12/29/2017 08:00PM ET",48.767,"NO"
"SF/PF","Giannis Antetokounmpo",10700,"MIL@OKC 12/29/2017 08:00PM ET",55.300,"MIL"
"SF/PF","Kevin Durant",10600,"CHA@GS 12/29/2017 10:30PM ET",48.858,"GS"
"PG/SG","Stephen Curry",9300,"CHA@GS 12/29/2017 10:30PM ET",46.924,"GS"
"PG/SG","Victor Oladipo",9000,"IND@CHI 12/29/2017 08:00PM ET",42.833,"IND"
"PG/SG","Chris Paul",8800,"HOU@WAS 12/29/2017 07:00PM ET",42.953,"HOU"
"PG","John Wall",8600,"HOU@WAS 12/29/2017 07:00PM ET",40.042,"WAS"
"SG/SF","Devin Booker",8500,"PHO@SAC 12/29/2017 10:00PM ET",38.683,"PHO"
"C","DeAndre Jordan",8100,"LAC@LAL 12/29/2017 10:30PM ET",35.114,"LAC"
"SG/SF","DeMar DeRozan",8000,"ATL@TOR 12/29/2017 07:30PM ET",38.977,"TOR"
"PF/C","Draymond Green",7900,"CHA@GS 12/29/2017 10:30PM ET",36.552,"GS"
"SF","Paul George",7800,"MIL@OKC 12/29/2017 08:00PM ET",38.583,"OKC"
"PG","Kyle Lowry",7700,"ATL@TOR 12/29/2017 07:30PM ET",37.947,"TOR"
"PG/SG","Lou Williams",7600,"LAC@LAL 12/29/2017 10:30PM ET",33.242,"LAC"
"SF/PF","Kyle Kuzma",7500,"LAC@LAL 12/29/2017 10:30PM ET",31.063,"LAL"
"PG/SG","Kris Dunn",7400,"IND@CHI 12/29/2017 08:00PM ET",31.492,"CHI"
"C","Dwight Howard",7400,"CHA@GS 12/29/2017 10:30PM ET",35.750,"CHA"
"SG/SF","Khris Middleton",7300,"MIL@OKC 12/29/2017 08:00PM ET",36.531,"MIL"
"PG/SG","Jrue Holiday",7300,"DAL@NO 12/29/2017 08:00PM ET",34.941,"NO"
"PF/C","Blake Griffin",7200,"LAC@LAL 12/29/2017 10:30PM ET",43.763,"LAC"
"SG","Bradley Beal",7200,"HOU@WAS 12/29/2017 07:00PM ET",36.957,"WAS"
"PG","Dennis Schroder",7200,"ATL@TOR 12/29/2017 07:30PM ET",35.419,"ATL"
"PG","Kemba Walker",7100,"CHA@GS 12/29/2017 10:30PM ET",37.320,"CHA"
"SG/SF","Josh Richardson",7100,"BKN@MIA 12/29/2017 08:00PM ET",23.566,"MIA"
"PG/SG","Eric Bledsoe",7000,"MIL@OKC 12/29/2017 08:00PM ET",33.770,"MIL"
"PG","Lonzo Ball",6900,"LAC@LAL 12/29/2017 10:30PM ET",33.911,"LAL"
"PG/SG","D'Angelo Russell",6900,"BKN@MIA 12/29/2017 08:00PM ET",36.458,"BKN"
"C","Myles Turner",6800,"IND@CHI 12/29/2017 08:00PM ET",31.116,"IND"
"C","Hassan Whiteside",6800,"BKN@MIA 12/29/2017 08:00PM ET",35.797,"MIA"
