"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Giannis Antetokounmpo",11400,"MIL@DAL 11/18/2017 09:00PM ET",56.179,"MIL"
"PG/SG","James Harden",11100,"HOU@MEM 11/18/2017 08:00PM ET",57.781,"HOU"
"C","Joel Embiid",10000,"GS@PHI 11/18/2017 07:30PM ET",47.000,"PHI"
"SF/PF","Kevin Durant",9600,"GS@PHI 11/18/2017 07:30PM ET",46.679,"GS"
"PG/SF","Ben Simmons",9300,"GS@PHI 11/18/2017 07:30PM ET",45.875,"PHI"
"PG/SG","Stephen Curry",9100,"GS@PHI 11/18/2017 07:30PM ET",44.518,"GS"
"PF/C","Blake Griffin",8900,"LAC@CHA 11/18/2017 07:00PM ET",43.018,"LAC"
"PG","Damian Lillard",8800,"SAC@POR 11/18/2017 10:00PM ET",45.183,"POR"
"PG","Kyrie Irving",8500,"BOS@ATL 11/18/2017 07:30PM ET",36.633,"BOS"
"C","Marc Gasol",8200,"HOU@MEM 11/18/2017 08:00PM ET",41.464,"MEM"
"C","Rudy Gobert",7900,"UTA@ORL 11/18/2017 07:00PM ET",35.042,"UTA"
"PG","Kemba Walker",7700,"LAC@CHA 11/18/2017 07:00PM ET",39.786,"CHA"
"PF/C","Draymond Green",7600,"GS@PHI 11/18/2017 07:30PM ET",34.683,"GS"
"PG/SG","Chris Paul",7500,"HOU@MEM 11/18/2017 08:00PM ET",36.500,"HOU"
"PF/C","Al Horford",7400,"BOS@ATL 11/18/2017 07:30PM ET",35.750,"BOS"
"PG/SG","C.J. McCollum",7100,"SAC@POR 11/18/2017 10:00PM ET",34.964,"POR"
"SG/SF","Tyreke Evans",7000,"HOU@MEM 11/18/2017 08:00PM ET",32.786,"MEM"
"C","Jusuf Nurkic",6900,"SAC@POR 11/18/2017 10:00PM ET",28.700,"POR"
"SG","Klay Thompson",6900,"GS@PHI 11/18/2017 07:30PM ET",33.117,"GS"
"SF/PF","Aaron Gordon",6800,"UTA@ORL 11/18/2017 07:00PM ET",34.769,"ORL"
"C","Nikola Vucevic",6800,"UTA@ORL 11/18/2017 07:00PM ET",35.150,"ORL"
"C","Dwight Howard",6800,"LAC@CHA 11/18/2017 07:00PM ET",32.732,"CHA"
"PG/SG","Lou Williams",6800,"LAC@CHA 11/18/2017 07:00PM ET",28.089,"LAC"
"PG/SG","Donovan Mitchell",6700,"UTA@ORL 11/18/2017 07:00PM ET",26.063,"UTA"
"C","Clint Capela",6700,"HOU@MEM 11/18/2017 08:00PM ET",34.719,"HOU"
"SG/SF","Khris Middleton",6700,"MIL@DAL 11/18/2017 09:00PM ET",35.661,"MIL"
"PG","Dennis Schroder",6600,"BOS@ATL 11/18/2017 07:30PM ET",35.058,"ATL"
"C","DeAndre Jordan",6600,"LAC@CHA 11/18/2017 07:00PM ET",32.429,"LAC"
"SG/SF","Jaylen Brown",6500,"BOS@ATL 11/18/2017 07:30PM ET",28.563,"BOS"
"PG/SG","Eric Bledsoe",6400,"MIL@DAL 11/18/2017 09:00PM ET",28.714,"MIL"
"PG","Mike Conley",6300,"HOU@MEM 11/18/2017 08:00PM ET",28.771,"MEM"
"SF/PF","Robert Covington",6300,"GS@PHI 11/18/2017 07:30PM ET",31.536,"PHI"
"SG/SF","Nicolas Batum",6300,"LAC@CHA 11/18/2017 07:00PM ET",25.250,"CHA"
"PF/C","Derrick Favors",6200,"UTA@ORL 11/18/2017 07:00PM ET",22.922,"UTA"
"PG","Ricky Rubio",6200,"UTA@ORL 11/18/2017 07:00PM ET",29.250,"UTA"
"PG","Elfrid Payton",6200,"UTA@ORL 11/18/2017 07:00PM ET",25.125,"ORL"
"SF/PF","Harrison Barnes",6200,"MIL@DAL 11/18/2017 09:00PM ET",31.766,"DAL"
"PG/SG","Dennis Smith Jr.",6200,"MIL@DAL 11/18/2017 09:00PM ET",28.804,"DAL"
"SF/PF","Jayson Tatum",6100,"BOS@ATL 11/18/2017 07:30PM ET",26.078,"BOS"
"SG/SF","Evan Fournier",6100,"UTA@ORL 11/18/2017 07:00PM ET",32.867,"ORL"
"SG","Eric Gordon",6000,"HOU@MEM 11/18/2017 08:00PM ET",31.533,"HOU"
"PG/SG","Patrick Beverley",5800,"LAC@CHA 11/18/2017 07:00PM ET",26.375,"LAC"
"SF","Danilo Gallinari",5700,"LAC@CHA 11/18/2017 07:00PM ET",24.806,"LAC"
"SG/SF","Marcus Smart",5600,"BOS@ATL 11/18/2017 07:30PM ET",26.036,"BOS"
"SG/SF","Rodney Hood",5500,"UTA@ORL 11/18/2017 07:00PM ET",24.000,"UTA"
"PG/SG","Austin Rivers",5400,"LAC@CHA 11/18/2017 07:00PM ET",23.500,"LAC"
"SG/SF","Joe Ingles",5300,"UTA@ORL 11/18/2017 07:00PM ET",25.188,"UTA"
"PG/SG","Malcolm Brogdon",5300,"MIL@DAL 11/18/2017 09:00PM ET",27.365,"MIL"
"SG/SF","Kent Bazemore",5200,"BOS@ATL 11/18/2017 07:30PM ET",28.833,"ATL"
"C","Dewayne Dedmon",5200,"BOS@ATL 11/18/2017 07:30PM ET",25.367,"ATL"
"SG/SF","Trevor Ariza",5100,"HOU@MEM 11/18/2017 08:00PM ET",25.054,"HOU"
"SG/SF","Jeremy Lamb",5100,"LAC@CHA 11/18/2017 07:00PM ET",29.339,"CHA"
"SF/PF","Jabari Parker",5100,"MIL@DAL 11/18/2017 09:00PM ET",0,"MIL"
"SG/SF","Taurean Prince",5000,"BOS@ATL 11/18/2017 07:30PM ET",27.450,"ATL"
"SG/SF","Buddy Hield",5000,"SAC@POR 11/18/2017 10:00PM ET",22.383,"SAC"
"PF/C","Zach Randolph",4900,"SAC@POR 11/18/2017 10:00PM ET",22.865,"SAC"
"SG/SF","J.J. Redick",4900,"GS@PHI 11/18/2017 07:30PM ET",26.500,"PHI"
"SF/PF","Marcus Morris",4800,"BOS@ATL 11/18/2017 07:30PM ET",23.714,"BOS"
"C","John Henson",4800,"MIL@DAL 11/18/2017 09:00PM ET",20.929,"MIL"
"PG","De'Aaron Fox",4700,"SAC@POR 11/18/2017 10:00PM ET",22.733,"SAC"
"PF/C","John Collins",4600,"BOS@ATL 11/18/2017 07:30PM ET",22.917,"ATL"
"SF/PF","Al-Farouq Aminu",4600,"SAC@POR 11/18/2017 10:00PM ET",24.028,"POR"
"PG/SG","Terry Rozier",4500,"BOS@ATL 11/18/2017 07:30PM ET",21.578,"BOS"
"SG/SF","Jonathon Simmons",4500,"UTA@ORL 11/18/2017 07:00PM ET",23.567,"ORL"
"SF/PF","JaMychal Green",4500,"HOU@MEM 11/18/2017 08:00PM ET",7.750,"MEM"
"PF/C","Dario Saric",4500,"GS@PHI 11/18/2017 07:30PM ET",20.321,"PHI"
"SG/SF","Evan Turner",4400,"SAC@POR 11/18/2017 10:00PM ET",19.983,"POR"
"PF/C","Ryan Anderson",4400,"HOU@MEM 11/18/2017 08:00PM ET",23.047,"HOU"
"SG/SF","Wesley Matthews",4400,"MIL@DAL 11/18/2017 09:00PM ET",22.047,"DAL"
"PG/SG","J.J. Barea",4300,"MIL@DAL 11/18/2017 09:00PM ET",23.109,"DAL"
"PF/C","Willie Cauley-Stein",4200,"SAC@POR 11/18/2017 10:00PM ET",22.567,"SAC"
"SG/SF","Thabo Sefolosha",4200,"UTA@ORL 11/18/2017 07:00PM ET",17.850,"UTA"
"PG/SG","D.J. Augustin",4200,"UTA@ORL 11/18/2017 07:00PM ET",21.188,"ORL"
"SG/SF","Dillon Brooks",4200,"HOU@MEM 11/18/2017 08:00PM ET",19.643,"MEM"
"PG","T.J. McConnell",4200,"GS@PHI 11/18/2017 07:30PM ET",20.589,"PHI"
"PG","Mario Chalmers",4100,"HOU@MEM 11/18/2017 08:00PM ET",18.714,"MEM"
"PF/C","Dirk Nowitzki",4100,"MIL@DAL 11/18/2017 09:00PM ET",21.063,"DAL"
"SF","Michael Kidd-Gilchrist",4000,"LAC@CHA 11/18/2017 07:00PM ET",16.156,"CHA"
"PG/SG","Milos Teodosic",4000,"LAC@CHA 11/18/2017 07:00PM ET",13.125,"LAC"
"PF/C","Frank Kaminsky",4000,"LAC@CHA 11/18/2017 07:00PM ET",20.038,"CHA"
"SG","Marco Belinelli",3900,"BOS@ATL 11/18/2017 07:30PM ET",21.650,"ATL"
"SF/PF","Ersan Ilyasova",3900,"BOS@ATL 11/18/2017 07:30PM ET",16.500,"ATL"
"PG/SG","George Hill",3900,"SAC@POR 11/18/2017 10:00PM ET",18.250,"SAC"
"SF/PF","Jonas Jerebko",3900,"UTA@ORL 11/18/2017 07:00PM ET",9.591,"UTA"
"PG/SG","Seth Curry",3900,"MIL@DAL 11/18/2017 09:00PM ET",0,"DAL"
"SF/PF","P.J. Tucker",3800,"HOU@MEM 11/18/2017 08:00PM ET",19.016,"HOU"
"PG/SG","Markelle Fultz",3800,"GS@PHI 11/18/2017 07:30PM ET",12.438,"PHI"
"SF/PF","Marvin Williams",3800,"LAC@CHA 11/18/2017 07:00PM ET",18.446,"CHA"
"SG/SF","Tony Snell",3800,"MIL@DAL 11/18/2017 09:00PM ET",18.054,"MIL"
"PG/SG","Yogi Ferrell",3800,"MIL@DAL 11/18/2017 09:00PM ET",18.797,"DAL"
"SF/PF","Luke Babbitt",3700,"BOS@ATL 11/18/2017 07:30PM ET",14.333,"ATL"
"PF","Caleb Swanigan",3700,"SAC@POR 11/18/2017 10:00PM ET",9.318,"POR"
"SG/SF","Terrence Ross",3700,"UTA@ORL 11/18/2017 07:00PM ET",19.000,"ORL"
"PG/SG","Jerryd Bayless",3700,"GS@PHI 11/18/2017 07:30PM ET",19.861,"PHI"
"SF/PF","Wesley Johnson",3700,"LAC@CHA 11/18/2017 07:00PM ET",16.411,"LAC"
"C","Aron Baynes",3600,"BOS@ATL 11/18/2017 07:30PM ET",16.391,"BOS"
"SG/SF","Bogdan Bogdanovic",3600,"SAC@POR 11/18/2017 10:00PM ET",16.896,"SAC"
"PF/C","Skal Labissiere",3600,"SAC@POR 11/18/2017 10:00PM ET",16.867,"SAC"
"PG/SG","Shabazz Napier",3600,"SAC@POR 11/18/2017 10:00PM ET",12.409,"POR"
"SG/SF","Joe Johnson",3600,"UTA@ORL 11/18/2017 07:00PM ET",11.656,"UTA"
"SG/SF","James Ennis III",3600,"HOU@MEM 11/18/2017 08:00PM ET",17.786,"MEM"
"SF/PF","Chandler Parsons",3600,"HOU@MEM 11/18/2017 08:00PM ET",16.333,"MEM"
"SF/PF","Luc Richard Mbah a Moute",3600,"HOU@MEM 11/18/2017 08:00PM ET",18.250,"HOU"
"PF/C","Richaun Holmes",3600,"GS@PHI 11/18/2017 07:30PM ET",11.550,"PHI"
"SG/SF","Andre Iguodala",3600,"GS@PHI 11/18/2017 07:30PM ET",16.462,"GS"
"PG/SG","Malik Monk",3600,"LAC@CHA 11/18/2017 07:00PM ET",15.304,"CHA"
"C","Cody Zeller",3600,"LAC@CHA 11/18/2017 07:00PM ET",19.200,"CHA"
"PG/SG","Malcolm Delaney",3500,"BOS@ATL 11/18/2017 07:30PM ET",13.788,"ATL"
"C","Mike Muscala",3500,"BOS@ATL 11/18/2017 07:30PM ET",16.333,"ATL"
"PG/SG","Garrett Temple",3500,"SAC@POR 11/18/2017 10:00PM ET",17.250,"SAC"
"PF/C","Noah Vonleh",3500,"SAC@POR 11/18/2017 10:00PM ET",13.781,"POR"
"SF/PF","Maurice Harkless",3500,"SAC@POR 11/18/2017 10:00PM ET",16.433,"POR"
"PG/SG","Alec Burks",3500,"UTA@ORL 11/18/2017 07:00PM ET",12.700,"UTA"
"PF/C","Jarell Martin",3500,"HOU@MEM 11/18/2017 08:00PM ET",14.096,"MEM"
"SG/SF","Ben McLemore",3500,"HOU@MEM 11/18/2017 08:00PM ET",7.750,"MEM"
"PF/C","Tarik Black",3500,"HOU@MEM 11/18/2017 08:00PM ET",11.045,"HOU"
