PERSON_ID,DISPLAY_FIRST_LAST,Position,Salary,Target,DKFPS,3GAvg,TEAM_ABBREVIATION,HOME,OPP,PM,OU
1717.0,Dirk Nowitzki,,4100,?,21.063000000000002,13.25,DAL,True,MIL,7.5,202.5
1891.0,Jason Terry,,3000,?,3.438,2.0,MIL,False,DAL,-7.5,202.5
2207.0,Joe Johnson,,3600,?,11.655999999999999,16.25,UTA,False,ORL,5.0,211.5
2216.0,Zach Randolph,,4900,?,22.865,29.0,SAC,False,POR,12.0,195.5
2561.0,David West,,3500,?,15.875,11.5,GS,False,PHI,-8.5,230.0
2585.0,Zaza Pachulia,,3100,?,12.667,19.25,GS,False,PHI,-8.5,230.0
2730.0,Dwight Howard,,6800,?,32.732,35.75,CHA,True,LAC,-4.5,213.5
2733.0,Shaun Livingston,,3500,?,12.904000000000002,6.25,GS,False,PHI,-8.5,230.0
2734.0,Devin Harris,,3500,?,15.825,20.5,DAL,True,MIL,7.5,202.5
2738.0,Andre Iguodala,,3600,?,16.462,21.75,GS,False,PHI,-8.5,230.0
2772.0,Trevor Ariza,,5100,?,25.054000000000002,24.25,HOU,False,MEM,-8.0,214.0
101107.0,Marvin Williams,,3800,?,18.445999999999998,23.5,CHA,True,LAC,-4.5,213.5
101108.0,Chris Paul,,7500,?,36.5,46.75,HOU,False,MEM,-8.0,214.0
101141.0,Ersan Ilyasova,,3900,?,16.5,22.75,ATL,True,BOS,6.5,202.5
101150.0,Lou Williams,,6800,?,28.089000000000002,27.0,LAC,False,CHA,4.5,213.5
101161.0,Amir Johnson,,3200,?,13.712,28.0,PHI,True,GS,8.5,230.0
200826.0,J.J. Barea,,4300,?,23.109,26.5,DAL,True,MIL,7.5,202.5
201142.0,Kevin Durant,F,9600,?,46.678999999999995,47.5,GS,False,PHI,-8.5,230.0
201143.0,Al Horford,,7400,?,35.75,37.0,BOS,False,ATL,-6.5,202.5
201144.0,Mike Conley,,6300,?,28.771,30.75,MEM,True,HOU,8.0,214.0
201148.0,Brandan Wright,,3400,?,14.625,37.25,MEM,True,HOU,8.0,214.0
201156.0,Nick Young,,3300,?,11.482000000000001,11.0,GS,False,PHI,-8.5,230.0
201158.0,Marco Belinelli,,3900,?,21.65,2.75,ATL,True,BOS,6.5,202.5
201167.0,Arron Afflalo,,3000,?,4.075,3.25,ORL,True,UTA,-5.0,211.5
201188.0,Marc Gasol,,8200,?,41.464,30.0,MEM,True,HOU,8.0,214.0
201568.0,Danilo Gallinari,,5700,?,24.805999999999997,23.5,LAC,False,CHA,4.5,213.5
201569.0,Eric Gordon,,6000,?,31.533,32.0,HOU,False,MEM,-8.0,214.0
201571.0,D.J. Augustin,,4200,?,21.188000000000002,34.25,ORL,True,UTA,-5.0,211.5
201578.0,Marreese Speights,,3100,?,13.182,5.75,ORL,True,UTA,-5.0,211.5
201580.0,JaVale McGee,,3000,?,10.038,15.5,GS,False,PHI,-8.5,230.0
201583.0,Ryan Anderson,,4400,?,23.046999999999997,16.25,HOU,False,MEM,-8.0,214.0
201585.0,Kosta Koufos,,3300,?,17.317,10.75,SAC,False,POR,12.0,195.5
201587.0,Nicolas Batum,,6300,?,25.25,26.75,CHA,True,LAC,-4.5,213.5
201588.0,George Hill,,3900,?,18.25,15.5,SAC,False,POR,12.0,195.5
201596.0,Mario Chalmers,G,4100,?,18.714000000000002,26.5,MEM,True,HOU,8.0,214.0
201599.0,DeAndre Jordan,C,6600,?,32.429,41.25,LAC,False,CHA,4.5,213.5
201628.0,Bobby Brown,,3100,?,5.795,11.25,HOU,False,MEM,-8.0,214.0
201933.0,Blake Griffin,F,8900,?,43.018,43.0,LAC,False,CHA,4.5,213.5
201935.0,James Harden,,11100,?,57.781000000000006,83.5,HOU,False,MEM,-8.0,214.0
201936.0,Tyreke Evans,,7000,?,32.786,29.75,MEM,True,HOU,8.0,214.0
201937.0,Ricky Rubio,G,6200,?,29.25,16.5,UTA,False,ORL,5.0,211.5
201939.0,Stephen Curry,,9100,?,44.518,45.0,GS,False,PHI,-8.5,230.0
201956.0,Omri Casspi,,3300,?,11.875,23.5,GS,False,PHI,-8.5,230.0
201973.0,Jonas Jerebko,,3900,?,9.591000000000001,10.5,UTA,False,ORL,5.0,211.5
201976.0,Patrick Beverley,,5800,?,26.375,23.5,LAC,False,CHA,4.5,213.5
202066.0,Garrett Temple,G,3500,?,17.25,21.75,SAC,False,POR,12.0,195.5
202083.0,Wesley Matthews,,4400,?,22.046999999999997,9.75,DAL,True,MIL,7.5,202.5
202323.0,Evan Turner,,4400,?,19.983,20.25,POR,True,SAC,-12.0,195.5
202324.0,Derrick Favors,F,6200,?,22.921999999999997,20.5,UTA,False,ORL,5.0,211.5
202325.0,Wesley Johnson,,3700,?,16.410999999999998,14.75,LAC,False,CHA,4.5,213.5
202327.0,Ekpe Udoh,,3000,?,9.969,18.0,UTA,False,ORL,5.0,211.5
202329.0,Al-Farouq Aminu,,4600,?,24.028000000000002,23.75,POR,True,SAC,-12.0,195.5
202330.0,Gordon Hayward,,3000,?,3.25,41.5,BOS,False,ATL,-6.5,202.5
202339.0,Eric Bledsoe,,6400,?,28.714000000000002,40.5,MIL,False,DAL,-7.5,202.5
202681.0,Kyrie Irving,,8500,?,36.633,20.0,BOS,False,ATL,-6.5,202.5
202687.0,Bismack Biyombo,,3200,?,12.05,8.5,ORL,True,UTA,-5.0,211.5
202689.0,Kemba Walker,G,7700,?,39.786,36.0,CHA,True,LAC,-4.5,213.5
202691.0,Klay Thompson,,6900,?,33.117,23.0,GS,False,PHI,-8.5,230.0
202692.0,Alec Burks,,3500,?,12.7,17.25,UTA,False,ORL,5.0,211.5
202694.0,Marcus Morris,,4800,?,23.714000000000002,26.25,BOS,False,ATL,-6.5,202.5
202696.0,Nikola Vucevic,,6800,?,35.15,42.0,ORL,True,UTA,-5.0,211.5
202714.0,Shelvin Mack,,3400,?,17.0,16.75,ORL,True,UTA,-5.0,211.5
202718.0,Chandler Parsons,,3600,?,16.333,16.0,MEM,True,HOU,8.0,214.0
202732.0,DeAndre Liggins,,3000,?,6.0,0.0,MIL,False,DAL,-7.5,202.5
202933.0,Julyan Stone,,3000,?,9.625,,CHA,True,LAC,-4.5,213.5
203077.0,Michael Kidd-Gilchrist,F,4000,?,16.156,18.25,CHA,True,LAC,-4.5,213.5
203081.0,Damian Lillard,G,8800,?,45.183,47.0,POR,True,SAC,-12.0,195.5
203082.0,Terrence Ross,,3700,?,19.0,10.5,ORL,True,UTA,-5.0,211.5
203084.0,Harrison Barnes,,6200,?,31.766,24.5,DAL,True,MIL,7.5,202.5
203085.0,Austin Rivers,,5400,?,23.5,29.5,LAC,False,CHA,4.5,213.5
203086.0,Meyers Leonard,,3000,?,7.25,18.25,POR,True,SAC,-12.0,195.5
203087.0,Jeremy Lamb,,5100,?,29.339000000000002,24.5,CHA,True,LAC,-4.5,213.5
203089.0,John Henson,,4800,?,20.929000000000002,26.75,MIL,False,DAL,-7.5,202.5
203090.0,Maurice Harkless,,3500,?,16.433,14.25,POR,True,SAC,-12.0,195.5
203095.0,Evan Fournier,,6100,?,32.867,14.0,ORL,True,UTA,-5.0,211.5
203101.0,Miles Plumlee,,3000,?,0.0,2.25,ATL,True,BOS,6.5,202.5
203110.0,Draymond Green,,7600,?,34.683,43.25,GS,False,PHI,-8.5,230.0
203114.0,Khris Middleton,,6700,?,35.661,35.25,MIL,False,DAL,-7.5,202.5
203145.0,Kent Bazemore,,5200,?,28.833000000000002,42.25,ATL,True,BOS,6.5,202.5
203186.0,Willie Reed,,3000,?,13.212,17.5,LAC,False,CHA,4.5,213.5
203210.0,JaMychal Green,,4500,?,7.75,7.5,MEM,True,HOU,8.0,214.0
203382.0,Aron Baynes,,3600,?,16.391,5.75,BOS,False,ATL,-6.5,202.5
203457.0,Nerlens Noel,,3400,?,13.167,11.75,DAL,True,MIL,7.5,202.5
203463.0,Ben McLemore,,3500,?,7.75,23.25,MEM,True,HOU,8.0,214.0
203469.0,Cody Zeller,,3600,?,19.2,19.0,CHA,True,LAC,-4.5,213.5
203471.0,Dennis Schroder,,6600,?,35.058,43.25,ATL,True,BOS,6.5,202.5
203473.0,Dewayne Dedmon,,5200,?,25.366999999999997,22.25,ATL,True,BOS,6.5,202.5
203481.0,Jeff Withey,,3000,?,4.042,5.25,DAL,True,MIL,7.5,202.5
203487.0,Michael Carter-Williams,,3200,?,10.917,16.25,CHA,True,LAC,-4.5,213.5
203488.0,Mike Muscala,C,3500,?,16.333,38.5,ATL,True,BOS,6.5,202.5
203489.0,Nate Wolters,,3000,?,0.0,,UTA,False,ORL,5.0,211.5
203496.0,Robert Covington,,6300,?,31.535999999999998,36.0,PHI,True,GS,8.5,230.0
203497.0,Rudy Gobert,,7900,?,35.042,36.5,UTA,False,ORL,5.0,211.5
203499.0,Shane Larkin,,3200,?,6.846,0.0,BOS,False,ATL,-6.5,202.5
203503.0,Tony Snell,,3800,?,18.054000000000002,19.5,MIL,False,DAL,-7.5,202.5
203507.0,Giannis Antetokounmpo,,11400,?,56.178999999999995,47.5,MIL,False,DAL,-7.5,202.5
203516.0,James Ennis III,,3600,?,17.785999999999998,25.25,MEM,True,HOU,8.0,214.0
203526.0,Raul Neto,,3000,?,9.75,1.25,UTA,False,ORL,5.0,211.5
203547.0,Eric Griffin,,3000,?,0.0,,UTA,False,ORL,5.0,211.5
203613.0,Jonathon Simmons,,4500,?,23.566999999999997,17.75,ORL,True,UTA,-5.0,211.5
203705.0,Josh Magette,,3000,?,2.25,6.25,ATL,True,BOS,6.5,202.5
203710.0,C.J. Williams,,3000,?,0.0,,LAC,False,CHA,4.5,213.5
203894.0,Shabazz Napier,,3600,?,12.409,10.5,POR,True,SAC,-12.0,195.5
203901.0,Elfrid Payton,,6200,?,25.125,36.75,ORL,True,UTA,-5.0,211.5
203917.0,Nik Stauskas,,3000,?,2.75,18.5,PHI,True,GS,8.5,230.0
203918.0,Rodney Hood,G,5500,?,24.0,15.25,UTA,False,ORL,5.0,211.5
203920.0,Khem Birch,,3000,?,3.0,,ORL,True,UTA,-5.0,211.5
203932.0,Aaron Gordon,,6800,?,34.769,41.5,ORL,True,UTA,-5.0,211.5
203935.0,Marcus Smart,,5600,?,26.035999999999998,24.0,BOS,False,ATL,-6.5,202.5
203939.0,Dwight Powell,,3000,?,12.95,8.0,DAL,True,MIL,7.5,202.5
203940.0,Adreian Payne,,3000,?,0.0,13.75,ORL,True,UTA,-5.0,211.5
203943.0,Noah Vonleh,,3500,?,13.780999999999999,8.0,POR,True,SAC,-12.0,195.5
203948.0,Johnny O'Bryant III,,3000,?,11.0,20.5,CHA,True,LAC,-4.5,213.5
203949.0,James Michael McAdoo,,3000,?,5.0,17.0,PHI,True,GS,8.5,230.0
203953.0,Jabari Parker,,5100,?,0.0,14.0,MIL,False,DAL,-7.5,202.5
203954.0,Joel Embiid,,10000,?,47.0,58.0,PHI,True,GS,8.5,230.0
203957.0,Dante Exum,,3000,?,0.0,17.25,UTA,False,ORL,5.0,211.5
203966.0,Jamil Wilson,,3000,?,0.0,,LAC,False,CHA,4.5,213.5
203967.0,Dario Saric,,4500,?,20.320999999999998,25.0,PHI,True,GS,8.5,230.0
203991.0,Clint Capela,C,6700,?,34.719,29.5,HOU,False,MEM,-8.0,214.0
203992.0,Bogdan Bogdanovic,,3600,?,16.896,17.25,SAC,False,POR,12.0,195.5
203994.0,Jusuf Nurkic,,6900,?,28.7,46.25,POR,True,SAC,-12.0,195.5
204022.0,Jack Cooley,C,3000,?,0.0,,SAC,False,POR,12.0,195.5
204028.0,Tarik Black,,3500,?,11.045,9.5,HOU,False,MEM,-8.0,214.0
204060.0,Joe Ingles,,5300,?,25.188000000000002,18.0,UTA,False,ORL,5.0,211.5
204456.0,T.J. McConnell,,4200,?,20.589000000000002,18.75,PHI,True,GS,8.5,230.0
1626143.0,Jahlil Okafor,,3000,?,12.625,14.25,PHI,True,GS,8.5,230.0
1626149.0,Montrezl Harrell,,3200,?,9.972000000000001,21.0,LAC,False,CHA,4.5,213.5
1626150.0,Andrew Harrison,,3200,?,9.575,10.25,MEM,True,HOU,8.0,214.0
1626155.0,Sam Dekker,,3000,?,5.318,4.75,LAC,False,CHA,4.5,213.5
1626158.0,Richaun Holmes,,3600,?,11.55,27.75,PHI,True,GS,8.5,230.0
1626161.0,Willie Cauley-Stein,C,4200,?,22.566999999999997,21.25,SAC,False,POR,12.0,195.5
1626163.0,Frank Kaminsky,,4000,?,20.038,20.25,CHA,True,LAC,-4.5,213.5
1626172.0,Kevon Looney,,3000,?,9.156,6.25,GS,False,PHI,-8.5,230.0
1626173.0,Rashad Vaughn,,3000,?,7.45,0.0,MIL,False,DAL,-7.5,202.5
1626179.0,Terry Rozier,,4500,?,21.578000000000003,18.75,BOS,False,ATL,-6.5,202.5
1626185.0,Jarell Martin,F,3500,?,14.095999999999998,4.0,MEM,True,HOU,8.0,214.0
1626188.0,Quinn Cook,,3000,?,1.0,28.75,GS,False,PHI,-8.5,230.0
1626192.0,Pat Connaughton,,3000,?,11.0,10.75,POR,True,SAC,-12.0,195.5
1626203.0,Treveon Graham,,3000,?,11.9,8.75,CHA,True,LAC,-4.5,213.5
1626209.0,Mario Hezonja,,3000,?,7.287999999999999,15.75,ORL,True,UTA,-5.0,211.5
1626220.0,Royce O'Neale,,3000,?,4.2219999999999995,3.25,UTA,False,ORL,5.0,211.5
1626257.0,Salah Mejri,,3300,?,16.114,3.25,DAL,True,MIL,7.5,202.5
1626643.0,Jacob Pullen,,3000,?,0.0,,PHI,True,GS,8.5,230.0
1627098.0,Malcolm Delaney,,3500,?,13.788,14.75,ATL,True,BOS,6.5,202.5
1627362.0,Briante Weber,,3000,?,0.0,4.75,HOU,False,MEM,-8.0,214.0
1627732.0,Ben Simmons,,9300,?,45.875,56.25,PHI,True,GS,8.5,230.0
1627735.0,Wade Baldwin IV,,3000,?,0.0,14.75,POR,True,SAC,-12.0,195.5
1627738.0,Deyonta Davis,F,3000,?,5.0,2.0,MEM,True,HOU,8.0,214.0
1627743.0,Demetrius Jackson,,3000,?,3.114,1.0,HOU,False,MEM,-8.0,214.0
1627744.0,Brice Johnson,,3000,?,6.125,12.0,LAC,False,CHA,4.5,213.5
1627745.0,Damian Jones,,3000,?,0.0,2.5,GS,False,PHI,-8.5,230.0
1627746.0,Skal Labissiere,F,3600,?,16.867,2.0,SAC,False,POR,12.0,195.5
1627748.0,Thon Maker,,3300,?,12.589,13.5,MIL,False,DAL,-7.5,202.5
1627752.0,Taurean Prince,,5000,?,27.45,27.75,ATL,True,BOS,6.5,202.5
1627753.0,Zhou Qi,,3000,?,3.222,3.25,HOU,False,MEM,-8.0,214.0
1627759.0,Jaylen Brown,,6500,?,28.563000000000002,17.0,BOS,False,ATL,-6.5,202.5
1627761.0,DeAndre' Bembry,,3000,?,20.0,0.0,ATL,True,BOS,6.5,202.5
1627762.0,Joel Bolomboy,F,3000,?,0.0,2.0,MIL,False,DAL,-7.5,202.5
1627763.0,Malcolm Brogdon,,5300,?,27.365,40.0,MIL,False,DAL,-7.5,202.5
1627774.0,Jake Layman,,3000,?,4.125,16.0,POR,True,SAC,-12.0,195.5
1627775.0,Patrick McCaw,,3200,?,8.229,12.0,GS,False,PHI,-8.5,230.0
1627778.0,Chinanu Onuaku,,3000,?,0.0,13.25,HOU,False,MEM,-8.0,214.0
1627779.0,Marcus Paige,,3000,?,2.5,,CHA,True,LAC,-4.5,213.5
1627780.0,Gary Payton II,,3000,?,0.0,11.25,MIL,False,DAL,-7.5,202.5
1627781.0,Malachi Richardson,,3000,?,8.781,14.75,SAC,False,POR,12.0,195.5
1627786.0,Troy Williams,,3000,?,3.875,26.75,HOU,False,MEM,-8.0,214.0
1627788.0,Furkan Korkmaz,G,3000,?,4.5,,PHI,True,GS,8.5,230.0
1627789.0,Timothe Luwawu-Cabarrot,,3100,?,10.327,7.5,PHI,True,GS,8.5,230.0
1627812.0,Yogi Ferrell,G,3800,?,18.797,13.0,DAL,True,MIL,7.5,202.5
1627819.0,Isaiah Taylor,,3300,?,12.519,23.5,ATL,True,BOS,6.5,202.5
1627824.0,Guerschon Yabusele,,3000,?,4.458,4.0,BOS,False,ATL,-6.5,202.5
1627827.0,Dorian Finney-Smith,,3000,?,5.875,2.75,DAL,True,MIL,7.5,202.5
1627834.0,Georgios Papagiannis,,3000,?,5.313,23.25,SAC,False,POR,12.0,195.5
1627846.0,Abdel Nader,,3000,?,4.156000000000001,4.25,BOS,False,ATL,-6.5,202.5
1627852.0,Nicolas Brussino,,3000,?,1.25,32.5,ATL,True,BOS,6.5,202.5
1628365.0,Markelle Fultz,,3800,?,12.437999999999999,,PHI,True,GS,8.5,230.0
1628368.0,De'Aaron Fox,,4700,?,22.733,18.5,SAC,False,POR,12.0,195.5
1628369.0,Jayson Tatum,,6100,?,26.078000000000003,40.0,BOS,False,ATL,-6.5,202.5
1628370.0,Malik Monk,,3600,?,15.304,33.5,CHA,True,LAC,-4.5,213.5
1628371.0,Jonathan Isaac,,3300,?,16.229,11.5,ORL,True,UTA,-5.0,211.5
1628372.0,Dennis Smith Jr.,,6200,?,28.804000000000002,27.75,DAL,True,MIL,7.5,202.5
1628378.0,Donovan Mitchell,,6700,?,26.063000000000002,29.0,UTA,False,ORL,5.0,211.5
1628380.0,Zach Collins,,3000,?,2.125,,POR,True,SAC,-12.0,195.5
1628381.0,John Collins,,4600,?,22.916999999999998,33.75,ATL,True,BOS,6.5,202.5
1628382.0,Justin Jackson,,3400,?,11.054,6.75,SAC,False,POR,12.0,195.5
1628385.0,Harry Giles,,3000,?,0.0,,SAC,False,POR,12.0,195.5
1628391.0,D.J. Wilson,,3000,?,1.9380000000000002,,MIL,False,DAL,-7.5,202.5
1628393.0,Jawun Evans,,3000,?,8.536,5.0,LAC,False,CHA,4.5,213.5
1628395.0,Jordan Bell,,3000,?,9.477,18.25,GS,False,PHI,-8.5,230.0
1628396.0,Tony Bradley,,3000,?,1.9169999999999998,,UTA,False,ORL,5.0,211.5
1628397.0,Ivan Rabb,,3000,?,0.0,,MEM,True,HOU,8.0,214.0
1628400.0,Semi Ojeleye,,3200,?,6.067,9.5,BOS,False,ATL,-6.5,202.5
1628403.0,Caleb Swanigan,,3700,?,9.318,3.75,POR,True,SAC,-12.0,195.5
1628405.0,Johnathan Motley,,3000,?,0.0,,DAL,True,MIL,7.5,202.5
1628407.0,Dwayne Bacon,,3400,?,13.911,21.0,CHA,True,LAC,-4.5,213.5
1628411.0,Wes Iwundu,,3000,?,4.05,3.0,ORL,True,UTA,-5.0,211.5
1628414.0,Sindarius Thornwell,,3200,?,9.607000000000001,0.0,LAC,False,CHA,4.5,213.5
1628415.0,Dillon Brooks,,4200,?,19.643,12.25,MEM,True,HOU,8.0,214.0
1628416.0,Tyler Dorsey,,3000,?,2.625,0.0,ATL,True,BOS,6.5,202.5
1628424.0,Kobi Simmons,,3000,?,0.0,,MEM,True,HOU,8.0,214.0
1628425.0,Sterling Brown,,3000,?,4.167,,MIL,False,DAL,-7.5,202.5
1628443.0,Kadeem Allen,,3000,?,0.0,,BOS,False,ATL,-6.5,202.5
1628444.0,Jabari Bird,,3000,?,2.125,,BOS,False,ATL,-6.5,202.5
1628449.0,Chris Boucher,,3000,?,0.0,,GS,False,PHI,-8.5,230.0
1628462.0,Milos Teodosic,,4000,?,13.125,,LAC,False,CHA,4.5,213.5
1628463.0,Tyler Cavanaugh,,3400,?,8.917,1.25,ATL,True,BOS,6.5,202.5
1628464.0,Daniel Theis,,3300,?,12.417,7.5,BOS,False,ATL,-6.5,202.5
1628467.0,Maxi Kleber,,3000,?,7.65,19.25,DAL,True,MIL,7.5,202.5
1628492.0,Gian Clavell,,3000,?,5.607,1.5,DAL,True,MIL,7.5,202.5
1628493.0,Mangok Mathiang,,3000,?,2.5,,CHA,True,LAC,-4.5,213.5
1628503.0,Jamel Artis,,3000,?,0.0,,ORL,True,UTA,-5.0,211.5
,,,3800,?,19.016,,HOU,False,MEM,-8.0,214.0
,,,3600,?,18.25,,HOU,False,MEM,-8.0,214.0
,,,3300,?,13.932,,HOU,False,MEM,-8.0,214.0
,,,4900,?,26.5,,PHI,True,GS,8.5,230.0
,,,7100,?,34.964,,POR,True,SAC,-12.0,195.5
,,,3000,?,0.0,,POR,True,SAC,-12.0,195.5
,,,3000,?,8.25,,MEM,True,HOU,8.0,214.0
,,,3000,?,0.0,,MEM,True,HOU,8.0,214.0
,,,3000,?,6.875,,SAC,False,POR,12.0,195.5
,,,3000,?,10.125,,SAC,False,POR,12.0,195.5
