"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"C","Nikola Jokic",9200,"DEN@LAL 11/19/2017 09:30PM ET",42.617,"DEN"
"SG/SF","Devin Booker",8100,"CHI@PHO 11/19/2017 08:00PM ET",37.221,"PHO"
"PF/C","Paul Millsap",7200,"DEN@LAL 11/19/2017 09:30PM ET",33.050,"DEN"
"PG","Lonzo Ball",7000,"DEN@LAL 11/19/2017 09:30PM ET",31.797,"LAL"
"SF/PF","Kyle Kuzma",6900,"DEN@LAL 11/19/2017 09:30PM ET",28.344,"LAL"
"SF/PF","T.J. Warren",6600,"CHI@PHO 11/19/2017 08:00PM ET",30.118,"PHO"
"SG/SF","Justin Holiday",6400,"CHI@PHO 11/19/2017 08:00PM ET",28.354,"CHI"
"PF","Lauri Markkanen",6400,"CHI@PHO 11/19/2017 08:00PM ET",30.404,"CHI"
"SG/SF","Brandon Ingram",6200,"DEN@LAL 11/19/2017 09:30PM ET",28.141,"LAL"
"PF","Bobby Portis",5900,"CHI@PHO 11/19/2017 08:00PM ET",29.100,"CHI"
"SG/SF","Will Barton",5800,"DEN@LAL 11/19/2017 09:30PM ET",28.400,"DEN"
"C","Brook Lopez",5700,"DEN@LAL 11/19/2017 09:30PM ET",28.516,"LAL"
"SG","Kentavious Caldwell-Pope",5600,"DEN@LAL 11/19/2017 09:30PM ET",25.464,"LAL"
"SF/PF","Larry Nance Jr.",5600,"DEN@LAL 11/19/2017 09:30PM ET",25.250,"LAL"
"PG/SG","Jordan Clarkson",5500,"DEN@LAL 11/19/2017 09:30PM ET",23.844,"LAL"
"SG","Gary Harris",5400,"DEN@LAL 11/19/2017 09:30PM ET",25.327,"DEN"
"PF/C","Alex Len",5400,"CHI@PHO 11/19/2017 08:00PM ET",24.000,"PHO"
"PG/SG","Kris Dunn",5300,"CHI@PHO 11/19/2017 08:00PM ET",26.306,"CHI"
"PG/SG","Jamal Murray",5200,"DEN@LAL 11/19/2017 09:30PM ET",22.733,"DEN"
"C","Robin Lopez",5200,"CHI@PHO 11/19/2017 08:00PM ET",24.750,"CHI"
"PF/C","Julius Randle",5100,"DEN@LAL 11/19/2017 09:30PM ET",23.609,"LAL"
"PF/C","Nikola Mirotic",5000,"CHI@PHO 11/19/2017 08:00PM ET",0,"CHI"
"PG/SG","Jerian Grant",4900,"CHI@PHO 11/19/2017 08:00PM ET",23.385,"CHI"
"PF/C","Greg Monroe",4700,"CHI@PHO 11/19/2017 08:00PM ET",17.464,"PHO"
"SG/SF","Denzel Valentine",4700,"CHI@PHO 11/19/2017 08:00PM ET",22.692,"CHI"
"SF/PF","Wilson Chandler",4600,"DEN@LAL 11/19/2017 09:30PM ET",20.267,"DEN"
"C","Tyson Chandler",4500,"CHI@PHO 11/19/2017 08:00PM ET",21.096,"PHO"
"PG/SG","Zach LaVine",4500,"CHI@PHO 11/19/2017 08:00PM ET",0,"CHI"
"PG","Emmanuel Mudiay",4400,"DEN@LAL 11/19/2017 09:30PM ET",22.117,"DEN"
"PG","Mike James",4300,"CHI@PHO 11/19/2017 08:00PM ET",22.882,"PHO"
"PG","Tyler Ulis",4200,"CHI@PHO 11/19/2017 08:00PM ET",16.344,"PHO"
"PG/SG","David Nwaba",3900,"CHI@PHO 11/19/2017 08:00PM ET",18.313,"CHI"
"PF/C","Marquese Chriss",3900,"CHI@PHO 11/19/2017 08:00PM ET",18.294,"PHO"
"SG/SF","Paul Zipser",3800,"CHI@PHO 11/19/2017 08:00PM ET",10.625,"CHI"
"PF/C","Mason Plumlee",3600,"DEN@LAL 11/19/2017 09:30PM ET",15.733,"DEN"
"SF/PF","Juancho Hernangomez",3600,"DEN@LAL 11/19/2017 09:30PM ET",1.375,"DEN"
