Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,642009283,RexGrossman (26/50),0,336,PG Jerian Grant SG James Harden SF Kawhi Leonard PF David Lee C Zaza Pachulia F Spencer Hawes G Kyle Lowry UTIL Hassan Whiteside,,Kawhi Leonard,58.16%,54.25
2,642009307,RexGrossman (50/50),0,333.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF David Lee C Hassan Whiteside F Spencer Hawes G Kyle Lowry UTIL Rondae Hollis-Jefferson,,Jerian Grant,53.16%,20.5
3,642670409,mrjc0829,0,331.25,PG James Harden SG DeMar DeRozan SF Gordon Hayward PF Taj Gibson C Tristan Thompson F Maurice Harkless G Kentavious Caldwell-Pope UTIL John Henson,,Jeremy Lamb,51.00%,25.75
4,642514576,J0npul (2/2),0,329.75,PG James Harden SG DeMar DeRozan SF Kawhi Leonard PF Taj Gibson C Spencer Hawes F David Lee G Jerian Grant UTIL Brook Lopez,,James Harden,43.68%,79.75
5,642009296,RexGrossman (39/50),0,325.75,PG James Harden SG Rodney Hood SF Kawhi Leonard PF Spencer Hawes C Marcin Gortat F Taj Gibson G Kyle Lowry UTIL David Lee,,David Lee,43.20%,21.25
6,642009305,RexGrossman (48/50),0,325.25,PG Kemba Walker SG James Harden SF Rondae Hollis-Jefferson PF David Lee C Spencer Hawes F Kawhi Leonard G Kyle Lowry UTIL Jerian Grant,,Kyle Lowry,42.23%,49
7,642009262,RexGrossman (5/50),0,322.75,PG Jerian Grant SG James Harden SF DeMarre Carroll PF Spencer Hawes C Hassan Whiteside F Kawhi Leonard G Kyle Lowry UTIL Cristiano Felicio,,Doug McDermott,37.15%,6.25
8,642159626,savlento,0,322.5,PG Kyle Lowry SG DeMar DeRozan SF Rudy Gay PF Frank Kaminsky C Jonas Valanciunas F Marcus Smart G Norman Powell UTIL Hassan Whiteside,,Spencer Hawes,35.37%,28.75
9,642366324,bob66zube,0,319.5,PG James Harden SG DeMar DeRozan SF Kevin Durant PF Kelly Olynyk C Taj Gibson F Andre Iguodala G Rodney Hood UTIL Robin Lopez,,Mason Plumlee,31.10%,25.75
10,642551780,fallfromgrace (5/50),0,318.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF Spencer Hawes C Rudy Gobert F David Lee G Michael Carter-Williams UTIL Kyle Lowry,,Pau Gasol,28.87%,24.75
10,642551786,fallfromgrace (11/50),0,318.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF Spencer Hawes C Rudy Gobert F David Lee G Michael Carter-Williams UTIL Kyle Lowry,,Stephen Curry,26.45%,52
10,642551792,fallfromgrace (17/50),0,318.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF Spencer Hawes C Rudy Gobert F David Lee G Michael Carter-Williams UTIL Kyle Lowry,,Paul Millsap,25.58%,37.5
10,642551798,fallfromgrace (23/50),0,318.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF Spencer Hawes C Rudy Gobert F David Lee G Michael Carter-Williams UTIL Kyle Lowry,,Michael Carter-Williams,22.65%,28.25
10,642551811,fallfromgrace (29/50),0,318.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF Spencer Hawes C Rudy Gobert F David Lee G Michael Carter-Williams UTIL Kyle Lowry,,Marcin Gortat,18.42%,29
10,642551817,fallfromgrace (35/50),0,318.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF Spencer Hawes C Rudy Gobert F David Lee G Michael Carter-Williams UTIL Kyle Lowry,,Taj Gibson,15.88%,30.5
10,642551823,fallfromgrace (41/50),0,318.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF Spencer Hawes C Rudy Gobert F David Lee G Michael Carter-Williams UTIL Kyle Lowry,,Julius Randle,15.68%,22
10,642551829,fallfromgrace (47/50),0,318.75,PG Jerian Grant SG James Harden SF Kawhi Leonard PF Spencer Hawes C Rudy Gobert F David Lee G Michael Carter-Williams UTIL Kyle Lowry,,Dennis Schroder,12.78%,41.75
