"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Giannis Antetokounmpo",10000,"Mil@Atl 03:00PM ET",49.993,"Mil"
"PF/C","Karl-Anthony Towns",9700,"Min@Dal 02:00PM ET",45.900,"Min"
"SG","DeMar DeRozan",8500,"NY@Tor 03:00PM ET",42.481,"Tor"
"PG","Kyle Lowry",8400,"NY@Tor 03:00PM ET",43.654,"Tor"
"SF","Carmelo Anthony",8000,"NY@Tor 03:00PM ET",37.378,"NY"
"PF","Paul Millsap",7900,"Mil@Atl 03:00PM ET",38.590,"Atl"
"SF/PF","Jabari Parker",7100,"Mil@Atl 03:00PM ET",34.632,"Mil"
"C","Dwight Howard",7000,"Mil@Atl 03:00PM ET",36.514,"Atl"
"PF","Kristaps Porzingis",6900,"NY@Tor 03:00PM ET",36.826,"NY"
"SF/PF","Harrison Barnes",6700,"Min@Dal 02:00PM ET",32.096,"Dal"
"SF","Andrew Wiggins",6600,"Min@Dal 02:00PM ET",32.275,"Min"
"PG","Ricky Rubio",6400,"Min@Dal 02:00PM ET",27.521,"Min"
"SG","Zach LaVine",6300,"Min@Dal 02:00PM ET",31.682,"Min"
"PG","Derrick Rose",6300,"NY@Tor 03:00PM ET",30.064,"NY"
"PG","Dennis Schroder",6200,"Mil@Atl 03:00PM ET",31.929,"Atl"
"C","Greg Monroe",6000,"Mil@Atl 03:00PM ET",26.284,"Mil"
"PF/C","Dirk Nowitzki",6000,"Min@Dal 02:00PM ET",24.357,"Dal"
"C","Jonas Valanciunas",6000,"NY@Tor 03:00PM ET",27.642,"Tor"
"PG","Deron Williams",5800,"Min@Dal 02:00PM ET",28.315,"Dal"
"PG/SG","Malcolm Brogdon",5700,"Mil@Atl 03:00PM ET",20.645,"Mil"
"PF/C","Gorgui Dieng",5200,"Min@Dal 02:00PM ET",26.694,"Min"
"C","Joakim Noah",5000,"NY@Tor 03:00PM ET",22.868,"NY"
"PG/SG","Tim Hardaway Jr.",4900,"Mil@Atl 03:00PM ET",18.899,"Atl"
"SF/PF","DeMarre Carroll",4900,"NY@Tor 03:00PM ET",19.735,"Tor"
"SG","Wesley Matthews",4800,"Min@Dal 02:00PM ET",26.000,"Dal"
"SG","Brandon Rush",4200,"Min@Dal 02:00PM ET",8.467,"Min"
"PF/C","Kyle O'Quinn",4100,"NY@Tor 03:00PM ET",18.289,"NY"
"SG/SF","Kent Bazemore",4000,"Mil@Atl 03:00PM ET",21.236,"Atl"
"SF/PF","Michael Beasley",4000,"Mil@Atl 03:00PM ET",16.398,"Mil"
"PG/SG","Brandon Jennings",4000,"NY@Tor 03:00PM ET",20.625,"NY"
"SG/SF","Thabo Sefolosha",3900,"Mil@Atl 03:00PM ET",20.292,"Atl"
"SG/SF","Shabazz Muhammad",3900,"Min@Dal 02:00PM ET",12.528,"Min"
"SG","Seth Curry",3900,"Min@Dal 02:00PM ET",19.793,"Dal"
"C","Lucas Nogueira",3900,"NY@Tor 03:00PM ET",17.398,"Tor"
"PG","J.J. Barea",3800,"Min@Dal 02:00PM ET",24.929,"Dal"
"PF/C","Dwight Powell",3800,"Min@Dal 02:00PM ET",18.141,"Dal"
"SG/SF","Terrence Ross",3800,"NY@Tor 03:00PM ET",17.855,"Tor"
"PG/SG","Matthew Dellavedova",3700,"Mil@Atl 03:00PM ET",20.227,"Mil"
