"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG","Russell Westbrook",12300,"OKC@LAC 10:30PM ET",64.440,"OKC"
"SF","LeBron James",10100,"Cle@GS 08:00PM ET",51.757,"Cle"
"SF","Kevin Durant",9900,"Cle@GS 08:00PM ET",49.744,"GS"
"PG","Chris Paul",9800,"OKC@LAC 10:30PM ET",44.536,"LAC"
"PG","Stephen Curry",9000,"Cle@GS 08:00PM ET",43.181,"GS"
"PG","Isaiah Thomas",8800,"Cha@Bos 07:30PM ET",43.083,"Bos"
"PF/C","Kevin Love",8100,"Cle@GS 08:00PM ET",41.329,"Cle"
"PG","Kyrie Irving",8000,"Cle@GS 08:00PM ET",39.456,"Cle"
"PG","Kemba Walker",7900,"Cha@Bos 07:30PM ET",39.827,"Cha"
"SF","Gordon Hayward",7900,"Uta@Pho 09:00PM ET",37.600,"Uta"
"C","DeAndre Jordan",7700,"OKC@LAC 10:30PM ET",35.238,"LAC"
"PF/C","Draymond Green",7600,"Cle@GS 08:00PM ET",39.355,"GS"
"PF/C","Blake Griffin",7600,"OKC@LAC 10:30PM ET",41.942,"LAC"
"SG/SF","Nicolas Batum",7300,"Cha@Bos 07:30PM ET",36.095,"Cha"
"C","Rudy Gobert",7100,"Uta@Pho 09:00PM ET",35.815,"Uta"
"PG","George Hill",6800,"Uta@Pho 09:00PM ET",32.000,"Uta"
"PG","Eric Bledsoe",6800,"Uta@Pho 09:00PM ET",38.381,"Pho"
"C","Al Horford",6700,"Cha@Bos 07:30PM ET",36.375,"Bos"
"SG","Klay Thompson",6500,"Cle@GS 08:00PM ET",32.096,"GS"
"PF/C","Enes Kanter",6100,"OKC@LAC 10:30PM ET",26.321,"OKC"
"SG","Avery Bradley",6000,"Cha@Bos 07:30PM ET",33.936,"Bos"
"SG","Devin Booker",6000,"Uta@Pho 09:00PM ET",30.372,"Pho"
"SG/SF","Marcus Smart",5900,"Cha@Bos 07:30PM ET",24.770,"Bos"
"SG/SF","J.J. Redick",5600,"OKC@LAC 10:30PM ET",22.141,"LAC"
"SG","Victor Oladipo",5600,"OKC@LAC 10:30PM ET",28.538,"OKC"
"SF","Jae Crowder",5300,"Cha@Bos 07:30PM ET",25.891,"Bos"
"C","Steven Adams",5300,"OKC@LAC 10:30PM ET",26.935,"OKC"
"SF","Michael Kidd-Gilchrist",5200,"Cha@Bos 07:30PM ET",23.429,"Cha"
"SG","Jeremy Lamb",5000,"Cha@Bos 07:30PM ET",18.536,"Cha"
"PG/SG","Austin Rivers",4900,"OKC@LAC 10:30PM ET",18.888,"LAC"
"PF/C","Derrick Favors",4900,"Uta@Pho 09:00PM ET",20.935,"Uta"
"C","Tyson Chandler",4900,"Uta@Pho 09:00PM ET",25.438,"Pho"
"C","Cody Zeller",4700,"Cha@Bos 07:30PM ET",24.121,"Cha"
"PF/C","Kelly Olynyk",4500,"Cha@Bos 07:30PM ET",19.110,"Bos"
"PF","Marvin Williams",4400,"Cha@Bos 07:30PM ET",21.699,"Cha"
"C","Tristan Thompson",4400,"Cle@GS 08:00PM ET",24.154,"Cle"
"SG","Rodney Hood",4400,"Uta@Pho 09:00PM ET",23.493,"Uta"
"SG/SF","Kyle Korver",4300,"Cle@GS 08:00PM ET",18.757,"Cle"
"PF/C","Amir Johnson",4100,"Cha@Bos 07:30PM ET",17.045,"Bos"
"SF","Andre Roberson",4000,"OKC@LAC 10:30PM ET",18.643,"OKC"
"PF/C","Marreese Speights",4000,"OKC@LAC 10:30PM ET",19.244,"LAC"
"SF","T.J. Warren",4000,"Uta@Pho 09:00PM ET",23.370,"Pho"
"PF/C","Spencer Hawes",3900,"Cha@Bos 07:30PM ET",16.688,"Cha"
"PG/SF","Raymond Felton",3900,"OKC@LAC 10:30PM ET",15.713,"LAC"
"SG/SF","Joe Ingles",3900,"Uta@Pho 09:00PM ET",14.964,"Uta"
"PF","Frank Kaminsky",3800,"Cha@Bos 07:30PM ET",20.836,"Cha"
"PG","Shelvin Mack",3800,"Uta@Pho 09:00PM ET",16.195,"Uta"
"SG","Jamal Crawford",3700,"OKC@LAC 10:30PM ET",19.226,"LAC"
"SG/SF","Marco Belinelli",3600,"Cha@Bos 07:30PM ET",18.507,"Cha"
"SF/PF","P.J. Tucker",3600,"Uta@Pho 09:00PM ET",17.925,"Pho"
"PG/SG","Iman Shumpert",3500,"Cle@GS 08:00PM ET",15.428,"Cle"
"SG","J.R. Smith",3500,"Cle@GS 08:00PM ET",17.321,"Cle"
"C","Zaza Pachulia",3500,"Cle@GS 08:00PM ET",17.889,"GS"
"PG/SG","Brandon Knight",3500,"Uta@Pho 09:00PM ET",20.000,"Pho"
"PG","Ramon Sessions",3400,"Cha@Bos 07:30PM ET",13.094,"Cha"
"PF/C","Channing Frye",3400,"Cle@GS 08:00PM ET",16.766,"Cle"
"SF","Andre Iguodala",3300,"Cle@GS 08:00PM ET",17.429,"GS"
"SG/SF","Gerald Green",3200,"Cha@Bos 07:30PM ET",10.773,"Bos"
"SG/SF","Joe Johnson",3200,"Uta@Pho 09:00PM ET",15.335,"Uta"
