team,odds,overUnder
BKN,10.500,199.000
PHI,-10.500,199.000
CLE,2.500,202.500
WAS,-2.500,202.500
MIL,3.000,190.000
IND,-3.000,190.000
CHA,12.500,184.500
ORL,-12.500,184.500
CHI,-8.500,190.000
DET,8.500,190.000
BOS,-1.000,177.500
ATL,1.000,177.500
MIA,-11.000,207.000
MIN,11.000,207.000
MEM,-1.000,186.500
NO,1.000,186.500
SA,2.000,213.500
HOU,-2.000,213.500
DEN,-5.000,217.000
SAC,5.000,217.000
LAC,5.000,213.000
PHO,-5.000,213.000
OKC,3.000,192.000
POR,-3.000,192.000
LAL,-8.500,194.000
UTA,8.500,194.000
