team,odds,overUnder
IND,-1.500,178.500
TOR,1.500,178.500
ORL,9.500,194.000
CHA,-9.500,194.000
DEN,9.500,200.500
MEM,-9.500,200.500
MIN,8.000,201.500
MIA,-8.000,201.500
CLE,1.500,203.000
ATL,-1.500,203.000
PHI,9.000,209.500
BOS,-9.000,209.500
DET,10.000,206.000
BKN,-10.000,206.000
WAS,5.000,196.000
NY,-5.000,196.000
MIL,11.500,185.000
CHI,-11.500,185.000
NO,2.000,194.500
UTA,-2.000,194.500
OKC,3.000,213.000
HOU,-3.000,213.000
PHO,4.500,212.000
POR,-4.500,212.000
SAC,9.000,198.500
GS,-9.000,198.500
DAL,-8.500,222.000
LAL,8.500,222.000
