pf,sg,all,g,c,team,sf,pg
45.6,42.9,240.5,40,53.9,BKN,45.1,52.9
45.5,39.2,229.5,45,52.6,LAL,40.9,50.5
44.6,39.5,222.4,42,49.1,NO,39.1,50.2
41.5,41.5,222.4,39,47.8,DEN,39.1,53.1
45.9,40.9,221.2,40,48.6,IND,38.7,46.7
46.6,37.3,220.9,43,51.6,POR,39.8,46.0
43.2,39.0,220.8,41,49.9,PHO,39.9,48.9
43.9,40.9,219.9,42,50.2,NY,38.7,46.2
41.3,39.5,219.0,41,50.7,CHA,40.5,47.3
44.9,40.1,218.5,40,47.6,SAC,38.5,47.5
45.1,37.9,218.4,41,48.9,BOS,39.6,47.0
41.0,39.2,217.6,39,50.7,PHI,40.8,46.1
42.5,41.7,217.5,40,46.3,CLE,40.8,46.9
41.7,40.5,217.2,43,49.7,HOU,40.0,46.0
41.9,39.2,216.8,43,49.0,ORL,39.4,46.6
43.1,38.6,215.5,40,47.4,MIL,43.8,42.6
42.9,39.7,214.7,41,44.0,ATL,40.2,48.1
43.2,38.2,213.3,42,47.4,CHI,38.8,45.8
41.2,38.2,213.2,41,49.2,GS,39.5,46.0
43.9,38.3,212.9,40,47.4,WAS,39.2,43.9
42.4,37.9,211.9,43,48.4,OKC,35.8,48.2
41.2,37.5,211.2,41,49.2,MIA,38.7,44.7
43.3,35.8,210.9,40,46.8,TOR,39.1,45.9
41.1,37.4,210.1,41,47.6,MIN,36.3,47.8
41.7,37.4,209.8,43,45.8,DET,36.8,48.1
40.6,37.7,207.0,43,46.5,LAC,38.9,43.5
40.6,37.3,204.1,40,47.9,DAL,36.6,42.5
39.3,39.6,200.5,40,42.4,SA,35.4,43.8
40.2,37.1,199.9,43,41.9,MEM,36.6,44.2
38.1,34.0,192.4,43,42.5,UTA,33.9,44.1
