g,team,sf,sg,c,all,pf,pg
41,BKN,45.2,43.2,53.3,240.3,45.5,53.0
46,LAL,41.2,39.5,53.1,230.0,45.2,50.3
41,DEN,39.9,41.8,48.4,223.7,41.4,52.7
43,NO,39.4,39.3,49.0,222.0,44.6,49.7
44,POR,40.1,37.7,51.7,221.5,46.0,46.3
42,PHO,40.5,38.7,49.9,221.3,43.3,49.1
41,IND,38.8,40.5,48.6,220.9,45.7,46.8
44,NY,39.1,40.3,50.4,220.1,43.5,46.8
42,BOS,39.7,37.9,49.3,219.1,44.7,47.5
42,CHA,40.3,39.5,50.5,218.9,41.3,47.4
41,SAC,38.7,39.5,47.6,218.2,44.5,47.7
45,HOU,40.3,40.8,49.3,217.6,41.9,45.9
44,ORL,39.8,39.4,49.4,217.6,41.9,46.7
41,CLE,40.8,41.6,46.7,217.5,41.9,47.1
40,PHI,40.3,39.2,50.8,217.0,40.6,46.2
41,MIL,43.4,39.0,47.9,216.3,42.7,43.4
42,ATL,40.2,39.8,44.6,215.4,42.8,48.1
44,OKC,36.4,37.9,48.4,213.1,42.5,48.3
42,GS,38.7,38.3,49.4,213.1,41.0,46.7
43,CHI,38.8,38.2,47.3,212.9,42.5,46.1
42,WAS,39.4,37.8,47.3,212.7,44.3,43.6
42,TOR,38.8,35.5,47.3,210.7,43.7,45.5
43,MIN,36.7,37.2,48.1,210.7,40.9,47.7
43,MIA,38.4,37.1,49.0,210.5,40.8,45.3
44,DET,36.7,37.2,45.7,209.0,41.4,48.0
44,LAC,39.2,37.3,47.3,206.8,40.1,43.3
42,DAL,36.7,37.3,47.8,203.6,39.6,42.6
42,SA,35.3,39.7,43.0,201.5,39.4,44.0
44,MEM,36.9,36.9,41.9,200.3,40.1,44.5
43,UTA,34.0,34.2,42.4,192.6,38.0,44.1
