sg,g,pg,team,c,all,pf,sf
42.9,44,52.6,BKN,53.0,239.8,46.2,45.1
39.7,48,50.1,LAL,53.2,230.3,45.1,41.6
39.2,45,49.6,NO,49.0,223.2,45.1,40.2
41.4,44,52.0,DEN,49.1,222.3,40.9,39.5
40.7,44,46.8,IND,48.9,221.4,45.6,39.0
37.5,46,46.1,POR,51.9,221.1,45.9,40.0
38.5,45,48.4,PHO,49.9,220.8,43.2,40.9
40.1,46,46.5,NY,50.4,219.4,43.3,39.1
38.3,44,48.1,BOS,49.3,219.3,44.6,39.1
40.7,48,45.8,HOU,49.7,218.9,42.6,40.6
41.4,43,47.4,CLE,46.8,218.6,42.6,41.1
40.3,44,47.7,SAC,47.7,218.2,44.1,38.4
39.4,45,46.8,CHA,50.2,217.6,41.3,40.1
40.1,47,46.3,ORL,49.1,217.5,41.6,40.0
38.9,44,44.0,MIL,48.2,216.8,42.5,43.2
39.2,43,46.0,PHI,50.9,216.2,40.6,39.8
39.8,45,47.8,ATL,44.3,215.1,43.0,40.5
38.2,45,46.8,GS,50.0,213.3,40.9,38.3
37.6,45,44.2,WAS,46.9,213.0,44.4,39.6
37.9,45,47.7,OKC,48.3,212.7,42.7,36.4
38.0,46,45.8,CHI,47.6,212.4,42.7,38.2
35.6,45,46.3,TOR,46.9,211.2,43.9,38.6
37.5,45,47.3,MIN,48.5,211.0,40.9,36.7
36.9,45,45.2,MIA,48.8,210.2,40.8,38.4
37.1,46,48.3,DET,46.2,209.9,41.6,36.7
37.2,47,43.1,LAC,48.2,208.5,40.7,39.6
37.0,44,41.8,DAL,47.5,201.9,39.4,36.6
37.2,46,44.9,MEM,42.1,201.2,40.3,36.8
39.1,45,43.9,SA,42.9,200.8,39.3,35.4
34.4,47,44.9,UTA,42.4,193.2,37.8,33.9
