Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG,Russell Westbrook,12600,OKC@Cha 07:00PM ET,63.700,OKC,0,0,53.857,52.735,52.562,52.250,14.500,75.600,0.202,2.000,208.500,0.361,70.250
PF/C,DeMarcus Cousins,11500,Mia@Sac 10:30PM ET,52.894,Sac,1,0,61.357,40.786,52.438,51.000,12.000,69.000,0.116,-7.500,204.000,-15.960,30.000
SF,LeBron James,10500,Chi@Cle 08:00PM ET,52.292,Cle,1,1,50.821,43.117,55.125,47.750,12.500,63.000,0.181,-4.000,204.000,-2.885,51.500
PG,Giannis Antetokounmpo,10400,Mil@NY 07:30PM ET,51.379,Mil,0,0,53.250,42.350,53.500,51.500,13.000,62.400,0.160,-3.500,213.000,3.606,57.750
SF,Kevin Durant,9600,Por@GS 10:30PM ET,49.529,GS,1,0,46.393,40.691,53.000,31.250,18.000,57.600,0.225,-16.000,222.500,10.457,52.750
PG,Chris Paul,9200,Mem@LAC 10:30PM ET,43.927,LAC,1,1,47.679,36.653,43.500,42.500,8.000,55.200,0.148,1.500,197.000,-7.933,0.000
SG/SF,Jimmy Butler,9000,Chi@Cle 08:00PM ET,44.229,Chi,0,0,38.964,35.100,60.312,85.000,27.500,54.000,0.233,4.000,204.000,-2.885,43.000
PF/C,Kevin Love,8800,Chi@Cle 08:00PM ET,42.308,Cle,1,1,44.821,34.406,44.250,33.250,13.250,52.800,0.159,-4.000,204.000,-2.885,0.000
PG/SG,C.J. McCollum,8600,Por@GS 10:30PM ET,36.104,Por,0,0,40.714,28.619,43.875,61.750,13.250,51.600,0.093,16.000,222.500,8.457,57.250
PG,Stephen Curry,8300,Por@GS 10:30PM ET,42.093,GS,1,0,37.571,36.158,34.812,33.250,11.000,49.800,0.187,-16.000,222.500,10.457,53.250
PG,Kemba Walker,8200,OKC@Cha 07:00PM ET,39.897,Cha,1,0,40.143,33.475,45.250,57.750,21.000,49.200,0.170,-2.000,208.500,0.361,41.500
PG,Damian Lillard,8000,Por@GS 10:30PM ET,44.398,Por,0,1,45.250,34.188,40.000,40.250,14.500,48.000,0.387,16.000,222.500,8.457,0.000
