Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U,penalty,Final
PG,Russell Westbrook,12700,OKC@Bos 07:30PM ET,64.526,OKC,0,0,62.500,54.533,66.125,67.500,24.000,76.200,0.196,5.500,211.500,-0.516,82.250
PG/SG,James Harden,11200,Hou@Mem 08:00PM ET,59.308,Hou,0,0,57.929,52.650,61.938,59.250,8.000,67.200,0.191,0.000,205.500,-11.511,50.250
PF/C,Anthony Davis,10600,Mia@NO 08:00PM ET,55.190,NO,1,0,57.536,40.625,42.188,61.500,12.250,63.600,0.320,0.000,205.500,-2.814,68.000
PF/C,DeMarcus Cousins,10400,Sac@Min 08:00PM ET,52.580,Sac,0,0,47.964,39.125,49.562,36.500,11.750,62.400,0.247,5.000,206.500,-2.098,62.250
SF,LeBron James,10100,Bkn@Cle 07:30PM ET,52.340,Cle,1,0,51.607,43.019,54.625,50.250,30.000,60.600,0.253,0.000,225.500,-0.805,39.750
PG,Giannis Antetokounmpo,9900,Was@Mil 08:00PM ET,50.676,Mil,1,0,52.643,40.568,55.688,47.750,3.000,59.400,0.210,0.000,214.500,-9.701,63.500
PG,Chris Paul,9400,Dal@LAC 10:30PM ET,44.017,LAC,1,0,47.679,36.309,40.938,39.500,1.000,56.400,0.129,0.000,194.500,-30.692,0.000
PG,John Wall,9100,Was@Mil 08:00PM ET,48.808,Was,0,0,49.857,41.865,48.188,49.000,5.000,54.600,0.273,3.000,214.500,-17.801,38.750
PF/C,Karl-Anthony Towns,9000,Sac@Min 08:00PM ET,44.518,Min,1,0,52.750,37.597,53.562,47.500,15.750,54.000,0.221,0.000,206.500,-2.098,45.250
C,Hassan Whiteside,8900,Mia@NO 08:00PM ET,44.142,Mia,0,0,35.714,30.604,50.125,44.250,21.500,53.400,0.245,4.500,205.500,-2.814,40.500
SF,Kevin Durant,8800,GS@Det 07:30PM ET,49.183,GS,0,0,44.679,40.357,48.938,56.250,3.500,52.800,0.361,0.000,214.500,-9.225,46.000
SG/SF,Jimmy Butler,8400,Chi@Cha 07:00PM ET,42.893,Chi,0,0,44.286,33.714,34.125,40.750,20.000,50.400,0.256,4.500,205.000,-3.172,39.000
PF/C,Blake Griffin,8300,Dal@LAC 10:30PM ET,41.942,LAC,1,0,45.679,35.625,41.750,46.250,6.750,49.800,0.178,0.000,194.500,-10.692,0.000
PF/C,Kevin Love,8200,Bkn@Cle 07:30PM ET,42.500,Cle,1,0,49.321,34.231,51.688,58.250,29.750,49.200,0.268,0.000,225.500,11.511,36.750
PF/C,Paul Millsap,8100,Atl@Den 09:00PM ET,38.519,Atl,0,0,39.107,26.977,40.688,46.500,10.500,48.600,0.199,5.500,217.000,3.423,39.000
PG,Stephen Curry,8000,GS@Det 07:30PM ET,42.975,GS,0,0,41.571,37.847,37.000,38.500,25.500,48.000,0.275,0.000,214.500,3.632,44.750
PG,Damian Lillard,8000,SA@Por 10:00PM ET,44.484,Por,1,0,41.786,33.783,44.875,39.250,4.000,48.000,0.393,2.000,211.500,-11.016,40.250
PG,Isaiah Thomas,7900,OKC@Bos 07:30PM ET,41.480,Bos,1,0,36.714,35.950,45.188,43.750,20.500,47.400,0.248,0.000,211.500,1.484,53.500
PG,Kyrie Irving,7800,Bkn@Cle 07:30PM ET,38.110,Cle,1,0,37.429,30.364,44.812,60.000,30.000,46.800,0.173,0.000,225.500,11.511,47.750
SF,Gordon Hayward,7800,Tor@Uta 09:00PM ET,38.022,Uta,1,0,40.000,28.675,34.188,46.000,9.500,46.800,0.201,1.000,198.500,-7.827,34.750
SF,Kawhi Leonard,7800,SA@Por 10:00PM ET,41.431,SA,0,0,41.464,33.288,38.000,50.250,18.500,46.800,0.279,0.000,211.500,1.484,43.250
PG,Kemba Walker,7700,Chi@Cha 07:00PM ET,39.500,Cha,1,0,38.357,33.219,40.375,55.000,11.500,46.200,0.247,0.000,205.000,-3.172,34.750
PF/C,Draymond Green,7600,GS@Det 07:30PM ET,39.848,GS,0,0,39.500,34.882,44.500,46.250,8.500,45.600,0.257,0.000,214.500,3.632,38.250
PG,Eric Bledsoe,7600,Phi@Pho 09:00PM ET,37.397,Pho,1,0,40.429,27.917,29.375,27.500,17.000,45.600,0.250,0.000,212.500,2.200,49.500
C,Marc Gasol,7500,Hou@Mem 08:00PM ET,39.172,Mem,1,0,41.214,29.654,40.562,57.750,26.000,45.000,0.301,3.500,205.500,-2.814,32.750
PG,Dennis Schroder,7400,Atl@Den 09:00PM ET,31.793,Atl,0,0,39.429,24.333,35.375,32.750,29.000,44.400,0.106,5.500,217.000,3.423,43.500
PG,Kyle Lowry,7400,Tor@Uta 09:00PM ET,42.107,Tor,0,0,41.571,34.917,40.812,48.000,6.000,44.400,0.386,0.000,198.500,-7.827,52.500
PG,Goran Dragic,7400,Mia@NO 08:00PM ET,35.830,Mia,0,0,32.929,27.732,39.875,34.000,27.000,44.400,0.229,4.500,205.500,-2.814,35.000
SG,DeMar DeRozan,7300,Tor@Uta 09:00PM ET,41.768,Tor,0,0,39.143,33.477,39.125,20.750,1.000,43.800,0.407,0.000,198.500,-27.827,40.000
C,Rudy Gobert,7300,Tor@Uta 09:00PM ET,35.308,Uta,1,0,40.429,25.729,40.250,45.500,11.000,43.800,0.188,1.000,198.500,-7.827,35.000
PF/C,Joel Embiid,7300,Phi@Pho 09:00PM ET,35.368,Phi,0,0,31.583,27.389,33.875,23.000,22.500,43.800,0.187,6.000,212.500,0.200,40.250
C,DeAndre Jordan,7200,Dal@LAC 10:30PM ET,33.425,LAC,1,0,33.679,27.926,36.625,28.250,9.500,43.200,0.126,0.000,194.500,-10.692,32.250
SG/SF,Nicolas Batum,7100,Chi@Cha 07:00PM ET,34.839,Cha,1,0,38.143,27.167,40.938,46.750,13.000,42.600,0.215,0.000,205.000,-3.172,56.750
C,Dwight Howard,7000,Atl@Den 09:00PM ET,36.913,Atl,0,0,33.964,24.200,40.188,43.250,15.000,42.000,0.339,5.500,217.000,3.423,0.000
C,Andre Drummond,6900,GS@Det 07:30PM ET,37.708,Det,1,0,40.536,28.641,29.625,39.750,21.500,41.400,0.379,8.000,214.500,1.632,33.750
SG,Zach LaVine,6900,Sac@Min 08:00PM ET,31.806,Min,1,0,34.321,24.519,36.500,31.500,22.000,41.400,0.164,0.000,206.500,-2.098,55.000
C,Al Horford,6800,OKC@Bos 07:30PM ET,37.303,Bos,1,0,40.042,29.325,39.625,24.750,12.000,40.800,0.361,0.000,211.500,1.484,43.000
SF/PF,Jabari Parker,6800,Was@Mil 08:00PM ET,32.870,Mil,1,0,38.321,24.804,37.000,34.750,20.000,40.800,0.215,0.000,214.500,3.632,43.500
C,Nikola Vucevic,6700,LAL@Orl 07:00PM ET,33.670,Orl,1,0,39.679,24.953,37.250,26.750,29.500,40.200,0.292,0.000,209.500,0.051,27.250
SG,Bradley Beal,6600,Was@Mil 08:00PM ET,34.420,Was,0,0,33.679,25.854,37.438,32.000,16.000,39.600,0.311,3.000,214.500,-6.771,22.500
SF,Andrew Wiggins,6600,Sac@Min 08:00PM ET,32.554,Min,1,0,28.893,23.607,37.500,32.250,15.000,39.600,0.280,0.000,206.500,-14.231,17.500
SG,Dwyane Wade,6600,Chi@Cha 07:00PM ET,33.635,Chi,0,0,36.679,25.500,28.312,30.750,18.000,39.600,0.272,4.500,205.000,-3.172,27.250
C,Brook Lopez,6500,Bkn@Cle 07:30PM ET,36.040,Bkn,0,0,37.536,28.304,43.250,44.000,6.000,39.000,0.397,16.500,225.500,-1.755,24.750
PG,George Hill,6500,Tor@Uta 09:00PM ET,33.750,Uta,1,0,31.042,22.667,32.562,16.750,9.000,39.000,0.256,1.000,198.500,-15.712,0.000
