Strategy,p1,p2,p3,p4,p5,p6,p7,p8,DKFPS,Result
floorAvgBonus,James Harden,Draymond Green,Paul George,C.J. McCollum,Mason Plumlee,Frank Kaminsky,E'Twaun Moore,Jeff Green,254.25,Win
baselineBonus,DeMarcus Cousins,Paul George,C.J. McCollum,Marc Gasol,Nikola Vucevic,Maurice Harkless,Monta Ellis,E'Twaun Moore,246.5,Loss
svnGameBonus,James Harden,Nicolas Batum,C.J. McCollum,Nikola Vucevic,Mason Plumlee,Frank Kaminsky,Terrence Ross,Cory Joseph,238.5,Loss
baselineFloorAvgBonus,DeMarcus Cousins,Paul George,C.J. McCollum,Marc Gasol,Nikola Vucevic,Maurice Harkless,Cory Joseph,E'Twaun Moore,246.5,Loss
baselineFloorAvg,DeMar DeRozan,Damian Lillard,Kemba Walker,Paul George,Serge Ibaka,Mason Plumlee,Frank Kaminsky,E'Twaun Moore,255.25,Win
baselineSvnGameAvg,Damian Lillard,Kemba Walker,Nicolas Batum,C.J. McCollum,Nikola Vucevic,Mason Plumlee,Frank Kaminsky,Terrence Ross,244.75,Loss
baselineSvnGameAvgBonus,James Harden,Nicolas Batum,C.J. McCollum,Nikola Vucevic,Mason Plumlee,Maurice Harkless,Frank Kaminsky,Terrence Ross,243.25,Loss
frGameAvgBonus,DeMarcus Cousins,Isaiah Thomas,Marc Gasol,Elfrid Payton,Tyreke Evans,Dario Saric,Spencer Hawes,Cory Joseph,266.25,Win
baselineFrGameAvgBonus,DeMarcus Cousins,C.J. McCollum,Marc Gasol,Nikola Vucevic,Elfrid Payton,Marvin Williams,Evan Turner,Cory Joseph,250.5,Win
baselineFrGameAvg,DeMarcus Cousins,DeMar DeRozan,Marc Gasol,Rudy Gay,Elfrid Payton,Evan Turner,Cory Joseph,E'Twaun Moore,252.25,Win
