Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG/SG,James Harden,12000,Hou@Min 08:00PM ET,60.944,Hou,0,0,57.250,53.391,63.188,79.750,12.500,72.000,0.186,-3.500,218.500
PG,Russell Westbrook,11800,Mem@OKC 08:00PM ET,64.327,OKC,1,0,69.643,53.461,69.688,55.250,8.000,70.800,0.320,-4.500,204.000
SF,LeBron James,9700,Cle@Por 10:30PM ET,52.147,Cle,0,0,54.893,44.069,51.562,51.500,18.000,58.200,0.295,-5.000,222.000
PF/C,Karl-Anthony Towns,9500,Hou@Min 08:00PM ET,45.079,Min,1,0,48.429,38.163,49.750,62.750,21.250,57.000,0.148,3.500,218.500
PG,Chris Paul,9400,Orl@LAC 10:30PM ET,44.447,LAC,1,0,48.571,37.039,46.750,59.000,19.000,56.400,0.134,-10.500,209.000
PG,John Wall,9200,Was@Bos 08:00PM ET,48.929,Was,0,0,43.893,41.125,47.125,58.000,24.000,55.200,0.260,5.500,217.500
PG,Isaiah Thomas,8900,Was@Bos 08:00PM ET,42.713,Bos,1,0,46.464,35.711,45.750,39.750,3.000,53.400,0.139,-5.500,217.500
PG,Damian Lillard,8500,Cle@Por 10:30PM ET,44.107,Por,1,0,41.393,34.736,40.812,40.500,22.000,51.000,0.284,5.000,222.000
PG,Kyrie Irving,8200,Cle@Por 10:30PM ET,40.070,Cle,0,0,39.286,32.391,45.750,32.500,11.000,49.200,0.191,-5.000,222.000
PF/C,Kevin Love,8100,Cle@Por 10:30PM ET,41.765,Cle,0,0,39.464,34.222,35.562,27.750,28.500,48.600,0.252,-5.000,222.000
PF/C,Joel Embiid,8000,NY@Phi 07:00PM ET,36.740,Phi,1,0,36.857,28.864,41.312,34.750,21.000,48.000,0.103,2.000,211.500
PG/SG,C.J. McCollum,7800,Cle@Por 10:30PM ET,37.288,Por,1,0,37.071,29.656,47.938,36.750,25.000,46.800,0.210,5.000,222.000
SF,Carmelo Anthony,7600,NY@Phi 07:00PM ET,37.122,NY,0,0,32.393,27.925,42.188,27.500,19.000,45.600,0.249,-2.000,211.500
PF,Kristaps Porzingis,7500,NY@Phi 07:00PM ET,37.371,NY,0,0,39.679,28.368,35.500,18.500,6.500,45.000,0.251,-2.000,211.500
PF/C,Blake Griffin,7300,Orl@LAC 10:30PM ET,41.942,LAC,1,1,45.679,35.625,41.750,46.250,14.750,43.800,0.412,-10.500,209.000
C,DeAndre Jordan,7000,Orl@LAC 10:30PM ET,34.369,LAC,1,0,35.857,28.837,39.562,31.000,18.500,42.000,0.180,-10.500,209.000
PG,Mike Conley,6900,Mem@OKC 08:00PM ET,35.679,Mem,0,0,36.000,27.450,40.875,36.500,21.000,41.400,0.299,4.500,204.000
C,Marc Gasol,6800,Mem@OKC 08:00PM ET,38.211,Mem,0,0,37.643,28.528,37.188,28.500,12.000,40.800,0.414,4.500,204.000
C,Al Horford,6700,Was@Bos 08:00PM ET,36.446,Bos,1,0,38.500,28.696,37.062,32.750,8.500,40.200,0.349,-5.500,217.500
C,Nikola Vucevic,6600,Orl@LAC 10:30PM ET,33.854,Orl,0,0,35.500,25.637,34.625,37.750,14.000,39.600,0.297,10.500,209.000
SG,Zach LaVine,6500,Hou@Min 08:00PM ET,31.703,Min,1,1,34.607,24.237,30.750,21.500,26.000,39.000,0.235,3.500,218.500
SG,Bradley Beal,6400,Was@Bos 08:00PM ET,33.841,Was,0,0,34.179,25.859,33.938,28.000,12.000,38.400,0.321,5.500,217.500
