Name,Salary,Position,teamAbbrev,AvgPointsPerGame,expectedScore,atHome,opponent,injured,penalty,Final,O/U,odds
Devin Booker,6300,SG,PHO,29.044,104,1,MIA,0,0.000,36.000,212.500,-5.000
Eric Bledsoe,7700,PG,PHO,38.221,104,1,MIA,0,0.000,37.500,212.500,-5.000
T.J. Warren,5000,SF,PHO,25.148,104,1,MIA,0,0.000,3.500,212.500,-5.000
Tyson Chandler,4600,C,PHO,23.991,104,1,MIA,0,0.000,35.000,212.500,-5.000
P.J. Tucker,3700,SF,PHO,17.650,104,1,MIA,0,0.000,20.000,212.500,-5.000
Jared Dudley,3200,PF,PHO,16.858,104,1,MIA,0,0.000,0.000,212.500,-5.000
Brandon Knight,4200,PG/SG,PHO,20.586,104,1,MIA,0,0.000,0.000,212.500,-5.000
Alex Len,3600,C,PHO,21.811,104,1,MIA,0,0.000,24.000,212.500,-5.000
Marquese Chriss,3100,PF,PHO,13.364,104,1,MIA,0,0.000,33.000,212.500,-5.000
Leandro Barbosa,3000,PG/SG,PHO,10.963,104,1,MIA,0,0.000,14.000,212.500,-5.000
Dragan Bender,3300,SF/PF,PHO,7.920,104,1,MIA,0,0.000,5.500,212.500,-5.000
Tyler Ulis,3000,PG,PHO,7.523,104,1,MIA,0,0.000,6.750,212.500,-5.000
Alan Williams,3000,C,PHO,9.768,104,1,MIA,0,0.000,0.000,212.500,-5.000
John Jenkins,3000,SG,PHO,2.563,104,1,MIA,0,0.000,0.000,212.500,-5.000
Kyle Lowry,8400,PG,TOR,43.644,104,0,SA,0,0.000,13.500,206.000,6.000
DeMar DeRozan,8100,SG,TOR,41.856,104,0,SA,0,0.000,32.500,206.000,6.000
Jonas Valanciunas,4800,C,TOR,27.565,104,0,SA,0,0.000,9.000,206.000,6.000
DeMarre Carroll,3600,SF/PF,TOR,18.464,104,0,SA,0,0.000,20.250,206.000,6.000
Cory Joseph,3500,PG,TOR,17.898,104,0,SA,0,0.000,21.250,206.000,6.000
Terrence Ross,3700,SG/SF,TOR,18.063,104,0,SA,0,0.000,25.750,206.000,6.000
Lucas Nogueira,3500,C,TOR,16.702,104,0,SA,0,0.000,11.250,206.000,6.000
Pascal Siakam,3100,PF,TOR,12.652,104,0,SA,0,0.000,6.500,206.000,6.000
Norman Powell,4000,SG/SF,TOR,11.810,104,0,SA,0,0.000,5.500,206.000,6.000
Jakob Poeltl,3000,C,TOR,7.875,104,0,SA,0,0.000,18.250,206.000,6.000
Fred VanVleet,3000,PG,TOR,4.406,104,0,SA,0,0.000,4.000,206.000,6.000
Bruno Caboclo,3000,SF,TOR,3.450,104,0,SA,0,0.000,0.000,206.000,6.000
Robert Covington,5200,SF,PHI,23.750,103,1,MIN,0,0.000,39.500,205.500,4.500
Ersan Ilyasova,5300,PF,PHI,26.352,103,1,MIN,0,0.000,29.250,205.500,4.500
Nik Stauskas,3600,SG,PHI,17.225,103,1,MIN,0,0.000,15.250,205.500,4.500
Joel Embiid,7500,PF/C,PHI,36.330,103,1,MIN,0,0.000,44.500,205.500,4.500
Dario Saric,4200,SF/PF,PHI,20.672,103,1,MIN,0,0.000,22.750,205.500,4.500
T.J. McConnell,4300,PG,PHI,16.828,103,1,MIN,0,0.000,29.750,205.500,4.500
Hollis Thompson,3000,SG/SF,PHI,12.025,103,1,MIN,0,0.000,2.750,205.500,4.500
Nerlens Noel,3900,C,PHI,12.214,103,1,MIN,0,0.000,11.250,205.500,4.500
Timothe Luwawu-Cabarrot,3000,SG,PHI,4.525,103,1,MIN,0,0.000,9.000,205.500,4.500
Isaiah Thomas,7400,PG,BOS,42.358,100,1,UTA,0,0.000,62.000,200.000,-5.500
Al Horford,6200,C,BOS,36.344,100,1,UTA,0,0.000,36.250,200.000,-5.500
Jae Crowder,4900,SF,BOS,26.212,100,1,UTA,0,0.000,30.750,200.000,-5.500
Kelly Olynyk,3400,PF/C,BOS,17.643,100,1,UTA,0,0.000,23.750,200.000,-5.500
Amir Johnson,3800,PF/C,BOS,16.838,100,1,UTA,0,0.000,20.750,200.000,-5.500
Terry Rozier,3000,PG,BOS,14.371,100,1,UTA,0,0.000,0.000,200.000,-5.500
Jonas Jerebko,3100,PF,BOS,11.809,100,1,UTA,0,0.000,0.750,200.000,-5.500
Jaylen Brown,3000,SF,BOS,9.294,100,1,UTA,0,0.000,16.750,200.000,-5.500
Gerald Green,3000,SG,BOS,10.412,100,1,UTA,0,0.000,0.000,200.000,-5.500
Jordan Mickey,3000,PF,BOS,5.306,100,1,UTA,0,0.000,0.000,200.000,-5.500
Demetrius Jackson,3000,PG,BOS,5.000,100,1,UTA,0,0.000,0.000,200.000,-5.500
Paul George,7900,SF/PF,IND,39.009,101,0,DET,0,0.000,46.500,205.000,5.000
Thaddeus Young,5500,PF,IND,25.450,101,0,DET,0,0.000,23.750,205.000,5.000
Monta Ellis,3700,SG,IND,20.620,101,0,DET,0,0.000,21.250,205.000,5.000
Myles Turner,6500,C,IND,32.221,101,0,DET,0,0.000,35.750,205.000,5.000
C.J. Miles,3700,SF,IND,18.862,101,0,DET,0,0.000,11.250,205.000,5.000
Al Jefferson,3300,C,IND,15.936,101,0,DET,0,0.000,13.000,205.000,5.000
Aaron Brooks,3000,PG,IND,12.156,101,0,DET,0,0.000,7.000,205.000,5.000
Lavoy Allen,3000,PF,IND,7.054,101,0,DET,0,0.000,0.000,205.000,5.000
Kevin Seraphin,3000,C,IND,9.208,101,0,DET,0,0.000,19.750,205.000,5.000
Joe Young,3000,SG,IND,5.221,101,0,DET,0,0.000,0.000,205.000,5.000
Georges Niang,3000,PF,IND,2.400,101,0,DET,0,0.000,0.000,205.000,5.000
Rakeem Christmas,3000,PF,IND,3.417,101,0,DET,0,0.000,0.000,205.000,5.000
Julius Randle,6400,PF/C,LAL,31.359,102,1,MEM,0,0.000,58.500,207.000,5.000
Jordan Clarkson,4300,PG/SG,LAL,23.203,102,1,MEM,0,0.000,30.250,207.000,5.000
Brandon Ingram,3200,SF,LAL,16.608,102,1,MEM,0,0.000,14.250,207.000,5.000
Luol Deng,5000,SF,LAL,20.493,102,1,MEM,0,0.000,19.500,207.000,5.000
D'Angelo Russell,5400,PG,LAL,28.760,102,1,MEM,0,0.000,36.000,207.000,5.000
Nick Young,4100,SG,LAL,22.158,102,1,MEM,0,0.000,26.000,207.000,5.000
Lou Williams,4900,SG,LAL,28.669,102,1,MEM,0,0.000,20.750,207.000,5.000
Larry Nance Jr.,3500,SF/PF,LAL,19.214,102,1,MEM,0,0.000,0.000,207.000,5.000
Timofey Mozgov,3300,C,LAL,16.222,102,1,MEM,0,0.000,25.250,207.000,5.000
Tarik Black,3000,C,LAL,14.520,102,1,MEM,0,0.000,11.750,207.000,5.000
Jose Calderon,3000,PG,LAL,10.983,102,1,MEM,0,0.000,0.000,207.000,5.000
Marcelo Huertas,3000,PG,LAL,9.679,102,1,MEM,0,0.000,0.000,207.000,5.000
Thomas Robinson,3400,PF,LAL,12.271,102,1,MEM,0,0.000,1.000,207.000,5.000
Ivica Zubac,3000,C,LAL,4.036,102,1,MEM,0,0.000,0.000,207.000,5.000
Metta World Peace,3000,SF,LAL,3.135,102,1,MEM,0,0.000,0.000,207.000,5.000
John Wall,10600,PG,WAS,49.121,101,0,DAL,0,0.000,50.500,202.000,1.000
Marcin Gortat,6500,C,WAS,32.068,101,0,DAL,0,0.000,41.000,202.000,1.000
Bradley Beal,6600,SG,WAS,33.871,101,0,DAL,0,0.000,40.000,202.000,1.000
Otto Porter,6300,SF/PF,WAS,29.386,101,0,DAL,0,0.000,35.500,202.000,1.000
Markieff Morris,5200,SF/PF,WAS,25.563,101,0,DAL,0,0.000,19.750,202.000,1.000
Marcus Thornton,3500,SG,WAS,13.016,101,0,DAL,0,0.000,3.000,202.000,1.000
Tomas Satoransky,3400,PG,WAS,8.826,101,0,DAL,0,0.000,0.000,202.000,1.000
Sheldon McClellan,3300,SG,WAS,8.318,101,0,DAL,0,0.000,1.250,202.000,1.000
Trey Burke,3000,PG,WAS,8.336,101,0,DAL,0,0.000,6.000,202.000,1.000
Jason Smith,3200,PF/C,WAS,8.371,101,0,DAL,0,0.000,8.750,202.000,1.000
Andrew Nicholson,3000,C,WAS,5.891,101,0,DAL,0,0.000,0.000,202.000,1.000
Daniel Ochefu,3000,C,WAS,2.875,101,0,DAL,0,0.000,0.000,202.000,1.000
DeMarcus Cousins,11400,PF/C,SAC,52.953,106,0,DEN,0,0.000,51.000,214.500,3.500
Darren Collison,4500,PG,SAC,22.350,106,0,DEN,0,0.000,39.000,214.500,3.500
Matt Barnes,4200,SF/PF,SAC,19.339,106,0,DEN,0,0.000,15.750,214.500,3.500
Garrett Temple,3600,PG/SG,SAC,16.803,106,0,DEN,0,0.000,27.250,214.500,3.500
Kosta Koufos,3500,C,SAC,15.621,106,0,DEN,0,0.000,29.250,214.500,3.500
Anthony Tolliver,3700,PF,SAC,12.524,106,0,DEN,0,0.000,12.250,214.500,3.500
Omri Casspi,3300,SF/PF,SAC,14.026,106,0,DEN,0,0.000,9.750,214.500,3.500
Ben McLemore,3000,SG,SAC,9.824,106,0,DEN,0,0.000,9.500,214.500,3.500
Willie Cauley-Stein,3000,C,SAC,9.328,106,0,DEN,0,0.000,-0.500,214.500,3.500
Skal Labissiere,3000,PF,SAC,4.625,106,0,DEN,0,0.000,0.000,214.500,3.500
Malachi Richardson,3000,SG,SAC,5.700,106,0,DEN,0,0.000,0.000,214.500,3.500
Georgios Papagiannis,3000,C,SAC,1.375,106,0,DEN,0,0.000,0.000,214.500,3.500
Tyler Johnson,5700,PG,MIA,27.947,104,0,PHO,0,0.000,0.000,212.500,5.000
Josh Richardson,6000,SG/SF,MIA,22.660,104,0,PHO,0,0.000,25.000,212.500,5.000
Wayne Ellington,4100,SF,MIA,20.117,104,0,PHO,0,0.000,16.250,212.500,5.000
Rodney McGruder,3000,SG,MIA,14.323,104,0,PHO,0,0.000,16.750,212.500,5.000
James Johnson,5500,SF/PF,MIA,24.185,104,0,PHO,0,0.000,0.000,212.500,5.000
Derrick Williams,3000,SF,MIA,12.539,104,0,PHO,0,0.000,11.500,212.500,5.000
Luke Babbitt,3000,PF,MIA,8.361,104,0,PHO,0,0.000,13.750,212.500,5.000
Willie Reed,3900,C,MIA,10.620,104,0,PHO,0,0.000,54.500,212.500,5.000
Udonis Haslem,3000,C,MIA,3.650,104,0,PHO,0,0.000,12.250,212.500,5.000
Harrison Barnes,6700,SF/PF,DAL,31.368,101,1,WAS,0,0.000,44.250,202.000,-1.000
Wesley Matthews,5600,SG,DAL,26.864,101,1,WAS,0,0.000,20.500,202.000,-1.000
Seth Curry,4200,SG,DAL,20.308,101,1,WAS,0,0.000,23.750,202.000,-1.000
Dorian Finney-Smith,3100,SF,DAL,12.076,101,1,WAS,0,0.000,10.000,202.000,-1.000
Dirk Nowitzki,4100,PF,DAL,21.722,101,1,WAS,0,0.000,22.750,202.000,-1.000
Dwight Powell,3900,PF/C,DAL,18.831,101,1,WAS,0,0.000,14.750,202.000,-1.000
Justin Anderson,3200,SG/SF,DAL,15.656,101,1,WAS,0,0.000,2.500,202.000,-1.000
Devin Harris,3000,PG,DAL,9.569,101,1,WAS,0,0.000,27.500,202.000,-1.000
Salah Mejri,3000,C,DAL,11.358,101,1,WAS,0,0.000,1.250,202.000,-1.000
Nicolas Brussino,3000,SG,DAL,5.100,101,1,WAS,0,0.000,0.000,202.000,-1.000
A.J. Hammons,3000,C,DAL,3.794,101,1,WAS,0,0.000,0.000,202.000,-1.000
Danilo Gallinari,5900,SF,DEN,28.863,106,1,SAC,0,0.000,37.000,214.500,-3.500
Wilson Chandler,5600,SF/PF,DEN,30.137,106,1,SAC,0,0.000,19.750,214.500,-3.500
Will Barton,5500,SG/SF,DEN,26.523,106,1,SAC,0,0.000,9.500,214.500,-3.500
