Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,atHome,injured,7GameAvg,FloorAvg,4GameAvg,LastGame,dvp,value,fvalue,odds,O/U
PG,Russell Westbrook,12500,LAC@OKC 08:00PM ET,64.129,OKC,1,0,70.071,52.953,61.250,29.250,2.000,75.000,0.227,0.000,209.500
PG/SG,James Harden,11900,NY@Hou 08:00PM ET,59.449,Hou,1,0,62.607,53.000,60.500,77.750,19.250,71.400,0.099,0.000,224.500
SF,LeBron James,10400,Cle@Cha 07:00PM ET,52.304,Cle,0,0,53.179,42.786,51.562,56.000,22.000,62.400,0.202,0.000,210.500
PG,Giannis Antetokounmpo,9800,Mil@Chi 07:00PM ET,50.669,Mil,0,0,50.179,41.714,50.312,42.500,11.500,58.800,0.218,3.000,204.000
PG,Chris Paul,9400,LAC@OKC 08:00PM ET,43.927,LAC,0,0,44.464,36.653,43.500,42.500,20.500,56.400,0.124,9.000,209.500
PF/C,Kevin Love,8700,Cle@Cha 07:00PM ET,42.607,Cle,0,0,41.357,34.984,43.250,58.250,19.000,52.200,0.185,0.000,210.500
SG/SF,Jimmy Butler,8600,Mil@Chi 07:00PM ET,42.811,Chi,1,0,44.214,34.194,42.875,39.000,22.500,51.600,0.225,0.000,204.000
SG/SF,Nicolas Batum,8000,Cle@Cha 07:00PM ET,36.688,Cha,1,0,45.571,27.167,49.625,52.250,27.500,48.000,0.145,1.000,210.500
SF,Gordon Hayward,8000,Pho@Uta 08:00PM ET,38.173,Uta,1,0,36.500,29.542,41.000,33.000,25.500,48.000,0.168,0.000,207.500
PG,Kyrie Irving,7900,Cle@Cha 07:00PM ET,40.069,Cle,0,0,38.964,32.383,52.312,62.750,13.000,47.400,0.248,0.000,210.500
PG,Kemba Walker,7800,Cle@Cha 07:00PM ET,38.891,Cha,1,0,37.429,33.145,34.625,40.250,23.000,46.800,0.200,1.000,210.500
PF/C,Blake Griffin,7700,LAC@OKC 08:00PM ET,41.942,LAC,0,0,38.143,35.625,41.750,46.250,13.750,46.200,0.307,9.000,209.500
PG,Eric Bledsoe,7300,Pho@Uta 08:00PM ET,37.765,Pho,0,0,36.679,28.542,40.438,51.250,6.000,43.800,0.311,11.500,207.500
