Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,576427235,MEGATRONSGUN,0,348.5,PG Tim Frazier SG Tony Allen SF DeMarre Carroll PF LeBron James C Alex Len F Kevin Love G Jamal Murray UTIL James Harden,,Tony Allen,44.95%,15.25
2,576533846,bhastings8,0,342.75,PG Mike Conley SG Klay Thompson SF Wilson Chandler PF LeBron James C Joel Embiid F Trevor Booker G Evan Fournier UTIL Alex Len,,Larry Nance Jr.,44.47%,15.75
3,576774480,montgomeryj88,0,338.25,PG Kyrie Irving SG Monta Ellis SF DeMarre Carroll PF LeBron James C Nikola Vucevic F LaMarcus Aldridge G Stephen Curry UTIL José Calderón,,Tim Frazier,35.34%,26.5
4,576764100,Pwpayne,0,334,PG Kris Dunn SG Victor Oladipo SF Robert Covington PF DeMarcus Cousins C Marc Gasol F Ryan Anderson G Stephen Curry UTIL Nikola Vucevic,,Wilson Chandler,33.46%,24.25
5,576491512,flopez21,0,330.25,PG Tim Frazier SG Tony Allen SF LeBron James PF Kevin Love C Al Horford F Kawhi Leonard G Darren Collison UTIL Jamal Murray,,James Harden,32.16%,60
5,576870713,cowfish,0,330.25,PG Kyrie Irving SG Arron Afflalo SF DeMarre Carroll PF LeBron James C Nikola Vucevic F LaMarcus Aldridge G Stephen Curry UTIL Zach Randolph,,Kevin Love,31.07%,62
5,577066775,cbentley112,0,330.25,PG Stephen Curry SG Arron Afflalo SF LeBron James PF LaMarcus Aldridge C Nikola Vucevic F Zach Randolph G Kyrie Irving UTIL DeMarre Carroll,,Alex Len,21.02%,36
8,577076873,stary23,0,327.5,PG Isaiah Thomas SG DeMar DeRozan SF LeBron James PF Rudy Gay C Timofey Mozgov F Robert Covington G Jamal Murray UTIL Joel Embiid,,Thabo Sefolosha,18.32%,19
9,576501486,NFLSTUD,0,322.75,PG Tim Frazier SG Rodney Stuckey SF LeBron James PF Kevin Love C Nikola Vucevic F Trevor Ariza G Mike Conley UTIL Jonas Valanciunas,,Hassan Whiteside,17.49%,19
10,576600583,jjlopez1984,0,322.25,PG Isaiah Thomas SG Tony Allen SF LeBron James PF Kevin Love C Alex Len F DeMarre Carroll G Tim Frazier UTIL Kyrie Irving,,LeBron James,16.49%,73
11,576569662,Jedi_MoneyMaker,0,322,PG Kyrie Irving SG Arron Afflalo SF Kevin Durant PF LeBron James C DeMarcus Cousins F DeMarre Carroll G Andrew Harrison UTIL Nik Stauskas,,LaMarcus Aldridge,14.58%,40.25
12,576438860,PUMA1928,0,321.75,PG Isaiah Thomas SG Evan Fournier SF Gordon Hayward PF Kevin Love C Alex Len F Trevor Ariza G Kemba Walker UTIL Jamal Murray,,Andrew Wiggins,14.10%,14
