"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF/C","Karl-Anthony Towns",10800,"Orl@Min 08:00PM ET",47.064,"Min"
"SF","LeBron James",10000,"Cle@Dal 08:30PM ET",52.140,"Cle"
"PG","Isaiah Thomas",9400,"Det@Bos 08:00PM ET",44.424,"Bos"
"PG","Eric Bledsoe",9000,"Mem@Pho 10:30PM ET",40.202,"Pho"
"PG","Kyrie Irving",8200,"Cle@Dal 08:30PM ET",40.439,"Cle"
"PF/C","Kevin Love",8000,"Cle@Dal 08:30PM ET",40.043,"Cle"
"C","Marc Gasol",7800,"Mem@Pho 10:30PM ET",39.527,"Mem"
"C","Andre Drummond",7700,"Det@Bos 08:00PM ET",38.636,"Det"
"PG","Goran Dragic",7600,"Bkn@Mia 07:30PM ET",35.881,"Mia"
"C","Hassan Whiteside",7500,"Bkn@Mia 07:30PM ET",40.587,"Mia"
"SF","Andrew Wiggins",7200,"Orl@Min 08:00PM ET",32.739,"Min"
"PG","Ricky Rubio",7100,"Orl@Min 08:00PM ET",28.055,"Min"
"C","Al Horford",7000,"Det@Bos 08:00PM ET",36.471,"Bos"
"SG/SF","Dion Waiters",7000,"Bkn@Mia 07:30PM ET",27.205,"Mia"
"PG","Mike Conley",7000,"Mem@Pho 10:30PM ET",36.142,"Mem"
"SG","Devin Booker",7000,"Mem@Pho 10:30PM ET",30.815,"Pho"
"PG","Elfrid Payton",6700,"Orl@Min 08:00PM ET",29.173,"Orl"
"SG","Zach LaVine",6700,"Orl@Min 08:00PM ET",30.716,"Min"
"C","Brook Lopez",6500,"Bkn@Mia 07:30PM ET",35.232,"Bkn"
"C","Nikola Vucevic",6400,"Orl@Min 08:00PM ET",34.163,"Orl"
"PG","Reggie Jackson",6300,"Det@Bos 08:00PM ET",29.750,"Det"
"SF/PF","Harrison Barnes",6300,"Cle@Dal 08:30PM ET",31.261,"Dal"
"SF","Jae Crowder",6100,"Det@Bos 08:00PM ET",27.526,"Bos"
"PF/C","Serge Ibaka",6000,"Orl@Min 08:00PM ET",29.656,"Orl"
"C","Tyson Chandler",5900,"Mem@Pho 10:30PM ET",26.961,"Pho"
"PF","James Johnson",5800,"Bkn@Mia 07:30PM ET",25.657,"Mia"
"PF/C","Zach Randolph",5800,"Mem@Pho 10:30PM ET",28.577,"Mem"
"PF/C","Gorgui Dieng",5700,"Orl@Min 08:00PM ET",27.112,"Min"
"SG","Avery Bradley",5600,"Det@Bos 08:00PM ET",33.458,"Bos"
"SF/PF","Tobias Harris",5600,"Det@Bos 08:00PM ET",28.234,"Det"
"PG/SG","Marcus Smart",5500,"Det@Bos 08:00PM ET",25.006,"Bos"
"SG","Kentavious Caldwell-Pope",5500,"Det@Bos 08:00PM ET",26.411,"Det"
"PG","Deron Williams",5500,"Cle@Dal 08:30PM ET",28.453,"Dal"
"SF","Marcus Morris",5400,"Det@Bos 08:00PM ET",24.652,"Det"
"SG","Evan Fournier",5300,"Orl@Min 08:00PM ET",27.068,"Orl"
"SG","Seth Curry",5300,"Cle@Dal 08:30PM ET",21.076,"Dal"
"SF/PF","Aaron Gordon",5200,"Orl@Min 08:00PM ET",22.658,"Orl"
"C","Willie Reed",5100,"Bkn@Mia 07:30PM ET",14.269,"Mia"
"PF/C","Dirk Nowitzki",5100,"Cle@Dal 08:30PM ET",25.940,"Dal"
"PG","Jeremy Lin",5000,"Bkn@Mia 07:30PM ET",30.146,"Bkn"
"PG","Tyler Johnson",5000,"Bkn@Mia 07:30PM ET",28.488,"Mia"
"SG","Tony Allen",4700,"Mem@Pho 10:30PM ET",22.399,"Mem"
"C","Tristan Thompson",4600,"Cle@Dal 08:30PM ET",24.380,"Cle"
"SF","Wayne Ellington",4500,"Bkn@Mia 07:30PM ET",19.116,"Mia"
"PF","Trevor Booker",4500,"Bkn@Mia 07:30PM ET",27.161,"Bkn"
"SG/SF","Wesley Matthews",4500,"Cle@Dal 08:30PM ET",26.222,"Dal"
"PF/C","Kelly Olynyk",4400,"Det@Bos 08:00PM ET",19.262,"Bos"
"PF","Jon Leuer",4400,"Det@Bos 08:00PM ET",22.610,"Det"
"PG/SG","Sean Kilpatrick",4400,"Bkn@Mia 07:30PM ET",24.440,"Bkn"
"SG/SF","Josh Richardson",4400,"Bkn@Mia 07:30PM ET",22.473,"Mia"
"SF","T.J. Warren",4400,"Mem@Pho 10:30PM ET",22.257,"Pho"
"SF/PF","P.J. Tucker",4300,"Mem@Pho 10:30PM ET",19.112,"Pho"
"PF","JaMychal Green",4300,"Mem@Pho 10:30PM ET",22.750,"Mem"
"SG","Bojan Bogdanovic",4200,"Bkn@Mia 07:30PM ET",21.883,"Bkn"
"PG/SG","Iman Shumpert",4100,"Cle@Dal 08:30PM ET",16.811,"Cle"
"SG","Jodie Meeks",4000,"Orl@Min 08:00PM ET",16.792,"Orl"
"SG/SF","Caris LeVert",4000,"Bkn@Mia 07:30PM ET",15.490,"Bkn"
"SF","Justin Anderson",4000,"Cle@Dal 08:30PM ET",13.971,"Dal"
"PG/SG","Brandon Knight",4000,"Mem@Pho 10:30PM ET",19.261,"Pho"
