team,odds,overUnder
SA,-3.500,200.500
BOS,3.500,200.500
WAS,-2.000,198.500
ORL,2.000,198.500
CHA,-1.500,210.500
NY,1.500,210.500
DAL,13.000,201.500
CLE,-13.000,201.500
LAC,-6.500,200.500
DET,6.500,200.500
CHI,-9.500,205.000
PHI,9.500,205.000
ATL,3.500,195.500
UTA,-3.500,195.500
TOR,-3.500,207.500
MIL,3.500,207.500
MIA,5.000,185.000
MEM,-5.000,185.000
BKN,5.500,213.500
IND,-5.500,213.500
MIN,-2.000,214.000
PHO,2.000,214.000
OKC,-2.500,215.000
DEN,2.500,215.000
NO,4.000,217.500
POR,-4.000,217.500
HOU,-3.500,216.500
SAC,3.500,216.500
GS,-14.000,230.500
LAL,14.000,230.500
