overUnder,odds,team
205.000,4.500,CHI
205.000,-4.500,CHA
209.500,5.000,LAL
209.500,-5.000,ORL
214.500,-8.000,GS
214.500,8.000,DET
225.500,16.500,BKN
225.500,-16.500,CLE
211.500,5.500,OKC
211.500,-5.500,BOS
214.500,3.000,WAS
214.500,-3.000,MIL
205.500,4.500,MIA
205.500,-4.500,NO
205.500,-3.500,HOU
205.500,3.500,MEM
206.500,5.000,SAC
206.500,-5.000,MIN
212.500,6.000,PHI
212.500,-6.000,PHO
217.000,5.500,ATL
217.000,-5.500,DEN
198.500,-1.000,TOR
198.500,1.000,UTA
211.500,-2.000,SA
211.500,2.000,POR
194.500,4.500,DAL
194.500,-4.500,LAC
