max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS) ,min(t2.DKFPS),max(t2.DKFPS),team    ,ou        ,odds      ,home    ,OPP     ,Target    ,player_id ,game_id   ,DISPLAY_FIRST_LAST     ,AdaBoost  ,Neural Network    ,Random Forest
continuous    ,continuous    ,continuous    ,continuous    ,continuous       ,continuous   ,continuous    ,continuous   ,continuous   ,discrete,continuous,continuous,discrete,discrete,continuous,continuous,continuous,string                 ,continuous,continuous        ,continuous
              ,              ,              ,              ,                 ,             ,              ,             ,             ,        ,          ,          ,        ,        ,class     ,meta      ,meta      ,meta                   ,meta      ,meta              ,meta
6200.0        ,6400.0        ,6166.6667     ,6000.0        ,169.96731712     ,28.9166666667,9.01926949493 ,18.5         ,40.5         ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,1626178.0 ,21700267.0,Rondae Hollis-Jefferson,31.75     ,28.78446295474366 ,25.18819444444445
3000.0        ,3000.0        ,3000.0        ,3000.0        ,0.0              ,8.45         ,3.60347054935 ,5.75         ,15.5         ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,1626192.0 ,21700267.0,Pat Connaughton        ,10.0      ,9.42522580337942  ,12.022261904761905
4100.0        ,4500.0        ,4266.6667     ,4100.0        ,169.96731712     ,23.9166666667,4.08418358495 ,19.0         ,29.0         ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,1627747.0 ,21700267.0,Caris LeVert           ,18.5      ,22.922076052067652,20.676428571428573
3000.0        ,3000.0        ,3000.0        ,3000.0        ,0.0              ,2.0          ,1.47196014439 ,0.0          ,3.5          ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,1627774.0 ,21700267.0,Jake Layman            ,6.0       ,8.442100607678764 ,5.064166666666667
3500.0        ,3600.0        ,3550.0        ,3500.0        ,50.0             ,4.625        ,2.625         ,2.0          ,7.25         ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,1627785.0 ,21700267.0,Isaiah Whitehead       ,10.25     ,13.082662950080609,8.996496212121212
3000.0        ,3000.0        ,3000.0        ,3000.0        ,0.0              ,1.375        ,2.375         ,-1.0         ,3.75         ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,1628380.0 ,21700267.0,Zach Collins           ,6.0       ,8.45778394257695  ,5.409880952380951
3000.0        ,3000.0        ,3000.0        ,3000.0        ,0.0              ,8.0          ,3.25          ,4.75         ,11.25        ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,1628386.0 ,21700267.0,Jarrett Allen          ,8.5       ,12.773405586399466,9.93625
3700.0        ,3900.0        ,3725.0        ,3500.0        ,147.901994577    ,6.5625       ,7.22057606774 ,-0.5         ,16.75        ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,1628403.0 ,21700267.0,Caleb Swanigan         ,6.75      ,10.895959678350131,10.275059523809524
5600.0        ,5800.0        ,5633.3333     ,5500.0        ,124.721912892    ,27.6666666667,6.55849745665 ,19.25        ,35.25        ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,201960.0  ,21700267.0,DeMarre Carroll        ,29.75     ,26.840531694368362,31.618055555555554
4400.0        ,4500.0        ,4360.0        ,4200.0        ,101.980390272    ,11.1         ,8.09722174576 ,2.5          ,26.25        ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,202323.0  ,21700267.0,Evan Turner            ,11.5      ,16.60006564716954 ,14.413749999999999
3400.0        ,3700.0        ,3500.0        ,3400.0        ,109.544511501    ,13.0         ,1.6807736314  ,10.25        ,15.0         ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,202334.0  ,21700267.0,Ed Davis               ,14.25     ,12.106199090084207,12.639583333333334
4700.0        ,4800.0        ,4566.6667     ,4400.0        ,169.96731712     ,17.8333333333,9.63140119032 ,4.25         ,25.5         ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,202344.0  ,21700267.0,Trevor Booker          ,20.5      ,20.6360457732398  ,19.91607142857143
8800.0        ,9100.0        ,8800.0        ,8300.0        ,268.3281573      ,40.3         ,7.56042326857 ,30.25        ,53.25        ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,203081.0  ,21700267.0,Damian Lillard         ,47.25     ,43.360090311744585,45.68045634920635
3200.0        ,3200.0        ,3066.6667     ,3000.0        ,94.2809041582    ,12.1666666667,8.26723788349 ,1.25         ,21.25        ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,203086.0  ,21700267.0,Meyers Leonard         ,7.75      ,10.785327991857857,11.386220238095238
3500.0        ,3700.0        ,3540.0        ,3500.0        ,80.0             ,11.4         ,3.90384425919 ,4.75         ,15.75        ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,203090.0  ,21700267.0,Maurice Harkless       ,13.75     ,11.72316700550899 ,15.157499999999999
3400.0        ,3400.0        ,3400.0        ,3400.0        ,0.0              ,13.125       ,4.625         ,8.5          ,17.75        ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,203092.0  ,21700267.0,Tyler Zeller           ,13.25     ,15.16437188885248 ,16.306875
3300.0        ,3300.0        ,3300.0        ,3300.0        ,0.0              ,12.3333333333,0.623609564462,11.5         ,13.0         ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,203112.0  ,21700267.0,Quincy Acy             ,15.5      ,14.911855875602651,14.85625
4800.0        ,4600.0        ,4500.0        ,4400.0        ,81.6496580928    ,32.5833333333,4.0276819912  ,29.25        ,38.25        ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,203459.0  ,21700267.0,Allen Crabbe           ,20.5      ,24.80119123291305 ,21.70996794871795
7200.0        ,7200.0        ,7020.0        ,6900.0        ,116.619037897    ,34.2         ,5.29952828089 ,26.0         ,40.0         ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,203468.0  ,21700267.0,CJ McCollum            ,38.0      ,31.94490854657171 ,41.24666666666666
3700.0        ,3600.0        ,3320.0        ,3100.0        ,203.960780544    ,21.4         ,7.98373346248 ,10.5         ,32.0         ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,203894.0  ,21700267.0,Shabazz Napier         ,17.0      ,18.137823223322947,18.045119047619046
6600.0        ,6000.0        ,5433.3333     ,4800.0        ,492.160768674    ,41.8333333333,6.14523302153 ,35.75        ,50.25        ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,203915.0  ,21700267.0,Spencer Dinwiddie      ,31.0      ,27.140528928483427,34.52916666666667
3500.0        ,3600.0        ,3566.6667     ,3500.0        ,47.1404520791    ,17.4166666667,8.26723788349 ,6.5          ,26.5         ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,203925.0  ,21700267.0,Joe Harris             ,14.25     ,17.307679930398272,13.00375
3400.0        ,3400.0        ,3400.0        ,3400.0        ,0.0              ,4.25         ,4.25          ,0.0          ,8.5          ,BKN     ,211.0     ,5.0       ,1       ,POR     ,          ,203930.0  ,21700267.0,Sean Kilpatrick        ,6.25      ,12.758703609486055,6.486875
3500.0        ,3600.0        ,3560.0        ,3500.0        ,48.9897948557    ,22.75        ,10.7098085884 ,14.25        ,42.0         ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,203943.0  ,21700267.0,Noah Vonleh            ,15.25     ,20.659109865444243,14.390476190476189
6500.0        ,7100.0        ,6880.0        ,6700.0        ,160.0            ,23.6         ,5.56237359407 ,16.25        ,31.75        ,POR     ,211.0     ,-5.0      ,0       ,BKN     ,          ,203994.0  ,21700267.0,Jusuf Nurkic           ,28.0      ,30.042076701785376,34.49025793650794
3800.0        ,3900.0        ,3750.0        ,3700.0        ,86.6025403784    ,18.8125      ,6.29328759473 ,10.5         ,26.5         ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,101127.0  ,21700268.0,Jarrett Jack           ,22.5      ,17.33735574456419 ,22.09267857142857
3800.0        ,3900.0        ,3850.0        ,3800.0        ,50.0             ,10.375       ,3.625         ,6.75         ,14.0         ,ATL     ,208.0     ,2.0       ,1       ,NYK     ,          ,101141.0  ,21700268.0,Ersan Ilyasova         ,12.75     ,13.550838240635073,11.20702380952381
3400.0        ,3500.0        ,3500.0        ,3500.0        ,0.0              ,3.125        ,0.375         ,2.75         ,3.5          ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,1626195.0 ,21700268.0,Willy Hernangomez      ,9.25      ,9.351205208703632 ,9.77892857142857
3400.0        ,3700.0        ,3550.0        ,3500.0        ,86.6025403784    ,10.4375      ,4.80681482377 ,4.75         ,18.0         ,ATL     ,208.0     ,2.0       ,1       ,NYK     ,          ,1627098.0 ,21700268.0,Malcolm Delaney        ,14.0      ,12.758813093350302,9.722916666666666
5200.0        ,5300.0        ,5050.0        ,4800.0        ,180.277563773    ,29.625       ,7.76309377761 ,20.5         ,41.25        ,ATL     ,208.0     ,2.0       ,1       ,NYK     ,          ,1627752.0 ,21700268.0,Taurean Prince         ,23.25     ,25.81621969510553 ,23.684791666666666
3000.0        ,3000.0        ,3000.0        ,3000.0        ,0.0              ,0.5          ,0.5           ,0.0          ,1.0          ,ATL     ,208.0     ,2.0       ,1       ,NYK     ,          ,1627761.0 ,21700268.0,DeAndre' Bembry        ,3.25      ,7.99864125790009  ,5.319583333333333
4000.0        ,4000.0        ,3875.0        ,3800.0        ,82.9156197589    ,12.4375      ,8.94492698405 ,-0.5         ,24.25        ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,1628373.0 ,21700268.0,Frank Ntilikina        ,19.75     ,14.506877510786174,15.819166666666666
4800.0        ,4800.0        ,4625.0        ,4400.0        ,147.901994577    ,26.875       ,6.01690327328 ,20.0         ,35.25        ,ATL     ,208.0     ,2.0       ,1       ,NYK     ,          ,1628381.0 ,21700268.0,John Collins           ,22.0      ,23.97639433709805 ,20.55455357142857
3300.0        ,3500.0        ,3166.6667     ,3000.0        ,235.702260396    ,2.5          ,3.53553390593 ,0.0          ,7.5          ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,1628422.0 ,21700268.0,Damyean Dotson         ,10.25     ,8.877808670670671 ,6.833214285714286
3300.0        ,3400.0        ,3200.0        ,3000.0        ,200.0            ,13.25        ,10.6638993806 ,1.5          ,28.5         ,ATL     ,208.0     ,2.0       ,1       ,NYK     ,          ,1628463.0 ,21700268.0,Tyler Cavanaugh        ,14.5      ,13.684219120109493,11.981338383838384
3800.0        ,4100.0        ,3925.0        ,3800.0        ,108.972473589    ,20.9375      ,7.74268808296 ,9.5          ,31.25        ,ATL     ,208.0     ,2.0       ,1       ,NYK     ,          ,201158.0  ,21700268.0,Marco Belinelli        ,16.5      ,20.050821952450995,15.27125
3300.0        ,3400.0        ,3400.0        ,3400.0        ,0.0              ,9.375        ,3.375         ,6.0          ,12.75        ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,201196.0  ,21700268.0,Ramon Sessions         ,12.25     ,10.485627519837424,14.951805555555557
3300.0        ,3400.0        ,3400.0        ,3400.0        ,0.0              ,11.125       ,6.875         ,4.25         ,18.0         ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,201563.0  ,21700268.0,Michael Beasley        ,13.5      ,10.97341121097201 ,15.103075396825398
4600.0        ,4600.0        ,4325.0        ,4100.0        ,178.535710714    ,26.125       ,4.875         ,19.0         ,32.75        ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,201584.0  ,21700268.0,Courtney Lee           ,26.75     ,24.06394883508976 ,21.538988095238096
3400.0        ,3400.0        ,3400.0        ,3400.0        ,0.0              ,6.4375       ,1.89880719137 ,3.25         ,8.25         ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,202498.0  ,21700268.0,Lance Thomas           ,9.75      ,9.844139905371271 ,7.679166666666667
6100.0        ,6600.0        ,6475.0        ,6300.0        ,108.972473589    ,31.75        ,12.0286117237 ,19.0         ,47.0         ,NYK     ,208.0     ,-2.0      ,0       ,ATL     ,          ,202683.0  ,21700268.0,Enes Kanter            ,31.75     ,35.42716632035355 ,33.84366071428572
