Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,DKFPS,AdaBoost,Neural Network,Random Forest
PF/C,DeMarcus Cousins,11400,NO@PHO 11/24/2017 09:00PM ET,57.208,NO,42.5625,65,58.083788,62.87569444
SF/PF,LeBron James,11200,CHA@CLE 11/24/2017 08:00PM ET,54.806,CLE,53.375,54.5,55.72162565,52.80770833
PF/C,Anthony Davis,10700,NO@PHO 11/24/2017 09:00PM ET,51.279,NO,43.875,56.25,55.74849478,56.57994048
PG,Russell Westbrook,10600,DET@OKC 11/24/2017 08:00PM ET,50.574,OKC,55.125,48.75,48.89159909,48.16395833
SF/PF,Kevin Durant,9900,CHI@GS 11/24/2017 10:30PM ET,45.719,GS,38.16666667,43,46.26015755,45.06791667
PG/SG,Stephen Curry,9600,CHI@GS 11/24/2017 10:30PM ET,46.118,GS,47.9375,49.5,49.35547778,51.27992063
PF/C,Kristaps Porzingis,8900,NY@ATL 11/24/2017 07:30PM ET,43.844,NY,38.3125,42.25,42.10101079,47.70821429
C,Andre Drummond,8800,DET@OKC 11/24/2017 08:00PM ET,42.515,DET,39.5,42.25,41.03432451,42.66416667
C,Karl-Anthony Towns,8700,MIA@MIN 11/24/2017 08:00PM ET,41.903,MIN,40.25,43.75,43.5025076,38.94672619
C,Nikola Jokic,8600,MEM@DEN 11/24/2017 09:00PM ET,40.736,DEN,33.1875,48,42.98610723,54.22991071
SF,Paul George,8500,DET@OKC 11/24/2017 08:00PM ET,40.279,OKC,40.5,44,36.48702223,32.89486111
C,Hassan Whiteside,8500,MIA@MIN 11/24/2017 08:00PM ET,38.25,MIA,35.25,41.5,42.2246033,41.35458333
SG/SF,DeMar DeRozan,8400,TOR@IND 11/24/2017 08:00PM ET,39.221,TOR,44.65,37.25,40.06600767,32.8564881
PG,Kyrie Irving,8300,ORL@BOS 11/24/2017 07:30PM ET,38.417,BOS,43.1,32.25,37.37164597,33.03625
PG,Kemba Walker,8200,CHA@CLE 11/24/2017 08:00PM ET,38.985,CHA,41.5,38.75,37.34569538,39.26982143
PG,Kyle Lowry,8100,TOR@IND 11/24/2017 08:00PM ET,35.485,TOR,44.95,38,36.55294141,34.16875
PG/SG,Victor Oladipo,8000,TOR@IND 11/24/2017 08:00PM ET,39.917,IND,47.875,38,37.07187194,40.72267857
C,Marc Gasol,7900,MEM@DEN 11/24/2017 09:00PM ET,41.309,MEM,48.125,35.75,36.00288766,42.79032738
SG/SF,Devin Booker,7800,NO@PHO 11/24/2017 09:00PM ET,36.921,PHO,37,41.75,41.47804111,32.75392857
PF/C,Kevin Love,7700,CHA@CLE 11/24/2017 08:00PM ET,37.403,CLE,40.5625,36,40.97453563,37.61507937
PF/C,Draymond Green,7500,CHI@GS 11/24/2017 10:30PM ET,34.208,GS,32.625,34.25,37.42995055,35.82678571
SG,Klay Thompson,7100,CHI@GS 11/24/2017 10:30PM ET,32.458,GS,29.1875,32.75,33.01724384,30.17904762
C,Dwight Howard,7000,CHA@CLE 11/24/2017 08:00PM ET,35.765,CHA,37.25,28.5,34.17860059,30.36625
PF/C,Al Horford,6900,ORL@BOS 11/24/2017 07:30PM ET,34.338,BOS,30.65,37,33.73716416,33.52910714
SF/PF,Carmelo Anthony,6900,DET@OKC 11/24/2017 08:00PM ET,34.438,OKC,35.3125,29.75,31.08822048,29.68988095
SG/SF,Tyreke Evans,6900,MEM@DEN 11/24/2017 09:00PM ET,32.544,MEM,34.6875,30.5,29.91019623,30.99747024
SG,Jimmy Butler,6800,MIA@MIN 11/24/2017 08:00PM ET,34.141,MIN,37.55,37.25,36.35365144,32.16041667
C,Myles Turner,6700,TOR@IND 11/24/2017 08:00PM ET,31.455,IND,29.125,28.25,31.54656131,21.74410624
PG,Goran Dragic,6700,MIA@MIN 11/24/2017 08:00PM ET,32.75,MIA,29.4375,33.5,34.06629365,33.9577877
SG/SF,Tim Hardaway Jr.,6600,NY@ATL 11/24/2017 07:30PM ET,32.544,NY,41.125,32.25,35.71779798,32.04267857
PG,Dennis Schroder,6600,NY@ATL 11/24/2017 07:30PM ET,35.484,ATL,35.875,35.25,39.04547396,31.72035714
C,Nikola Vucevic,6600,ORL@BOS 11/24/2017 07:30PM ET,35.306,ORL,34.5625,34,32.35219578,36.8375
SF/PF,T.J. Warren,6600,NO@PHO 11/24/2017 09:00PM ET,31.395,PHO,#N/A,#N/A,#N/A,#N/A
PG,Isaiah Thomas,6600,CHA@CLE 11/24/2017 08:00PM ET,0,CLE,#N/A,#N/A,#N/A,#N/A
SG/SF,Jaylen Brown,6500,ORL@BOS 11/24/2017 07:30PM ET,28.868,BOS,32.15,28,26.60208862,26.98550595
SF/PF,Aaron Gordon,6500,ORL@BOS 11/24/2017 07:30PM ET,35.063,ORL,33.1875,32.25,31.69417918,33.39008929
PG/SG,Jrue Holiday,6500,NO@PHO 11/24/2017 09:00PM ET,30.958,NO,26.8125,34.25,30.7398071,31.81440476
SF/PF,Tobias Harris,6500,DET@OKC 11/24/2017 08:00PM ET,30.544,DET,26.75,33.25,28.46537218,31.00702381
PF/C,Paul Millsap,6500,MEM@DEN 11/24/2017 09:00PM ET,31.828,DEN,#N/A,#N/A,#N/A,#N/A
PF,Lauri Markkanen,6400,CHI@GS 11/24/2017 10:30PM ET,30.516,CHI,32.25,33.5,30.27219311,24.40486111
PG,Jeff Teague,6400,MIA@MIN 11/24/2017 08:00PM ET,33.167,MIN,34.5,35.25,34.28131038,37.44184524
SF/PF,Andrew Wiggins,6300,MIA@MIN 11/24/2017 08:00PM ET,29.903,MIN,27.6,31.25,31.60122342,26.25583333
PG,Mike Conley,6300,MEM@DEN 11/24/2017 09:00PM ET,28.771,MEM,#N/A,#N/A,#N/A,#N/A
SG/SF,Nicolas Batum,6200,CHA@CLE 11/24/2017 08:00PM ET,24.15,CHA,#N/A,#N/A,#N/A,#N/A
PF/C,Enes Kanter,6100,NY@ATL 11/24/2017 07:30PM ET,30.426,NY,27.25,29,32.94061793,23.06107143
PG/SG,Avery Bradley,6100,DET@OKC 11/24/2017 08:00PM ET,26.721,DET,26.8125,24,25.15183291,26.12007937
PG,Darren Collison,6000,TOR@IND 11/24/2017 08:00PM ET,28.931,IND,34.0625,27,28.81108841,27.04208333
SF/PF,Thaddeus Young,6000,TOR@IND 11/24/2017 08:00PM ET,27.556,IND,27.75,31.25,27.48663098,28.97511905
PG,Reggie Jackson,6000,DET@OKC 11/24/2017 08:00PM ET,29.368,DET,21.875,27,30.69667849,32.10327381
SG/SF,Will Barton,6000,MEM@DEN 11/24/2017 09:00PM ET,29.208,DEN,27.75,35.25,29.56914667,32.71544643
SG/SF,Evan Fournier,5900,ORL@BOS 11/24/2017 07:30PM ET,31.181,ORL,24.625,27.5,29.26926026,24.86181548
