Position,Name,Salary,GameInfo,AvgPointsPerGame,Team,DKFPS,AdaBoost,Neural Network,Random Forest,Home
PF/C,DeMarcus Cousins,11400,NO@PHO 11/24/2017 09:00PM ET,57.208,NO,44,55,54.95979118,54.51416667,0
SF/PF,LeBron James,11200,CHA@CLE 11/24/2017 08:00PM ET,54.806,CLE,54.8125,54,54.75144546,54.13326389,1
PF/C,Anthony Davis,10700,NO@PHO 11/24/2017 09:00PM ET,51.279,NO,42.6875,54.75,54.71242198,51.51458333,0
PG,Russell Westbrook,10600,DET@OKC 11/24/2017 08:00PM ET,50.574,OKC,50.25,54.25,53.92710388,51.5764881,1
SF/PF,Kevin Durant,9900,CHI@GS 11/24/2017 10:30PM ET,45.719,GS,40.5,46,51.69821567,47.45741071,1
PG/SG,Stephen Curry,9600,CHI@GS 11/24/2017 10:30PM ET,46.118,GS,50.66666667,46.25,46.86910398,52.87214286,1
PF/C,Kristaps Porzingis,8900,NY@ATL 11/24/2017 07:30PM ET,43.844,NY,35.875,44.25,40.6818349,42.95744048,0
C,Andre Drummond,8800,DET@OKC 11/24/2017 08:00PM ET,42.515,DET,38.75,38.5,42.37490138,41.57027778,0
C,Karl-Anthony Towns,8700,MIA@MIN 11/24/2017 08:00PM ET,41.903,MIN,42.35,47.75,45.70767049,51.50041667,1
SF,Paul George,8500,DET@OKC 11/24/2017 08:00PM ET,40.279,OKC,43.0625,49,45.31544471,38.89428571,1
C,Hassan Whiteside,8500,MIA@MIN 11/24/2017 08:00PM ET,38.25,MIA,40,42.25,41.60276847,40.67285714,0
SG/SF,DeMar DeRozan,8400,TOR@IND 11/24/2017 08:00PM ET,39.221,TOR,45.1,43.75,42.09161269,44.47916667,0
PG,Kyrie Irving,8300,ORL@BOS 11/24/2017 07:30PM ET,38.417,BOS,45.3125,37.25,39.40002759,37.57878968,1
PG,Kemba Walker,8200,CHA@CLE 11/24/2017 08:00PM ET,38.985,CHA,42.3125,39.75,42.68189017,43.00645833,0
PG,Kyle Lowry,8100,TOR@IND 11/24/2017 08:00PM ET,35.485,TOR,41.2,41.75,39.77647107,39.978125,0
PG/SG,Victor Oladipo,8000,TOR@IND 11/24/2017 08:00PM ET,39.917,IND,45.8,41.5,35.06709652,42.759375,1
C,Marc Gasol,7900,MEM@DEN 11/24/2017 09:00PM ET,41.309,MEM,48.875,43,38.42507273,35.56868056,0
SG/SF,Devin Booker,7800,NO@PHO 11/24/2017 09:00PM ET,36.921,PHO,38.3125,37.5,38.68445609,36.49883929,1
PF/C,Kevin Love,7700,CHA@CLE 11/24/2017 08:00PM ET,37.403,CLE,34.9375,38.5,33.36116023,39.16160714,1
PF/C,Draymond Green,7500,CHI@GS 11/24/2017 10:30PM ET,34.208,GS,35,38.5,41.29718804,42.27458333,1
SG,Klay Thompson,7100,CHI@GS 11/24/2017 10:30PM ET,32.458,GS,31.1875,33.75,39.50640527,38.155,1
C,Dwight Howard,7000,CHA@CLE 11/24/2017 08:00PM ET,35.765,CHA,34.25,34.5,34.60440773,41.0509623,0
PF/C,Al Horford,6900,ORL@BOS 11/24/2017 07:30PM ET,34.338,BOS,31.45,30.25,37.37078004,28.75166667,1
SF/PF,Carmelo Anthony,6900,DET@OKC 11/24/2017 08:00PM ET,34.438,OKC,36.33333333,31.25,33.10678118,36.07901786,1
SG/SF,Tyreke Evans,6900,MEM@DEN 11/24/2017 09:00PM ET,32.544,MEM,33.75,38,36.47311994,32.116875,0
SG,Jimmy Butler,6800,MIA@MIN 11/24/2017 08:00PM ET,34.141,MIN,39.2,37.25,36.20958176,36.95069444,1
