max(s1.salary),max(s2.salary),avg(s2.salary),min(s2.salary),stddev(s2.salary),avg(t2.DKFPS),std(t2.DKFPS),min(t2.DKFPS),max(t2.DKFPS),player_id,game_id,DISPLAY_FIRST_LAST,team,ou,odds,home,OPP
6200,6400,6166.6667,6000,169.96731711975954,28.916666666666668,9.019269494932626,18.5,40.5,1626178,21700267,Rondae Hollis-Jefferson,BKN,211,5,1,POR
3000,3000,3000.0000,3000,0,8.45,3.6034705493454506,5.75,15.5,1626192,21700267,Pat Connaughton,POR,211,-5,0,BKN
4100,4500,4266.6667,4100,169.96731711975957,23.916666666666668,4.084183584947615,19,29,1627747,21700267,Caris LeVert,BKN,211,5,1,POR
3000,3000,3000.0000,3000,0,2,1.4719601443879744,0,3.5,1627774,21700267,Jake Layman,POR,211,-5,0,BKN
3500,3600,3550.0000,3500,50,4.625,2.625,2,7.25,1627785,21700267,Isaiah Whitehead,BKN,211,5,1,POR
3000,3000,3000.0000,3000,0,1.375,2.375,-1,3.75,1628380,21700267,Zach Collins,POR,211,-5,0,BKN
3000,3000,3000.0000,3000,0,8,3.25,4.75,11.25,1628386,21700267,Jarrett Allen,BKN,211,5,1,POR
3700,3900,3725.0000,3500,147.9019945774904,6.5625,7.22057606773864,-0.5,16.75,1628403,21700267,Caleb Swanigan,POR,211,-5,0,BKN
5600,5800,5633.3333,5500,124.72191289246463,27.666666666666668,6.558497456650333,19.25,35.25,201960,21700267,DeMarre Carroll,BKN,211,5,1,POR
4400,4500,4360.0000,4200,101.9803902718557,11.1,8.097221745759468,2.5,26.25,202323,21700267,Evan Turner,POR,211,-5,0,BKN
3400,3700,3500.0000,3400,109.54451150103318,13,1.680773631397161,10.25,15,202334,21700267,Ed Davis,POR,211,-5,0,BKN
4700,4800,4566.6667,4400,169.96731711975937,17.833333333333332,9.63140119031955,4.25,25.5,202344,21700267,Trevor Booker,BKN,211,5,1,POR
8800,9100,8800.0000,8300,268.3281572999747,40.3,7.560423268574319,30.25,53.25,203081,21700267,Damian Lillard,POR,211,-5,0,BKN
3200,3200,3066.6667,3000,94.2809041582064,12.166666666666666,8.267237883490605,1.25,21.25,203086,21700267,Meyers Leonard,POR,211,-5,0,BKN
3500,3700,3540.0000,3500,79.99999999999997,11.4,3.903844259188627,4.75,15.75,203090,21700267,Maurice Harkless,POR,211,-5,0,BKN
